Temperature,Battery,Timestamp,Mode,CE (%)
15,07a7,2507230949,linear,97.17
15,07a7,2507240908,linear,100.06
15,ae4c,2507230949,linear,94.94
15,ae4c,2507240908,linear,96.86
15,3800,2507230949,linear,96.54
15,3800,2507240908,linear,99.86
15,eb95,2507230949,linear,85.52
15,eb95,2507240908,linear,88.02
15,8140,2507240908,linear,93.27
15,8140,2507230949,linear,90.26
25,8140,2507171434,linear,90.68
25,8140,2508190815,linear,90.56
25,07a7,2507171434,linear,98.26
25,07a7,2508190815,linear,97.31
25,ae4c,2508190815,linear,95.65
25,ae4c,2507171434,linear,95.79
25,3800,2508190815,linear,97.54
25,3800,2507171434,linear,98.65
25,eb95,2507171434,linear,85.93
25,eb95,2508190815,linear,86.50
40,8140,2508051619,linear,90.73
40,07a7,2508051619,linear,97.48
40,3800,2508051619,linear,96.50
40,ae4c,2508051619,linear,95.37
40,eb95,2508051619,linear,85.59
5,eb95,2508070846,linear,84.18
5,eb95,2508081225,linear,96.36
5,8140,2508070846,linear,86.78
5,8140,2508081225,linear,100.33
5,3800,2508070846,linear,94.29
5,3800,2508081225,linear,108.64
5,07a7,2508081225,linear,108.37
5,07a7,2508070846,linear,94.71
5,ae4c,2508081225,linear,105.73
5,ae4c,2508070846,linear,93.51
35,eb95,2507311140,linear,85.77
35,eb95,2507301132,linear,94.25
35,ae4c,2507301132,linear,103.22
35,ae4c,2507311140,linear,95.11
35,8140,2507311140,linear,90.82
35,8140,2507301132,linear,100.38
35,07a7,2507301132,linear,107.66
35,07a7,2507311140,linear,97.33
35,3800,2507311140,linear,96.66
35,3800,2507301132,linear,106.94
45,07a7,2508121306,linear,97.50
45,07a7,2508111321,linear,113.80
45,8140,2508111321,linear,107.61
45,8140,2508121306,linear,90.79
45,eb95,2508121306,linear,86.03
45,eb95,2508111321,linear,100.23
45,3800,2508121306,linear,96.83
45,3800,2508111321,linear,114.07
45,ae4c,2508111321,linear,110.47
45,ae4c,2508121306,linear,95.53
30,ae4c,2507260940,linear,95.21
30,ae4c,2507250949,linear,98.64
30,8140,2507250949,linear,95.34
30,8140,2507260940,linear,90.61
30,eb95,2507250949,linear,90.31
30,eb95,2507260940,linear,85.38
30,3800,2507260940,linear,96.83
30,3800,2507250949,linear,102.09
30,07a7,2507260940,linear,97.36
30,07a7,2507250949,linear,102.74
20,8140,2507220912,linear,91.24
20,8140,2507210857,linear,90.44
20,ae4c,2507210857,linear,95.29
20,ae4c,2507220912,linear,95.52
20,eb95,2507210857,linear,86.02
20,eb95,2507220912,linear,86.59
20,3800,2507220912,linear,97.86
20,3800,2507210857,linear,96.97
0,ae4c,2508140925,linear,87.93
0,ae4c,2508151056,linear,108.61
0,07a7,2508151056,linear,111.34
0,07a7,2508140925,linear,89.57
0,3800,2508140925,linear,89.77
0,3800,2508151056,linear,112.75
0,eb95,2508151056,linear,99.44
0,eb95,2508140925,linear,80.04
0,8140,2508151056,linear,102.90
0,8140,2508140925,linear,81.66
10,07a7,2507281246,linear,94.10
10,07a7,2507291208,linear,102.84
10,ae4c,2507281246,linear,92.95
10,ae4c,2507291208,linear,99.58
10,3800,2507281246,linear,94.08
10,3800,2507291208,linear,102.59
10,eb95,2507281246,linear,83.26
10,eb95,2507291208,linear,90.13
10,8140,2507291208,linear,95.22
10,8140,2507281246,linear,87.45
