time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.01,-16.875,20.235,4.76,29.281,0x0C,0x0C,CHARGING
2002,3.176,-185.85,20.235,4.592,36.414,0x0F,0x0C,CHARGING
4004,3.23,-186.525,20.235,4.592,38.0,0x0F,0x0C,CHARGING
6006,3.269,-186.975,20.235,4.598,38.792,0x0F,0x0C,CHARGING
8008,3.289,-186.975,20.235,4.592,39.585,0x0F,0x0C,CHARGING
10010,3.304,-187.2,20.435,4.598,39.585,0x0F,0x0C,CHARGING
12012,3.313,-187.425,20.636,4.592,40.377,0x0F,0x0C,CHARGING
14014,3.323,-187.65,20.636,4.592,40.377,0x0F,0x0C,CHARGING
16016,3.333,-188.1,20.636,4.598,40.377,0x0F,0x0C,CHARGING
18018,3.333,-187.425,20.837,4.592,40.377,0x0F,0x0C,CHARGING
20019,3.338,-187.875,20.938,4.592,41.17,0x0F,0x0C,CHARGING
22021,3.343,-187.875,21.038,4.598,41.17,0x0F,0x0C,CHARGING
24023,3.343,-187.875,21.139,4.598,41.963,0x0F,0x0C,CHARGING
26025,3.347,-187.875,21.24,4.611,41.963,0x0F,0x0C,CHARGING
28027,3.347,-188.1,21.24,4.598,42.755,0x0F,0x0C,CHARGING
30029,3.352,-188.1,21.441,4.592,42.755,0x0F,0x0C,CHARGING
32031,3.352,-187.875,21.441,4.598,41.963,0x0F,0x0C,CHARGING
34033,3.352,-188.1,21.845,4.598,43.548,0x0F,0x0C,CHARGING
36035,3.357,-188.1,21.845,4.598,40.377,0x0F,0x0C,CHARGING
38037,3.357,-187.875,21.845,4.598,40.377,0x0F,0x0C,CHARGING
40038,3.367,-187.875,21.845,4.592,40.377,0x0F,0x0C,CHARGING
42040,3.362,-188.1,21.946,4.598,43.548,0x0F,0x0C,CHARGING
44042,3.362,-187.875,22.047,4.592,43.548,0x0F,0x0C,CHARGING
46043,3.362,-188.325,22.148,4.592,43.548,0x0F,0x0C,CHARGING
48045,3.362,-188.325,22.249,4.598,43.548,0x0F,0x0C,CHARGING
50047,3.362,-187.875,22.249,4.598,44.34,0x0F,0x0C,CHARGING
52049,3.362,-187.875,22.451,4.598,43.548,0x0F,0x0C,CHARGING
54051,3.367,-188.1,22.451,4.592,44.34,0x0F,0x0C,CHARGING
56053,3.367,-187.875,22.654,4.598,44.34,0x0F,0x0C,CHARGING
58055,3.367,-188.1,22.755,4.592,45.133,0x0F,0x0C,CHARGING
60057,3.367,-188.325,22.755,4.598,44.34,0x0F,0x0C,CHARGING
62059,3.372,-187.875,22.856,4.598,45.133,0x0F,0x0C,CHARGING
64060,3.362,-187.2,22.958,4.598,45.133,0x0F,0x0C,CHARGING
66062,3.372,-188.1,22.958,4.592,45.926,0x0F,0x0C,CHARGING
68064,3.372,-188.325,23.059,4.592,45.133,0x0F,0x0C,CHARGING
70066,3.372,-188.1,23.059,4.598,45.133,0x0F,0x0C,CHARGING
72068,3.372,-188.1,23.568,4.592,45.926,0x0F,0x0C,CHARGING
74071,3.372,-187.875,23.466,4.592,45.133,0x0F,0x0C,CHARGING
76074,3.372,-188.325,23.466,4.592,45.133,0x0F,0x0C,CHARGING
78077,3.372,-188.325,23.466,4.598,45.926,0x0F,0x0C,CHARGING
80081,3.372,-188.1,23.466,4.598,45.926,0x0F,0x0C,CHARGING
82083,3.372,-188.1,23.568,4.598,45.926,0x0F,0x0C,CHARGING
84086,3.377,-188.325,23.67,4.598,45.133,0x0F,0x0C,CHARGING
86090,3.377,-188.1,23.772,4.598,45.926,0x0F,0x0C,CHARGING
88094,3.372,-188.1,23.772,4.598,46.718,0x0F,0x0C,CHARGING
90098,3.377,-188.55,23.874,4.598,46.718,0x0F,0x0C,CHARGING
92102,3.377,-187.65,23.874,4.58,45.926,0x0F,0x0C,CHARGING
94103,3.372,-189.0,23.976,4.598,43.548,0x0F,0x0C,CHARGING
96105,3.372,-188.1,24.078,4.592,45.926,0x0F,0x0C,CHARGING
98108,3.377,-188.1,24.078,4.598,46.718,0x0F,0x0C,CHARGING
100112,3.372,-188.1,24.18,4.598,46.718,0x0F,0x0C,CHARGING
102115,3.372,-188.325,24.282,4.598,47.511,0x0F,0x0C,CHARGING
104118,3.377,-188.1,24.282,4.598,46.718,0x0F,0x0C,CHARGING
106121,3.377,-188.55,24.282,4.611,46.718,0x0F,0x0C,CHARGING
108125,3.372,-188.1,24.487,4.598,46.718,0x0F,0x0C,CHARGING
110128,3.377,-188.1,24.384,4.598,44.34,0x0F,0x0C,CHARGING
112130,3.377,-188.1,25.102,4.598,47.511,0x0F,0x0C,CHARGING
114132,3.382,-188.325,25.102,4.598,47.511,0x0F,0x0C,CHARGING
116135,3.377,-188.325,25.102,4.592,47.511,0x0F,0x0C,CHARGING
118138,3.377,-188.1,25.102,4.598,47.511,0x0F,0x0C,CHARGING
120141,3.382,-188.1,25.102,4.611,47.511,0x0F,0x0C,CHARGING
122143,3.382,-188.325,25.102,4.598,47.511,0x0F,0x0C,CHARGING
124146,3.382,-188.325,25.102,4.598,46.718,0x0F,0x0C,CHARGING
126148,3.382,-188.325,25.102,4.598,48.303,0x0F,0x0C,CHARGING
128151,3.382,-188.325,25.102,4.605,47.511,0x0F,0x0C,CHARGING
130155,3.377,-188.55,25.102,4.598,47.511,0x0F,0x0C,CHARGING
132159,3.382,-188.1,25.102,4.598,47.511,0x0F,0x0C,CHARGING
134162,3.382,-188.325,25.102,4.611,50.681,0x0F,0x0C,CHARGING
136165,3.382,-188.325,25.102,4.605,47.511,0x0F,0x0C,CHARGING
138169,3.382,-188.325,25.102,4.592,47.511,0x0F,0x0C,CHARGING
140173,3.382,-188.55,25.205,4.598,46.718,0x0F,0x0C,CHARGING
142177,3.382,-188.55,25.308,4.598,47.511,0x0F,0x0C,CHARGING
144180,3.382,-188.55,25.308,4.605,47.511,0x0F,0x0C,CHARGING
146184,3.382,-188.1,25.308,4.592,47.511,0x0F,0x0C,CHARGING
148186,3.382,-188.325,25.411,4.592,47.511,0x0F,0x0C,CHARGING
150190,3.382,-187.875,25.102,4.598,47.511,0x0F,0x0C,CHARGING
152194,3.382,-187.875,25.411,4.592,47.511,0x0F,0x0C,CHARGING
154195,3.382,-188.325,25.102,4.598,48.303,0x0F,0x0C,CHARGING
156196,3.382,-188.325,25.514,4.592,47.511,0x0F,0x0C,CHARGING
158198,3.382,-188.775,25.514,4.605,48.303,0x0F,0x0C,CHARGING
