time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.377,121.6,-1.226,3.352,-2.422,0x04,0x0E,DISCHARGING
2002,3.308,122.4,-1.226,3.29,-3.215,0x04,0x0E,DISCHARGING
4003,3.289,120.8,-1.226,3.265,-3.215,0x04,0x0E,DISCHARGING
6004,3.26,123.2,-1.226,3.252,-3.215,0x04,0x0E,DISCHARGING
8006,3.25,131.2,-1.226,3.234,-4.007,0x04,0x0E,DISCHARGING
10007,3.25,131.6,-1.226,3.221,-4.007,0x04,0x0E,DISCHARGING
12008,3.23,128.0,-1.226,3.221,-4.007,0x04,0x0E,DISCHARGING
14010,3.23,115.2,-1.226,3.209,-3.215,0x04,0x0E,DISCHARGING
16012,3.23,131.6,-1.226,3.209,-4.007,0x04,0x0E,DISCHARGING
18013,3.23,124.0,-1.226,3.203,-4.007,0x04,0x0E,DISCHARGING
20014,3.22,124.0,-1.226,3.196,-3.215,0x04,0x0E,DISCHARGING
22015,3.216,124.0,-1.226,3.203,-4.007,0x04,0x0E,DISCHARGING
24016,3.211,126.0,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
26018,3.211,128.0,-1.226,3.196,-4.007,0x04,0x0E,DISCHARGING
28019,3.211,124.0,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
30021,3.211,126.0,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
32022,3.211,129.2,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
34024,3.211,126.4,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
36025,3.206,124.0,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
38026,3.225,128.399,-1.226,3.184,-4.007,0x04,0x0E,DISCHARGING
40028,3.206,124.4,-1.226,3.19,-4.007,0x04,0x0E,DISCHARGING
42029,3.206,124.0,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
44030,3.216,123.2,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
46032,3.191,122.4,-1.226,3.178,-4.8,0x04,0x0E,DISCHARGING
48033,3.211,112.8,-1.226,3.178,-4.007,0x04,0x0E,DISCHARGING
50034,3.186,129.6,-1.226,3.171,-4.8,0x04,0x0E,DISCHARGING
52036,3.191,131.6,-1.226,3.171,-4.007,0x04,0x0E,DISCHARGING
