time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.313,-17.1,20.235,4.779,25.318,0x0C,0x0E,CHARGING
2002,3.387,-187.875,20.235,4.605,34.829,0x0F,0x0E,CHARGING
4003,3.391,-188.325,20.335,4.611,35.622,0x0F,0x0E,CHARGING
6004,3.396,-188.55,20.235,4.611,36.414,0x0F,0x0E,CHARGING
8006,3.391,-188.1,20.335,4.611,36.414,0x0F,0x0E,CHARGING
10007,3.396,-188.325,20.435,4.611,37.207,0x0F,0x0E,CHARGING
12008,3.396,-188.1,20.435,4.611,38.0,0x0F,0x0E,CHARGING
14010,3.406,-188.325,20.435,4.611,38.0,0x0F,0x0E,CHARGING
16011,3.401,-187.875,20.636,4.611,38.0,0x0F,0x0E,CHARGING
18013,3.406,-188.1,20.636,4.611,38.792,0x0F,0x0E,CHARGING
20015,3.401,-188.325,20.235,4.611,38.0,0x0F,0x0E,CHARGING
22017,3.406,-188.1,20.636,4.605,38.792,0x0F,0x0E,CHARGING
24018,3.401,-188.325,20.636,4.611,38.792,0x0F,0x0E,CHARGING
26019,3.406,-188.1,20.837,4.605,38.792,0x0F,0x0E,CHARGING
28021,3.411,-188.1,20.837,4.611,39.585,0x0F,0x0E,CHARGING
30022,3.406,-188.55,21.038,4.611,39.585,0x0F,0x0E,CHARGING
32023,3.411,-188.55,21.038,4.605,39.585,0x0F,0x0E,CHARGING
34023,3.411,-188.55,21.038,4.611,39.585,0x0F,0x0E,CHARGING
36024,3.411,-188.325,21.038,4.605,37.207,0x0F,0x0E,CHARGING
38024,3.411,-188.55,21.038,4.611,39.585,0x0F,0x0E,CHARGING
40025,3.411,-188.55,21.038,4.617,40.377,0x0F,0x0E,CHARGING
42025,3.411,-188.55,21.139,4.611,37.207,0x0F,0x0E,CHARGING
44026,3.411,-188.55,21.24,4.611,40.377,0x0F,0x0E,CHARGING
46027,3.411,-188.55,21.24,4.611,40.377,0x0F,0x0E,CHARGING
48028,3.416,-188.55,21.34,4.605,40.377,0x0F,0x0E,CHARGING
50029,3.411,-188.55,21.441,4.611,40.377,0x0F,0x0E,CHARGING
52030,3.416,-188.55,21.441,4.605,41.17,0x0F,0x0E,CHARGING
54031,3.411,-188.55,21.441,4.611,41.17,0x0F,0x0E,CHARGING
56032,3.411,-188.55,21.542,4.611,41.17,0x0F,0x0E,CHARGING
58034,3.416,-188.55,21.845,4.605,41.17,0x0F,0x0E,CHARGING
60035,3.416,-188.775,21.845,4.617,41.17,0x0F,0x0E,CHARGING
62036,3.416,-188.55,21.845,4.617,41.17,0x0F,0x0E,CHARGING
64037,3.416,-188.55,21.845,4.611,41.963,0x0F,0x0E,CHARGING
66038,3.416,-188.55,21.845,4.611,41.963,0x0F,0x0E,CHARGING
68039,3.416,-188.55,21.845,4.617,41.17,0x0F,0x0E,CHARGING
70040,3.416,-188.55,21.946,4.611,41.963,0x0F,0x0E,CHARGING
72041,3.416,-188.325,21.946,4.611,41.963,0x0F,0x0E,CHARGING
74043,3.416,-188.55,22.047,4.611,41.963,0x0F,0x0E,CHARGING
76045,3.416,-188.775,22.148,4.617,41.963,0x0F,0x0E,CHARGING
78046,3.416,-188.55,22.148,4.611,41.963,0x0F,0x0E,CHARGING
80047,3.421,-188.325,22.249,4.617,41.963,0x0F,0x0E,CHARGING
82048,3.416,-188.55,22.249,4.617,41.963,0x0F,0x0E,CHARGING
84049,3.416,-188.325,22.35,4.617,42.755,0x0F,0x0E,CHARGING
86050,3.416,-188.55,22.35,4.611,41.963,0x0F,0x0E,CHARGING
88051,3.416,-188.55,22.552,4.63,42.755,0x0F,0x0E,CHARGING
90053,3.416,-188.325,22.654,4.617,42.755,0x0F,0x0E,CHARGING
92055,3.416,-188.55,22.654,4.611,42.755,0x0F,0x0E,CHARGING
94056,3.416,-188.55,22.654,4.617,42.755,0x0F,0x0E,CHARGING
96057,3.416,-188.55,22.755,4.623,42.755,0x0F,0x0E,CHARGING
98058,3.421,-188.55,22.755,4.617,43.548,0x0F,0x0E,CHARGING
100416,3.416,-189.0,22.755,4.592,42.755,0x0F,0x0E,CHARGING
102418,3.416,-189.0,22.958,4.598,40.377,0x0F,0x0E,CHARGING
104420,3.416,-189.0,23.059,4.598,43.548,0x0F,0x0E,CHARGING
106421,3.416,-189.0,23.059,4.592,45.926,0x0F,0x0E,CHARGING
108422,3.416,-188.55,23.263,4.592,43.548,0x0F,0x0E,CHARGING
110423,3.421,-188.775,23.466,4.598,43.548,0x0F,0x0E,CHARGING
112424,3.421,-188.55,23.466,4.598,44.34,0x0F,0x0E,CHARGING
114426,3.416,-189.0,23.466,4.598,43.548,0x0F,0x0E,CHARGING
116427,3.421,-188.775,23.466,4.592,44.34,0x0F,0x0E,CHARGING
118428,3.416,-189.0,23.466,4.592,44.34,0x0F,0x0E,CHARGING
