time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.44,102.4,27.802,3.421,31.659,0x04,0x0C,DISCHARGING
2002,3.426,104.0,27.802,3.421,31.659,0x04,0x0C,DISCHARGING
4004,3.431,99.6,27.802,3.408,31.659,0x04,0x0C,DISCHARGING
6006,3.44,101.6,27.802,3.396,31.659,0x04,0x0C,DISCHARGING
8008,3.401,104.0,27.802,3.396,31.659,0x04,0x0C,DISCHARGING
10010,3.44,102.4,27.802,3.39,31.659,0x04,0x0C,DISCHARGING
12012,3.401,103.2,27.802,3.39,31.659,0x04,0x0C,DISCHARGING
14013,3.391,101.2,27.802,3.377,31.659,0x04,0x0C,DISCHARGING
16015,3.382,106.8,27.802,3.377,30.866,0x04,0x0C,DISCHARGING
18017,3.382,104.0,27.802,3.371,31.659,0x04,0x0C,DISCHARGING
20019,3.382,100.4,27.802,3.365,30.866,0x04,0x0C,DISCHARGING
22021,3.372,104.0,27.802,3.365,30.866,0x04,0x0C,DISCHARGING
24023,3.372,104.0,27.802,3.365,30.866,0x04,0x0C,DISCHARGING
26025,3.382,100.4,27.802,3.352,30.866,0x04,0x0C,DISCHARGING
28027,3.362,100.4,27.802,3.352,30.866,0x04,0x0C,DISCHARGING
30028,3.367,89.2,27.802,3.352,30.866,0x04,0x0C,DISCHARGING
32030,3.362,101.6,27.802,3.346,31.659,0x04,0x0C,DISCHARGING
34031,3.362,102.0,27.802,3.352,30.866,0x04,0x0C,DISCHARGING
36033,3.362,102.8,27.802,3.346,30.866,0x04,0x0C,DISCHARGING
38034,3.352,98.4,27.697,3.346,30.866,0x04,0x0C,DISCHARGING
40036,3.362,100.4,27.697,3.352,30.866,0x04,0x0C,DISCHARGING
42038,3.347,100.8,27.697,3.34,30.866,0x04,0x0C,DISCHARGING
44039,3.357,102.8,27.697,3.34,30.866,0x04,0x0C,DISCHARGING
46041,3.352,102.8,27.697,3.34,30.866,0x04,0x0C,DISCHARGING
48043,3.343,100.4,27.697,3.333,30.866,0x04,0x0C,DISCHARGING
50045,3.357,101.6,27.697,3.333,30.866,0x04,0x0C,DISCHARGING
52046,3.357,100.8,27.592,3.327,30.866,0x04,0x0C,DISCHARGING
54048,3.357,104.4,27.697,3.321,30.866,0x04,0x0C,DISCHARGING
56050,3.333,100.4,27.592,3.327,30.866,0x04,0x0C,DISCHARGING
58052,3.343,92.8,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
60054,3.343,105.6,27.592,3.327,30.866,0x04,0x0C,DISCHARGING
62056,3.357,105.6,27.592,3.327,30.866,0x04,0x0C,DISCHARGING
64057,3.333,104.0,27.592,3.321,30.074,0x04,0x0C,DISCHARGING
66058,3.343,102.0,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
68059,3.328,106.0,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
70061,3.338,106.0,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
72062,3.338,102.8,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
74064,3.328,101.6,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
76065,3.323,104.0,27.592,3.321,30.866,0x04,0x0C,DISCHARGING
78067,3.338,100.0,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
80068,3.333,101.6,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
82070,3.338,101.6,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
84072,3.328,103.2,27.592,3.315,30.074,0x04,0x0C,DISCHARGING
86074,3.323,104.0,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
88075,3.323,101.6,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
90077,3.338,103.2,27.592,3.309,30.866,0x04,0x0C,DISCHARGING
92078,3.328,104.0,27.592,3.309,30.866,0x04,0x0C,DISCHARGING
94080,3.333,100.4,27.592,3.315,30.866,0x04,0x0C,DISCHARGING
96081,3.323,104.0,27.592,3.309,30.866,0x04,0x0C,DISCHARGING
98083,3.323,107.2,27.592,3.309,30.074,0x04,0x0C,DISCHARGING
100085,3.323,100.4,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
102087,3.338,101.6,27.488,3.302,30.866,0x04,0x0C,DISCHARGING
104088,3.333,104.4,27.488,3.309,30.074,0x04,0x0C,DISCHARGING
106090,3.323,104.0,27.488,3.302,30.866,0x04,0x0C,DISCHARGING
108091,3.333,100.4,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
110093,3.323,104.8,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
112094,3.323,101.6,27.383,3.309,30.866,0x04,0x0C,DISCHARGING
114096,3.333,101.6,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
116098,3.323,105.6,27.383,3.302,30.866,0x04,0x0C,DISCHARGING
118100,3.323,104.0,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
120102,3.323,102.4,27.383,3.296,30.866,0x04,0x0C,DISCHARGING
122104,3.338,106.4,27.383,3.309,30.074,0x04,0x0C,DISCHARGING
124105,3.313,101.6,27.383,3.302,30.866,0x04,0x0C,DISCHARGING
126106,3.323,104.4,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
128108,3.318,103.6,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
130110,3.323,89.6,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
132111,3.304,106.0,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
134113,3.313,102.0,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
136115,3.318,100.4,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
138117,3.313,104.0,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
140118,3.304,102.8,27.383,3.302,30.074,0x04,0x0C,DISCHARGING
142119,3.318,106.4,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
144121,3.304,100.4,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
146122,3.304,106.4,27.383,3.29,30.074,0x04,0x0C,DISCHARGING
148124,3.313,91.2,27.383,3.29,30.074,0x04,0x0C,DISCHARGING
150126,3.313,106.4,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
152128,3.313,101.6,27.383,3.29,30.074,0x04,0x0C,DISCHARGING
154129,3.304,104.0,27.278,3.296,30.074,0x04,0x0C,DISCHARGING
156130,3.304,105.6,27.383,3.296,30.074,0x04,0x0C,DISCHARGING
158132,3.304,100.0,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
160133,3.318,106.0,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
162135,3.304,104.0,27.278,3.284,30.074,0x04,0x0C,DISCHARGING
164136,3.304,104.8,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
166138,3.304,104.8,27.278,3.296,30.074,0x04,0x0C,DISCHARGING
168139,3.294,101.2,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
170140,3.304,106.8,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
172141,3.304,104.8,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
174143,3.304,89.2,27.174,3.29,30.074,0x04,0x0C,DISCHARGING
176145,3.304,104.0,27.278,3.284,30.074,0x04,0x0C,DISCHARGING
178147,3.304,104.4,27.278,3.284,30.074,0x04,0x0C,DISCHARGING
180149,3.318,102.8,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
182150,3.294,104.0,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
184152,3.294,105.6,27.278,3.29,30.074,0x04,0x0C,DISCHARGING
186154,3.294,104.0,27.278,3.284,30.074,0x04,0x0C,DISCHARGING
188156,3.294,100.4,27.278,3.284,30.074,0x04,0x0C,DISCHARGING
190158,3.313,101.6,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
192160,3.318,108.8,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
194161,3.313,106.0,27.174,3.29,30.074,0x04,0x0C,DISCHARGING
196162,3.289,101.6,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
198164,3.294,102.8,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
200166,3.294,106.0,27.174,3.284,30.074,0x04,0x0C,DISCHARGING
202523,3.284,133.2,27.174,3.259,30.074,0x04,0x0C,DISCHARGING
204525,3.274,133.2,27.174,3.259,30.074,0x04,0x0C,DISCHARGING
206527,3.284,133.2,27.174,3.259,30.074,0x04,0x0C,DISCHARGING
208528,3.284,128.0,27.174,3.259,30.074,0x04,0x0C,DISCHARGING
210529,3.279,135.6,27.278,3.259,30.074,0x04,0x0C,DISCHARGING
212531,3.274,138.4,27.174,3.252,30.074,0x04,0x0C,DISCHARGING
214532,3.274,135.2,27.174,3.252,30.074,0x04,0x0C,DISCHARGING
216534,3.274,135.2,27.174,3.252,30.074,0x04,0x0C,DISCHARGING
218536,3.269,138.4,27.278,3.252,30.074,0x04,0x0C,DISCHARGING
