time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.421,109.2,27.278,3.402,30.866,0x04,0x0C,DISCHARGING
2002,3.406,109.6,27.278,3.39,30.074,0x04,0x0C,DISCHARGING
4003,3.401,110.4,27.278,3.383,30.074,0x04,0x0C,DISCHARGING
6005,3.387,110.8,27.383,3.371,30.074,0x04,0x0C,DISCHARGING
8006,3.387,115.2,27.278,3.371,30.074,0x04,0x0C,DISCHARGING
10008,3.367,111.2,27.383,3.365,30.074,0x04,0x0C,DISCHARGING
12009,3.382,106.0,27.383,3.358,30.074,0x04,0x0C,DISCHARGING
14011,3.387,109.6,27.383,3.352,30.074,0x04,0x0C,DISCHARGING
16013,3.387,115.2,27.383,3.358,30.074,0x04,0x0C,DISCHARGING
18015,3.362,115.2,27.383,3.352,30.074,0x04,0x0C,DISCHARGING
20017,3.387,119.6,27.383,3.365,30.074,0x04,0x0C,DISCHARGING
22019,3.387,73.2,27.278,3.34,30.074,0x04,0x0C,DISCHARGING
24021,3.367,108.4,27.383,3.34,30.074,0x04,0x0C,DISCHARGING
26023,3.347,115.2,27.383,3.34,30.074,0x04,0x0C,DISCHARGING
28025,3.347,110.0,27.383,3.333,30.074,0x04,0x0C,DISCHARGING
30026,3.347,110.0,27.383,3.333,30.074,0x04,0x0C,DISCHARGING
32028,3.347,110.4,27.383,3.34,29.281,0x04,0x0C,DISCHARGING
34030,3.347,107.6,27.383,3.333,30.074,0x04,0x0C,DISCHARGING
36031,3.343,107.6,27.383,3.327,30.074,0x04,0x0C,DISCHARGING
38033,3.333,112.4,27.383,3.327,30.074,0x04,0x0C,DISCHARGING
40034,3.347,98.8,27.383,3.327,30.074,0x04,0x0C,DISCHARGING
42036,3.333,109.6,27.383,3.321,30.074,0x04,0x0C,DISCHARGING
44038,3.328,115.2,27.383,3.321,30.074,0x04,0x0C,DISCHARGING
46040,3.347,113.2,27.383,3.315,29.281,0x04,0x0C,DISCHARGING
48042,3.323,111.2,27.383,3.321,30.074,0x04,0x0C,DISCHARGING
50044,3.347,85.6,27.383,3.321,29.281,0x04,0x0C,DISCHARGING
