time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.346,-15.975,12.645,4.711,15.807,0x0C,0x0C,CHARGING
2002,2.365,-15.975,12.645,4.692,16.599,0x0C,0x0C,CHARGING
4004,2.38,-15.975,12.645,4.717,16.599,0x0C,0x0C,CHARGING
6006,2.39,-15.975,12.645,4.704,17.392,0x0C,0x0C,CHARGING
8008,2.394,-15.975,12.846,4.736,17.392,0x0C,0x0C,CHARGING
10010,2.404,-15.975,12.645,4.711,17.392,0x0C,0x0C,CHARGING
12012,2.414,-15.975,12.746,4.704,15.014,0x0C,0x0C,CHARGING
14014,2.419,-15.975,13.246,4.704,15.014,0x0C,0x0C,CHARGING
16016,2.424,-16.2,13.046,4.736,17.392,0x0C,0x0C,CHARGING
18018,2.434,-15.975,13.246,4.711,15.014,0x0C,0x0C,CHARGING
20020,2.434,-15.975,12.846,4.736,17.392,0x0C,0x0C,CHARGING
22022,2.438,-16.2,12.846,4.698,18.185,0x0C,0x0C,CHARGING
24024,2.448,-15.975,13.046,4.704,18.185,0x0C,0x0C,CHARGING
26026,2.448,-15.975,13.046,4.723,17.392,0x0C,0x0C,CHARGING
28028,2.448,-16.2,13.046,4.711,15.014,0x0C,0x0C,CHARGING
30030,2.453,-15.975,13.046,4.711,15.014,0x0C,0x0C,CHARGING
32032,2.458,-15.975,13.046,4.698,18.185,0x0C,0x0C,CHARGING
34034,2.463,-15.975,12.846,4.704,18.185,0x0C,0x0C,CHARGING
36036,2.468,-15.975,13.046,4.717,18.185,0x0C,0x0C,CHARGING
38038,2.468,-16.2,13.046,4.704,18.185,0x0C,0x0C,CHARGING
40039,2.468,-15.975,12.746,4.711,18.185,0x0C,0x0C,CHARGING
42041,2.473,-15.975,12.846,4.711,18.185,0x0C,0x0C,CHARGING
44043,2.478,-15.975,12.846,4.711,18.185,0x0C,0x0C,CHARGING
46044,2.478,-16.2,13.046,4.698,18.977,0x0C,0x0C,CHARGING
48046,2.482,-16.2,12.846,4.692,18.185,0x0C,0x0C,CHARGING
50048,2.487,-16.2,12.846,4.717,18.977,0x0C,0x0C,CHARGING
52050,2.487,-16.2,12.946,4.704,18.977,0x0C,0x0C,CHARGING
54052,2.492,-16.2,12.846,4.736,18.185,0x0C,0x0C,CHARGING
56054,2.492,-16.2,12.846,4.704,18.185,0x0C,0x0C,CHARGING
58056,2.492,-16.2,12.746,4.704,18.185,0x0C,0x0C,CHARGING
60058,2.497,-15.975,12.746,4.736,18.185,0x0C,0x0C,CHARGING
62060,2.497,-16.2,13.046,4.704,18.185,0x0C,0x0C,CHARGING
64062,2.497,-16.2,12.645,4.692,18.185,0x0C,0x0C,CHARGING
66064,2.507,-16.2,12.846,4.736,18.185,0x0C,0x0C,CHARGING
68066,2.507,-16.2,12.746,4.711,18.977,0x0C,0x0C,CHARGING
70068,2.512,-16.2,12.645,4.692,18.185,0x0C,0x0C,CHARGING
72070,2.512,-16.2,12.846,4.698,18.185,0x0C,0x0C,CHARGING
74072,2.512,-16.2,12.645,4.698,17.392,0x0C,0x0C,CHARGING
76074,2.517,-16.2,12.846,4.711,15.014,0x0C,0x0C,CHARGING
78076,2.521,-16.2,12.746,4.736,17.392,0x0C,0x0C,CHARGING
