time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000018723,2.370,-15.975,24.487,4.792,28.488,0x0C,0x0E,CHARGING
000020725,2.375,-15.975,24.487,4.785,29.281,0x0C,0x0E,CHARGING
000022727,2.380,-16.200,24.384,4.798,29.281,0x0C,0x0E,CHARGING
000024729,2.385,-16.200,24.487,4.785,30.866,0x0C,0x0E,CHARGING
000026731,2.390,-16.200,24.487,4.785,30.074,0x0C,0x0E,CHARGING
000028732,2.394,-16.200,24.487,4.785,29.281,0x0C,0x0E,CHARGING
000030734,2.399,-15.975,24.589,4.785,30.866,0x0C,0x0E,CHARGING
000032735,2.404,-15.975,24.487,4.785,29.281,0x0C,0x0E,CHARGING
000034737,2.409,-16.200,24.589,4.779,29.281,0x0C,0x0E,CHARGING
000036739,2.409,-15.975,24.589,4.792,30.074,0x0C,0x0E,CHARGING
000038741,2.414,-15.975,24.692,4.785,30.074,0x0C,0x0E,CHARGING
000040743,2.414,-15.975,25.102,4.785,30.074,0x0C,0x0E,CHARGING
000042745,2.419,-16.200,25.102,4.785,30.074,0x0C,0x0E,CHARGING
000044747,2.419,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000046749,2.424,-15.975,25.102,4.779,33.244,0x0C,0x0E,CHARGING
000048751,2.429,-15.975,25.102,4.779,30.074,0x0C,0x0E,CHARGING
000050753,2.429,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000052754,2.434,-15.975,25.102,4.785,30.074,0x0C,0x0E,CHARGING
000054755,2.438,-16.200,25.102,4.779,30.074,0x0C,0x0E,CHARGING
000056757,2.434,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000058759,2.443,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000060761,2.443,-15.975,25.102,4.798,30.074,0x0C,0x0E,CHARGING
000062763,2.438,-16.200,25.102,4.785,27.696,0x0C,0x0E,CHARGING
000064765,2.448,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000066767,2.453,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000068769,2.453,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000070771,2.458,-15.975,25.102,4.798,32.451,0x0C,0x0E,CHARGING
000072773,2.463,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000074775,2.463,-16.200,25.102,4.779,30.866,0x0C,0x0E,CHARGING
000076777,2.463,-16.200,25.102,4.785,31.659,0x0C,0x0E,CHARGING
000078778,2.468,-16.200,25.102,4.779,30.866,0x0C,0x0E,CHARGING
000080780,2.468,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000082782,2.473,-16.200,25.102,4.785,30.866,0x0C,0x0E,CHARGING
000084784,2.473,-16.200,25.102,4.779,30.866,0x0C,0x0E,CHARGING
000086786,2.473,-16.200,25.205,4.792,27.696,0x0C,0x0E,CHARGING
000088787,2.482,-16.200,25.308,4.792,31.659,0x0C,0x0E,CHARGING
000090789,2.482,-16.200,25.308,4.792,30.866,0x0C,0x0E,CHARGING
000092791,2.487,-16.200,25.308,4.792,31.659,0x0C,0x0E,CHARGING
000094793,2.487,-16.200,25.308,4.792,30.866,0x0C,0x0E,CHARGING
000096795,2.492,-16.200,25.308,4.785,31.659,0x0C,0x0E,CHARGING
