time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.421,160.8,26.757,3.377,30.866,0x04,0x0E,DISCHARGING
2002,3.387,145.6,26.861,3.358,30.074,0x04,0x0E,DISCHARGING
4004,3.362,161.6,26.861,3.352,30.074,0x04,0x0E,DISCHARGING
6006,3.372,157.2,26.965,3.34,30.074,0x04,0x0E,DISCHARGING
8007,3.367,159.6,26.965,3.34,30.074,0x04,0x0E,DISCHARGING
10009,3.347,153.2,26.965,3.333,30.074,0x04,0x0E,DISCHARGING
12011,3.347,153.2,26.965,3.333,30.074,0x04,0x0E,DISCHARGING
14012,3.347,156.4,26.965,3.321,30.074,0x04,0x0E,DISCHARGING
16013,3.347,158.0,26.965,3.315,29.281,0x04,0x0E,DISCHARGING
18015,3.343,158.0,26.965,3.315,30.074,0x04,0x0E,DISCHARGING
20017,3.352,145.2,26.965,3.309,29.281,0x04,0x0E,DISCHARGING
22019,3.343,159.2,26.965,3.309,30.074,0x04,0x0E,DISCHARGING
24020,3.323,166.4,27.07,3.302,30.074,0x04,0x0E,DISCHARGING
26022,3.328,158.0,26.965,3.302,29.281,0x04,0x0E,DISCHARGING
28023,3.347,161.6,26.965,3.296,29.281,0x04,0x0E,DISCHARGING
30025,3.323,161.6,26.965,3.296,30.074,0x04,0x0E,DISCHARGING
32027,3.308,158.0,27.07,3.29,29.281,0x04,0x0E,DISCHARGING
34029,3.308,168.0,27.07,3.29,29.281,0x04,0x0E,DISCHARGING
36031,3.308,163.2,27.07,3.29,29.281,0x04,0x0E,DISCHARGING
38032,3.313,166.4,27.07,3.284,30.074,0x04,0x0E,DISCHARGING
40034,3.308,166.4,26.965,3.284,30.074,0x04,0x0E,DISCHARGING
42036,3.313,160.8,27.07,3.284,29.281,0x04,0x0E,DISCHARGING
44038,3.308,162.4,27.07,3.271,30.074,0x04,0x0E,DISCHARGING
46040,3.294,163.6,27.07,3.277,29.281,0x04,0x0E,DISCHARGING
48041,3.304,148.4,27.07,3.277,29.281,0x04,0x0E,DISCHARGING
50043,3.308,159.6,27.07,3.277,29.281,0x04,0x0E,DISCHARGING
52044,3.308,160.8,27.07,3.271,29.281,0x04,0x0E,DISCHARGING
54046,3.289,163.6,27.07,3.277,29.281,0x04,0x0E,DISCHARGING
56048,3.308,163.6,27.07,3.265,30.074,0x04,0x0E,DISCHARGING
58050,3.308,164.0,27.07,3.277,30.074,0x04,0x0E,DISCHARGING
60052,3.304,160.8,27.07,3.271,30.074,0x04,0x0E,DISCHARGING
62054,3.308,164.0,27.07,3.265,29.281,0x04,0x0E,DISCHARGING
64056,3.284,164.0,27.07,3.265,29.281,0x04,0x0E,DISCHARGING
66058,3.308,162.4,27.07,3.265,29.281,0x04,0x0E,DISCHARGING
68060,3.308,166.8,27.174,3.277,29.281,0x04,0x0E,DISCHARGING
70062,3.304,163.2,27.07,3.259,29.281,0x04,0x0E,DISCHARGING
72064,3.308,164.0,27.07,3.259,29.281,0x04,0x0E,DISCHARGING
74066,3.284,163.6,27.07,3.265,29.281,0x04,0x0E,DISCHARGING
76068,3.308,163.6,27.07,3.259,29.281,0x04,0x0E,DISCHARGING
78070,3.308,163.6,27.174,3.265,29.281,0x04,0x0E,DISCHARGING
80072,3.308,166.4,27.174,3.259,30.074,0x04,0x0E,DISCHARGING
82074,3.274,166.4,27.174,3.265,29.281,0x04,0x0E,DISCHARGING
84076,3.308,162.4,27.174,3.259,29.281,0x04,0x0E,DISCHARGING
86078,3.284,162.0,27.174,3.259,30.074,0x04,0x0E,DISCHARGING
88080,3.274,168.0,27.174,3.265,29.281,0x04,0x0E,DISCHARGING
90082,3.279,166.8,27.174,3.259,29.281,0x04,0x0E,DISCHARGING
92084,3.274,166.8,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
94086,3.264,160.8,27.174,3.259,30.074,0x04,0x0E,DISCHARGING
96087,3.279,162.8,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
98089,3.269,168.0,27.174,3.252,29.281,0x04,0x0E,DISCHARGING
100091,3.264,166.8,27.174,3.259,29.281,0x04,0x0E,DISCHARGING
102093,3.269,164.4,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
104095,3.269,166.4,27.174,3.252,29.281,0x04,0x0E,DISCHARGING
106097,3.269,163.6,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
108099,3.269,161.6,27.174,3.246,29.281,0x04,0x0E,DISCHARGING
110100,3.269,168.0,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
112102,3.274,166.4,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
114103,3.274,166.4,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
116104,3.269,158.8,27.174,3.252,29.281,0x04,0x0E,DISCHARGING
118105,3.269,163.6,27.174,3.246,29.281,0x04,0x0E,DISCHARGING
120107,3.269,162.8,27.174,3.24,29.281,0x04,0x0E,DISCHARGING
122108,3.255,163.6,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
124109,3.264,150.4,27.174,3.252,30.074,0x04,0x0E,DISCHARGING
126110,3.269,163.6,27.174,3.246,30.074,0x04,0x0E,DISCHARGING
128112,3.274,168.0,27.174,3.246,30.074,0x04,0x0E,DISCHARGING
130113,3.269,166.8,27.174,3.24,29.281,0x04,0x0E,DISCHARGING
132114,3.269,150.8,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
134115,3.269,164.4,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
136116,3.269,162.4,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
138118,3.269,168.0,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
140120,3.264,159.6,27.174,3.24,29.281,0x04,0x0E,DISCHARGING
142121,3.264,164.0,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
144123,3.269,166.4,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
146124,3.269,168.0,27.174,3.24,30.074,0x04,0x0E,DISCHARGING
148125,3.269,164.4,27.174,3.234,30.074,0x04,0x0E,DISCHARGING
150127,3.269,163.6,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
152129,3.269,168.0,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
154131,3.269,168.0,27.278,3.24,30.074,0x04,0x0E,DISCHARGING
156133,3.264,164.0,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
158135,3.269,163.2,27.278,3.234,29.281,0x04,0x0E,DISCHARGING
160137,3.269,164.4,27.278,3.234,29.281,0x04,0x0E,DISCHARGING
162139,3.269,164.0,27.174,3.234,29.281,0x04,0x0E,DISCHARGING
164140,3.245,166.8,27.174,3.234,30.074,0x04,0x0E,DISCHARGING
166142,3.269,160.8,27.278,3.234,29.281,0x04,0x0E,DISCHARGING
168144,3.264,149.2,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
170146,3.274,166.4,27.174,3.234,30.074,0x04,0x0E,DISCHARGING
172148,3.269,164.0,27.278,3.234,29.281,0x04,0x0E,DISCHARGING
174150,3.269,168.0,27.174,3.234,30.074,0x04,0x0E,DISCHARGING
176151,3.269,168.0,27.278,3.234,29.281,0x04,0x0E,DISCHARGING
178153,3.269,153.6,27.278,3.234,30.074,0x04,0x0E,DISCHARGING
180154,3.269,163.6,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
182156,3.245,164.4,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
184158,3.264,162.4,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
186159,3.264,164.8,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
188160,3.274,164.0,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
190162,3.269,164.0,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
192164,3.264,164.4,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
194166,3.269,165.2,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
196168,3.274,153.2,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
198169,3.245,164.0,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
200171,3.245,170.0,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
202172,3.269,166.4,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
204172,3.269,151.6,27.174,3.228,30.074,0x04,0x0E,DISCHARGING
206174,3.245,168.0,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
208176,3.269,160.8,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
210178,3.245,164.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
212180,3.269,162.4,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
214182,3.255,154.0,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
216184,3.269,168.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
218185,3.245,164.4,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
220187,3.245,168.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
222189,3.245,166.8,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
224190,3.269,169.6,27.278,3.234,30.074,0x04,0x0E,DISCHARGING
226192,3.264,162.4,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
228193,3.26,164.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
230194,3.264,163.6,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
232195,3.269,164.4,27.278,3.228,29.281,0x04,0x0E,DISCHARGING
234197,3.269,164.4,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
236198,3.264,162.4,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
238200,3.269,164.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
240202,3.245,163.6,27.278,3.215,30.074,0x04,0x0E,DISCHARGING
242203,3.269,166.4,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
244205,3.269,166.4,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
246207,3.269,163.6,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
248209,3.245,170.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
250210,3.245,150.4,27.278,3.228,30.074,0x04,0x0E,DISCHARGING
252212,3.269,168.0,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
254214,3.245,167.6,27.278,3.215,29.281,0x04,0x0E,DISCHARGING
256215,3.269,164.0,27.278,3.221,29.281,0x04,0x0E,DISCHARGING
258217,3.245,166.8,27.278,3.215,29.281,0x04,0x0E,DISCHARGING
260219,3.245,164.4,27.278,3.215,30.074,0x04,0x0E,DISCHARGING
262220,3.269,163.6,27.278,3.215,29.281,0x04,0x0E,DISCHARGING
264222,3.269,163.6,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
266224,3.25,163.6,27.278,3.215,30.074,0x04,0x0E,DISCHARGING
268225,3.269,155.2,27.278,3.215,29.281,0x04,0x0E,DISCHARGING
270227,3.245,168.0,27.278,3.215,30.074,0x04,0x0E,DISCHARGING
272229,3.25,168.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
274231,3.269,166.8,27.278,3.215,30.074,0x04,0x0E,DISCHARGING
276233,3.245,168.0,27.278,3.221,30.074,0x04,0x0E,DISCHARGING
278591,3.225,217.6,27.278,3.184,30.074,0x04,0x0E,DISCHARGING
280592,3.23,213.6,27.383,3.184,29.281,0x04,0x0E,DISCHARGING
282594,3.23,221.2,27.383,3.19,30.074,0x04,0x0E,DISCHARGING
284596,3.23,204.8,27.383,3.19,30.074,0x04,0x0E,DISCHARGING
286598,3.23,215.6,27.383,3.184,30.074,0x04,0x0E,DISCHARGING
288600,3.23,215.6,27.383,3.184,30.074,0x04,0x0E,DISCHARGING
290602,3.206,219.2,27.383,3.184,30.074,0x04,0x0E,DISCHARGING
292604,3.23,218.0,27.488,3.178,30.074,0x04,0x0E,DISCHARGING
294606,3.235,204.8,27.383,3.19,30.074,0x04,0x0E,DISCHARGING
296607,3.23,213.6,27.383,3.184,30.074,0x04,0x0E,DISCHARGING
298609,3.216,214.0,27.488,3.184,30.074,0x04,0x0E,DISCHARGING
300611,3.216,219.2,27.488,3.184,30.074,0x04,0x0E,DISCHARGING
302613,3.225,217.6,27.488,3.184,30.074,0x04,0x0E,DISCHARGING
304614,3.216,213.6,27.488,3.184,30.074,0x04,0x0E,DISCHARGING
306616,3.23,217.6,27.592,3.184,30.074,0x04,0x0E,DISCHARGING
308618,3.225,215.6,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
310620,3.216,215.6,27.592,3.178,30.866,0x04,0x0E,DISCHARGING
312622,3.225,217.6,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
314624,3.23,224.0,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
316626,3.225,219.2,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
318628,3.206,221.2,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
320630,3.225,219.2,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
322632,3.23,215.2,27.592,3.178,30.866,0x04,0x0E,DISCHARGING
324634,3.225,216.4,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
326636,3.23,217.2,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
328638,3.206,219.2,27.592,3.171,30.074,0x04,0x0E,DISCHARGING
330640,3.23,219.2,27.592,3.178,30.866,0x04,0x0E,DISCHARGING
332642,3.225,219.6,27.592,3.178,30.074,0x04,0x0E,DISCHARGING
334642,3.216,219.2,27.592,3.178,30.866,0x04,0x0E,DISCHARGING
