time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000001181,2.761,-16.650,28.857,4.810,28.488,0x0C,0x0E,CHARGING
000003183,2.287,-16.200,28.751,4.810,29.281,0x0C,0x0E,CHARGING
000005185,2.297,-16.200,28.645,4.810,29.281,0x0C,0x0E,CHARGING
000007187,2.311,-16.200,28.539,4.810,29.281,0x0C,0x0E,CHARGING
000009189,2.316,-16.200,28.434,4.810,29.281,0x0C,0x0E,CHARGING
000011191,2.326,-16.200,28.328,4.810,29.281,0x0C,0x0E,CHARGING
000013193,2.336,-16.200,28.223,4.810,29.281,0x0C,0x0E,CHARGING
000015195,2.346,-16.200,28.012,4.804,28.488,0x0C,0x0E,CHARGING
000017197,2.346,-16.200,28.328,4.829,29.281,0x0C,0x0E,CHARGING
000019199,2.355,-16.200,27.802,4.810,29.281,0x0C,0x0E,CHARGING
000021201,2.360,-15.975,27.802,4.810,29.281,0x0C,0x0E,CHARGING
000023203,2.370,-16.200,27.592,4.810,28.488,0x0C,0x0E,CHARGING
000025205,2.375,-16.200,27.488,4.810,28.488,0x0C,0x0E,CHARGING
000027207,2.380,-16.200,27.383,4.817,28.488,0x0C,0x0E,CHARGING
000029209,2.385,-16.200,27.174,4.810,28.488,0x0C,0x0E,CHARGING
000031211,2.390,-16.200,27.174,4.804,27.696,0x0C,0x0E,CHARGING
000033213,2.394,-16.200,27.070,4.810,26.903,0x0C,0x0E,CHARGING
000035215,2.404,-16.200,26.861,4.810,27.696,0x0C,0x0E,CHARGING
000037217,2.404,-16.200,26.757,4.817,27.696,0x0C,0x0E,CHARGING
000039219,2.409,-16.200,26.653,4.810,27.696,0x0C,0x0E,CHARGING
000041221,2.414,-16.200,26.549,4.810,26.903,0x0C,0x0E,CHARGING
000043223,2.414,-16.200,26.445,4.810,26.903,0x0C,0x0E,CHARGING
000045224,2.419,-16.200,26.238,4.810,26.903,0x0C,0x0E,CHARGING
000047226,2.419,-16.200,26.134,4.810,26.903,0x0C,0x0E,CHARGING
000049228,2.429,-16.200,26.134,4.810,26.903,0x0C,0x0E,CHARGING
000051230,2.434,-16.200,25.927,4.810,26.111,0x0C,0x0E,CHARGING
000053232,2.434,-16.200,25.824,4.804,26.111,0x0C,0x0E,CHARGING
000055234,2.438,-16.200,25.720,4.810,26.111,0x0C,0x0E,CHARGING
000057236,2.443,-16.200,25.617,4.810,25.318,0x0C,0x0E,CHARGING
000059238,2.443,-16.200,25.411,4.810,26.111,0x0C,0x0E,CHARGING
000061240,2.448,-16.200,25.308,4.798,26.111,0x0C,0x0E,CHARGING
