time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.917,-16.65,20.435,4.779,27.696,0x0C,0x0E,CHARGING
2002,3.015,-185.85,20.536,4.598,35.622,0x0F,0x0E,CHARGING
4004,3.025,-185.625,20.737,4.605,37.207,0x0F,0x0E,CHARGING
6006,3.025,-185.625,20.837,4.617,38.0,0x0F,0x0E,CHARGING
8008,3.03,-185.625,20.636,4.605,38.792,0x0F,0x0E,CHARGING
10010,3.04,-186.525,21.139,4.605,38.792,0x0F,0x0E,CHARGING
12012,3.04,-185.625,21.24,4.611,37.207,0x0F,0x0E,CHARGING
14014,3.049,-185.625,21.542,4.605,37.207,0x0F,0x0E,CHARGING
16016,3.049,-185.85,21.542,4.617,40.377,0x0F,0x0E,CHARGING
18017,3.054,-186.075,21.744,4.605,41.17,0x0F,0x0E,CHARGING
20019,3.059,-185.625,21.845,4.605,41.17,0x0F,0x0E,CHARGING
22021,3.059,-185.85,22.047,4.611,42.755,0x0F,0x0E,CHARGING
24023,3.064,-185.625,22.148,4.611,42.755,0x0F,0x0E,CHARGING
26025,3.064,-186.075,22.35,4.617,42.755,0x0F,0x0E,CHARGING
28028,3.069,-186.3,22.451,4.611,42.755,0x0F,0x0E,CHARGING
30032,3.074,-186.075,22.552,4.611,43.548,0x0F,0x0E,CHARGING
32035,3.079,-186.075,22.755,4.605,43.548,0x0F,0x0E,CHARGING
34039,3.079,-186.075,22.856,4.611,43.548,0x0F,0x0E,CHARGING
36042,3.084,-186.075,22.958,4.611,43.548,0x0F,0x0E,CHARGING
38046,3.084,-186.3,23.161,4.605,44.34,0x0F,0x0E,CHARGING
40049,3.088,-186.3,23.263,4.605,44.34,0x0F,0x0E,CHARGING
42052,3.088,-186.075,23.364,4.611,44.34,0x0F,0x0E,CHARGING
44056,3.093,-186.3,23.568,4.611,44.34,0x0F,0x0E,CHARGING
46059,3.098,-186.3,23.67,4.611,44.34,0x0F,0x0E,CHARGING
48062,3.098,-186.075,23.874,4.605,45.133,0x0F,0x0E,CHARGING
50064,3.098,-186.75,23.976,4.611,45.133,0x0F,0x0E,CHARGING
52067,3.103,-186.3,24.078,4.605,45.133,0x0F,0x0E,CHARGING
54071,3.098,-186.525,24.18,4.611,45.133,0x0F,0x0E,CHARGING
56075,3.108,-186.3,24.282,4.605,48.303,0x0F,0x0E,CHARGING
58079,3.113,-186.525,24.487,4.611,45.926,0x0F,0x0E,CHARGING
