time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002953,2.917,-16.650,14.844,4.785,20.562,0x0C,0x0E,CHARGING
000004962,3.010,-185.400,14.943,4.605,27.696,0x0F,0x0E,CHARGING
000006964,3.020,-185.400,14.943,4.605,28.488,0x0F,0x0E,CHARGING
000008966,3.030,-185.400,14.943,4.605,29.281,0x0F,0x0E,CHARGING
000010967,3.040,-185.400,14.943,4.611,30.074,0x0F,0x0E,CHARGING
000012968,3.040,-185.400,14.943,4.605,30.866,0x0F,0x0E,CHARGING
000014969,3.049,-185.625,14.943,4.605,30.074,0x0F,0x0E,CHARGING
000016970,3.049,-185.850,14.943,4.598,30.074,0x0F,0x0E,CHARGING
000018971,3.054,-185.400,14.943,4.611,30.074,0x0F,0x0E,CHARGING
000020972,3.059,-185.625,15.043,4.605,31.659,0x0F,0x0E,CHARGING
000022973,3.064,-185.625,15.342,4.605,30.866,0x0F,0x0E,CHARGING
000024974,3.064,-186.075,15.043,4.605,30.866,0x0F,0x0E,CHARGING
000026976,3.069,-185.850,15.043,4.617,30.866,0x0F,0x0E,CHARGING
000028978,3.074,-185.625,15.043,4.605,30.866,0x0F,0x0E,CHARGING
000030980,3.074,-186.300,15.043,4.605,31.659,0x0F,0x0E,CHARGING
000032982,3.079,-186.075,15.043,4.605,32.451,0x0F,0x0E,CHARGING
000034984,3.079,-185.850,15.043,4.605,31.659,0x0F,0x0E,CHARGING
000036985,3.084,-186.075,15.043,4.611,32.451,0x0F,0x0E,CHARGING
000038986,3.093,-186.075,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000040987,3.088,-186.300,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000042989,3.098,-186.075,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000044991,3.098,-186.075,15.043,4.611,30.866,0x0F,0x0E,CHARGING
000046993,3.103,-186.300,15.043,4.611,31.659,0x0F,0x0E,CHARGING
000048995,3.103,-186.075,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000050997,3.108,-186.300,15.043,4.611,31.659,0x0F,0x0E,CHARGING
000052999,3.108,-186.300,15.143,4.611,30.866,0x0F,0x0E,CHARGING
000055001,3.108,-186.300,15.143,4.617,31.659,0x0F,0x0E,CHARGING
000057002,3.113,-186.075,15.043,4.605,31.659,0x0F,0x0E,CHARGING
000059004,3.118,-186.300,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000061006,3.118,-186.300,15.043,4.611,31.659,0x0F,0x0E,CHARGING
000063007,3.118,-186.300,15.043,4.605,31.659,0x0F,0x0E,CHARGING
000065009,3.128,-186.300,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000067011,3.128,-186.525,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000069013,3.128,-186.525,15.143,4.611,32.451,0x0F,0x0E,CHARGING
000071015,3.128,-186.300,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000073017,3.128,-186.300,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000075018,3.137,-186.750,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000077019,3.137,-186.300,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000079020,3.137,-186.525,15.143,4.605,28.488,0x0F,0x0E,CHARGING
000081022,3.137,-186.075,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000083023,3.142,-186.300,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000085024,3.147,-186.525,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000087026,3.147,-186.300,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000089028,3.147,-186.525,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000091030,3.157,-186.750,15.143,4.617,30.866,0x0F,0x0E,CHARGING
000093032,3.157,-186.750,15.043,4.605,30.866,0x0F,0x0E,CHARGING
000095034,3.157,-186.525,15.243,4.605,31.659,0x0F,0x0E,CHARGING
000097035,3.157,-186.750,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000099036,3.162,-186.525,15.143,4.605,30.866,0x0F,0x0E,CHARGING
000101037,3.157,-186.525,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000103038,3.167,-186.750,15.243,4.611,31.659,0x0F,0x0E,CHARGING
000105040,3.167,-110.240,15.143,4.605,30.866,0x0F,0x0E,CHARGING
000107040,3.167,-109.842,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000109041,3.167,-109.975,15.143,4.611,30.866,0x0F,0x0E,CHARGING
000111042,3.172,-109.842,15.243,4.605,31.659,0x0F,0x0E,CHARGING
000113044,3.172,-109.842,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000115046,3.172,-109.975,15.143,4.611,31.659,0x0F,0x0E,CHARGING
000117048,3.176,-110.107,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000119050,3.176,-109.975,15.143,4.605,30.866,0x0F,0x0E,CHARGING
000121052,3.181,-109.842,15.143,4.605,31.659,0x0F,0x0E,CHARGING
000123053,3.181,-110.107,15.143,4.605,30.866,0x0F,0x0E,CHARGING
000125054,3.186,-110.107,15.243,4.611,30.866,0x0F,0x0E,CHARGING
000127055,3.186,-109.975,15.243,4.611,31.659,0x0F,0x0E,CHARGING
000129056,3.186,-110.107,15.243,4.611,30.866,0x0F,0x0E,CHARGING
000131057,3.191,-109.975,15.243,4.611,30.866,0x0F,0x0E,CHARGING
000133059,3.191,-109.975,15.243,4.617,30.866,0x0F,0x0E,CHARGING
000135061,3.191,-110.107,15.243,4.605,30.074,0x0F,0x0E,CHARGING
000137063,3.191,-109.975,15.243,4.605,30.866,0x0F,0x0E,CHARGING
000139065,3.196,-110.107,15.243,4.598,31.659,0x0F,0x0E,CHARGING
000141067,3.201,-109.975,15.243,4.605,31.659,0x0F,0x0E,CHARGING
000143069,3.201,-110.107,15.243,4.617,31.659,0x0F,0x0E,CHARGING
000145070,3.201,-110.240,15.342,4.605,30.866,0x0F,0x0E,CHARGING
000147071,3.201,-110.240,15.243,4.605,31.659,0x0F,0x0E,CHARGING
