time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.65,16.937,4.798,20.562,0x0C,0x0E,CHARGING
2009,3.0,-184.725,16.837,4.617,26.903,0x0F,0x0E,CHARGING
4011,3.01,-184.95,16.937,4.623,28.488,0x0F,0x0E,CHARGING
6013,3.02,-185.175,16.738,4.623,28.488,0x0F,0x0E,CHARGING
8014,3.025,-184.275,16.738,4.623,29.281,0x0F,0x0E,CHARGING
10015,3.03,-185.175,16.738,4.636,29.281,0x0F,0x0E,CHARGING
12016,3.035,-185.175,16.638,4.617,30.074,0x0F,0x0E,CHARGING
14016,3.044,-185.4,16.538,4.63,30.074,0x0F,0x0E,CHARGING
16016,3.049,-184.725,16.638,4.63,30.074,0x0F,0x0E,CHARGING
18017,3.054,-185.4,16.538,4.623,30.074,0x0F,0x0E,CHARGING
20018,3.054,-185.625,16.538,4.617,30.074,0x0F,0x0E,CHARGING
22018,3.059,-185.625,16.538,4.63,30.866,0x0F,0x0E,CHARGING
24019,3.059,-185.4,16.439,4.642,30.866,0x0F,0x0E,CHARGING
26020,3.064,-185.625,16.439,4.623,30.074,0x0F,0x0E,CHARGING
28021,3.069,-185.625,16.339,4.623,27.696,0x0F,0x0E,CHARGING
30022,3.069,-185.625,16.239,4.623,30.866,0x0F,0x0E,CHARGING
32024,3.074,-185.625,16.239,4.623,30.866,0x0F,0x0E,CHARGING
34026,3.079,-185.85,16.14,4.623,30.866,0x0F,0x0E,CHARGING
36028,3.079,-185.625,16.14,4.63,30.074,0x0F,0x0E,CHARGING
38030,3.088,-185.85,16.14,4.623,30.866,0x0F,0x0E,CHARGING
40032,3.088,-185.625,16.04,4.63,30.866,0x0F,0x0E,CHARGING
42033,3.088,-185.625,16.04,4.623,30.866,0x0F,0x0E,CHARGING
44034,3.088,-185.85,16.04,4.623,30.866,0x0F,0x0E,CHARGING
46036,3.098,-185.85,16.04,4.623,30.866,0x0F,0x0E,CHARGING
48037,3.103,-185.85,15.94,4.623,30.866,0x0F,0x0E,CHARGING
50038,3.103,-185.4,16.04,4.63,30.866,0x0F,0x0E,CHARGING
