time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.504,64.4,30.136,3.495,31.659,0x04,0x0E,DISCHARGING
2002,3.499,46.4,30.136,3.483,31.659,0x04,0x0E,DISCHARGING
4004,3.499,61.6,30.136,3.477,31.659,0x04,0x0E,DISCHARGING
6006,3.479,57.2,30.136,3.464,31.659,0x04,0x0E,DISCHARGING
8009,3.47,58.8,30.136,3.452,31.659,0x04,0x0E,DISCHARGING
10010,3.47,62.0,30.136,3.452,30.866,0x04,0x0E,DISCHARGING
12010,3.46,61.6,30.136,3.452,31.659,0x04,0x0E,DISCHARGING
14014,3.47,64.0,30.136,3.446,30.866,0x04,0x0E,DISCHARGING
16014,3.47,61.2,30.136,3.439,30.866,0x04,0x0E,DISCHARGING
18017,3.45,58.8,30.136,3.433,30.866,0x04,0x0E,DISCHARGING
20021,3.45,61.2,30.136,3.433,30.866,0x04,0x0E,DISCHARGING
22022,3.45,54.8,30.136,3.427,30.866,0x04,0x0E,DISCHARGING
24025,3.45,64.4,30.136,3.427,30.866,0x04,0x0E,DISCHARGING
26026,3.45,56.4,30.136,3.427,30.866,0x04,0x0E,DISCHARGING
28027,3.45,62.8,30.136,3.421,30.866,0x04,0x0E,DISCHARGING
30028,3.45,61.2,30.136,3.421,30.866,0x04,0x0E,DISCHARGING
32029,3.431,58.4,30.136,3.414,30.866,0x04,0x0E,DISCHARGING
34032,3.45,56.4,30.136,3.408,30.866,0x04,0x0E,DISCHARGING
36033,3.44,61.2,30.136,3.408,30.866,0x04,0x0E,DISCHARGING
38036,3.431,62.0,30.136,3.408,30.866,0x04,0x0E,DISCHARGING
40038,3.431,56.4,30.136,3.408,31.659,0x04,0x0E,DISCHARGING
42039,3.44,62.0,30.136,3.402,30.866,0x04,0x0E,DISCHARGING
44044,3.431,62.8,30.136,3.402,31.659,0x04,0x0E,DISCHARGING
46046,3.421,60.0,30.136,3.402,30.866,0x04,0x0E,DISCHARGING
48048,3.411,58.4,30.136,3.396,30.866,0x04,0x0E,DISCHARGING
50049,3.411,60.0,30.136,3.396,30.866,0x04,0x0E,DISCHARGING
52050,3.411,62.0,30.136,3.402,30.866,0x04,0x0E,DISCHARGING
54051,3.411,64.4,30.136,3.396,30.866,0x04,0x0E,DISCHARGING
56052,3.411,62.0,30.136,3.39,30.866,0x04,0x0E,DISCHARGING
58053,3.401,62.8,30.136,3.39,30.866,0x04,0x0E,DISCHARGING
60054,3.411,60.0,30.136,3.396,30.866,0x04,0x0E,DISCHARGING
62056,3.401,65.6,30.136,3.383,30.866,0x04,0x0E,DISCHARGING
64057,3.401,58.8,30.136,3.383,30.866,0x04,0x0E,DISCHARGING
66063,3.401,65.6,30.136,3.383,30.866,0x04,0x0E,DISCHARGING
68065,3.391,64.4,30.136,3.383,30.866,0x04,0x0E,DISCHARGING
70066,3.401,54.8,30.136,3.377,30.866,0x04,0x0E,DISCHARGING
72068,3.391,63.6,30.136,3.377,30.866,0x04,0x0E,DISCHARGING
74069,3.382,66.4,30.136,3.371,30.866,0x04,0x0E,DISCHARGING
76071,3.391,61.6,30.136,3.371,30.866,0x04,0x0E,DISCHARGING
78075,3.391,64.4,30.136,3.371,30.866,0x04,0x0E,DISCHARGING
80077,3.391,61.2,30.136,3.371,30.866,0x04,0x0E,DISCHARGING
82079,3.391,64.8,30.136,3.371,30.866,0x04,0x0E,DISCHARGING
