time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.387,152.4,15.542,3.358,17.392,0x04,0x0E,DISCHARGING
2000,3.362,160.0,15.542,3.333,16.599,0x04,0x0E,DISCHARGING
4001,3.347,160.0,15.542,3.315,16.599,0x04,0x0E,DISCHARGING
6002,3.347,140.8,15.542,3.309,16.599,0x04,0x0E,DISCHARGING
8003,3.343,156.0,15.542,3.296,17.392,0x04,0x0E,DISCHARGING
10004,3.328,155.2,15.542,3.29,17.392,0x04,0x0E,DISCHARGING
12005,3.313,161.6,15.542,3.284,16.599,0x04,0x0E,DISCHARGING
14007,3.328,145.6,15.542,3.284,16.599,0x04,0x0E,DISCHARGING
16009,3.299,160.8,15.542,3.277,16.599,0x04,0x0E,DISCHARGING
18011,3.308,158.4,15.542,3.271,17.392,0x04,0x0E,DISCHARGING
20013,3.308,153.2,15.542,3.265,16.599,0x04,0x0E,DISCHARGING
22015,3.289,152.4,15.542,3.259,16.599,0x04,0x0E,DISCHARGING
24016,3.308,150.4,15.542,3.259,16.599,0x04,0x0E,DISCHARGING
26017,3.308,160.4,15.542,3.259,16.599,0x04,0x0E,DISCHARGING
28018,3.304,158.8,15.542,3.259,16.599,0x04,0x0E,DISCHARGING
30019,3.304,159.2,15.542,3.252,16.599,0x04,0x0E,DISCHARGING
32020,3.279,152.0,15.542,3.252,16.599,0x04,0x0E,DISCHARGING
34021,3.279,159.6,15.542,3.246,16.599,0x04,0x0E,DISCHARGING
36021,3.274,160.8,15.542,3.24,16.599,0x04,0x0E,DISCHARGING
38022,3.269,159.6,15.641,3.24,16.599,0x04,0x0E,DISCHARGING
40024,3.264,153.2,15.641,3.24,16.599,0x04,0x0E,DISCHARGING
42026,3.269,161.2,15.641,3.234,16.599,0x04,0x0E,DISCHARGING
44028,3.269,158.8,15.641,3.234,16.599,0x04,0x0E,DISCHARGING
46030,3.269,160.8,15.641,3.234,16.599,0x04,0x0E,DISCHARGING
48032,3.269,166.4,15.542,3.234,16.599,0x04,0x0E,DISCHARGING
50033,3.269,163.2,15.641,3.228,16.599,0x04,0x0E,DISCHARGING
52034,3.25,159.6,15.641,3.228,16.599,0x04,0x0E,DISCHARGING
54035,3.274,162.4,15.641,3.221,16.599,0x04,0x0E,DISCHARGING
56036,3.269,166.4,15.641,3.221,16.599,0x04,0x0E,DISCHARGING
58037,3.255,161.6,15.641,3.221,16.599,0x04,0x0E,DISCHARGING
60393,3.24,211.2,15.641,3.19,16.599,0x04,0x0E,DISCHARGING
62395,3.225,209.2,15.641,3.19,16.599,0x04,0x0E,DISCHARGING
64397,3.235,208.8,15.641,3.184,16.599,0x04,0x0E,DISCHARGING
66399,3.225,208.4,15.641,3.178,16.599,0x04,0x0E,DISCHARGING
68400,3.225,212.0,15.641,3.178,16.599,0x04,0x0E,DISCHARGING
70402,3.235,208.4,15.641,3.178,16.599,0x04,0x0E,DISCHARGING
72403,3.225,209.6,15.641,3.171,16.599,0x04,0x0E,DISCHARGING
74404,3.225,209.2,15.741,3.171,16.599,0x04,0x0E,DISCHARGING
76405,3.225,212.8,15.641,3.171,16.599,0x04,0x0E,DISCHARGING
78406,3.225,209.6,15.641,3.171,17.392,0x04,0x0E,DISCHARGING
80407,3.225,214.4,15.741,3.165,16.599,0x04,0x0E,DISCHARGING
82409,3.206,214.4,15.741,3.165,16.599,0x04,0x0E,DISCHARGING
84411,3.206,217.6,15.741,3.165,17.392,0x04,0x0E,DISCHARGING
86413,3.225,217.6,15.741,3.165,16.599,0x04,0x0E,DISCHARGING
88415,3.225,198.4,15.741,3.159,16.599,0x04,0x0E,DISCHARGING
90417,3.225,210.8,15.741,3.159,16.599,0x04,0x0E,DISCHARGING
92418,3.225,214.4,15.741,3.165,17.392,0x04,0x0E,DISCHARGING
94419,3.225,212.8,15.741,3.159,16.599,0x04,0x0E,DISCHARGING
96420,3.225,201.6,15.741,3.165,17.392,0x04,0x0E,DISCHARGING
98421,3.201,207.2,15.741,3.159,17.392,0x04,0x0E,DISCHARGING
