time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000001947,2.913,-16.875,25.617,4.785,35.622,0x0C,0x0E,CHARGING
000003957,2.991,-185.400,25.824,4.605,40.377,0x0F,0x0E,CHARGING
000005959,2.996,-185.400,25.927,4.611,41.963,0x0F,0x0E,CHARGING
000007961,3.005,-185.625,25.927,4.605,42.755,0x0F,0x0E,CHARGING
000009963,3.010,-185.400,26.031,4.611,40.377,0x0F,0x0E,CHARGING
000011965,3.010,-185.400,26.134,4.611,43.548,0x0F,0x0E,CHARGING
000013966,3.020,-185.400,26.134,4.617,44.340,0x0F,0x0E,CHARGING
000015968,3.020,-185.400,26.341,4.611,44.340,0x0F,0x0E,CHARGING
000017970,3.025,-185.850,26.341,4.617,44.340,0x0F,0x0E,CHARGING
000019972,3.030,-185.625,26.549,4.605,44.340,0x0F,0x0E,CHARGING
000021974,3.035,-185.850,26.549,4.617,45.133,0x0F,0x0E,CHARGING
000023976,3.035,-185.850,26.653,4.611,45.926,0x0F,0x0E,CHARGING
000025978,3.040,-185.850,26.757,4.617,45.926,0x0F,0x0E,CHARGING
000027980,3.044,-185.850,26.757,4.611,45.926,0x0F,0x0E,CHARGING
000029982,3.049,-185.625,26.861,4.611,45.926,0x0F,0x0E,CHARGING
000031984,3.049,-185.850,26.965,4.611,46.718,0x0F,0x0E,CHARGING
000033986,3.054,-185.175,27.070,4.605,46.718,0x0F,0x0E,CHARGING
000035988,3.059,-185.850,27.174,4.605,46.718,0x0F,0x0E,CHARGING
000037990,3.059,-186.075,26.757,4.617,47.511,0x0F,0x0E,CHARGING
000039992,3.059,-186.075,27.174,4.611,47.511,0x0F,0x0E,CHARGING
000041994,3.064,-185.850,27.383,4.611,46.718,0x0F,0x0E,CHARGING
000043996,3.069,-186.075,27.383,4.611,43.548,0x0F,0x0E,CHARGING
000045998,3.069,-186.300,27.488,4.611,47.511,0x0F,0x0E,CHARGING
000048000,3.069,-186.300,27.592,4.623,47.511,0x0F,0x0E,CHARGING
000050002,3.074,-186.075,27.697,4.611,47.511,0x0F,0x0E,CHARGING
000052004,3.079,-186.075,27.592,4.611,46.718,0x0F,0x0E,CHARGING
000054006,3.079,-186.075,27.802,4.617,47.511,0x0F,0x0E,CHARGING
000056008,3.084,-185.175,27.802,4.605,47.511,0x0F,0x0E,CHARGING
000058010,3.088,-187.200,27.802,4.611,47.511,0x0F,0x0E,CHARGING
000060012,3.088,-186.300,27.907,4.611,47.511,0x0F,0x0E,CHARGING
000062014,3.088,-186.300,28.012,4.605,47.511,0x0F,0x0E,CHARGING
000064016,3.093,-186.300,28.012,4.611,47.511,0x0F,0x0E,CHARGING
000066018,3.093,-186.075,28.117,4.617,47.511,0x0F,0x0E,CHARGING
000068020,3.093,-186.300,28.223,4.617,47.511,0x0F,0x0E,CHARGING
000070022,3.098,-186.525,28.223,4.611,47.511,0x0F,0x0E,CHARGING
000072024,3.098,-186.525,28.223,4.605,47.511,0x0F,0x0E,CHARGING
000074026,3.103,-186.750,28.328,4.605,47.511,0x0F,0x0E,CHARGING
000076028,3.108,-186.525,28.328,4.617,47.511,0x0F,0x0E,CHARGING
000078030,3.108,-186.300,28.328,4.611,47.511,0x0F,0x0E,CHARGING
000080032,3.108,-186.525,28.434,4.617,47.511,0x0F,0x0E,CHARGING
000082034,3.113,-186.300,28.539,4.611,47.511,0x0F,0x0E,CHARGING
000084036,3.118,-186.300,28.539,4.611,47.511,0x0F,0x0E,CHARGING
000086038,3.113,-186.525,28.645,4.617,47.511,0x0F,0x0E,CHARGING
000088040,3.118,-186.525,28.645,4.611,47.511,0x0F,0x0E,CHARGING
000090042,3.118,-186.300,28.645,4.617,46.718,0x0F,0x0E,CHARGING
000092044,3.118,-186.750,28.751,4.611,47.511,0x0F,0x0E,CHARGING
000094046,3.128,-186.750,28.751,4.617,47.511,0x0F,0x0E,CHARGING
000096048,3.128,-186.525,28.857,4.611,47.511,0x0F,0x0E,CHARGING
000098050,3.128,-186.750,28.857,4.617,47.511,0x0F,0x0E,CHARGING
000100052,3.128,-186.525,28.857,4.611,47.511,0x0F,0x0E,CHARGING
000102054,3.132,-186.750,28.857,4.611,48.303,0x0F,0x0E,CHARGING
000104058,3.137,-109.842,28.857,4.611,43.548,0x0F,0x0E,CHARGING
000106060,3.137,-109.842,28.963,4.611,47.511,0x0F,0x0E,CHARGING
000108062,3.137,-109.842,29.069,4.611,47.511,0x0F,0x0E,CHARGING
000110064,3.137,-110.107,29.069,4.623,47.511,0x0F,0x0E,CHARGING
000112066,3.142,-109.975,29.175,4.617,47.511,0x0F,0x0E,CHARGING
000114068,3.142,-109.842,29.175,4.611,47.511,0x0F,0x0E,CHARGING
000116070,3.142,-109.975,29.175,4.611,47.511,0x0F,0x0E,CHARGING
000118072,3.147,-110.107,29.175,4.605,47.511,0x0F,0x0E,CHARGING
000120074,3.147,-109.842,29.281,4.623,47.511,0x0F,0x0E,CHARGING
