time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002497,2.551,-16.425,19.533,4.798,24.525,0x0C,0x0E,CHARGING
000004498,2.697,-182.475,19.433,4.623,30.866,0x0F,0x0E,CHARGING
000006500,2.732,-182.700,19.533,4.630,34.829,0x0F,0x0E,CHARGING
000008502,2.751,-182.700,19.533,4.636,35.622,0x0F,0x0E,CHARGING
000010504,2.766,-182.925,19.633,4.623,36.414,0x0F,0x0E,CHARGING
000012506,2.785,-183.150,19.533,4.623,36.414,0x0F,0x0E,CHARGING
000014508,2.805,-183.375,19.533,4.630,37.207,0x0F,0x0E,CHARGING
000016510,2.815,-183.150,19.633,4.630,34.037,0x0F,0x0E,CHARGING
000018511,2.829,-183.150,19.633,4.630,37.207,0x0F,0x0E,CHARGING
000020513,2.844,-183.375,19.633,4.630,37.207,0x0F,0x0E,CHARGING
000022515,2.854,-183.600,19.633,4.630,34.037,0x0F,0x0E,CHARGING
000024517,2.864,-183.825,19.633,4.623,38.000,0x0F,0x0E,CHARGING
000026519,2.869,-183.825,19.633,4.623,38.000,0x0F,0x0E,CHARGING
000028521,2.873,-183.600,19.734,4.636,38.000,0x0F,0x0E,CHARGING
000030523,2.883,-183.825,19.633,4.630,38.000,0x0F,0x0E,CHARGING
000032525,2.893,-183.825,19.633,4.630,38.000,0x0F,0x0E,CHARGING
000034527,2.903,-184.050,19.734,4.630,38.792,0x0F,0x0E,CHARGING
000036529,2.903,-184.050,19.633,4.630,38.792,0x0F,0x0E,CHARGING
000038531,2.913,-184.275,19.633,4.630,38.000,0x0F,0x0E,CHARGING
000040532,2.913,-184.050,19.734,4.630,38.792,0x0F,0x0E,CHARGING
000042534,2.922,-184.275,19.734,4.636,38.792,0x0F,0x0E,CHARGING
000044536,2.922,-184.275,19.734,4.636,38.792,0x0F,0x0E,CHARGING
000046538,2.932,-184.050,19.734,4.623,37.207,0x0F,0x0E,CHARGING
