time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.551,-16.425,19.533,4.798,24.525,0x0C,0x0E,CHARGING
2001,2.697,-182.475,19.433,4.623,30.866,0x0F,0x0E,CHARGING
4003,2.732,-182.7,19.533,4.63,34.829,0x0F,0x0E,CHARGING
6005,2.751,-182.7,19.533,4.636,35.622,0x0F,0x0E,CHARGING
8007,2.766,-182.925,19.633,4.623,36.414,0x0F,0x0E,CHARGING
10009,2.785,-183.15,19.533,4.623,36.414,0x0F,0x0E,CHARGING
12011,2.805,-183.375,19.533,4.63,37.207,0x0F,0x0E,CHARGING
14013,2.815,-183.15,19.633,4.63,34.037,0x0F,0x0E,CHARGING
16014,2.829,-183.15,19.633,4.63,37.207,0x0F,0x0E,CHARGING
18016,2.844,-183.375,19.633,4.63,37.207,0x0F,0x0E,CHARGING
20018,2.854,-183.6,19.633,4.63,34.037,0x0F,0x0E,CHARGING
22020,2.864,-183.825,19.633,4.623,38.0,0x0F,0x0E,CHARGING
24022,2.869,-183.825,19.633,4.623,38.0,0x0F,0x0E,CHARGING
26024,2.873,-183.6,19.734,4.636,38.0,0x0F,0x0E,CHARGING
28026,2.883,-183.825,19.633,4.63,38.0,0x0F,0x0E,CHARGING
30028,2.893,-183.825,19.633,4.63,38.0,0x0F,0x0E,CHARGING
32030,2.903,-184.05,19.734,4.63,38.792,0x0F,0x0E,CHARGING
34032,2.903,-184.05,19.633,4.63,38.792,0x0F,0x0E,CHARGING
36034,2.913,-184.275,19.633,4.63,38.0,0x0F,0x0E,CHARGING
38035,2.913,-184.05,19.734,4.63,38.792,0x0F,0x0E,CHARGING
40037,2.922,-184.275,19.734,4.636,38.792,0x0F,0x0E,CHARGING
42039,2.922,-184.275,19.734,4.636,38.792,0x0F,0x0E,CHARGING
44041,2.932,-184.05,19.734,4.623,37.207,0x0F,0x0E,CHARGING
46043,2.942,-184.275,19.734,4.636,38.0,0x0F,0x0E,CHARGING
48045,2.942,-184.275,19.734,4.623,38.792,0x0F,0x0E,CHARGING
50047,2.942,-184.275,19.734,4.636,38.792,0x0F,0x0E,CHARGING
52049,2.952,-184.5,19.834,4.636,38.792,0x0F,0x0E,CHARGING
54051,2.956,-184.5,19.734,4.63,38.792,0x0F,0x0E,CHARGING
56053,2.961,-184.5,19.734,4.63,38.792,0x0F,0x0E,CHARGING
58055,2.961,-184.725,19.734,4.63,38.792,0x0F,0x0E,CHARGING
60057,2.966,-184.5,19.834,4.63,38.792,0x0F,0x0E,CHARGING
62059,2.971,-184.725,19.734,4.63,38.0,0x0F,0x0E,CHARGING
64061,2.976,-184.725,20.134,4.63,38.0,0x0F,0x0E,CHARGING
66063,2.981,-184.725,19.834,4.63,38.0,0x0F,0x0E,CHARGING
68065,2.986,-183.375,19.433,4.623,38.0,0x0F,0x0E,CHARGING
70067,2.991,-184.95,19.834,4.63,38.792,0x0F,0x0E,CHARGING
72069,2.996,-184.725,19.834,4.63,38.0,0x0F,0x0E,CHARGING
74071,2.996,-184.95,19.834,4.636,38.0,0x0F,0x0E,CHARGING
76073,3.0,-184.95,19.834,4.63,38.0,0x0F,0x0E,CHARGING
78075,3.005,-184.95,19.834,4.623,38.0,0x0F,0x0E,CHARGING
80077,3.01,-184.725,19.433,4.623,38.792,0x0F,0x0E,CHARGING
82079,3.01,-185.175,19.834,4.63,38.0,0x0F,0x0E,CHARGING
84081,3.01,-184.95,19.834,4.63,38.0,0x0F,0x0E,CHARGING
86083,3.02,-184.95,19.834,4.63,38.0,0x0F,0x0E,CHARGING
88085,3.02,-185.175,19.834,4.63,38.0,0x0F,0x0E,CHARGING
90087,3.025,-185.175,19.834,4.63,38.0,0x0F,0x0E,CHARGING
92089,3.03,-185.175,19.834,4.636,38.0,0x0F,0x0E,CHARGING
94091,3.03,-184.95,19.934,4.63,38.0,0x0F,0x0E,CHARGING
96093,3.035,-185.175,19.834,4.623,38.0,0x0F,0x0E,CHARGING
98095,3.035,-185.175,19.934,4.63,38.0,0x0F,0x0E,CHARGING
100097,3.04,-185.175,19.934,4.63,38.0,0x0F,0x0E,CHARGING
102098,3.044,-185.4,19.834,4.63,38.0,0x0F,0x0E,CHARGING
104100,3.044,-185.175,19.433,4.623,38.0,0x0F,0x0E,CHARGING
106102,3.049,-185.4,19.834,4.63,38.0,0x0F,0x0E,CHARGING
108104,3.049,-185.4,19.834,4.636,38.0,0x0F,0x0E,CHARGING
110106,3.059,-185.4,19.834,4.623,38.0,0x0F,0x0E,CHARGING
112108,3.059,-185.4,19.834,4.63,38.0,0x0F,0x0E,CHARGING
114110,3.059,-185.4,19.834,4.63,38.0,0x0F,0x0E,CHARGING
116112,3.064,-185.4,19.934,4.636,38.0,0x0F,0x0E,CHARGING
118114,3.064,-185.4,19.934,4.636,38.0,0x0F,0x0E,CHARGING
120116,3.069,-185.625,19.834,4.63,38.0,0x0F,0x0E,CHARGING
122118,3.069,-185.625,19.934,4.63,38.0,0x0F,0x0E,CHARGING
124120,3.079,-185.625,19.834,4.63,37.207,0x0F,0x0E,CHARGING
126122,3.079,-185.625,19.934,4.636,38.0,0x0F,0x0E,CHARGING
128124,3.079,-185.625,19.934,4.636,38.0,0x0F,0x0E,CHARGING
130126,3.084,-185.4,19.934,4.636,38.0,0x0F,0x0E,CHARGING
132128,3.084,-185.625,19.834,4.63,38.0,0x0F,0x0E,CHARGING
134130,3.088,-185.4,19.934,4.63,38.0,0x0F,0x0E,CHARGING
136132,3.088,-185.625,19.934,4.623,38.0,0x0F,0x0E,CHARGING
138134,3.093,-185.85,19.934,4.623,38.0,0x0F,0x0E,CHARGING
140136,3.093,-185.625,19.934,4.623,38.0,0x0F,0x0E,CHARGING
142138,3.098,-185.625,19.934,4.63,37.207,0x0F,0x0E,CHARGING
144140,3.093,-185.625,19.934,4.636,37.207,0x0F,0x0E,CHARGING
146142,3.098,-185.625,19.934,4.63,37.207,0x0F,0x0E,CHARGING
148144,3.103,-185.85,20.034,4.63,37.207,0x0F,0x0E,CHARGING
150146,3.108,-185.85,19.934,4.63,38.0,0x0F,0x0E,CHARGING
152147,3.108,-185.85,19.934,4.623,37.207,0x0F,0x0E,CHARGING
