time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.465,60.0,29.601,3.433,31.659,0x04,0x0E,DISCHARGING
2002,3.46,58.4,29.601,3.427,30.866,0x04,0x0E,DISCHARGING
4004,3.46,58.4,29.601,3.421,30.866,0x04,0x0E,DISCHARGING
6006,3.44,56.4,29.601,3.414,30.866,0x04,0x0E,DISCHARGING
8008,3.435,59.2,29.601,3.414,30.866,0x04,0x0E,DISCHARGING
10010,3.426,60.0,29.601,3.408,30.866,0x04,0x0E,DISCHARGING
12012,3.431,61.6,29.601,3.408,30.866,0x04,0x0E,DISCHARGING
14014,3.431,60.0,29.494,3.396,30.866,0x04,0x0E,DISCHARGING
16016,3.421,59.2,29.601,3.402,30.866,0x04,0x0E,DISCHARGING
18018,3.421,56.4,29.494,3.402,30.866,0x04,0x0E,DISCHARGING
20020,3.406,56.4,29.601,3.396,30.866,0x04,0x0E,DISCHARGING
22022,3.421,56.4,29.601,3.39,30.866,0x04,0x0E,DISCHARGING
24024,3.421,60.8,29.601,3.39,30.866,0x04,0x0E,DISCHARGING
26026,3.421,61.2,29.601,3.39,30.866,0x04,0x0E,DISCHARGING
28028,3.421,61.2,29.601,3.383,30.866,0x04,0x0E,DISCHARGING
30030,3.401,56.4,29.494,3.383,30.866,0x04,0x0E,DISCHARGING
32032,3.411,61.2,29.494,3.383,30.866,0x04,0x0E,DISCHARGING
34034,3.411,64.0,29.494,3.383,30.866,0x04,0x0E,DISCHARGING
36036,3.396,58.4,29.494,3.377,30.866,0x04,0x0E,DISCHARGING
38038,3.396,58.8,29.601,3.377,30.866,0x04,0x0E,DISCHARGING
40040,3.391,61.6,29.601,3.377,30.866,0x04,0x0E,DISCHARGING
42042,3.387,64.0,29.494,3.371,30.866,0x04,0x0E,DISCHARGING
44044,3.391,58.4,29.601,3.371,30.866,0x04,0x0E,DISCHARGING
46046,3.382,64.0,29.601,3.371,30.866,0x04,0x0E,DISCHARGING
48048,3.391,55.6,29.494,3.365,30.866,0x04,0x0E,DISCHARGING
50050,3.391,56.4,29.494,3.365,30.866,0x04,0x0E,DISCHARGING
52052,3.391,59.6,29.494,3.365,30.866,0x04,0x0E,DISCHARGING
54054,3.391,56.4,29.601,3.365,30.866,0x04,0x0E,DISCHARGING
56055,3.391,58.4,29.494,3.365,30.866,0x04,0x0E,DISCHARGING
58057,3.391,57.2,29.494,3.358,30.866,0x04,0x0E,DISCHARGING
60059,3.391,45.6,29.601,3.358,30.866,0x04,0x0E,DISCHARGING
62061,3.391,59.6,29.601,3.358,30.866,0x04,0x0E,DISCHARGING
64063,3.367,55.6,29.601,3.358,30.866,0x04,0x0E,DISCHARGING
66065,3.372,59.2,29.494,3.352,30.866,0x04,0x0E,DISCHARGING
68066,3.362,57.2,29.601,3.352,30.866,0x04,0x0E,DISCHARGING
70068,3.362,45.6,29.601,3.358,30.866,0x04,0x0E,DISCHARGING
72070,3.362,61.2,29.494,3.352,30.866,0x04,0x0E,DISCHARGING
74072,3.382,58.4,29.494,3.346,30.866,0x04,0x0E,DISCHARGING
76074,3.382,55.6,29.601,3.352,30.866,0x04,0x0E,DISCHARGING
78076,3.362,64.0,29.494,3.352,30.866,0x04,0x0E,DISCHARGING
80078,3.382,48.8,29.601,3.346,30.866,0x04,0x0E,DISCHARGING
82080,3.362,59.6,29.601,3.346,30.866,0x04,0x0E,DISCHARGING
84082,3.362,60.8,29.601,3.346,30.866,0x04,0x0E,DISCHARGING
86084,3.362,58.4,29.601,3.346,30.866,0x04,0x0E,DISCHARGING
88086,3.372,61.6,29.601,3.34,30.866,0x04,0x0E,DISCHARGING
90088,3.372,48.4,29.601,3.34,30.866,0x04,0x0E,DISCHARGING
92090,3.347,60.0,29.494,3.34,30.866,0x04,0x0E,DISCHARGING
94092,3.352,58.4,29.601,3.34,30.866,0x04,0x0E,DISCHARGING
96094,3.352,60.8,29.494,3.333,30.866,0x04,0x0E,DISCHARGING
98096,3.352,59.2,29.601,3.34,30.866,0x04,0x0E,DISCHARGING
100098,3.352,47.2,29.494,3.333,30.866,0x04,0x0E,DISCHARGING
102100,3.352,56.4,29.601,3.333,30.866,0x04,0x0E,DISCHARGING
104102,3.352,58.4,29.601,3.333,30.866,0x04,0x0E,DISCHARGING
106104,3.352,58.4,29.494,3.333,30.866,0x04,0x0E,DISCHARGING
108106,3.352,57.2,29.601,3.327,30.866,0x04,0x0E,DISCHARGING
110108,3.352,48.4,29.601,3.333,30.866,0x04,0x0E,DISCHARGING
112110,3.352,58.4,29.601,3.333,30.866,0x04,0x0E,DISCHARGING
114112,3.352,56.4,29.601,3.327,30.866,0x04,0x0E,DISCHARGING
116114,3.338,57.2,29.601,3.327,30.866,0x04,0x0E,DISCHARGING
118116,3.352,61.2,29.601,3.327,30.866,0x04,0x0E,DISCHARGING
120118,3.338,47.2,29.494,3.327,30.866,0x04,0x0E,DISCHARGING
122120,3.343,60.0,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
124122,3.343,58.8,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
126124,3.352,65.6,29.494,3.321,30.866,0x04,0x0E,DISCHARGING
128126,3.333,61.6,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
130128,3.352,47.2,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
132130,3.352,58.4,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
134132,3.352,59.2,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
136134,3.352,58.4,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
138136,3.343,60.0,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
140138,3.333,47.6,29.601,3.321,30.866,0x04,0x0E,DISCHARGING
142140,3.343,64.0,29.601,3.315,30.866,0x04,0x0E,DISCHARGING
144142,3.328,60.0,29.494,3.315,30.866,0x04,0x0E,DISCHARGING
146144,3.333,64.0,29.494,3.315,30.866,0x04,0x0E,DISCHARGING
148146,3.333,61.6,29.601,3.315,30.866,0x04,0x0E,DISCHARGING
150148,3.343,58.8,29.494,3.315,30.866,0x04,0x0E,DISCHARGING
152150,3.333,59.6,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
154152,3.333,61.2,29.494,3.309,30.866,0x04,0x0E,DISCHARGING
156154,3.323,60.0,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
158156,3.323,57.2,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
160157,3.333,48.0,29.494,3.315,30.866,0x04,0x0E,DISCHARGING
162159,3.333,61.6,29.494,3.309,30.866,0x04,0x0E,DISCHARGING
164161,3.323,60.0,29.494,3.309,30.866,0x04,0x0E,DISCHARGING
166163,3.333,64.0,29.494,3.309,30.866,0x04,0x0E,DISCHARGING
168165,3.333,57.2,29.494,3.309,30.866,0x04,0x0E,DISCHARGING
170167,3.333,45.2,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
172169,3.333,65.6,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
174171,3.333,64.0,29.601,3.309,30.866,0x04,0x0E,DISCHARGING
176173,3.333,56.4,29.494,3.302,30.866,0x04,0x0E,DISCHARGING
