time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.922,-17.1,39.068,4.823,44.34,0x0C,0x0E,CHARGING
2002,3.015,-185.175,39.068,4.623,51.474,0x0F,0x0E,CHARGING
4003,3.02,-185.625,39.068,4.623,53.852,0x0F,0x0E,CHARGING
6005,3.025,-185.625,39.188,4.623,53.852,0x0F,0x0E,CHARGING
8006,3.03,-185.625,39.068,4.623,54.644,0x0F,0x0E,CHARGING
10007,3.035,-185.85,39.188,4.623,54.644,0x0F,0x0E,CHARGING
12008,3.04,-185.85,39.188,4.623,55.437,0x0F,0x0E,CHARGING
14009,3.044,-185.85,39.188,4.623,55.437,0x0F,0x0E,CHARGING
16010,3.049,-185.625,39.188,4.636,53.059,0x0F,0x0E,CHARGING
18011,3.054,-185.85,39.188,4.63,56.229,0x0F,0x0E,CHARGING
20012,3.054,-185.625,39.188,4.623,56.229,0x0F,0x0E,CHARGING
22014,3.054,-185.85,39.188,4.623,56.229,0x0F,0x0E,CHARGING
24015,3.064,-186.075,39.188,4.63,56.229,0x0F,0x0E,CHARGING
26016,3.059,-185.85,39.188,4.623,56.229,0x0F,0x0E,CHARGING
28017,3.069,-186.075,39.188,4.623,57.022,0x0F,0x0E,CHARGING
30018,3.074,-185.85,39.188,4.63,57.022,0x0F,0x0E,CHARGING
32019,3.074,-186.075,39.309,4.636,57.022,0x0F,0x0E,CHARGING
34020,3.079,-186.075,39.309,4.623,57.022,0x0F,0x0E,CHARGING
36021,3.084,-185.85,39.188,4.623,57.022,0x0F,0x0E,CHARGING
38022,3.084,-186.075,39.309,4.63,57.022,0x0F,0x0E,CHARGING
40023,3.084,-186.3,39.188,4.623,57.022,0x0F,0x0E,CHARGING
42024,3.088,-186.3,39.309,4.63,57.022,0x0F,0x0E,CHARGING
44025,3.084,-186.075,39.309,4.623,57.815,0x0F,0x0E,CHARGING
46026,3.093,-186.075,39.309,4.623,57.022,0x0F,0x0E,CHARGING
48027,3.098,-186.3,39.309,4.63,57.022,0x0F,0x0E,CHARGING
50028,3.098,-186.525,39.309,4.623,57.815,0x0F,0x0E,CHARGING
52029,3.103,-186.3,39.43,4.63,57.022,0x0F,0x0E,CHARGING
54030,3.103,-186.3,39.309,4.63,57.815,0x0F,0x0E,CHARGING
56031,3.108,-186.75,39.43,4.63,57.815,0x0F,0x0E,CHARGING
58032,3.108,-186.3,39.43,4.63,57.815,0x0F,0x0E,CHARGING
60033,3.108,-186.525,39.43,4.63,57.815,0x0F,0x0E,CHARGING
62034,3.113,-186.75,39.309,4.63,57.022,0x0F,0x0E,CHARGING
64036,3.113,-186.3,39.309,4.623,57.022,0x0F,0x0E,CHARGING
66037,3.118,-186.3,39.309,4.63,57.815,0x0F,0x0E,CHARGING
68038,3.123,-186.75,39.309,4.63,57.815,0x0F,0x0E,CHARGING
70039,3.123,-186.525,39.43,4.623,57.815,0x0F,0x0E,CHARGING
72040,3.128,-186.75,39.309,4.63,57.022,0x0F,0x0E,CHARGING
74041,3.128,-186.525,39.309,4.63,57.815,0x0F,0x0E,CHARGING
76042,3.128,-186.525,39.43,4.63,57.815,0x0F,0x0E,CHARGING
78043,3.132,-185.175,39.43,4.63,57.815,0x0F,0x0E,CHARGING
80044,3.132,-186.525,39.43,4.63,57.022,0x0F,0x0E,CHARGING
82044,3.137,-186.975,39.55,4.63,57.815,0x0F,0x0E,CHARGING
84044,3.137,-186.525,39.43,4.63,57.022,0x0F,0x0E,CHARGING
86044,3.137,-186.975,39.915,4.63,57.815,0x0F,0x0E,CHARGING
88044,3.142,-186.525,39.43,4.623,57.815,0x0F,0x0E,CHARGING
90044,3.142,-186.525,39.43,4.63,57.022,0x0F,0x0E,CHARGING
92044,3.147,-186.75,39.43,4.623,57.815,0x0F,0x0E,CHARGING
94044,3.152,-186.975,39.43,4.63,57.815,0x0F,0x0E,CHARGING
96044,3.147,-186.525,39.55,4.63,57.815,0x0F,0x0E,CHARGING
98045,3.152,-186.75,39.55,4.636,57.815,0x0F,0x0E,CHARGING
100046,3.152,-186.75,39.43,4.623,59.4,0x0F,0x0E,CHARGING
102049,3.152,-109.975,39.43,4.623,57.022,0x0F,0x0E,CHARGING
104050,3.157,-109.975,39.43,4.63,57.022,0x0F,0x0E,CHARGING
106050,3.157,-109.842,39.55,4.63,57.022,0x0F,0x0E,CHARGING
108050,3.157,-109.975,39.55,4.623,57.022,0x0F,0x0E,CHARGING
110051,3.162,-110.107,39.55,4.63,57.815,0x0F,0x0E,CHARGING
112052,3.162,-109.975,39.55,4.63,57.022,0x0F,0x0E,CHARGING
114053,3.167,-109.975,39.55,4.63,57.815,0x0F,0x0E,CHARGING
116054,3.167,-110.24,39.55,4.63,57.815,0x0F,0x0E,CHARGING
118056,3.167,-109.842,39.55,4.623,57.022,0x0F,0x0E,CHARGING
120057,3.172,-110.107,39.55,4.63,57.815,0x0F,0x0E,CHARGING
122058,3.172,-109.975,39.55,4.636,57.815,0x0F,0x0E,CHARGING
124059,3.172,-110.24,39.55,4.63,57.815,0x0F,0x0E,CHARGING
