time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.479,89.6,32.197,3.471,30.866,0x04,0x0E,DISCHARGING
2000,3.455,85.6,32.087,3.439,30.866,0x04,0x0E,DISCHARGING
4000,3.465,84.8,32.087,3.427,30.866,0x04,0x0E,DISCHARGING
6001,3.46,77.6,31.977,3.414,30.074,0x04,0x0E,DISCHARGING
8003,3.426,87.6,31.977,3.402,30.074,0x04,0x0E,DISCHARGING
10003,3.426,93.2,31.977,3.402,30.074,0x04,0x0E,DISCHARGING
12004,3.426,87.2,31.868,3.39,30.074,0x04,0x0E,DISCHARGING
14004,3.426,91.6,31.868,3.396,30.074,0x04,0x0E,DISCHARGING
16005,3.421,87.6,31.759,3.383,30.074,0x04,0x0E,DISCHARGING
18006,3.421,90.4,31.759,3.383,30.074,0x04,0x0E,DISCHARGING
20007,3.421,82.0,31.759,3.377,30.074,0x04,0x0E,DISCHARGING
22008,3.391,88.0,31.65,3.371,30.074,0x04,0x0E,DISCHARGING
24010,3.387,89.2,31.65,3.371,30.074,0x04,0x0E,DISCHARGING
26012,3.396,91.2,31.541,3.358,30.074,0x04,0x0E,DISCHARGING
