time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
276882,3.299,-17.1,25.308,4.798,30.074,0x0C,0x0E,CHARGING
278883,3.367,-187.2,25.102,4.605,40.377,0x0F,0x0E,CHARGING
280884,3.372,-187.425,25.102,4.605,41.17,0x0F,0x0E,CHARGING
282886,3.377,-186.975,25.102,4.605,41.963,0x0F,0x0E,CHARGING
284887,3.382,-187.425,25.102,4.605,43.548,0x0F,0x0E,CHARGING
286889,3.382,-187.2,25.102,4.605,43.548,0x0F,0x0E,CHARGING
288891,3.382,-187.425,25.102,4.605,43.548,0x0F,0x0E,CHARGING
290892,3.391,-187.2,25.102,4.611,43.548,0x0F,0x0E,CHARGING
292894,3.391,-186.975,25.102,4.605,44.34,0x0F,0x0E,CHARGING
294896,3.391,-187.2,25.205,4.605,45.133,0x0F,0x0E,CHARGING
296898,3.391,-187.2,25.205,4.611,44.34,0x0F,0x0E,CHARGING
298900,3.396,-187.425,25.102,4.605,44.34,0x0F,0x0E,CHARGING
300902,3.391,-187.425,25.102,4.611,44.34,0x0F,0x0E,CHARGING
302904,3.396,-187.425,25.205,4.605,45.133,0x0F,0x0E,CHARGING
304906,3.401,-187.425,25.205,4.611,48.303,0x0F,0x0E,CHARGING
306908,3.401,-187.65,25.205,4.605,45.133,0x0F,0x0E,CHARGING
308910,3.401,-187.425,25.205,4.611,45.133,0x0F,0x0E,CHARGING
310911,3.401,-187.65,25.308,4.611,45.926,0x0F,0x0E,CHARGING
312913,3.401,-187.65,25.205,4.605,45.926,0x0F,0x0E,CHARGING
314914,3.401,-187.65,25.205,4.611,45.926,0x0F,0x0E,CHARGING
316916,3.401,-187.425,25.308,4.611,45.926,0x0F,0x0E,CHARGING
318917,3.406,-187.65,25.308,4.605,45.926,0x0F,0x0E,CHARGING
320919,3.406,-187.65,25.308,4.611,45.926,0x0F,0x0E,CHARGING
322921,3.406,-187.65,25.308,4.611,45.926,0x0F,0x0E,CHARGING
324923,3.411,-187.875,25.308,4.611,46.718,0x0F,0x0E,CHARGING
326925,3.411,-187.425,25.308,4.611,45.926,0x0F,0x0E,CHARGING
328927,3.411,-187.425,25.308,4.611,46.718,0x0F,0x0E,CHARGING
330929,3.411,-187.425,25.411,4.611,45.926,0x0F,0x0E,CHARGING
332930,3.411,-187.65,25.308,4.611,46.718,0x0F,0x0E,CHARGING
334931,3.411,-187.65,25.411,4.611,46.718,0x0F,0x0E,CHARGING
336932,3.411,-187.425,25.411,4.611,46.718,0x0F,0x0E,CHARGING
338934,3.411,-187.65,25.411,4.611,46.718,0x0F,0x0E,CHARGING
