time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.128,-16.875,-88.117,4.76,31.659,0x0C,0x0E,CHARGING
2001,3.323,-187.425,-88.117,4.586,38.0,0x0F,0x0E,CHARGING
4002,3.323,-187.65,-88.117,4.586,38.792,0x0F,0x0E,CHARGING
6003,3.333,-187.65,-88.117,4.586,39.585,0x0F,0x0E,CHARGING
8004,3.343,-187.875,-88.117,4.586,39.585,0x0F,0x0E,CHARGING
10005,3.338,-187.875,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
12006,3.343,-187.875,-88.117,4.58,40.377,0x0F,0x0E,CHARGING
14007,3.343,-187.875,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
16008,3.347,-187.875,-80.808,4.586,37.207,0x0F,0x0E,CHARGING
18009,3.352,-187.875,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
20010,3.352,-188.1,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
22011,3.357,-188.1,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
24012,3.357,-188.1,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
26013,3.352,-188.1,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
28015,3.362,-188.1,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
30017,3.362,-188.1,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
32018,3.367,-188.1,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
34018,3.367,-188.325,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
36019,3.372,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
38020,3.367,-188.55,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
40021,3.372,-188.325,-88.117,4.58,41.17,0x0F,0x0E,CHARGING
42021,3.372,-188.1,-76.254,4.586,41.963,0x0F,0x0E,CHARGING
44022,3.372,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
46024,3.382,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
48025,3.382,-188.325,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
50026,3.382,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
52027,3.387,-188.55,-88.117,4.58,41.963,0x0F,0x0E,CHARGING
54028,3.382,-188.55,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
56029,3.391,-188.775,-88.117,4.58,42.755,0x0F,0x0E,CHARGING
58030,3.387,-188.55,-88.117,4.58,41.963,0x0F,0x0E,CHARGING
60031,3.391,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
62032,3.387,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
64033,3.391,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
66034,3.391,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
68035,3.401,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
70037,3.396,-188.55,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
72038,3.401,-188.55,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
74039,3.396,-188.775,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
76040,3.401,-188.325,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
78042,3.406,-188.55,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
80043,3.401,-188.55,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
82044,3.406,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
84046,3.406,-188.775,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
86047,3.406,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
88047,3.411,-188.775,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
90047,3.411,-188.775,-88.117,4.58,43.548,0x0F,0x0E,CHARGING
92048,3.411,-188.775,-88.117,4.58,43.548,0x0F,0x0E,CHARGING
94049,3.411,-188.775,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
96049,3.411,-189.0,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
98051,3.411,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
100053,3.416,-188.775,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
102055,3.416,-189.0,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
104056,3.416,-189.0,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
106057,3.416,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
108058,3.421,-189.0,-88.117,4.592,43.548,0x0F,0x0E,CHARGING
110060,3.421,-189.0,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
112061,3.421,-188.775,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
114062,3.421,-189.0,-88.117,4.592,43.548,0x0F,0x0E,CHARGING
116063,3.426,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
118064,3.421,-188.775,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
120064,3.426,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
122065,3.421,-188.55,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
124066,3.426,-189.0,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
126067,3.431,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
128068,3.431,-188.775,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
130070,3.431,-188.775,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
132071,3.431,-189.0,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
134072,3.431,-189.0,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
136073,3.431,-189.0,-88.117,4.586,41.17,0x0F,0x0E,CHARGING
138074,3.431,-189.0,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
140075,3.431,-189.0,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
142076,3.431,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
144077,3.435,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
146078,3.435,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
148080,3.44,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
150082,3.44,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
152084,3.44,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
154085,3.44,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
156086,3.44,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
158087,3.44,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
160088,3.44,-189.0,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
162089,3.445,-189.225,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
164090,3.445,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
166091,3.445,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
168093,3.445,-189.0,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
170094,3.45,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
172095,3.45,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
174097,3.445,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
176099,3.45,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
178100,3.45,-189.225,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
180100,3.45,-189.45,-88.117,4.586,48.303,0x0F,0x0E,CHARGING
182102,3.45,-189.0,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
184103,3.455,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
186104,3.45,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
188106,3.45,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
190107,3.45,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
192108,3.45,-189.45,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
194109,3.45,-189.225,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
196110,3.46,-189.45,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
198112,3.455,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
200113,3.46,-189.45,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
202114,3.455,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
204116,3.46,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
206117,3.46,-189.45,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
208118,3.46,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
210119,3.46,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
212120,3.46,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
214121,3.465,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
216122,3.46,-189.45,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
218123,3.46,-189.225,-88.117,4.586,46.718,0x0F,0x0E,CHARGING
220124,3.46,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
222125,3.465,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
224126,3.46,-189.225,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
226127,3.465,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
228128,3.465,-189.45,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
230129,3.46,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
232130,3.465,-189.45,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
234131,3.465,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
236132,3.465,-189.45,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
238133,3.47,-189.675,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
240135,3.465,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
242136,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
244137,3.47,-189.45,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
246138,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
248139,3.465,-189.225,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
250140,3.47,-189.675,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
252141,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
254143,3.46,-189.675,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
256144,3.47,-189.675,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
258145,3.47,-189.675,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
260147,3.47,-189.45,-88.117,4.592,46.718,0x0F,0x0E,CHARGING
262148,3.47,-189.9,-88.117,4.58,44.34,0x0F,0x0E,CHARGING
264149,3.47,-189.45,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
266151,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
268152,3.47,-189.225,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
270154,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
272156,3.47,-189.45,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
274157,3.47,-189.45,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
276158,3.47,-189.675,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
