time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
065063835,3.128,-16.875,-88.117,4.760,31.659,0x0C,0x0E,CHARGING
065065836,3.323,-187.425,-88.117,4.586,38.000,0x0F,0x0E,CHARGING
065067837,3.323,-187.650,-88.117,4.586,38.792,0x0F,0x0E,CHARGING
065069838,3.333,-187.650,-88.117,4.586,39.585,0x0F,0x0E,CHARGING
065071839,3.343,-187.875,-88.117,4.586,39.585,0x0F,0x0E,CHARGING
065073840,3.338,-187.875,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
065075841,3.343,-187.875,-88.117,4.580,40.377,0x0F,0x0E,CHARGING
065077842,3.343,-187.875,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
065079843,3.347,-187.875,-80.808,4.586,37.207,0x0F,0x0E,CHARGING
065081844,3.352,-187.875,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065083845,3.352,-188.100,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065085846,3.357,-188.100,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065087847,3.357,-188.100,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
065089848,3.352,-188.100,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065091850,3.362,-188.100,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
065093852,3.362,-188.100,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065095853,3.367,-188.100,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065097853,3.367,-188.325,-88.117,4.586,41.170,0x0F,0x0E,CHARGING
065099854,3.372,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065101855,3.367,-188.550,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065103856,3.372,-188.325,-88.117,4.580,41.170,0x0F,0x0E,CHARGING
065105856,3.372,-188.100,-76.254,4.586,41.963,0x0F,0x0E,CHARGING
065107857,3.372,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065109859,3.382,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065111860,3.382,-188.325,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065113861,3.382,-188.325,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065115862,3.387,-188.550,-88.117,4.580,41.963,0x0F,0x0E,CHARGING
065117863,3.382,-188.550,-88.117,4.586,41.963,0x0F,0x0E,CHARGING
065119864,3.391,-188.775,-88.117,4.580,42.755,0x0F,0x0E,CHARGING
065121865,3.387,-188.550,-88.117,4.580,41.963,0x0F,0x0E,CHARGING
065123866,3.391,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065125867,3.387,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065127868,3.391,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065129869,3.391,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065131870,3.401,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065133872,3.396,-188.550,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065135873,3.401,-188.550,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
065137874,3.396,-188.775,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065139875,3.401,-188.325,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065141877,3.406,-188.550,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
065143878,3.401,-188.550,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
065145879,3.406,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
065147881,3.406,-188.775,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
065149882,3.406,-188.775,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
065151882,3.411,-188.775,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
065153882,3.411,-188.775,-88.117,4.580,43.548,0x0F,0x0E,CHARGING
065155883,3.411,-188.775,-88.117,4.580,43.548,0x0F,0x0E,CHARGING
