time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.333,110.0,-88.117,3.309,29.281,0x04,0x0E,DISCHARGING
2002,3.313,108.4,-88.117,3.296,29.281,0x04,0x0E,DISCHARGING
4004,3.304,106.8,-88.117,3.29,29.281,0x04,0x0E,DISCHARGING
6005,3.304,108.4,-88.117,3.284,29.281,0x04,0x0E,DISCHARGING
8007,3.294,112.8,-88.117,3.277,29.281,0x04,0x0E,DISCHARGING
10009,3.294,108.4,-88.117,3.271,29.281,0x04,0x0E,DISCHARGING
12011,3.294,112.0,-88.117,3.265,29.281,0x04,0x0E,DISCHARGING
14013,3.274,112.0,-88.117,3.265,28.488,0x04,0x0E,DISCHARGING
16015,3.274,108.4,-88.117,3.259,29.281,0x04,0x0E,DISCHARGING
18017,3.269,111.2,-88.117,3.252,28.488,0x04,0x0E,DISCHARGING
20019,3.264,112.0,-88.117,3.252,28.488,0x04,0x0E,DISCHARGING
22020,3.264,108.4,-88.117,3.252,28.488,0x04,0x0E,DISCHARGING
24021,3.274,109.2,-88.117,3.246,28.488,0x04,0x0E,DISCHARGING
26023,3.255,108.4,-88.117,3.24,28.488,0x04,0x0E,DISCHARGING
28024,3.255,112.0,-88.117,3.24,28.488,0x04,0x0E,DISCHARGING
30026,3.255,115.2,-88.117,3.24,28.488,0x04,0x0E,DISCHARGING
32026,3.245,110.4,-88.117,3.234,28.488,0x04,0x0E,DISCHARGING
34027,3.245,113.6,-88.117,3.234,28.488,0x04,0x0E,DISCHARGING
36029,3.245,108.4,-88.117,3.228,29.281,0x04,0x0E,DISCHARGING
38031,3.245,114.0,-88.117,3.228,29.281,0x04,0x0E,DISCHARGING
40033,3.245,115.2,-88.117,3.228,28.488,0x04,0x0E,DISCHARGING
42035,3.235,110.0,-88.117,3.221,28.488,0x04,0x0E,DISCHARGING
44037,3.23,115.2,-88.117,3.221,28.488,0x04,0x0E,DISCHARGING
46039,3.235,111.6,-88.117,3.221,28.488,0x04,0x0E,DISCHARGING
48041,3.235,111.6,-88.117,3.215,28.488,0x04,0x0E,DISCHARGING
50043,3.225,111.6,-88.117,3.215,28.488,0x04,0x0E,DISCHARGING
52044,3.235,108.8,-88.117,3.215,28.488,0x04,0x0E,DISCHARGING
54046,3.22,108.4,-88.117,3.209,28.488,0x04,0x0E,DISCHARGING
56048,3.225,110.8,-88.117,3.209,28.488,0x04,0x0E,DISCHARGING
58050,3.225,110.0,-88.117,3.203,28.488,0x04,0x0E,DISCHARGING
60052,3.22,112.0,-88.117,3.209,28.488,0x04,0x0E,DISCHARGING
62053,3.216,110.8,-88.117,3.209,28.488,0x04,0x0E,DISCHARGING
64055,3.22,110.8,-88.117,3.203,28.488,0x04,0x0E,DISCHARGING
66056,3.211,108.4,-88.117,3.203,28.488,0x04,0x0E,DISCHARGING
68058,3.216,111.6,-88.117,3.203,28.488,0x04,0x0E,DISCHARGING
70060,3.211,111.2,-88.117,3.203,28.488,0x04,0x0E,DISCHARGING
72061,3.216,113.2,-88.117,3.196,28.488,0x04,0x0E,DISCHARGING
74063,3.206,110.0,-88.117,3.196,28.488,0x04,0x0E,DISCHARGING
76065,3.211,115.2,-88.117,3.196,28.488,0x04,0x0E,DISCHARGING
78067,3.206,115.2,-88.117,3.19,28.488,0x04,0x0E,DISCHARGING
80068,3.206,108.4,-88.117,3.196,28.488,0x04,0x0E,DISCHARGING
82070,3.206,115.2,-88.117,3.19,28.488,0x04,0x0E,DISCHARGING
84072,3.206,111.6,-88.117,3.19,28.488,0x04,0x0E,DISCHARGING
86073,3.206,115.2,-88.117,3.19,28.488,0x04,0x0E,DISCHARGING
88075,3.206,113.6,-88.117,3.184,28.488,0x04,0x0E,DISCHARGING
90076,3.196,113.6,-88.117,3.184,28.488,0x04,0x0E,DISCHARGING
92078,3.201,112.8,-88.117,3.184,28.488,0x04,0x0E,DISCHARGING
94079,3.196,114.4,-88.117,3.184,28.488,0x04,0x0E,DISCHARGING
96080,3.196,115.2,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
98081,3.191,115.2,-88.117,3.184,28.488,0x04,0x0E,DISCHARGING
100081,3.186,113.6,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
102082,3.196,115.2,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
104083,3.196,111.6,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
106085,3.186,113.6,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
108086,3.196,113.2,-88.117,3.178,28.488,0x04,0x0E,DISCHARGING
110087,3.186,115.2,-88.117,3.178,29.281,0x04,0x0E,DISCHARGING
112088,3.191,110.4,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
114090,3.186,113.2,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
116091,3.186,113.2,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
118093,3.186,114.4,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
120095,3.196,113.2,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
122096,3.186,113.2,-88.117,3.171,28.488,0x04,0x0E,DISCHARGING
124098,3.186,115.2,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
126100,3.176,110.4,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
128102,3.181,114.0,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
130104,3.176,116.8,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
132105,3.176,115.2,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
134107,3.176,114.4,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
136109,3.176,111.6,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
138111,3.176,111.6,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
140113,3.176,115.2,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
142114,3.167,112.4,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
144115,3.167,116.8,-88.117,3.165,28.488,0x04,0x0E,DISCHARGING
146117,3.167,114.4,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
148119,3.172,115.2,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
150121,3.172,114.4,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
152123,3.167,113.6,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
154125,3.167,112.0,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
156126,3.167,115.2,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
158128,3.167,111.6,-88.117,3.159,28.488,0x04,0x0E,DISCHARGING
160130,3.176,114.0,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
162131,3.167,115.2,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
164133,3.167,113.2,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
166135,3.167,118.4,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
168137,3.172,111.6,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
170138,3.176,114.0,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
172139,3.167,114.4,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
174141,3.167,115.2,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
176142,3.167,114.0,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
178143,3.167,115.2,-88.117,3.153,28.488,0x04,0x0E,DISCHARGING
180145,3.167,112.0,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
182146,3.167,116.8,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
184148,3.167,112.8,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
186150,3.167,112.0,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
188152,3.167,118.4,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
190154,3.167,113.2,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
192155,3.167,115.2,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
194157,3.167,113.6,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
196158,3.167,116.0,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
198159,3.157,111.6,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
200160,3.167,114.8,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
202162,3.157,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
204163,3.157,115.2,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
206165,3.157,113.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
208166,3.157,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
210168,3.157,111.6,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
212169,3.157,111.6,-88.117,3.146,28.488,0x04,0x0E,DISCHARGING
214171,3.157,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
216173,3.157,113.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
218175,3.157,115.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
220177,3.157,110.0,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
222178,3.157,113.6,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
224179,3.157,113.6,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
226181,3.157,115.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
228183,3.147,113.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
230185,3.147,112.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
232187,3.147,114.0,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
234189,3.157,115.6,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
236191,3.157,118.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
238193,3.147,115.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
240195,3.147,118.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
242197,3.157,114.0,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
244199,3.147,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
246201,3.147,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
248203,3.152,114.4,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
250205,3.147,113.2,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
252206,3.147,114.4,-88.117,3.134,28.488,0x04,0x0E,DISCHARGING
254208,3.152,115.2,-88.117,3.134,28.488,0x04,0x0E,DISCHARGING
256209,3.147,114.8,-88.117,3.14,28.488,0x04,0x0E,DISCHARGING
258211,3.147,113.2,-88.117,3.134,28.488,0x04,0x0E,DISCHARGING
