time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.927,-16.65,31.868,4.773,38.792,0x0C,0x0E,CHARGING
2002,2.986,-183.6,31.868,4.58,46.718,0x0F,0x0E,CHARGING
4004,2.991,-183.825,31.977,4.58,47.511,0x0F,0x0E,CHARGING
6006,3.0,-183.825,32.197,4.58,49.889,0x0F,0x0E,CHARGING
8008,3.005,-183.6,32.416,4.586,50.681,0x0F,0x0E,CHARGING
10010,3.01,-183.825,32.747,4.586,51.474,0x0F,0x0E,CHARGING
12012,3.01,-183.825,32.968,4.586,52.266,0x0F,0x0E,CHARGING
14014,3.015,-184.05,33.189,4.58,53.059,0x0F,0x0E,CHARGING
16016,3.02,-184.05,33.3,4.586,53.059,0x0F,0x0E,CHARGING
18018,3.025,-184.275,33.412,4.586,53.852,0x0F,0x0E,CHARGING
20020,3.03,-184.05,33.634,4.586,53.059,0x0F,0x0E,CHARGING
22022,3.035,-184.05,33.746,4.586,53.852,0x0F,0x0E,CHARGING
24024,3.04,-184.275,33.746,4.592,54.644,0x0F,0x0E,CHARGING
26026,3.035,-184.275,33.858,4.586,54.644,0x0F,0x0E,CHARGING
28028,3.044,-184.275,33.97,4.58,54.644,0x0F,0x0E,CHARGING
30030,3.049,-184.5,33.97,4.58,55.437,0x0F,0x0E,CHARGING
32032,3.049,-184.275,33.634,4.586,54.644,0x0F,0x0E,CHARGING
34034,3.049,-184.5,34.082,4.586,54.644,0x0F,0x0E,CHARGING
36036,3.059,-184.5,34.082,4.586,54.644,0x0F,0x0E,CHARGING
38038,3.059,-184.275,33.634,4.586,58.607,0x0F,0x0E,CHARGING
40040,3.059,-184.5,34.194,4.592,55.437,0x0F,0x0E,CHARGING
42042,3.059,-184.5,34.194,4.586,55.437,0x0F,0x0E,CHARGING
44044,3.069,-184.5,34.194,4.58,55.437,0x0F,0x0E,CHARGING
46046,3.069,-184.5,34.194,4.586,55.437,0x0F,0x0E,CHARGING
48048,3.074,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
50050,3.074,-184.5,34.194,4.592,55.437,0x0F,0x0E,CHARGING
52052,3.079,-184.5,34.307,4.586,55.437,0x0F,0x0E,CHARGING
54054,3.079,-184.5,34.307,4.598,56.229,0x0F,0x0E,CHARGING
56056,3.084,-184.725,34.307,4.586,56.229,0x0F,0x0E,CHARGING
58057,3.088,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
60058,3.093,-184.5,34.307,4.586,55.437,0x0F,0x0E,CHARGING
62059,3.088,-184.725,34.307,4.58,54.644,0x0F,0x0E,CHARGING
64061,3.093,-184.95,34.307,4.586,56.229,0x0F,0x0E,CHARGING
66063,3.098,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
68064,3.098,-184.95,34.307,4.58,58.607,0x0F,0x0E,CHARGING
70065,3.098,-184.95,34.307,4.586,55.437,0x0F,0x0E,CHARGING
72067,3.103,-184.725,34.307,4.592,55.437,0x0F,0x0E,CHARGING
74069,3.103,-184.725,34.419,4.586,55.437,0x0F,0x0E,CHARGING
76071,3.113,-184.725,34.307,4.586,54.644,0x0F,0x0E,CHARGING
78073,3.108,-184.725,34.307,4.592,55.437,0x0F,0x0E,CHARGING
80075,3.108,-184.725,34.307,4.592,55.437,0x0F,0x0E,CHARGING
82077,3.118,-184.725,34.758,4.586,55.437,0x0F,0x0E,CHARGING
84079,3.118,-185.175,34.419,4.586,55.437,0x0F,0x0E,CHARGING
86081,3.118,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
88083,3.123,-184.95,34.307,4.586,55.437,0x0F,0x0E,CHARGING
90085,3.118,-185.175,34.307,4.586,55.437,0x0F,0x0E,CHARGING
92087,3.128,-185.175,34.307,4.586,55.437,0x0F,0x0E,CHARGING
94089,3.128,-184.95,34.307,4.586,55.437,0x0F,0x0E,CHARGING
96091,3.128,-184.95,34.307,4.586,55.437,0x0F,0x0E,CHARGING
98093,3.132,-185.175,34.307,4.592,55.437,0x0F,0x0E,CHARGING
100095,3.132,-184.95,34.307,4.586,56.229,0x0F,0x0E,CHARGING
102097,3.137,-185.175,34.307,4.586,56.229,0x0F,0x0E,CHARGING
104098,3.137,-185.175,34.307,4.592,55.437,0x0F,0x0E,CHARGING
106100,3.137,-185.175,34.307,4.598,54.644,0x0F,0x0E,CHARGING
108101,3.137,-184.95,34.194,4.586,55.437,0x0F,0x0E,CHARGING
110103,3.142,-185.175,34.307,4.586,55.437,0x0F,0x0E,CHARGING
112105,3.147,-185.175,34.194,4.586,54.644,0x0F,0x0E,CHARGING
114106,3.147,-185.4,34.194,4.586,54.644,0x0F,0x0E,CHARGING
116108,3.147,-185.175,34.307,4.586,54.644,0x0F,0x0E,CHARGING
118110,3.147,-185.175,34.194,4.592,54.644,0x0F,0x0E,CHARGING
120112,3.157,-185.175,34.307,4.58,53.852,0x0F,0x0E,CHARGING
122114,3.157,-185.4,34.194,4.586,54.644,0x0F,0x0E,CHARGING
124116,3.157,-185.4,34.194,4.586,54.644,0x0F,0x0E,CHARGING
126118,3.157,-185.4,34.307,4.586,54.644,0x0F,0x0E,CHARGING
128120,3.157,-185.175,34.194,4.586,53.852,0x0F,0x0E,CHARGING
130122,3.157,-185.625,34.194,4.592,53.852,0x0F,0x0E,CHARGING
132124,3.162,-185.175,34.194,4.592,54.644,0x0F,0x0E,CHARGING
134126,3.167,-186.3,34.194,4.586,54.644,0x0F,0x0E,CHARGING
136128,3.167,-185.4,34.194,4.586,54.644,0x0F,0x0E,CHARGING
138130,3.167,-185.175,34.194,4.586,54.644,0x0F,0x0E,CHARGING
140131,3.167,-185.625,34.194,4.586,53.852,0x0F,0x0E,CHARGING
142133,3.176,-185.4,34.082,4.586,54.644,0x0F,0x0E,CHARGING
144134,3.176,-185.4,34.194,4.598,54.644,0x0F,0x0E,CHARGING
146136,3.176,-185.625,34.082,4.58,54.644,0x0F,0x0E,CHARGING
148138,3.176,-185.4,34.082,4.592,53.852,0x0F,0x0E,CHARGING
150140,3.176,-185.625,34.194,4.586,54.644,0x0F,0x0E,CHARGING
152142,3.176,-185.4,34.082,4.592,54.644,0x0F,0x0E,CHARGING
154144,3.181,-185.85,34.082,4.592,54.644,0x0F,0x0E,CHARGING
156146,3.181,-185.625,34.082,4.592,54.644,0x0F,0x0E,CHARGING
158148,3.186,-185.625,34.082,4.586,53.852,0x0F,0x0E,CHARGING
160150,3.181,-185.4,34.082,4.592,53.852,0x0F,0x0E,CHARGING
162152,3.186,-185.625,34.082,4.592,54.644,0x0F,0x0E,CHARGING
164154,3.191,-185.625,33.634,4.598,57.022,0x0F,0x0E,CHARGING
166156,3.196,-185.625,34.082,4.586,53.059,0x0F,0x0E,CHARGING
168158,3.191,-185.625,33.97,4.586,54.644,0x0F,0x0E,CHARGING
170160,3.191,-185.625,34.082,4.586,53.852,0x0F,0x0E,CHARGING
172161,3.196,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
174162,3.196,-185.85,33.97,4.586,53.852,0x0F,0x0E,CHARGING
176164,3.196,-185.85,33.97,4.586,53.852,0x0F,0x0E,CHARGING
178165,3.201,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
180167,3.196,-185.85,33.97,4.586,53.852,0x0F,0x0E,CHARGING
182169,3.206,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
184171,3.201,-185.85,33.97,4.592,53.852,0x0F,0x0E,CHARGING
186173,3.206,-185.85,33.634,4.586,54.644,0x0F,0x0E,CHARGING
188175,3.201,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
190177,3.201,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
192179,3.211,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
194181,3.211,-185.85,34.082,4.592,53.852,0x0F,0x0E,CHARGING
196183,3.216,-185.85,34.082,4.592,53.852,0x0F,0x0E,CHARGING
198185,3.216,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
200187,3.216,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
202189,3.216,-185.85,34.194,4.586,53.852,0x0F,0x0E,CHARGING
204191,3.216,-185.85,34.082,4.586,53.852,0x0F,0x0E,CHARGING
206193,3.22,-185.85,33.97,4.592,53.852,0x0F,0x0E,CHARGING
208195,3.225,-185.625,34.082,4.586,53.852,0x0F,0x0E,CHARGING
210197,3.22,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
212199,3.22,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
214201,3.22,-186.075,34.082,4.586,53.059,0x0F,0x0E,CHARGING
216203,3.225,-185.85,34.082,4.586,53.059,0x0F,0x0E,CHARGING
218205,3.225,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
220207,3.225,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
222209,3.23,-185.85,34.082,4.592,53.852,0x0F,0x0E,CHARGING
224211,3.23,-186.3,34.082,4.586,57.022,0x0F,0x0E,CHARGING
226213,3.23,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
228215,3.23,-186.3,34.082,4.586,53.059,0x0F,0x0E,CHARGING
230217,3.23,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
232218,3.23,-186.075,34.082,4.586,53.059,0x0F,0x0E,CHARGING
234220,3.235,-186.3,34.082,4.586,53.852,0x0F,0x0E,CHARGING
236222,3.235,-186.3,34.082,4.586,53.852,0x0F,0x0E,CHARGING
238224,3.235,-186.075,34.082,4.592,53.852,0x0F,0x0E,CHARGING
240225,3.24,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
242227,3.24,-186.3,34.082,4.598,53.852,0x0F,0x0E,CHARGING
244229,3.24,-186.075,34.082,4.586,53.059,0x0F,0x0E,CHARGING
246231,3.24,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
248233,3.24,-186.3,34.082,4.586,53.852,0x0F,0x0E,CHARGING
250235,3.245,-186.075,34.082,4.586,53.852,0x0F,0x0E,CHARGING
252237,3.25,-186.3,34.194,4.605,53.852,0x0F,0x0E,CHARGING
254238,3.245,-186.3,34.194,4.592,53.852,0x0F,0x0E,CHARGING
256240,3.245,-186.3,34.194,4.592,53.852,0x0F,0x0E,CHARGING
258242,3.245,-186.3,34.082,4.592,57.022,0x0F,0x0E,CHARGING
260244,3.25,-186.075,34.082,4.592,53.059,0x0F,0x0E,CHARGING
262246,3.25,-186.3,34.082,4.586,53.852,0x0F,0x0E,CHARGING
264248,3.255,-186.525,34.082,4.586,53.852,0x0F,0x0E,CHARGING
266250,3.255,-186.525,34.194,4.586,53.852,0x0F,0x0E,CHARGING
268252,3.255,-186.075,34.082,4.592,53.059,0x0F,0x0E,CHARGING
270254,3.255,-186.525,34.082,4.592,53.852,0x0F,0x0E,CHARGING
272256,3.26,-186.75,34.082,4.598,53.852,0x0F,0x0E,CHARGING
274258,3.26,-187.2,34.082,4.58,53.852,0x0F,0x0E,CHARGING
276260,3.26,-186.3,34.082,4.586,53.059,0x0F,0x0E,CHARGING
278262,3.255,-186.3,34.082,4.592,54.644,0x0F,0x0E,CHARGING
280264,3.26,-186.075,34.194,4.586,53.852,0x0F,0x0E,CHARGING
282266,3.264,-186.525,34.194,4.586,53.852,0x0F,0x0E,CHARGING
284268,3.264,-186.525,34.194,4.586,53.852,0x0F,0x0E,CHARGING
286270,3.264,-186.525,34.194,4.592,53.852,0x0F,0x0E,CHARGING
288272,3.264,-186.525,34.082,4.586,53.059,0x0F,0x0E,CHARGING
290273,3.264,-186.3,34.194,4.586,53.059,0x0F,0x0E,CHARGING
292275,3.269,-186.525,34.082,4.586,50.681,0x0F,0x0E,CHARGING
294277,3.269,-186.75,34.194,4.586,53.059,0x0F,0x0E,CHARGING
296279,3.264,-186.525,34.194,4.574,53.852,0x0F,0x0E,CHARGING
298281,3.269,-186.525,34.194,4.592,53.852,0x0F,0x0E,CHARGING
300283,3.264,-186.525,34.194,4.586,53.852,0x0F,0x0E,CHARGING
302284,3.274,-186.525,34.194,4.586,53.852,0x0F,0x0E,CHARGING
304286,3.274,-186.525,34.194,4.58,53.852,0x0F,0x0E,CHARGING
306288,3.274,-186.75,34.082,4.592,53.059,0x0F,0x0E,CHARGING
308290,3.274,-186.525,34.194,4.592,53.852,0x0F,0x0E,CHARGING
310292,3.274,-186.525,34.194,4.592,53.059,0x0F,0x0E,CHARGING
312293,3.274,-186.525,34.082,4.586,53.852,0x0F,0x0E,CHARGING
314295,3.274,-186.75,34.194,4.58,53.852,0x0F,0x0E,CHARGING
