time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.411,107.6,0.234,3.402,2.333,0x04,0x0E,DISCHARGING
2001,3.411,96.8,0.234,3.371,2.333,0x04,0x0E,DISCHARGING
4003,3.377,115.2,0.234,3.352,2.333,0x04,0x0E,DISCHARGING
6005,3.357,112.8,0.234,3.327,2.333,0x04,0x0E,DISCHARGING
8007,3.338,115.2,0.345,3.321,2.333,0x04,0x0E,DISCHARGING
10009,3.338,115.2,0.234,3.309,2.333,0x04,0x0E,DISCHARGING
12010,3.333,115.2,0.234,3.309,2.333,0x04,0x0E,DISCHARGING
14012,3.299,116.8,0.234,3.296,2.333,0x04,0x0E,DISCHARGING
16014,3.323,116.8,0.234,3.284,1.54,0x04,0x0E,DISCHARGING
18015,3.318,112.4,0.234,3.284,2.333,0x04,0x0E,DISCHARGING
20017,3.294,98.4,0.234,3.277,1.54,0x04,0x0E,DISCHARGING
22018,3.299,115.6,0.234,3.271,2.333,0x04,0x0E,DISCHARGING
24020,3.284,117.2,0.234,3.271,2.333,0x04,0x0E,DISCHARGING
26022,3.299,116.0,0.234,3.265,1.54,0x04,0x0E,DISCHARGING
28024,3.299,111.6,0.345,3.265,2.333,0x04,0x0E,DISCHARGING
30026,3.274,99.6,0.234,3.265,2.333,0x04,0x0E,DISCHARGING
32028,3.279,116.8,0.234,3.259,1.54,0x04,0x0E,DISCHARGING
34030,3.279,115.2,0.234,3.252,1.54,0x04,0x0E,DISCHARGING
36032,3.269,116.8,0.234,3.252,2.333,0x04,0x0E,DISCHARGING
38033,3.279,107.6,0.234,3.252,2.333,0x04,0x0E,DISCHARGING
40034,3.255,116.8,0.234,3.252,2.333,0x04,0x0E,DISCHARGING
42036,3.279,116.8,0.234,3.246,1.54,0x04,0x0E,DISCHARGING
44038,3.279,111.2,0.234,3.246,2.333,0x04,0x0E,DISCHARGING
46040,3.279,110.8,0.234,3.24,2.333,0x04,0x0E,DISCHARGING
48042,3.25,115.2,0.234,3.234,2.333,0x04,0x0E,DISCHARGING
50044,3.274,111.2,0.234,3.24,2.333,0x04,0x0E,DISCHARGING
52045,3.269,115.6,0.234,3.234,1.54,0x04,0x0E,DISCHARGING
54047,3.245,115.2,0.234,3.234,1.54,0x04,0x0E,DISCHARGING
56049,3.269,112.8,0.234,3.234,1.54,0x04,0x0E,DISCHARGING
58051,3.269,98.8,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
60053,3.26,111.2,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
62055,3.245,112.8,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
64057,3.26,112.8,0.234,3.221,1.54,0x04,0x0E,DISCHARGING
66059,3.26,113.2,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
68060,3.26,115.6,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
70062,3.25,111.2,0.234,3.221,1.54,0x04,0x0E,DISCHARGING
72063,3.25,110.8,0.234,3.221,2.333,0x04,0x0E,DISCHARGING
74065,3.245,118.8,0.345,3.215,1.54,0x04,0x0E,DISCHARGING
76067,3.245,116.8,0.234,3.221,1.54,0x04,0x0E,DISCHARGING
78069,3.23,111.2,0.234,3.228,1.54,0x04,0x0E,DISCHARGING
80071,3.23,114.0,0.234,3.215,1.54,0x04,0x0E,DISCHARGING
82073,3.245,118.8,0.345,3.215,1.54,0x04,0x0E,DISCHARGING
84075,3.245,116.8,0.345,3.215,1.54,0x04,0x0E,DISCHARGING
86077,3.245,113.2,0.234,3.215,1.54,0x04,0x0E,DISCHARGING
88079,3.245,116.4,0.345,3.221,1.54,0x04,0x0E,DISCHARGING
90080,3.245,116.0,0.345,3.209,2.333,0x04,0x0E,DISCHARGING
92082,3.25,114.0,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
94084,3.25,117.2,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
96086,3.245,117.2,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
98087,3.22,115.6,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
100088,3.25,115.6,0.345,3.203,1.54,0x04,0x0E,DISCHARGING
102089,3.245,111.6,0.234,3.209,1.54,0x04,0x0E,DISCHARGING
104091,3.23,115.6,0.234,3.203,1.54,0x04,0x0E,DISCHARGING
106093,3.245,113.2,0.234,3.203,1.54,0x04,0x0E,DISCHARGING
108094,3.245,111.2,0.234,3.209,2.333,0x04,0x0E,DISCHARGING
110096,3.211,111.2,0.234,3.203,1.54,0x04,0x0E,DISCHARGING
112098,3.245,111.6,0.345,3.209,2.333,0x04,0x0E,DISCHARGING
114100,3.245,99.2,0.345,3.203,2.333,0x04,0x0E,DISCHARGING
116102,3.211,111.2,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
118103,3.211,115.2,0.345,3.203,1.54,0x04,0x0E,DISCHARGING
120105,3.22,113.2,0.234,3.203,1.54,0x04,0x0E,DISCHARGING
122106,3.23,115.6,0.234,3.203,2.333,0x04,0x0E,DISCHARGING
124108,3.23,115.6,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
126110,3.23,113.2,0.345,3.196,1.54,0x04,0x0E,DISCHARGING
128112,3.23,113.2,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
130114,3.23,111.2,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
132116,3.23,116.8,0.345,3.196,1.54,0x04,0x0E,DISCHARGING
134118,3.211,116.8,0.345,3.209,1.54,0x04,0x0E,DISCHARGING
136119,3.22,118.4,0.345,3.203,1.54,0x04,0x0E,DISCHARGING
138121,3.211,111.6,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
140123,3.211,111.6,0.345,3.196,1.54,0x04,0x0E,DISCHARGING
142124,3.225,116.8,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
144126,3.225,116.4,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
146128,3.211,118.8,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
148129,3.211,111.6,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
150131,3.23,112.8,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
152133,3.23,115.2,0.234,3.203,1.54,0x04,0x0E,DISCHARGING
154134,3.23,118.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
156136,3.225,128.0,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
158137,3.23,116.8,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
160139,3.211,100.4,0.345,3.196,2.333,0x04,0x0E,DISCHARGING
162140,3.206,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
164142,3.225,116.0,0.345,3.19,2.333,0x04,0x0E,DISCHARGING
166143,3.225,116.4,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
168144,3.225,114.8,0.345,3.19,2.333,0x04,0x0E,DISCHARGING
170146,3.211,116.8,0.234,3.196,2.333,0x04,0x0E,DISCHARGING
172147,3.211,115.2,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
174149,3.206,111.2,0.345,3.196,1.54,0x04,0x0E,DISCHARGING
176150,3.211,113.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
178151,3.206,113.2,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
180153,3.206,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
182155,3.225,118.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
184157,3.225,113.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
186159,3.211,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
188161,3.206,115.6,0.345,3.196,2.333,0x04,0x0E,DISCHARGING
190162,3.211,113.2,0.345,3.19,2.333,0x04,0x0E,DISCHARGING
192164,3.225,116.8,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
194166,3.211,113.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
196167,3.23,104.0,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
198168,3.225,113.2,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
200170,3.211,114.8,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
202172,3.206,112.8,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
204174,3.225,114.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
206176,3.225,115.6,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
208178,3.211,118.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
210180,3.211,118.4,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
212181,3.211,114.8,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
214183,3.211,111.2,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
216185,3.225,113.2,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
218186,3.225,115.6,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
220188,3.211,111.6,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
222190,3.206,111.2,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
224191,3.206,100.4,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
226193,3.211,113.6,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
228195,3.225,113.2,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
230197,3.211,115.6,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
232198,3.211,115.6,0.234,3.19,2.333,0x04,0x0E,DISCHARGING
234200,3.225,112.4,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
236202,3.211,118.4,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
238204,3.225,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
240205,3.211,108.4,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
242207,3.225,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
244209,3.206,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
246211,3.206,114.0,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
248212,3.211,113.2,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
250214,3.211,118.8,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
252215,3.225,103.2,0.234,3.196,1.54,0x04,0x0E,DISCHARGING
254217,3.211,113.2,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
256219,3.211,112.4,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
258221,3.206,113.2,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
260222,3.206,115.6,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
262224,3.211,118.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
264226,3.206,118.8,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
266228,3.211,113.2,0.345,3.178,1.54,0x04,0x0E,DISCHARGING
268229,3.206,115.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
270231,3.225,101.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
272233,3.206,118.8,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
274234,3.211,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
276236,3.206,114.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
278238,3.211,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
280240,3.211,100.4,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
282242,3.211,116.4,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
284244,3.206,114.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
286246,3.211,111.6,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
288247,3.211,117.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
290249,3.211,115.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
292251,3.211,116.8,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
294252,3.211,111.6,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
296253,3.211,115.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
298255,3.211,106.0,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
300257,3.211,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
302259,3.211,116.8,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
304261,3.206,113.2,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
306262,3.206,112.8,0.345,3.184,2.333,0x04,0x0E,DISCHARGING
308264,3.211,117.6,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
310266,3.211,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
312268,3.211,117.2,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
314270,3.211,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
316272,3.211,114.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
318274,3.206,112.8,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
320276,3.211,128.0,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
322278,3.206,116.8,0.234,3.184,2.333,0x04,0x0E,DISCHARGING
324280,3.206,118.8,0.234,3.184,2.333,0x04,0x0E,DISCHARGING
326282,3.206,118.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
328283,3.206,116.8,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
330285,3.211,112.4,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
332287,3.206,112.4,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
334288,3.211,115.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
336289,3.225,101.6,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
338291,3.211,115.6,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
340293,3.211,118.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
342295,3.211,114.4,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
344297,3.206,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
346299,3.225,104.0,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
348301,3.206,116.8,0.345,3.184,2.333,0x04,0x0E,DISCHARGING
350303,3.206,114.4,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
352304,3.211,116.0,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
354306,3.206,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
356308,3.211,111.2,0.234,3.19,1.54,0x04,0x0E,DISCHARGING
358310,3.211,114.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
360311,3.211,113.2,0.345,3.178,1.54,0x04,0x0E,DISCHARGING
362313,3.211,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
364315,3.206,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
366317,3.211,113.2,0.345,3.184,2.333,0x04,0x0E,DISCHARGING
368319,3.211,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
370321,3.211,119.2,0.345,3.178,1.54,0x04,0x0E,DISCHARGING
372322,3.206,111.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
374324,3.211,102.0,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
376326,3.201,116.8,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
378328,3.211,117.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
380329,3.206,111.6,0.234,3.184,2.333,0x04,0x0E,DISCHARGING
382330,3.211,114.4,0.345,3.184,2.333,0x04,0x0E,DISCHARGING
384332,3.201,116.8,0.345,3.19,1.54,0x04,0x0E,DISCHARGING
386333,3.211,114.0,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
388335,3.206,113.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
390336,3.211,111.2,0.345,3.184,1.54,0x04,0x0E,DISCHARGING
392338,3.211,100.8,0.234,3.184,1.54,0x04,0x0E,DISCHARGING
