time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000023639,2.927,-16.650,31.868,4.773,38.792,0x0C,0x0E,CHARGING
000025641,2.986,-183.600,31.868,4.580,46.718,0x0F,0x0E,CHARGING
000027643,2.991,-183.825,31.977,4.580,47.511,0x0F,0x0E,CHARGING
000029645,3.000,-183.825,32.197,4.580,49.889,0x0F,0x0E,CHARGING
000031647,3.005,-183.600,32.416,4.586,50.681,0x0F,0x0E,CHARGING
000033649,3.010,-183.825,32.747,4.586,51.474,0x0F,0x0E,CHARGING
000035651,3.010,-183.825,32.968,4.586,52.266,0x0F,0x0E,CHARGING
000037653,3.015,-184.050,33.189,4.580,53.059,0x0F,0x0E,CHARGING
000039655,3.020,-184.050,33.300,4.586,53.059,0x0F,0x0E,CHARGING
000041657,3.025,-184.275,33.412,4.586,53.852,0x0F,0x0E,CHARGING
000043659,3.030,-184.050,33.634,4.586,53.059,0x0F,0x0E,CHARGING
000045661,3.035,-184.050,33.746,4.586,53.852,0x0F,0x0E,CHARGING
000047663,3.040,-184.275,33.746,4.592,54.644,0x0F,0x0E,CHARGING
000049665,3.035,-184.275,33.858,4.586,54.644,0x0F,0x0E,CHARGING
000051667,3.044,-184.275,33.970,4.580,54.644,0x0F,0x0E,CHARGING
000053669,3.049,-184.500,33.970,4.580,55.437,0x0F,0x0E,CHARGING
000055671,3.049,-184.275,33.634,4.586,54.644,0x0F,0x0E,CHARGING
000057673,3.049,-184.500,34.082,4.586,54.644,0x0F,0x0E,CHARGING
000059675,3.059,-184.500,34.082,4.586,54.644,0x0F,0x0E,CHARGING
000061677,3.059,-184.275,33.634,4.586,58.607,0x0F,0x0E,CHARGING
000063679,3.059,-184.500,34.194,4.592,55.437,0x0F,0x0E,CHARGING
000065681,3.059,-184.500,34.194,4.586,55.437,0x0F,0x0E,CHARGING
000067683,3.069,-184.500,34.194,4.580,55.437,0x0F,0x0E,CHARGING
000069685,3.069,-184.500,34.194,4.586,55.437,0x0F,0x0E,CHARGING
000071687,3.074,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000073689,3.074,-184.500,34.194,4.592,55.437,0x0F,0x0E,CHARGING
000075691,3.079,-184.500,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000077693,3.079,-184.500,34.307,4.598,56.229,0x0F,0x0E,CHARGING
000079695,3.084,-184.725,34.307,4.586,56.229,0x0F,0x0E,CHARGING
000081696,3.088,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000083697,3.093,-184.500,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000085698,3.088,-184.725,34.307,4.580,54.644,0x0F,0x0E,CHARGING
000087700,3.093,-184.950,34.307,4.586,56.229,0x0F,0x0E,CHARGING
000089702,3.098,-184.725,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000091703,3.098,-184.950,34.307,4.580,58.607,0x0F,0x0E,CHARGING
000093704,3.098,-184.950,34.307,4.586,55.437,0x0F,0x0E,CHARGING
000095706,3.103,-184.725,34.307,4.592,55.437,0x0F,0x0E,CHARGING
000097708,3.103,-184.725,34.419,4.586,55.437,0x0F,0x0E,CHARGING
