time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000023790,3.000,-16.875,25.308,4.760,38.000,0x0C,0x0E,CHARGING
000024884,3.079,-186.075,25.205,4.567,40.377,0x0F,0x0E,CHARGING
000025970,3.084,-186.075,25.308,4.567,41.170,0x0F,0x0E,CHARGING
000027056,3.088,-186.075,25.308,4.567,41.170,0x0F,0x0E,CHARGING
000028141,3.088,-186.075,25.308,4.567,41.170,0x0F,0x0E,CHARGING
000029227,3.088,-186.075,25.308,4.567,41.963,0x0F,0x0E,CHARGING
000030312,3.093,-186.300,25.308,4.567,41.963,0x0F,0x0E,CHARGING
000031398,3.093,-186.300,25.308,4.580,41.170,0x0F,0x0E,CHARGING
000032484,3.098,-186.300,25.411,4.580,41.963,0x0F,0x0E,CHARGING
000033570,3.103,-186.075,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000034656,3.098,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000035742,3.108,-186.300,25.411,4.567,41.170,0x0F,0x0E,CHARGING
000036828,3.108,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000037914,3.113,-186.525,25.411,4.574,41.963,0x0F,0x0E,CHARGING
000038999,3.113,-186.750,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000040085,3.113,-186.300,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000041171,3.118,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000042257,3.118,-186.525,25.411,4.574,41.963,0x0F,0x0E,CHARGING
000043342,3.118,-186.525,25.514,4.567,45.133,0x0F,0x0E,CHARGING
000044428,3.123,-186.525,25.411,4.574,42.755,0x0F,0x0E,CHARGING
000045514,3.128,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000046600,3.128,-186.525,25.514,4.567,42.755,0x0F,0x0E,CHARGING
000047686,3.128,-186.525,25.411,4.567,41.963,0x0F,0x0E,CHARGING
000048772,3.128,-186.750,25.514,4.580,41.963,0x0F,0x0E,CHARGING
000049858,3.128,-186.525,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000050944,3.132,-186.300,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000052030,3.132,-186.525,25.514,4.574,42.755,0x0F,0x0E,CHARGING
000053116,3.132,-186.750,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000054202,3.137,-186.750,25.514,4.574,41.963,0x0F,0x0E,CHARGING
000055288,3.142,-186.750,25.514,4.567,42.755,0x0F,0x0E,CHARGING
000056374,3.142,-186.750,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000057460,3.142,-186.750,25.514,4.567,42.755,0x0F,0x0E,CHARGING
000058546,3.142,-186.525,25.514,4.574,42.755,0x0F,0x0E,CHARGING
000059632,3.142,-186.750,25.514,4.567,42.755,0x0F,0x0E,CHARGING
000060718,3.147,-186.750,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000061804,3.147,-186.525,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000062890,3.147,-186.525,25.617,4.567,42.755,0x0F,0x0E,CHARGING
000063976,3.152,-186.975,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000065062,3.147,-186.750,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000066148,3.152,-186.750,25.514,4.567,41.963,0x0F,0x0E,CHARGING
000067233,3.152,-186.750,25.617,4.567,42.755,0x0F,0x0E,CHARGING
000068318,3.152,-186.750,25.617,4.561,41.963,0x0F,0x0E,CHARGING
000069404,3.162,-186.750,25.617,4.574,41.963,0x0F,0x0E,CHARGING
000070490,3.157,-186.750,25.514,4.567,42.755,0x0F,0x0E,CHARGING
000071576,3.162,-186.750,25.617,4.567,41.963,0x0F,0x0E,CHARGING
000072661,3.167,-186.975,25.617,4.567,41.963,0x0F,0x0E,CHARGING
000073747,3.162,-186.975,25.617,4.567,42.755,0x0F,0x0E,CHARGING
000074833,3.162,-186.750,25.617,4.574,42.755,0x0F,0x0E,CHARGING
000075919,3.167,-186.750,25.617,4.567,41.963,0x0F,0x0E,CHARGING
000077005,3.167,-186.750,25.617,4.567,41.963,0x0F,0x0E,CHARGING
