time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.65,34.984,4.76,40.377,0x0C,0x0E,CHARGING
1085,2.986,-185.175,34.871,4.567,46.718,0x0F,0x0E,CHARGING
2171,2.996,-185.4,34.984,4.574,48.303,0x0F,0x0E,CHARGING
3257,2.996,-185.175,34.984,4.567,48.303,0x0F,0x0E,CHARGING
4343,2.996,-185.4,35.098,4.567,49.096,0x0F,0x0E,CHARGING
5429,3.005,-185.625,34.984,4.574,49.889,0x0F,0x0E,CHARGING
6515,3.005,-185.625,34.984,4.567,49.889,0x0F,0x0E,CHARGING
7601,3.01,-185.85,35.098,4.574,50.681,0x0F,0x0E,CHARGING
8686,3.015,-185.85,34.984,4.574,49.889,0x0F,0x0E,CHARGING
9772,3.015,-185.625,35.098,4.574,50.681,0x0F,0x0E,CHARGING
10858,3.02,-185.85,34.984,4.58,50.681,0x0F,0x0E,CHARGING
11944,3.02,-185.625,34.984,4.574,51.474,0x0F,0x0E,CHARGING
13030,3.02,-185.625,35.098,4.574,51.474,0x0F,0x0E,CHARGING
14116,3.025,-185.85,35.098,4.58,51.474,0x0F,0x0E,CHARGING
15202,3.03,-185.85,35.098,4.574,52.266,0x0F,0x0E,CHARGING
16288,3.03,-185.625,35.098,4.574,52.266,0x0F,0x0E,CHARGING
17374,3.035,-185.625,35.098,4.58,52.266,0x0F,0x0E,CHARGING
18460,3.03,-185.85,35.098,4.586,52.266,0x0F,0x0E,CHARGING
19546,3.04,-185.175,35.098,4.586,50.681,0x0F,0x0E,CHARGING
20632,3.044,-185.625,35.212,4.574,52.266,0x0F,0x0E,CHARGING
21718,3.044,-186.075,35.212,4.58,52.266,0x0F,0x0E,CHARGING
22804,3.049,-186.075,35.212,4.574,52.266,0x0F,0x0E,CHARGING
23890,3.049,-186.075,35.212,4.574,55.437,0x0F,0x0E,CHARGING
24976,3.049,-185.85,35.212,4.574,52.266,0x0F,0x0E,CHARGING
26062,3.049,-185.85,35.212,4.58,52.266,0x0F,0x0E,CHARGING
27148,3.054,-185.85,35.326,4.567,53.059,0x0F,0x0E,CHARGING
28234,3.054,-186.075,35.326,4.574,52.266,0x0F,0x0E,CHARGING
29320,3.059,-186.075,35.326,4.574,52.266,0x0F,0x0E,CHARGING
30405,3.064,-186.075,35.326,4.574,53.059,0x0F,0x0E,CHARGING
31491,3.059,-186.075,35.326,4.58,52.266,0x0F,0x0E,CHARGING
32577,3.064,-186.075,35.212,4.574,53.059,0x0F,0x0E,CHARGING
33662,3.059,-186.3,35.212,4.58,52.266,0x0F,0x0E,CHARGING
34748,3.069,-186.3,35.326,4.574,53.059,0x0F,0x0E,CHARGING
35834,3.069,-186.075,35.212,4.586,53.059,0x0F,0x0E,CHARGING
36919,3.074,-186.075,35.212,4.58,53.059,0x0F,0x0E,CHARGING
38005,3.069,-186.075,35.326,4.574,52.266,0x0F,0x0E,CHARGING
39091,3.069,-186.3,35.326,4.574,53.059,0x0F,0x0E,CHARGING
