time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.44,102.0,35.44,3.414,37.207,0x04,0x0E,DISCHARGING
1086,3.421,112.4,35.44,3.402,37.207,0x04,0x0E,DISCHARGING
2172,3.411,108.4,35.44,3.396,37.207,0x04,0x0E,DISCHARGING
3258,3.401,113.6,35.44,3.396,37.207,0x04,0x0E,DISCHARGING
4344,3.401,100.8,35.44,3.39,37.207,0x04,0x0E,DISCHARGING
5429,3.401,103.2,35.44,3.383,37.207,0x04,0x0E,DISCHARGING
6515,3.416,108.4,35.44,3.377,36.414,0x04,0x0E,DISCHARGING
7601,3.387,115.2,35.44,3.377,36.414,0x04,0x0E,DISCHARGING
8687,3.396,111.2,35.44,3.371,37.207,0x04,0x0E,DISCHARGING
9773,3.377,118.4,35.44,3.365,36.414,0x04,0x0E,DISCHARGING
10859,3.372,113.6,35.44,3.365,36.414,0x04,0x0E,DISCHARGING
11944,3.377,108.4,35.44,3.358,36.414,0x04,0x0E,DISCHARGING
13030,3.372,108.4,35.44,3.358,36.414,0x04,0x0E,DISCHARGING
14116,3.372,114.4,35.44,3.358,36.414,0x04,0x0E,DISCHARGING
15202,3.367,112.0,35.44,3.352,36.414,0x04,0x0E,DISCHARGING
16288,3.362,113.6,35.44,3.352,36.414,0x04,0x0E,DISCHARGING
17374,3.362,115.6,35.44,3.352,37.207,0x04,0x0E,DISCHARGING
18460,3.362,112.8,35.44,3.346,36.414,0x04,0x0E,DISCHARGING
19546,3.362,116.8,35.44,3.346,36.414,0x04,0x0E,DISCHARGING
20632,3.372,115.2,35.44,3.352,36.414,0x04,0x0E,DISCHARGING
21718,3.362,102.0,35.44,3.34,36.414,0x04,0x0E,DISCHARGING
22804,3.347,116.0,35.44,3.34,36.414,0x04,0x0E,DISCHARGING
23889,3.347,113.2,35.44,3.34,36.414,0x04,0x0E,DISCHARGING
24974,3.347,112.4,35.44,3.333,36.414,0x04,0x0E,DISCHARGING
26060,3.343,116.0,35.44,3.333,36.414,0x04,0x0E,DISCHARGING
27146,3.357,113.2,35.44,3.333,36.414,0x04,0x0E,DISCHARGING
28232,3.343,115.6,35.44,3.327,36.414,0x04,0x0E,DISCHARGING
29318,3.343,112.4,35.44,3.327,36.414,0x04,0x0E,DISCHARGING
30404,3.343,115.2,35.44,3.327,36.414,0x04,0x0E,DISCHARGING
31490,3.343,113.6,35.44,3.321,37.207,0x04,0x0E,DISCHARGING
32576,3.333,115.2,35.44,3.327,36.414,0x04,0x0E,DISCHARGING
33662,3.333,114.0,35.44,3.321,36.414,0x04,0x0E,DISCHARGING
34748,3.338,117.6,35.44,3.321,36.414,0x04,0x0E,DISCHARGING
35833,3.333,110.0,35.44,3.321,36.414,0x04,0x0E,DISCHARGING
36919,3.333,113.6,35.44,3.321,36.414,0x04,0x0E,DISCHARGING
38005,3.328,111.2,35.44,3.327,36.414,0x04,0x0E,DISCHARGING
39091,3.333,103.2,35.44,3.315,36.414,0x04,0x0E,DISCHARGING
40177,3.338,112.8,35.44,3.315,36.414,0x04,0x0E,DISCHARGING
41263,3.323,115.6,35.44,3.315,36.414,0x04,0x0E,DISCHARGING
42349,3.328,113.6,35.44,3.315,36.414,0x04,0x0E,DISCHARGING
43435,3.333,112.4,35.44,3.315,36.414,0x04,0x0E,DISCHARGING
44521,3.323,115.2,35.44,3.309,36.414,0x04,0x0E,DISCHARGING
45607,3.323,116.0,35.44,3.302,36.414,0x04,0x0E,DISCHARGING
46693,3.338,118.8,35.44,3.302,36.414,0x04,0x0E,DISCHARGING
47779,3.328,114.0,35.44,3.309,36.414,0x04,0x0E,DISCHARGING
48864,3.323,118.4,35.44,3.302,36.414,0x04,0x0E,DISCHARGING
49949,3.328,116.0,35.44,3.309,36.414,0x04,0x0E,DISCHARGING
51035,3.323,112.8,35.44,3.302,36.414,0x04,0x0E,DISCHARGING
52121,3.323,113.6,35.44,3.302,36.414,0x04,0x0E,DISCHARGING
