time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.443,-16.2,24.897,4.767,26.903,0x0C,0x0E,CHARGING
1094,2.463,-16.2,25.0,4.767,27.696,0x0C,0x0E,CHARGING
2180,2.478,-16.2,25.0,4.767,24.525,0x0C,0x0E,CHARGING
3266,2.482,-16.2,25.0,4.767,28.488,0x0C,0x0E,CHARGING
4352,2.492,-16.2,24.897,4.767,27.696,0x0C,0x0E,CHARGING
5437,2.492,-16.425,25.0,4.76,31.659,0x0C,0x0E,CHARGING
6523,2.497,-16.2,25.0,4.773,28.488,0x0C,0x0E,CHARGING
7609,2.502,-16.2,25.0,4.779,28.488,0x0C,0x0E,CHARGING
8695,2.502,-16.425,25.0,4.767,29.281,0x0C,0x0E,CHARGING
9781,2.512,-16.2,25.0,4.767,29.281,0x0C,0x0E,CHARGING
10867,2.517,-16.2,25.0,4.773,28.488,0x0C,0x0E,CHARGING
11952,2.517,-16.2,25.0,4.767,28.488,0x0C,0x0E,CHARGING
13038,2.521,-16.2,25.0,4.773,29.281,0x0C,0x0E,CHARGING
14124,2.526,-16.2,25.0,4.767,29.281,0x0C,0x0E,CHARGING
15210,2.526,-16.2,25.0,4.767,29.281,0x0C,0x0E,CHARGING
16296,2.531,-16.425,25.0,4.767,29.281,0x0C,0x0E,CHARGING
17382,2.531,-16.2,25.102,4.767,29.281,0x0C,0x0E,CHARGING
18467,2.536,-16.425,25.0,4.773,29.281,0x0C,0x0E,CHARGING
19552,2.6,-181.8,25.102,4.574,35.622,0x1C,0x0E,CHARGING
20638,2.693,-182.925,25.102,4.574,37.207,0x0F,0x0E,CHARGING
21724,2.712,-182.925,25.102,4.58,41.17,0x0F,0x0E,CHARGING
22810,2.732,-183.15,25.205,4.574,41.963,0x0F,0x0E,CHARGING
23895,2.741,-183.15,25.205,4.58,41.963,0x0F,0x0E,CHARGING
24981,2.756,-183.375,25.205,4.574,42.755,0x0F,0x0E,CHARGING
26067,2.766,-183.15,25.205,4.586,41.963,0x0F,0x0E,CHARGING
27153,2.776,-183.15,25.205,4.586,42.755,0x0F,0x0E,CHARGING
28239,2.785,-183.6,25.205,4.574,40.377,0x0F,0x0E,CHARGING
29325,2.795,-183.375,25.205,4.58,43.548,0x0F,0x0E,CHARGING
30411,2.805,-183.6,25.308,4.586,43.548,0x0F,0x0E,CHARGING
31496,2.815,-183.375,25.205,4.58,43.548,0x0F,0x0E,CHARGING
32582,2.82,-183.825,25.205,4.58,43.548,0x0F,0x0E,CHARGING
33667,2.829,-183.6,25.308,4.58,43.548,0x0F,0x0E,CHARGING
34753,2.834,-184.05,25.308,4.586,43.548,0x0F,0x0E,CHARGING
35839,2.839,-183.825,25.308,4.58,40.377,0x0F,0x0E,CHARGING
36923,2.849,-183.825,25.308,4.58,43.548,0x0F,0x0E,CHARGING
38008,2.849,-184.05,25.308,4.574,43.548,0x0F,0x0E,CHARGING
39093,2.859,-184.275,25.308,4.574,43.548,0x0F,0x0E,CHARGING
40178,2.864,-184.275,25.411,4.574,43.548,0x0F,0x0E,CHARGING
41264,2.869,-184.5,25.411,4.58,43.548,0x0F,0x0E,CHARGING
42350,2.878,-184.05,25.308,4.58,44.34,0x0F,0x0E,CHARGING
43436,2.869,-184.05,25.411,4.58,43.548,0x0F,0x0E,CHARGING
44521,2.883,-184.5,25.411,4.58,44.34,0x0F,0x0E,CHARGING
45606,2.888,-184.5,25.411,4.58,43.548,0x0F,0x0E,CHARGING
46692,2.893,-184.275,25.411,4.574,43.548,0x0F,0x0E,CHARGING
47777,2.898,-184.275,25.411,4.574,44.34,0x0F,0x0E,CHARGING
48863,2.898,-184.5,25.411,4.58,44.34,0x0F,0x0E,CHARGING
49948,2.903,-184.5,25.411,4.58,43.548,0x0F,0x0E,CHARGING
51034,2.908,-184.725,25.411,4.58,44.34,0x0F,0x0E,CHARGING
52120,2.913,-184.5,25.411,4.592,43.548,0x0F,0x0E,CHARGING
53206,2.917,-184.725,25.411,4.574,44.34,0x0F,0x0E,CHARGING
54292,2.922,-184.5,25.514,4.58,43.548,0x0F,0x0E,CHARGING
55378,2.922,-184.5,25.411,4.58,43.548,0x0F,0x0E,CHARGING
56464,2.927,-184.5,25.514,4.58,43.548,0x0F,0x0E,CHARGING
57550,2.927,-184.725,25.514,4.58,43.548,0x0F,0x0E,CHARGING
58636,2.932,-184.95,25.514,4.58,43.548,0x0F,0x0E,CHARGING
59722,2.937,-184.725,25.514,4.58,43.548,0x0F,0x0E,CHARGING
60808,2.937,-184.725,25.514,4.58,43.548,0x0F,0x0E,CHARGING
61894,2.942,-184.725,25.514,4.58,43.548,0x0F,0x0E,CHARGING
62979,2.947,-184.725,25.514,4.58,43.548,0x0F,0x0E,CHARGING
64064,2.947,-184.725,25.514,4.574,43.548,0x0F,0x0E,CHARGING
65150,2.952,-184.725,25.514,4.586,43.548,0x0F,0x0E,CHARGING
66236,2.956,-184.95,25.514,4.58,43.548,0x0F,0x0E,CHARGING
67330,2.956,-185.175,25.514,4.58,44.34,0x0F,0x0E,CHARGING
68416,2.956,-185.175,25.514,4.58,43.548,0x0F,0x0E,CHARGING
69501,2.966,-185.175,25.514,4.58,43.548,0x0F,0x0E,CHARGING
70587,2.966,-185.175,25.514,4.574,43.548,0x0F,0x0E,CHARGING
71673,2.971,-185.175,25.514,4.574,44.34,0x0F,0x0E,CHARGING
72766,2.971,-185.4,25.514,4.58,43.548,0x0F,0x0E,CHARGING
73852,2.971,-185.175,25.514,4.58,43.548,0x0F,0x0E,CHARGING
74938,2.976,-185.4,25.617,4.58,43.548,0x0F,0x0E,CHARGING
76024,2.981,-185.175,25.514,4.58,44.34,0x0F,0x0E,CHARGING
77117,2.976,-185.175,25.514,4.58,40.377,0x0F,0x0E,CHARGING
78202,2.986,-185.4,25.617,4.58,43.548,0x0F,0x0E,CHARGING
79288,2.986,-184.95,25.514,4.58,43.548,0x0F,0x0E,CHARGING
80374,2.986,-185.175,25.514,4.586,43.548,0x0F,0x0E,CHARGING
81460,2.991,-185.175,25.514,4.574,43.548,0x0F,0x0E,CHARGING
82545,2.996,-185.175,25.514,4.58,43.548,0x0F,0x0E,CHARGING
83630,2.996,-185.4,25.514,4.58,42.755,0x0F,0x0E,CHARGING
84724,3.0,-185.4,25.514,4.586,42.755,0x0F,0x0E,CHARGING
85809,2.996,-185.175,25.514,4.58,43.548,0x0F,0x0E,CHARGING
86895,3.0,-185.175,25.617,4.574,43.548,0x0F,0x0E,CHARGING
87981,3.005,-185.4,25.514,4.58,43.548,0x0F,0x0E,CHARGING
89066,3.01,-185.4,25.617,4.574,43.548,0x0F,0x0E,CHARGING
90160,3.01,-185.625,25.514,4.574,42.755,0x0F,0x0E,CHARGING
91246,3.01,-185.4,25.617,4.58,42.755,0x0F,0x0E,CHARGING
92332,3.015,-185.4,25.514,4.58,43.548,0x0F,0x0E,CHARGING
93418,3.015,-185.4,25.617,4.58,42.755,0x0F,0x0E,CHARGING
94504,3.015,-185.625,25.617,4.58,43.548,0x0F,0x0E,CHARGING
95590,3.02,-185.4,25.514,4.58,42.755,0x0F,0x0E,CHARGING
96676,3.025,-185.4,25.617,4.58,42.755,0x0F,0x0E,CHARGING
97762,3.02,-185.625,25.617,4.574,40.377,0x0F,0x0E,CHARGING
98847,3.03,-185.4,25.617,4.58,43.548,0x0F,0x0E,CHARGING
99933,3.025,-185.625,25.514,4.592,42.755,0x0F,0x0E,CHARGING
101020,3.03,-109.445,25.514,4.58,42.755,0x0F,0x0E,CHARGING
102105,3.03,-109.312,25.514,4.574,40.377,0x0F,0x0E,CHARGING
103199,3.035,-109.312,25.514,4.58,42.755,0x0F,0x0E,CHARGING
104285,3.035,-109.445,25.514,4.58,42.755,0x0F,0x0E,CHARGING
105371,3.035,-109.18,25.514,4.574,43.548,0x0F,0x0E,CHARGING
106457,3.035,-109.312,25.514,4.58,43.548,0x0F,0x0E,CHARGING
107543,3.04,-109.312,25.617,4.592,43.548,0x0F,0x0E,CHARGING
108629,3.044,-109.445,25.514,4.586,40.377,0x0F,0x0E,CHARGING
109720,3.044,-109.312,25.514,4.574,42.755,0x0F,0x0E,CHARGING
110805,3.049,-109.312,25.617,4.58,42.755,0x0F,0x0E,CHARGING
111891,3.049,-109.312,25.617,4.58,42.755,0x0F,0x0E,CHARGING
112977,3.049,-109.445,25.514,4.58,43.548,0x0F,0x0E,CHARGING
114062,3.054,-109.445,25.514,4.58,43.548,0x0F,0x0E,CHARGING
115148,3.054,-109.312,25.514,4.586,43.548,0x0F,0x0E,CHARGING
116234,3.054,-109.445,25.617,4.58,42.755,0x0F,0x0E,CHARGING
117327,3.059,-109.71,25.514,4.58,43.548,0x0F,0x0E,CHARGING
118413,3.059,-109.445,25.514,4.586,42.755,0x0F,0x0E,CHARGING
119499,3.059,-109.445,25.617,4.58,42.755,0x0F,0x0E,CHARGING
120585,3.064,-109.445,25.514,4.58,43.548,0x0F,0x0E,CHARGING
121670,3.064,-109.577,25.514,4.58,43.548,0x0F,0x0E,CHARGING
122756,3.064,-109.445,25.617,4.574,42.755,0x0F,0x0E,CHARGING
123842,3.064,-109.577,25.514,4.58,43.548,0x0F,0x0E,CHARGING
124936,3.069,-109.445,25.514,4.58,42.755,0x0F,0x0E,CHARGING
126033,3.069,-109.445,25.514,4.58,43.548,0x0F,0x0E,CHARGING
127119,3.074,-109.577,25.617,4.586,40.377,0x0F,0x0E,CHARGING
128205,3.074,-109.445,25.514,4.592,42.755,0x0F,0x0E,CHARGING
129291,3.074,-109.577,25.514,4.58,43.548,0x0F,0x0E,CHARGING
130377,3.079,-109.577,25.514,4.58,41.963,0x0F,0x0E,CHARGING
131463,3.079,-109.577,25.617,4.58,42.755,0x0F,0x0E,CHARGING
132549,3.079,-109.577,25.514,4.58,42.755,0x0F,0x0E,CHARGING
133635,3.074,-109.577,25.617,4.586,42.755,0x0F,0x0E,CHARGING
134721,3.084,-109.445,25.617,4.586,42.755,0x0F,0x0E,CHARGING
135807,3.084,-109.842,25.514,4.58,42.755,0x0F,0x0E,CHARGING
136900,3.088,-109.577,25.617,4.58,42.755,0x0F,0x0E,CHARGING
137986,3.088,-109.577,25.617,4.586,42.755,0x0F,0x0E,CHARGING
139072,3.088,-109.577,25.617,4.586,45.926,0x0F,0x0E,CHARGING
140157,3.088,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
141243,3.093,-109.577,25.617,4.58,42.755,0x0F,0x0E,CHARGING
142329,3.088,-109.975,25.514,4.58,41.963,0x0F,0x0E,CHARGING
143415,3.098,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
144501,3.093,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
145586,3.098,-109.047,25.617,4.567,42.755,0x0F,0x0E,CHARGING
146672,3.098,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
147758,3.098,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
148844,3.098,-109.577,25.617,4.586,42.755,0x0F,0x0E,CHARGING
149930,3.103,-109.047,25.514,4.58,42.755,0x0F,0x0E,CHARGING
151016,3.103,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
152102,3.108,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
153188,3.108,-109.577,25.617,4.586,40.377,0x0F,0x0E,CHARGING
154282,3.108,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
155368,3.108,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
156462,3.108,-109.577,25.617,4.586,42.755,0x0F,0x0E,CHARGING
157548,3.113,-109.842,25.617,4.586,42.755,0x0F,0x0E,CHARGING
158641,3.113,-109.842,25.617,4.586,42.755,0x0F,0x0E,CHARGING
159726,3.113,-109.842,25.617,4.58,41.963,0x0F,0x0E,CHARGING
160812,3.113,-109.577,25.617,4.58,42.755,0x0F,0x0E,CHARGING
161898,3.118,-110.24,25.514,4.586,42.755,0x0F,0x0E,CHARGING
162984,3.118,-109.71,25.617,4.586,42.755,0x0F,0x0E,CHARGING
164069,3.128,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
165155,3.118,-109.577,25.617,4.58,42.755,0x0F,0x0E,CHARGING
166241,3.123,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
167327,3.128,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
168413,3.123,-109.71,25.617,4.58,42.755,0x0F,0x0E,CHARGING
169499,3.123,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
170585,3.128,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
171671,3.128,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
172765,3.132,-109.975,25.617,4.586,42.755,0x0F,0x0E,CHARGING
173859,3.132,-109.842,25.617,4.586,41.963,0x0F,0x0E,CHARGING
174945,3.132,-109.842,25.617,4.586,42.755,0x0F,0x0E,CHARGING
176031,3.128,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
177117,3.137,-110.24,25.617,4.58,42.755,0x0F,0x0E,CHARGING
178203,3.137,-109.842,25.617,4.58,41.963,0x0F,0x0E,CHARGING
179289,3.132,-109.842,25.72,4.592,42.755,0x0F,0x0E,CHARGING
180375,3.137,-109.842,25.617,4.58,41.963,0x0F,0x0E,CHARGING
181461,3.137,-109.975,25.72,4.586,41.963,0x0F,0x0E,CHARGING
182547,3.142,-109.842,25.617,4.574,42.755,0x0F,0x0E,CHARGING
183633,3.142,-109.842,25.72,4.574,42.755,0x0F,0x0E,CHARGING
184719,3.142,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
185813,3.142,-109.975,25.617,4.586,41.963,0x0F,0x0E,CHARGING
186899,3.142,-109.975,25.617,4.592,41.963,0x0F,0x0E,CHARGING
187993,3.142,-109.842,25.617,4.586,41.963,0x0F,0x0E,CHARGING
189086,3.147,-109.842,25.617,4.58,42.755,0x0F,0x0E,CHARGING
190171,3.147,-109.975,25.617,4.586,41.963,0x0F,0x0E,CHARGING
191265,3.147,-109.842,25.617,4.586,41.963,0x0F,0x0E,CHARGING
192350,3.152,-109.975,25.617,4.58,41.963,0x0F,0x0E,CHARGING
193436,3.147,-109.975,25.617,4.586,42.755,0x0F,0x0E,CHARGING
194522,3.152,-110.107,25.617,4.58,42.755,0x0F,0x0E,CHARGING
195607,3.157,-109.975,25.617,4.574,41.963,0x0F,0x0E,CHARGING
196692,3.152,-109.975,25.617,4.58,42.755,0x0F,0x0E,CHARGING
197778,3.152,-109.975,25.617,4.58,42.755,0x0F,0x0E,CHARGING
198864,3.157,-109.975,25.617,4.586,41.963,0x0F,0x0E,CHARGING
199950,3.157,-109.842,25.617,4.58,41.963,0x0F,0x0E,CHARGING
201049,3.128,-147.468,25.617,4.667,38.0,0x0F,0x0E,CHARGING
202134,3.128,-147.468,25.617,4.667,38.0,0x0F,0x0E,CHARGING
203220,3.128,-147.468,25.617,4.667,38.0,0x0F,0x0E,CHARGING
204306,3.128,-147.647,25.514,4.679,37.207,0x0F,0x0E,CHARGING
205392,3.128,-147.29,25.617,4.667,38.0,0x0F,0x0E,CHARGING
206478,3.128,-147.29,25.617,4.661,38.0,0x0F,0x0E,CHARGING
207572,3.128,-147.29,25.514,4.667,38.0,0x0F,0x0E,CHARGING
208656,3.128,-147.29,25.617,4.667,37.207,0x0F,0x0E,CHARGING
209742,3.128,-147.29,25.617,4.667,38.0,0x0F,0x0E,CHARGING
210828,3.128,-147.468,25.617,4.661,37.207,0x0F,0x0E,CHARGING
211914,3.128,-147.468,25.514,4.661,35.622,0x0F,0x0E,CHARGING
213008,3.128,-147.647,25.617,4.667,38.0,0x0F,0x0E,CHARGING
214093,3.123,-147.29,25.514,4.667,34.037,0x0F,0x0E,CHARGING
215179,3.128,-147.468,25.617,4.661,37.207,0x0F,0x0E,CHARGING
216265,3.128,-147.647,25.514,4.661,34.037,0x0F,0x0E,CHARGING
217359,3.128,-147.468,25.514,4.667,37.207,0x0F,0x0E,CHARGING
218445,3.132,-147.29,25.514,4.667,37.207,0x0F,0x0E,CHARGING
219531,3.128,-147.468,25.514,4.667,37.207,0x0F,0x0E,CHARGING
220617,3.128,-147.29,25.514,4.667,37.207,0x0F,0x0E,CHARGING
221703,3.128,-147.468,25.514,4.661,37.207,0x0F,0x0E,CHARGING
222789,3.132,-147.468,25.514,4.661,37.207,0x0F,0x0E,CHARGING
223875,3.128,-147.29,25.514,4.667,37.207,0x0F,0x0E,CHARGING
224961,3.132,-147.468,25.514,4.655,36.414,0x0F,0x0E,CHARGING
226047,3.132,-148.005,25.514,4.667,36.414,0x0F,0x0E,CHARGING
227132,3.132,-147.468,25.514,4.667,36.414,0x0F,0x0E,CHARGING
228218,3.132,-147.647,25.514,4.661,36.414,0x0F,0x0E,CHARGING
229304,3.137,-147.647,25.617,4.667,37.207,0x0F,0x0E,CHARGING
230390,3.132,-147.468,25.514,4.667,36.414,0x0F,0x0E,CHARGING
231476,3.132,-147.29,25.514,4.673,37.207,0x0F,0x0E,CHARGING
232562,3.137,-147.647,25.514,4.661,37.207,0x0F,0x0E,CHARGING
233655,3.137,-147.468,25.411,4.661,34.037,0x0F,0x0E,CHARGING
234749,3.137,-147.468,25.514,4.667,36.414,0x0F,0x0E,CHARGING
235835,3.137,-147.647,25.514,4.661,34.037,0x0F,0x0E,CHARGING
236929,3.137,-147.647,25.514,4.667,34.037,0x0F,0x0E,CHARGING
238023,3.142,-147.468,25.102,4.667,36.414,0x0F,0x0E,CHARGING
239109,3.137,-147.468,25.514,4.667,34.037,0x0F,0x0E,CHARGING
240195,3.142,-148.005,25.102,4.661,36.414,0x0F,0x0E,CHARGING
241289,3.137,-147.468,25.514,4.673,37.207,0x0F,0x0E,CHARGING
242374,3.137,-147.468,25.514,4.667,37.207,0x0F,0x0E,CHARGING
243460,3.137,-147.468,25.514,4.667,37.207,0x0F,0x0E,CHARGING
244546,3.137,-147.468,25.411,4.661,36.414,0x0F,0x0E,CHARGING
245640,3.142,-147.647,25.514,4.661,36.414,0x0F,0x0E,CHARGING
246734,3.142,-147.647,25.514,4.667,37.207,0x0F,0x0E,CHARGING
247819,3.142,-147.647,25.514,4.667,36.414,0x0F,0x0E,CHARGING
248904,3.142,-147.468,25.514,4.661,36.414,0x0F,0x0E,CHARGING
249990,3.142,-147.468,25.514,4.667,34.037,0x0F,0x0E,CHARGING
251076,3.142,-147.647,25.514,4.667,35.622,0x0F,0x0E,CHARGING
252162,3.147,-147.647,25.514,4.667,37.207,0x0F,0x0E,CHARGING
253246,3.147,-147.468,25.514,4.667,36.414,0x0F,0x0E,CHARGING
254332,3.147,-147.468,25.514,4.661,39.585,0x0F,0x0E,CHARGING
255418,3.147,-147.647,25.514,4.661,36.414,0x0F,0x0E,CHARGING
256504,3.147,-147.647,25.514,4.667,34.037,0x0F,0x0E,CHARGING
257590,3.147,-147.647,25.514,4.661,36.414,0x0F,0x0E,CHARGING
258684,3.147,-147.647,25.514,4.661,37.207,0x0F,0x0E,CHARGING
259770,3.147,-147.826,25.514,4.667,36.414,0x0F,0x0E,CHARGING
260856,3.152,-147.826,25.514,4.667,37.207,0x0F,0x0E,CHARGING
261942,3.147,-147.647,25.514,4.661,37.207,0x0F,0x0E,CHARGING
263028,3.147,-147.826,25.411,4.661,36.414,0x0F,0x0E,CHARGING
264114,3.152,-147.826,25.514,4.667,36.414,0x0F,0x0E,CHARGING
265200,3.147,-147.826,25.514,4.667,36.414,0x0F,0x0E,CHARGING
266286,3.147,-147.468,25.514,4.667,37.207,0x0F,0x0E,CHARGING
267372,3.152,-147.647,25.411,4.667,36.414,0x0F,0x0E,CHARGING
