time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.372,208.0,25.617,3.327,27.696,0x04,0x0E,DISCHARGING
1093,3.352,204.0,25.617,3.315,27.696,0x04,0x0E,DISCHARGING
2187,3.333,204.0,25.617,3.302,27.696,0x04,0x0E,DISCHARGING
3281,3.333,203.2,25.617,3.302,27.696,0x04,0x0E,DISCHARGING
4375,3.323,208.4,25.617,3.29,27.696,0x04,0x0E,DISCHARGING
5469,3.323,208.4,25.617,3.277,26.903,0x04,0x0E,DISCHARGING
6563,3.308,206.0,25.617,3.271,27.696,0x04,0x0E,DISCHARGING
7657,3.304,208.4,25.617,3.265,27.696,0x04,0x0E,DISCHARGING
8750,3.294,211.2,25.617,3.265,27.696,0x04,0x0E,DISCHARGING
9844,3.289,208.0,25.72,3.265,27.696,0x04,0x0E,DISCHARGING
10938,3.284,207.2,25.72,3.259,26.903,0x04,0x0E,DISCHARGING
12032,3.284,204.0,25.72,3.252,27.696,0x04,0x0E,DISCHARGING
13126,3.289,206.8,25.72,3.259,27.696,0x04,0x0E,DISCHARGING
14220,3.284,213.6,25.72,3.246,27.696,0x04,0x0E,DISCHARGING
15314,3.294,195.6,25.72,3.24,27.696,0x04,0x0E,DISCHARGING
16399,3.274,211.6,25.72,3.24,26.903,0x04,0x0E,DISCHARGING
17493,3.274,204.4,25.72,3.24,26.903,0x04,0x0E,DISCHARGING
18587,3.274,214.4,25.72,3.234,27.696,0x04,0x0E,DISCHARGING
19681,3.269,210.4,25.72,3.234,27.696,0x04,0x0E,DISCHARGING
20775,3.264,209.2,25.824,3.228,26.903,0x04,0x0E,DISCHARGING
21869,3.264,214.4,25.72,3.228,26.903,0x04,0x0E,DISCHARGING
22962,3.269,212.0,25.72,3.228,27.696,0x04,0x0E,DISCHARGING
24056,3.264,212.0,25.72,3.234,26.903,0x04,0x0E,DISCHARGING
25150,3.255,211.2,25.824,3.228,26.903,0x04,0x0E,DISCHARGING
26244,3.264,198.8,25.824,3.228,26.903,0x04,0x0E,DISCHARGING
27337,3.25,208.0,25.824,3.221,27.696,0x04,0x0E,DISCHARGING
28431,3.255,203.6,25.824,3.221,26.903,0x04,0x0E,DISCHARGING
29524,3.245,217.6,25.824,3.215,27.696,0x04,0x0E,DISCHARGING
30610,3.26,210.8,25.824,3.215,27.696,0x04,0x0E,DISCHARGING
31704,3.245,212.4,25.824,3.215,26.903,0x04,0x0E,DISCHARGING
32798,3.245,209.6,25.824,3.209,26.903,0x04,0x0E,DISCHARGING
33891,3.245,210.4,25.824,3.209,26.903,0x04,0x0E,DISCHARGING
34985,3.255,210.0,25.824,3.203,26.903,0x04,0x0E,DISCHARGING
36079,3.245,212.0,25.824,3.209,27.696,0x04,0x0E,DISCHARGING
37173,3.245,214.8,25.824,3.209,26.903,0x04,0x0E,DISCHARGING
38267,3.245,210.0,25.824,3.203,26.903,0x04,0x0E,DISCHARGING
39361,3.245,218.0,25.824,3.203,27.696,0x04,0x0E,DISCHARGING
40454,3.245,215.6,25.824,3.196,27.696,0x04,0x0E,DISCHARGING
41539,3.245,217.6,25.927,3.203,26.903,0x04,0x0E,DISCHARGING
42633,3.245,212.0,25.927,3.196,26.903,0x04,0x0E,DISCHARGING
43727,3.23,214.4,25.927,3.196,27.696,0x04,0x0E,DISCHARGING
44819,3.225,213.6,25.824,3.203,27.696,0x04,0x0E,DISCHARGING
45913,3.225,218.4,25.927,3.196,27.696,0x04,0x0E,DISCHARGING
46999,3.225,209.2,25.927,3.196,26.903,0x04,0x0E,DISCHARGING
48093,3.23,210.0,25.927,3.196,27.696,0x04,0x0E,DISCHARGING
49187,3.225,212.8,25.927,3.196,27.696,0x04,0x0E,DISCHARGING
50273,3.23,213.2,25.927,3.196,26.903,0x04,0x0E,DISCHARGING
51367,3.225,212.8,25.927,3.19,26.903,0x04,0x0E,DISCHARGING
52461,3.225,210.0,25.927,3.19,26.903,0x04,0x0E,DISCHARGING
53555,3.225,214.8,25.927,3.19,26.903,0x04,0x0E,DISCHARGING
54649,3.225,217.6,25.927,3.19,26.903,0x04,0x0E,DISCHARGING
55743,3.225,217.6,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
56836,3.225,209.2,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
57930,3.225,212.0,25.927,3.19,27.696,0x04,0x0E,DISCHARGING
59024,3.216,212.8,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
60117,3.216,208.4,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
61211,3.24,210.0,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
62304,3.23,219.2,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
63389,3.216,213.2,25.927,3.19,27.696,0x04,0x0E,DISCHARGING
64483,3.216,217.6,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
65577,3.225,206.4,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
66671,3.216,212.8,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
67765,3.216,214.8,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
68858,3.216,219.2,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
69952,3.216,215.6,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
71037,3.211,213.6,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
72131,3.216,210.8,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
73225,3.206,216.0,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
74319,3.216,214.4,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
75413,3.206,217.6,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
76507,3.216,201.6,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
77593,3.206,210.0,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
78687,3.211,215.6,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
79781,3.206,210.0,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
80875,3.211,216.0,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
81969,3.211,215.2,25.927,3.171,26.903,0x04,0x0E,DISCHARGING
83055,3.211,214.8,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
84149,3.206,217.6,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
85243,3.211,215.2,25.927,3.178,27.696,0x04,0x0E,DISCHARGING
86335,3.206,215.2,25.927,3.184,27.696,0x04,0x0E,DISCHARGING
87428,3.211,214.4,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
88521,3.206,204.8,25.927,3.184,26.903,0x04,0x0E,DISCHARGING
89614,3.211,213.6,25.927,3.171,26.903,0x04,0x0E,DISCHARGING
90708,3.216,200.8,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
91802,3.206,212.8,25.927,3.178,26.903,0x04,0x0E,DISCHARGING
93251,3.274,99.6,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
94344,3.26,97.6,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
95438,3.274,96.8,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
96531,3.264,96.8,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
97625,3.264,99.6,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
98719,3.264,94.8,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
99813,3.264,97.6,25.927,3.252,26.903,0x04,0x0E,DISCHARGING
100907,3.269,102.4,25.927,3.252,26.903,0x04,0x0E,DISCHARGING
102000,3.274,82.0,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
103094,3.274,97.2,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
104187,3.264,98.4,25.927,3.246,26.903,0x04,0x0E,DISCHARGING
105281,3.274,99.6,25.927,3.252,26.903,0x04,0x0E,DISCHARGING
106374,3.264,99.6,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
107467,3.264,95.6,25.824,3.246,26.903,0x04,0x0E,DISCHARGING
108561,3.264,94.8,25.824,3.252,26.111,0x04,0x0E,DISCHARGING
109647,3.274,100.0,25.824,3.246,26.903,0x04,0x0E,DISCHARGING
110741,3.264,95.6,25.824,3.246,26.903,0x04,0x0E,DISCHARGING
111835,3.269,98.4,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
112921,3.255,98.4,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
114007,3.264,98.4,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
115101,3.269,102.4,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
116194,3.269,95.6,25.824,3.252,26.903,0x04,0x0E,DISCHARGING
117281,3.269,102.4,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
118373,3.264,95.2,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
119467,3.269,96.8,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
120561,3.294,94.8,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
121655,3.264,94.8,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
122748,3.274,97.6,25.72,3.252,26.111,0x04,0x0E,DISCHARGING
123842,3.274,102.4,25.72,3.252,26.111,0x04,0x0E,DISCHARGING
124936,3.274,96.8,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
126030,3.264,82.4,25.72,3.259,26.111,0x04,0x0E,DISCHARGING
127122,3.264,97.2,25.72,3.252,26.111,0x04,0x0E,DISCHARGING
128216,3.269,81.6,25.72,3.252,26.903,0x04,0x0E,DISCHARGING
129310,3.274,96.0,25.72,3.252,26.111,0x04,0x0E,DISCHARGING
130395,3.274,97.2,25.617,3.252,26.903,0x04,0x0E,DISCHARGING
131489,3.274,93.2,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
132583,3.264,100.0,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
133677,3.264,99.6,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
134770,3.274,98.4,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
135864,3.264,100.0,25.617,3.252,26.903,0x04,0x0E,DISCHARGING
136958,3.274,96.8,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
138052,3.264,98.4,25.617,3.259,26.903,0x04,0x0E,DISCHARGING
139146,3.264,102.4,25.617,3.259,26.111,0x04,0x0E,DISCHARGING
140239,3.264,102.4,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
141332,3.264,83.6,25.617,3.259,26.111,0x04,0x0E,DISCHARGING
142426,3.274,102.4,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
143520,3.264,98.4,25.617,3.252,26.903,0x04,0x0E,DISCHARGING
144614,3.269,95.6,25.617,3.252,26.903,0x04,0x0E,DISCHARGING
145708,3.274,99.6,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
146794,3.274,97.2,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
147881,3.274,98.4,25.617,3.259,26.111,0x04,0x0E,DISCHARGING
148974,3.264,98.4,25.617,3.259,26.903,0x04,0x0E,DISCHARGING
150068,3.269,98.4,25.617,3.252,26.111,0x04,0x0E,DISCHARGING
151161,3.274,89.6,25.514,3.259,26.111,0x04,0x0E,DISCHARGING
152247,3.274,102.4,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
153341,3.264,97.2,25.514,3.252,26.903,0x04,0x0E,DISCHARGING
154430,3.264,97.6,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
155524,3.269,96.4,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
156618,3.264,83.6,25.514,3.259,26.111,0x04,0x0E,DISCHARGING
157712,3.269,97.2,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
158806,3.274,105.6,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
159900,3.264,102.4,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
160994,3.264,95.6,25.514,3.252,26.903,0x04,0x0E,DISCHARGING
162087,3.264,96.8,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
163173,3.274,100.0,25.514,3.252,26.903,0x04,0x0E,DISCHARGING
164267,3.264,98.4,25.514,3.252,26.111,0x04,0x0E,DISCHARGING
