time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000018542,2.913,-16.875,23.772,4.767,30.074,0x0C,0x0E,CHARGING
000020543,2.991,-185.175,23.670,4.605,38.000,0x0F,0x0E,CHARGING
000022545,2.996,-185.400,23.772,4.592,39.585,0x0F,0x0E,CHARGING
000024547,3.005,-185.400,23.874,4.598,39.585,0x0F,0x0E,CHARGING
000026549,3.010,-185.625,23.772,4.592,41.963,0x0F,0x0E,CHARGING
000028551,3.010,-185.400,23.874,4.598,41.170,0x0F,0x0E,CHARGING
000030552,3.020,-185.625,23.874,4.598,42.755,0x0F,0x0E,CHARGING
000032554,3.020,-185.400,23.874,4.598,41.963,0x0F,0x0E,CHARGING
000034556,3.030,-185.625,23.874,4.605,42.755,0x0F,0x0E,CHARGING
000036558,3.030,-185.625,23.976,4.605,43.548,0x0F,0x0E,CHARGING
000038559,3.035,-185.625,23.976,4.598,45.133,0x0F,0x0E,CHARGING
000040561,3.040,-186.075,23.976,4.611,44.340,0x0F,0x0E,CHARGING
000042562,3.044,-185.850,24.078,4.605,45.926,0x0F,0x0E,CHARGING
000044563,3.049,-185.850,23.976,4.605,45.926,0x0F,0x0E,CHARGING
000046564,3.049,-186.075,24.078,4.605,46.718,0x0F,0x0E,CHARGING
000048565,3.049,-185.850,24.180,4.611,46.718,0x0F,0x0E,CHARGING
000050567,3.054,-186.075,24.180,4.605,46.718,0x0F,0x0E,CHARGING
000052569,3.059,-185.625,24.180,4.611,47.511,0x0F,0x0E,CHARGING
000054571,3.064,-185.850,24.180,4.605,47.511,0x0F,0x0E,CHARGING
000056573,3.069,-186.300,24.282,4.598,47.511,0x0F,0x0E,CHARGING
000058574,3.069,-186.075,24.282,4.611,48.303,0x0F,0x0E,CHARGING
000060576,3.074,-186.075,24.282,4.605,49.096,0x0F,0x0E,CHARGING
000062578,3.074,-186.075,24.384,4.605,49.096,0x0F,0x0E,CHARGING
000064580,3.079,-186.300,24.384,4.605,49.889,0x0F,0x0E,CHARGING
000066582,3.079,-186.300,24.384,4.611,48.303,0x0F,0x0E,CHARGING
000068584,3.084,-186.300,24.487,4.605,46.718,0x0F,0x0E,CHARGING
000070586,3.088,-186.750,24.487,4.611,50.681,0x0F,0x0E,CHARGING
000072587,3.088,-186.525,24.487,4.617,50.681,0x0F,0x0E,CHARGING
000074589,3.093,-186.300,24.589,4.605,50.681,0x0F,0x0E,CHARGING
000076591,3.093,-186.525,24.487,4.605,50.681,0x0F,0x0E,CHARGING
000078593,3.093,-186.525,24.589,4.611,50.681,0x0F,0x0E,CHARGING
000080594,3.098,-186.300,24.589,4.605,51.474,0x0F,0x0E,CHARGING
000082596,3.103,-186.525,24.692,4.605,49.889,0x0F,0x0E,CHARGING
000084597,3.098,-186.525,24.692,4.611,51.474,0x0F,0x0E,CHARGING
000086599,3.103,-186.525,24.692,4.611,52.266,0x0F,0x0E,CHARGING
000088601,3.108,-186.525,24.692,4.605,52.266,0x0F,0x0E,CHARGING
000090603,3.108,-186.750,24.794,4.617,51.474,0x0F,0x0E,CHARGING
000092605,3.108,-186.525,24.794,4.605,52.266,0x0F,0x0E,CHARGING
000094607,3.113,-186.525,24.897,4.611,53.059,0x0F,0x0E,CHARGING
000096609,3.118,-186.525,24.897,4.611,53.059,0x0F,0x0E,CHARGING
000098611,3.118,-186.750,25.000,4.611,53.059,0x0F,0x0E,CHARGING
000100613,3.118,-186.525,24.897,4.617,53.059,0x0F,0x0E,CHARGING
000102615,3.118,-186.750,25.000,4.611,53.059,0x0F,0x0E,CHARGING
000104617,3.128,-186.975,25.000,4.611,52.266,0x0F,0x0E,CHARGING
000106618,3.123,-186.525,25.000,4.611,53.852,0x0F,0x0E,CHARGING
000108619,3.128,-186.525,25.102,4.611,53.059,0x0F,0x0E,CHARGING
000110621,3.128,-186.975,25.102,4.611,53.852,0x0F,0x0E,CHARGING
000112623,3.132,-186.750,25.102,4.611,53.059,0x0F,0x0E,CHARGING
000114624,3.132,-186.975,25.205,4.611,53.852,0x0F,0x0E,CHARGING
000116626,3.137,-186.750,25.102,4.611,53.852,0x0F,0x0E,CHARGING
000118628,3.137,-186.975,25.205,4.617,53.852,0x0F,0x0E,CHARGING
000120630,3.137,-186.975,25.205,4.611,54.644,0x0F,0x0E,CHARGING
000122632,3.147,-186.750,25.205,4.611,54.644,0x0F,0x0E,CHARGING
000124633,3.147,-186.975,25.308,4.611,54.644,0x0F,0x0E,CHARGING
000126634,3.147,-187.200,25.411,4.611,54.644,0x0F,0x0E,CHARGING
000128636,3.147,-186.975,25.308,4.611,55.437,0x0F,0x0E,CHARGING
000130637,3.147,-186.750,25.411,4.611,55.437,0x0F,0x0E,CHARGING
000132639,3.147,-186.975,25.411,4.611,55.437,0x0F,0x0E,CHARGING
000134641,3.157,-186.975,25.824,4.611,54.644,0x0F,0x0E,CHARGING
000136643,3.157,-186.975,25.514,4.605,55.437,0x0F,0x0E,CHARGING
000138645,3.157,-187.200,25.514,4.611,55.437,0x0F,0x0E,CHARGING
000140647,3.162,-187.200,25.514,4.611,55.437,0x0F,0x0E,CHARGING
000142649,3.157,-187.200,25.514,4.611,55.437,0x0F,0x0E,CHARGING
000144651,3.157,-187.425,25.514,4.611,58.607,0x0F,0x0E,CHARGING
000146653,3.162,-187.200,25.617,4.617,53.059,0x0F,0x0E,CHARGING
000148655,3.167,-186.975,25.617,4.611,55.437,0x0F,0x0E,CHARGING
000150657,3.167,-187.425,25.617,4.617,55.437,0x0F,0x0E,CHARGING
000152659,3.167,-187.425,25.720,4.611,55.437,0x0F,0x0E,CHARGING
000154661,3.167,-187.200,25.720,4.611,56.229,0x0F,0x0E,CHARGING
000156662,3.176,-187.200,25.720,4.611,55.437,0x0F,0x0E,CHARGING
000158664,3.176,-186.975,25.720,4.611,54.644,0x0F,0x0E,CHARGING
000160665,3.176,-186.975,25.720,4.611,56.229,0x0F,0x0E,CHARGING
000162667,3.176,-187.425,25.824,4.611,56.229,0x0F,0x0E,CHARGING
000164669,3.176,-186.975,25.824,4.617,56.229,0x0F,0x0E,CHARGING
000166670,3.181,-189.000,25.824,4.611,56.229,0x0F,0x0E,CHARGING
000168672,3.181,-187.425,25.927,4.617,56.229,0x0F,0x0E,CHARGING
000170673,3.186,-186.975,25.927,4.617,56.229,0x0F,0x0E,CHARGING
000172674,3.186,-187.425,25.927,4.611,57.022,0x0F,0x0E,CHARGING
000174676,3.186,-187.200,25.927,4.623,56.229,0x0F,0x0E,CHARGING
000176678,3.186,-186.975,26.031,4.611,56.229,0x0F,0x0E,CHARGING
000178680,3.186,-188.100,26.031,4.611,56.229,0x0F,0x0E,CHARGING
000180682,3.191,-187.200,26.031,4.611,57.022,0x0F,0x0E,CHARGING
000182683,3.196,-187.425,26.134,4.617,57.022,0x0F,0x0E,CHARGING
000184684,3.196,-187.650,26.134,4.611,56.229,0x0F,0x0E,CHARGING
000186686,3.196,-187.875,26.134,4.611,57.022,0x0F,0x0E,CHARGING
000188687,3.196,-187.875,26.031,4.605,57.022,0x0F,0x0E,CHARGING
000190689,3.201,-187.650,26.134,4.605,57.022,0x0F,0x0E,CHARGING
000192691,3.201,-187.425,26.134,4.623,57.022,0x0F,0x0E,CHARGING
000194693,3.196,-187.425,26.238,4.617,57.022,0x0F,0x0E,CHARGING
000196695,3.201,-187.425,26.134,4.611,57.022,0x0F,0x0E,CHARGING
000198697,3.206,-187.650,26.238,4.611,56.229,0x0F,0x0E,CHARGING
000200699,3.206,-187.650,26.653,4.611,57.815,0x0F,0x0E,CHARGING
000202701,3.206,-187.875,26.238,4.623,56.229,0x0F,0x0E,CHARGING
000204702,3.211,-187.650,26.341,4.617,57.022,0x0F,0x0E,CHARGING
000206704,3.211,-187.425,26.238,4.611,57.022,0x0F,0x0E,CHARGING
000208706,3.211,-187.650,26.341,4.605,57.815,0x0F,0x0E,CHARGING
000210708,3.211,-187.875,26.341,4.617,57.022,0x0F,0x0E,CHARGING
