time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000529460,3.157,102.400,24.487,3.153,29.281,0x04,0x0E,DISCHARGING
000531462,3.167,104.000,24.384,3.146,29.281,0x04,0x0E,DISCHARGING
000533463,3.167,102.400,24.384,3.146,29.281,0x04,0x0E,DISCHARGING
000535465,3.279,-187.650,24.487,4.611,38.792,0x0F,0x0E,CHARGING
000537466,3.294,-188.100,24.487,4.617,40.377,0x0F,0x0E,CHARGING
000539467,3.294,-187.875,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000541468,3.304,-188.100,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000543469,3.304,-188.550,24.487,4.617,41.170,0x0F,0x0E,CHARGING
000545470,3.308,-188.100,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000547472,3.313,-188.325,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000549473,3.313,-188.100,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000551473,3.318,-188.325,24.487,4.617,41.170,0x0F,0x0E,CHARGING
000553475,3.313,-188.325,24.487,4.617,41.170,0x0F,0x0E,CHARGING
000555476,3.318,-188.550,24.487,4.611,41.170,0x0F,0x0E,CHARGING
000557477,3.318,-188.325,24.487,4.611,41.170,0x0F,0x0E,CHARGING
000559479,3.318,-188.325,24.384,4.617,41.963,0x0F,0x0E,CHARGING
000561480,3.323,-188.550,24.487,4.617,41.170,0x0F,0x0E,CHARGING
000563481,3.323,-188.550,24.384,4.611,40.377,0x0F,0x0E,CHARGING
000565483,3.323,-188.325,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000567484,3.323,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000569486,3.323,-188.550,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000571487,3.323,-188.775,24.384,4.623,41.170,0x0F,0x0E,CHARGING
000573489,3.323,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000575490,3.333,-188.325,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000577492,3.333,-188.775,24.384,4.623,41.170,0x0F,0x0E,CHARGING
000579493,3.333,-188.325,24.384,4.617,40.377,0x0F,0x0E,CHARGING
000581495,3.328,-188.550,24.384,4.617,40.377,0x0F,0x0E,CHARGING
000583497,3.333,-188.550,24.282,4.611,41.170,0x0F,0x0E,CHARGING
000585498,3.333,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000587499,3.333,-188.550,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000589501,3.333,-188.550,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000591503,3.333,-188.325,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000593505,3.333,-189.000,24.282,4.617,40.377,0x0F,0x0E,CHARGING
000595506,3.333,-188.550,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000597508,3.338,-188.775,24.282,4.617,40.377,0x0F,0x0E,CHARGING
000599509,3.333,-188.775,24.282,4.617,40.377,0x0F,0x0E,CHARGING
000601510,3.338,-189.000,24.384,4.611,40.377,0x0F,0x0E,CHARGING
000603512,3.338,-188.550,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000605513,3.338,-188.325,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000607515,3.338,-188.775,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000609517,3.343,-188.775,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000611518,3.343,-188.775,24.384,4.623,41.170,0x0F,0x0E,CHARGING
000613519,3.343,-188.550,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000615521,3.343,-188.775,24.384,4.623,41.170,0x0F,0x0E,CHARGING
000617522,3.343,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000619523,3.343,-188.325,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000621525,3.343,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000623527,3.343,-188.550,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000625529,3.343,-187.875,24.384,4.611,41.963,0x0F,0x0E,CHARGING
000627530,3.343,-188.775,24.384,4.617,41.170,0x0F,0x0E,CHARGING
000629532,3.338,-188.775,24.487,4.617,41.170,0x0F,0x0E,CHARGING
000631536,3.343,-111.167,24.487,4.617,41.963,0x0F,0x0E,CHARGING
