time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,23.772,4.767,30.074,0x0C,0x0E,CHARGING
2001,2.991,-185.175,23.67,4.605,38.0,0x0F,0x0E,CHARGING
4003,2.996,-185.4,23.772,4.592,39.585,0x0F,0x0E,CHARGING
6005,3.005,-185.4,23.874,4.598,39.585,0x0F,0x0E,CHARGING
8007,3.01,-185.625,23.772,4.592,41.963,0x0F,0x0E,CHARGING
10009,3.01,-185.4,23.874,4.598,41.17,0x0F,0x0E,CHARGING
12010,3.02,-185.625,23.874,4.598,42.755,0x0F,0x0E,CHARGING
14012,3.02,-185.4,23.874,4.598,41.963,0x0F,0x0E,CHARGING
16014,3.03,-185.625,23.874,4.605,42.755,0x0F,0x0E,CHARGING
18016,3.03,-185.625,23.976,4.605,43.548,0x0F,0x0E,CHARGING
20017,3.035,-185.625,23.976,4.598,45.133,0x0F,0x0E,CHARGING
22019,3.04,-186.075,23.976,4.611,44.34,0x0F,0x0E,CHARGING
24020,3.044,-185.85,24.078,4.605,45.926,0x0F,0x0E,CHARGING
26021,3.049,-185.85,23.976,4.605,45.926,0x0F,0x0E,CHARGING
28022,3.049,-186.075,24.078,4.605,46.718,0x0F,0x0E,CHARGING
30023,3.049,-185.85,24.18,4.611,46.718,0x0F,0x0E,CHARGING
32025,3.054,-186.075,24.18,4.605,46.718,0x0F,0x0E,CHARGING
34027,3.059,-185.625,24.18,4.611,47.511,0x0F,0x0E,CHARGING
36029,3.064,-185.85,24.18,4.605,47.511,0x0F,0x0E,CHARGING
38031,3.069,-186.3,24.282,4.598,47.511,0x0F,0x0E,CHARGING
40032,3.069,-186.075,24.282,4.611,48.303,0x0F,0x0E,CHARGING
42034,3.074,-186.075,24.282,4.605,49.096,0x0F,0x0E,CHARGING
44036,3.074,-186.075,24.384,4.605,49.096,0x0F,0x0E,CHARGING
46038,3.079,-186.3,24.384,4.605,49.889,0x0F,0x0E,CHARGING
48040,3.079,-186.3,24.384,4.611,48.303,0x0F,0x0E,CHARGING
50042,3.084,-186.3,24.487,4.605,46.718,0x0F,0x0E,CHARGING
52044,3.088,-186.75,24.487,4.611,50.681,0x0F,0x0E,CHARGING
54045,3.088,-186.525,24.487,4.617,50.681,0x0F,0x0E,CHARGING
56047,3.093,-186.3,24.589,4.605,50.681,0x0F,0x0E,CHARGING
58049,3.093,-186.525,24.487,4.605,50.681,0x0F,0x0E,CHARGING
60051,3.093,-186.525,24.589,4.611,50.681,0x0F,0x0E,CHARGING
62052,3.098,-186.3,24.589,4.605,51.474,0x0F,0x0E,CHARGING
64054,3.103,-186.525,24.692,4.605,49.889,0x0F,0x0E,CHARGING
66055,3.098,-186.525,24.692,4.611,51.474,0x0F,0x0E,CHARGING
68057,3.103,-186.525,24.692,4.611,52.266,0x0F,0x0E,CHARGING
70059,3.108,-186.525,24.692,4.605,52.266,0x0F,0x0E,CHARGING
