time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.396,106.8,1.447,3.377,3.125,0x04,0x0E,DISCHARGING
2002,3.372,107.6,1.447,3.352,3.125,0x04,0x0E,DISCHARGING
4003,3.352,116.0,1.338,3.327,3.125,0x04,0x0E,DISCHARGING
6005,3.338,118.8,1.338,3.321,3.125,0x04,0x0E,DISCHARGING
8007,3.328,112.4,1.447,3.309,3.125,0x04,0x0E,DISCHARGING
10008,3.318,116.8,1.447,3.296,2.333,0x04,0x0E,DISCHARGING
12010,3.313,112.4,1.338,3.29,2.333,0x04,0x0E,DISCHARGING
14011,3.308,116.8,1.338,3.284,2.333,0x04,0x0E,DISCHARGING
16013,3.304,116.8,1.447,3.284,3.125,0x04,0x0E,DISCHARGING
18015,3.299,112.4,1.338,3.277,3.125,0x04,0x0E,DISCHARGING
20016,3.299,117.6,1.338,3.277,2.333,0x04,0x0E,DISCHARGING
22018,3.289,118.4,1.338,3.271,2.333,0x04,0x0E,DISCHARGING
24020,3.289,112.4,1.338,3.265,2.333,0x04,0x0E,DISCHARGING
26022,3.289,112.8,1.447,3.259,2.333,0x04,0x0E,DISCHARGING
28024,3.294,114.4,1.447,3.259,2.333,0x04,0x0E,DISCHARGING
30025,3.279,111.6,1.338,3.259,2.333,0x04,0x0E,DISCHARGING
32027,3.294,113.2,1.338,3.252,2.333,0x04,0x0E,DISCHARGING
34029,3.269,109.6,1.338,3.252,2.333,0x04,0x0E,DISCHARGING
36031,3.274,116.8,1.338,3.246,2.333,0x04,0x0E,DISCHARGING
38033,3.269,108.4,1.447,3.246,2.333,0x04,0x0E,DISCHARGING
40035,3.279,118.8,1.338,3.246,2.333,0x04,0x0E,DISCHARGING
42036,3.274,114.8,1.338,3.24,2.333,0x04,0x0E,DISCHARGING
44037,3.26,114.0,1.338,3.246,2.333,0x04,0x0E,DISCHARGING
46039,3.26,116.8,1.338,3.24,2.333,0x04,0x0E,DISCHARGING
48041,3.264,103.2,1.338,3.246,2.333,0x04,0x0E,DISCHARGING
50043,3.26,114.8,1.338,3.24,2.333,0x04,0x0E,DISCHARGING
52044,3.274,118.8,1.447,3.234,2.333,0x04,0x0E,DISCHARGING
54046,3.274,122.4,1.338,3.234,2.333,0x04,0x0E,DISCHARGING
56048,3.26,116.8,1.338,3.234,2.333,0x04,0x0E,DISCHARGING
58049,3.274,122.4,1.338,3.228,2.333,0x04,0x0E,DISCHARGING
60051,3.25,119.6,1.338,3.234,2.333,0x04,0x0E,DISCHARGING
62052,3.245,117.2,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
64054,3.25,118.8,1.338,3.228,2.333,0x04,0x0E,DISCHARGING
66055,3.255,110.0,1.338,3.234,2.333,0x04,0x0E,DISCHARGING
68056,3.25,118.8,1.338,3.228,2.333,0x04,0x0E,DISCHARGING
70058,3.264,115.2,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
72059,3.25,108.4,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
74061,3.25,102.0,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
76062,3.25,111.6,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
78064,3.255,117.6,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
80065,3.25,116.8,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
82067,3.25,118.8,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
84068,3.245,114.8,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
86070,3.25,123.2,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
88071,3.24,118.8,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
90072,3.245,118.0,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
92074,3.24,114.0,1.338,3.221,2.333,0x04,0x0E,DISCHARGING
94076,3.235,118.8,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
96077,3.25,113.2,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
98079,3.235,112.8,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
100080,3.245,111.2,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
102082,3.235,118.8,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
104084,3.23,120.4,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
106086,3.23,122.4,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
108087,3.24,114.8,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
110088,3.23,113.2,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
112090,3.23,114.8,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
114091,3.225,114.0,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
116093,3.23,113.2,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
118095,3.24,112.8,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
120097,3.23,114.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
122099,3.235,114.0,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
124101,3.23,113.2,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
126102,3.23,116.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
128104,3.23,102.0,1.338,3.215,2.333,0x04,0x0E,DISCHARGING
130105,3.23,115.6,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
132107,3.235,117.2,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
134109,3.23,116.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
136110,3.235,117.6,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
138112,3.23,113.2,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
140113,3.23,117.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
142114,3.23,118.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
144116,3.22,116.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
146118,3.23,121.6,1.338,3.209,2.333,0x04,0x0E,DISCHARGING
148119,3.22,114.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
150121,3.22,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
152122,3.23,117.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
154124,3.23,116.8,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
156126,3.22,118.4,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
158128,3.22,119.2,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
160129,3.22,120.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
162131,3.225,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
164133,3.23,103.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
166135,3.22,114.0,1.338,3.203,2.333,0x04,0x0E,DISCHARGING
168136,3.22,116.8,1.338,3.196,1.54,0x04,0x0E,DISCHARGING
170138,3.22,121.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
172139,3.22,114.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
174141,3.22,117.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
176142,3.22,111.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
178144,3.22,118.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
180146,3.22,114.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
182148,3.24,107.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
184149,3.22,114.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
186151,3.22,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
188153,3.22,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
190154,3.22,121.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
192155,3.23,113.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
194157,3.216,122.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
196158,3.23,119.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
198160,3.235,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
200162,3.23,102.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
202163,3.22,118.0,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
204165,3.22,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
206166,3.22,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
208168,3.22,117.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
210170,3.22,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
212172,3.22,120.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
214174,3.216,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
216176,3.235,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
218178,3.22,112.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
220179,3.216,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
222181,3.22,117.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
224182,3.211,113.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
226184,3.22,118.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
228186,3.22,102.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
230188,3.22,114.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
232189,3.211,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
234190,3.216,120.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
236191,3.22,107.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
238193,3.211,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
240195,3.211,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
242196,3.211,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
244198,3.211,117.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
246200,3.211,120.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
248201,3.216,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
250203,3.216,128.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
252205,3.211,121.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
254206,3.216,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
256208,3.216,122.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
258210,3.22,112.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
260211,3.216,120.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
262212,3.216,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
264213,3.211,117.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
266215,3.211,118.8,1.338,3.19,1.54,0x04,0x0E,DISCHARGING
268217,3.216,116.0,1.338,3.19,1.54,0x04,0x0E,DISCHARGING
270219,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
272221,3.216,120.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
274223,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
276225,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
278227,3.216,114.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
280228,3.22,117.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
282230,3.22,104.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
284231,3.211,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
286233,3.216,114.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
288234,3.211,115.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
290236,3.216,114.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
292238,3.211,122.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
294240,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
296241,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
298243,3.216,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
300244,3.211,115.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
302245,3.211,122.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
304247,3.22,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
306249,3.211,120.4,1.338,3.19,1.54,0x04,0x0E,DISCHARGING
308251,3.211,114.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
310252,3.211,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
312254,3.211,121.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
314256,3.211,120.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
316258,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
318259,3.216,108.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
320261,3.225,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
322262,3.211,120.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
324264,3.216,122.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
326266,3.216,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
328268,3.211,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
330270,3.211,120.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
332272,3.216,117.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
334274,3.216,114.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
336276,3.216,119.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
338278,3.211,115.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
340280,3.211,128.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
342281,3.211,118.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
344282,3.211,120.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
346284,3.216,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
348286,3.211,113.2,1.338,3.184,3.125,0x04,0x0E,DISCHARGING
350288,3.211,114.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
352290,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
354292,3.211,119.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
356293,3.211,108.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
358295,3.211,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
360297,3.216,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
362299,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
364300,3.211,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
366302,3.216,113.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
368304,3.211,114.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
370306,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
372308,3.216,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
374310,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
376312,3.211,103.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
378314,3.211,112.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
380316,3.211,115.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
382318,3.211,112.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
384320,3.211,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
386322,3.216,116.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
388324,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
390326,3.211,116.0,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
392328,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
394330,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
396331,3.211,122.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
398333,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
400335,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
402337,3.216,117.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
404339,3.211,112.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
406341,3.211,118.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
408343,3.23,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
410345,3.211,118.0,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
412347,3.211,118.0,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
414349,3.23,117.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
416351,3.216,114.8,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
418353,3.211,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
420355,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
422357,3.211,117.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
424359,3.216,111.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
426361,3.211,115.2,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
428363,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
430365,3.211,120.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
432367,3.211,117.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
434369,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
436371,3.211,122.4,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
438373,3.211,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
440375,3.211,123.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
442376,3.211,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
444378,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
446380,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
448382,3.211,121.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
450384,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
452386,3.211,114.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
454388,3.211,114.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
456390,3.211,120.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
458392,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
460394,3.211,123.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
462395,3.216,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
464396,3.23,106.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
466398,3.23,124.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
468400,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
470402,3.23,120.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
472404,3.211,117.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
474406,3.211,102.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
476408,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
478410,3.211,121.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
480412,3.211,119.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
482413,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
484415,3.211,119.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
486417,3.211,116.0,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
488419,3.211,119.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
490421,3.216,115.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
492423,3.206,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
494425,3.216,120.0,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
496427,3.211,117.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
498429,3.216,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
500431,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
502433,3.216,114.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
504435,3.211,117.6,1.338,3.196,2.333,0x04,0x0E,DISCHARGING
506437,3.206,123.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
508439,3.211,115.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
510441,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
512443,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
514445,3.211,118.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
516447,3.211,120.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
518449,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
520451,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
522453,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
524455,3.211,102.4,1.338,3.19,1.54,0x04,0x0E,DISCHARGING
526457,3.206,117.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
528459,3.211,117.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
530461,3.211,117.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
532462,3.211,114.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
534464,3.216,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
536466,3.211,120.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
538468,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
540469,3.206,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
542471,3.211,120.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
544472,3.211,118.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
546474,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
548476,3.206,115.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
550478,3.211,112.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
552480,3.216,102.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
554482,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
556484,3.211,111.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
558486,3.211,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
560488,3.211,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
562490,3.211,105.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
564492,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
566494,3.211,117.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
568496,3.211,123.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
570498,3.211,117.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
572500,3.216,108.8,1.338,3.178,2.333,0x04,0x0E,DISCHARGING
574502,3.206,121.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
576504,3.211,116.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
578505,3.211,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
580507,3.211,121.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
582508,3.206,117.6,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
584510,3.206,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
586512,3.206,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
588514,3.211,124.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
590516,3.211,115.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
592518,3.211,113.2,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
594520,3.211,111.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
596522,3.211,122.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
598524,3.211,121.6,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
600526,3.211,114.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
602528,3.211,116.8,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
604530,3.211,113.2,1.338,3.178,2.333,0x04,0x0E,DISCHARGING
606532,3.211,118.8,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
608534,3.211,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
610536,3.211,118.4,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
612538,3.211,114.4,1.338,3.19,2.333,0x04,0x0E,DISCHARGING
614539,3.206,113.2,1.338,3.184,2.333,0x04,0x0E,DISCHARGING
