time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,34.532,4.798,40.377,0x0C,0x0E,CHARGING
2002,2.981,-185.175,34.532,4.605,47.511,0x0F,0x0E,CHARGING
4004,2.991,-185.175,34.645,4.623,49.096,0x0F,0x0E,CHARGING
6006,3.0,-185.625,34.532,4.623,49.889,0x0F,0x0E,CHARGING
8008,3.0,-185.4,34.645,4.63,50.681,0x0F,0x0E,CHARGING
10010,3.01,-185.625,34.645,4.623,54.644,0x0F,0x0E,CHARGING
12012,3.01,-185.625,34.645,4.623,52.266,0x0F,0x0E,CHARGING
14014,3.02,-185.4,34.645,4.63,52.266,0x0F,0x0E,CHARGING
16016,3.02,-185.175,34.645,4.63,52.266,0x0F,0x0E,CHARGING
18018,3.03,-185.625,34.645,4.623,53.059,0x0F,0x0E,CHARGING
20020,3.03,-185.85,34.645,4.623,53.059,0x0F,0x0E,CHARGING
22022,3.035,-185.85,34.645,4.623,53.059,0x0F,0x0E,CHARGING
24024,3.035,-185.625,34.645,4.623,53.852,0x0F,0x0E,CHARGING
26026,3.04,-185.625,34.645,4.63,53.852,0x0F,0x0E,CHARGING
28028,3.044,-185.85,34.758,4.623,54.644,0x0F,0x0E,CHARGING
30030,3.049,-185.625,34.758,4.63,54.644,0x0F,0x0E,CHARGING
32032,3.054,-185.85,34.758,4.63,54.644,0x0F,0x0E,CHARGING
34034,3.049,-185.85,34.758,4.623,55.437,0x0F,0x0E,CHARGING
36036,3.059,-185.85,34.758,4.623,55.437,0x0F,0x0E,CHARGING
38038,3.059,-186.3,34.758,4.623,54.644,0x0F,0x0E,CHARGING
40039,3.059,-186.3,34.871,4.63,55.437,0x0F,0x0E,CHARGING
42041,3.069,-186.075,34.871,4.63,55.437,0x0F,0x0E,CHARGING
44042,3.069,-186.075,34.871,4.63,55.437,0x0F,0x0E,CHARGING
46044,3.069,-186.3,34.871,4.642,56.229,0x0F,0x0E,CHARGING
48045,3.074,-186.075,34.871,4.63,55.437,0x0F,0x0E,CHARGING
50047,3.079,-186.075,34.984,4.63,55.437,0x0F,0x0E,CHARGING
52049,3.079,-186.075,34.984,4.636,56.229,0x0F,0x0E,CHARGING
54051,3.084,-186.075,34.984,4.63,53.059,0x0F,0x0E,CHARGING
56053,3.084,-186.3,34.984,4.636,56.229,0x0F,0x0E,CHARGING
58054,3.088,-186.3,35.098,4.63,56.229,0x0F,0x0E,CHARGING
60056,3.088,-186.3,35.098,4.63,55.437,0x0F,0x0E,CHARGING
62058,3.088,-186.3,35.098,4.63,56.229,0x0F,0x0E,CHARGING
64060,3.093,-186.075,34.984,4.623,53.059,0x0F,0x0E,CHARGING
66062,3.098,-186.3,34.984,4.63,56.229,0x0F,0x0E,CHARGING
68064,3.098,-186.3,35.098,4.63,57.022,0x0F,0x0E,CHARGING
70066,3.098,-186.3,35.098,4.63,56.229,0x0F,0x0E,CHARGING
72068,3.103,-186.3,35.098,4.63,56.229,0x0F,0x0E,CHARGING
74070,3.108,-186.3,35.098,4.63,56.229,0x0F,0x0E,CHARGING
76072,3.108,-186.525,35.212,4.636,56.229,0x0F,0x0E,CHARGING
78074,3.113,-186.525,35.212,4.636,53.059,0x0F,0x0E,CHARGING
80076,3.113,-186.3,35.212,4.63,56.229,0x0F,0x0E,CHARGING
82078,3.118,-186.525,35.212,4.623,55.437,0x0F,0x0E,CHARGING
84080,3.118,-186.525,35.212,4.636,56.229,0x0F,0x0E,CHARGING
86082,3.118,-186.525,35.212,4.636,56.229,0x0F,0x0E,CHARGING
88084,3.123,-186.525,35.212,4.63,56.229,0x0F,0x0E,CHARGING
90086,3.128,-186.75,35.212,4.63,56.229,0x0F,0x0E,CHARGING
92088,3.128,-186.975,35.212,4.63,56.229,0x0F,0x0E,CHARGING
94090,3.128,-186.75,35.326,4.63,56.229,0x0F,0x0E,CHARGING
96092,3.132,-186.75,35.326,4.63,59.4,0x0F,0x0E,CHARGING
98094,3.128,-186.525,35.326,4.636,56.229,0x0F,0x0E,CHARGING
100095,3.132,-186.525,35.326,4.63,56.229,0x0F,0x0E,CHARGING
102099,3.137,-109.975,35.326,4.636,56.229,0x0F,0x0E,CHARGING
104101,3.137,-110.107,35.44,4.63,56.229,0x0F,0x0E,CHARGING
106103,3.137,-109.975,35.326,4.642,56.229,0x0F,0x0E,CHARGING
108105,3.142,-109.842,35.44,4.636,57.022,0x0F,0x0E,CHARGING
110106,3.142,-109.975,35.326,4.63,53.059,0x0F,0x0E,CHARGING
112108,3.147,-109.975,35.783,4.636,56.229,0x0F,0x0E,CHARGING
114110,3.147,-110.107,35.44,4.636,57.022,0x0F,0x0E,CHARGING
116112,3.152,-110.107,35.44,4.636,56.229,0x0F,0x0E,CHARGING
118114,3.152,-110.107,35.44,4.63,56.229,0x0F,0x0E,CHARGING
120116,3.152,-109.975,35.44,4.63,56.229,0x0F,0x0E,CHARGING
122118,3.152,-110.107,35.44,4.636,56.229,0x0F,0x0E,CHARGING
124120,3.157,-110.24,35.554,4.63,57.022,0x0F,0x0E,CHARGING
126122,3.157,-110.107,35.554,4.63,56.229,0x0F,0x0E,CHARGING
128124,3.162,-110.107,35.554,4.636,56.229,0x0F,0x0E,CHARGING
130126,3.157,-110.24,35.554,4.636,56.229,0x0F,0x0E,CHARGING
132128,3.162,-110.107,35.554,4.63,57.022,0x0F,0x0E,CHARGING
134130,3.167,-110.107,35.554,4.636,57.022,0x0F,0x0E,CHARGING
136132,3.167,-110.24,35.554,4.642,56.229,0x0F,0x0E,CHARGING
138134,3.167,-110.24,35.554,4.63,56.229,0x0F,0x0E,CHARGING
140136,3.167,-110.107,35.554,4.63,56.229,0x0F,0x0E,CHARGING
142138,3.167,-110.24,35.554,4.63,56.229,0x0F,0x0E,CHARGING
144140,3.176,-110.24,35.554,4.63,57.022,0x0F,0x0E,CHARGING
146142,3.176,-110.107,35.554,4.63,56.229,0x0F,0x0E,CHARGING
148144,3.176,-110.107,35.668,4.636,57.022,0x0F,0x0E,CHARGING
150146,3.176,-110.24,35.668,4.63,57.022,0x0F,0x0E,CHARGING
152147,3.181,-110.107,35.668,4.63,56.229,0x0F,0x0E,CHARGING
154149,3.181,-110.24,35.554,4.63,56.229,0x0F,0x0E,CHARGING
156151,3.181,-110.24,35.668,4.623,56.229,0x0F,0x0E,CHARGING
158153,3.181,-110.372,35.668,4.636,56.229,0x0F,0x0E,CHARGING
