time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.377,163.2,2.426,3.352,4.71,0x04,0x0E,DISCHARGING
2002,3.347,154.4,2.318,3.315,4.71,0x04,0x0E,DISCHARGING
4004,3.328,158.4,2.318,3.296,4.71,0x04,0x0E,DISCHARGING
6006,3.313,156.0,2.426,3.284,3.918,0x04,0x0E,DISCHARGING
8008,3.299,160.8,2.318,3.271,4.71,0x04,0x0E,DISCHARGING
10009,3.308,159.6,2.426,3.259,4.71,0x04,0x0E,DISCHARGING
12011,3.289,144.4,2.318,3.259,3.918,0x04,0x0E,DISCHARGING
14013,3.274,160.8,2.318,3.246,3.918,0x04,0x0E,DISCHARGING
16015,3.269,159.6,2.426,3.246,3.918,0x04,0x0E,DISCHARGING
18017,3.269,163.6,2.426,3.24,3.918,0x04,0x0E,DISCHARGING
20019,3.26,168.0,2.426,3.234,3.918,0x04,0x0E,DISCHARGING
22020,3.264,146.4,2.426,3.228,3.918,0x04,0x0E,DISCHARGING
24021,3.26,166.4,2.426,3.228,3.918,0x04,0x0E,DISCHARGING
26023,3.26,160.8,2.426,3.228,3.918,0x04,0x0E,DISCHARGING
28025,3.25,160.8,2.426,3.215,3.918,0x04,0x0E,DISCHARGING
30026,3.25,164.4,2.426,3.215,3.918,0x04,0x0E,DISCHARGING
32028,3.25,165.2,2.426,3.209,3.918,0x04,0x0E,DISCHARGING
34029,3.245,162.8,2.426,3.209,3.918,0x04,0x0E,DISCHARGING
36031,3.25,164.4,2.426,3.209,3.918,0x04,0x0E,DISCHARGING
38032,3.245,169.6,2.426,3.209,3.918,0x04,0x0E,DISCHARGING
40034,3.255,168.0,2.426,3.209,3.918,0x04,0x0E,DISCHARGING
42035,3.235,164.4,2.426,3.203,3.918,0x04,0x0E,DISCHARGING
44037,3.23,163.6,2.426,3.196,3.918,0x04,0x0E,DISCHARGING
46039,3.23,166.4,2.426,3.196,3.918,0x04,0x0E,DISCHARGING
48041,3.23,166.8,2.534,3.196,3.918,0x04,0x0E,DISCHARGING
50042,3.23,166.8,2.534,3.196,3.918,0x04,0x0E,DISCHARGING
52044,3.23,164.4,2.426,3.196,3.918,0x04,0x0E,DISCHARGING
54046,3.23,163.2,2.534,3.19,3.918,0x04,0x0E,DISCHARGING
56047,3.225,166.8,2.534,3.196,3.918,0x04,0x0E,DISCHARGING
58049,3.23,166.4,2.534,3.196,3.918,0x04,0x0E,DISCHARGING
60050,3.225,160.8,2.534,3.19,3.918,0x04,0x0E,DISCHARGING
62052,3.22,168.0,2.534,3.19,3.918,0x04,0x0E,DISCHARGING
64053,3.22,165.2,2.534,3.19,3.918,0x04,0x0E,DISCHARGING
66055,3.22,152.8,2.534,3.19,3.918,0x04,0x0E,DISCHARGING
68057,3.216,161.2,2.534,3.184,3.918,0x04,0x0E,DISCHARGING
70059,3.216,160.8,2.534,3.184,3.918,0x04,0x0E,DISCHARGING
72060,3.235,168.0,2.534,3.184,3.918,0x04,0x0E,DISCHARGING
74062,3.22,159.6,2.534,3.184,3.918,0x04,0x0E,DISCHARGING
76064,3.235,146.8,2.534,3.184,3.918,0x04,0x0E,DISCHARGING
78065,3.211,164.0,2.534,3.178,3.918,0x04,0x0E,DISCHARGING
80422,3.191,209.2,2.534,3.146,3.918,0x04,0x0E,DISCHARGING
82424,3.191,212.4,2.534,3.153,3.918,0x04,0x0E,DISCHARGING
84426,3.196,209.2,2.534,3.14,3.918,0x04,0x0E,DISCHARGING
86428,3.191,214.0,2.534,3.14,3.918,0x04,0x0E,DISCHARGING
88429,3.186,219.2,2.534,3.14,3.918,0x04,0x0E,DISCHARGING
90431,3.191,210.8,2.534,3.134,3.918,0x04,0x0E,DISCHARGING
92432,3.181,217.6,2.642,3.14,3.918,0x04,0x0E,DISCHARGING
94434,3.167,217.6,2.642,3.134,3.918,0x04,0x0E,DISCHARGING
96436,3.181,212.0,2.642,3.128,4.71,0x04,0x0E,DISCHARGING
98438,3.172,210.0,2.642,3.14,3.918,0x04,0x0E,DISCHARGING
100440,3.186,203.2,2.642,3.134,3.918,0x04,0x0E,DISCHARGING
102442,3.172,217.6,2.642,3.134,3.918,0x04,0x0E,DISCHARGING
104444,3.191,221.2,2.642,3.134,3.918,0x04,0x0E,DISCHARGING
106446,3.172,215.6,2.642,3.128,3.918,0x04,0x0E,DISCHARGING
