time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000006066,2.961,-16.875,25.308,4.767,30.074,0x0C,0x0E,CHARGING
000008067,3.098,-186.075,25.411,4.580,36.414,0x0F,0x0E,CHARGING
000010068,3.132,-186.750,25.308,4.574,38.000,0x0F,0x0E,CHARGING
000012069,3.157,-186.975,25.514,4.586,38.792,0x0F,0x0E,CHARGING
000014070,3.176,-186.975,25.411,4.580,38.792,0x0F,0x0E,CHARGING
000016072,3.196,-186.975,25.308,4.586,38.792,0x0F,0x0E,CHARGING
000018074,3.206,-186.975,25.411,4.580,39.585,0x0F,0x0E,CHARGING
000020075,3.216,-187.650,25.514,4.580,39.585,0x0F,0x0E,CHARGING
000022077,3.225,-187.650,25.824,4.580,39.585,0x0F,0x0E,CHARGING
000024078,3.235,-187.650,25.514,4.574,39.585,0x0F,0x0E,CHARGING
000026080,3.245,-187.875,25.514,4.580,39.585,0x0F,0x0E,CHARGING
000028082,3.245,-187.650,25.514,4.580,39.585,0x0F,0x0E,CHARGING
000030083,3.255,-187.875,25.514,4.580,40.377,0x0F,0x0E,CHARGING
000032085,3.260,-187.425,25.617,4.580,39.585,0x0F,0x0E,CHARGING
000034087,3.264,-188.100,25.514,4.586,37.207,0x0F,0x0E,CHARGING
000036089,3.264,-188.100,25.514,4.580,42.755,0x0F,0x0E,CHARGING
000038090,3.264,-188.100,25.514,4.586,40.377,0x0F,0x0E,CHARGING
000040092,3.269,-187.875,25.514,4.574,40.377,0x0F,0x0E,CHARGING
000042094,3.274,-188.100,25.514,4.580,37.207,0x0F,0x0E,CHARGING
000044095,3.274,-188.325,25.514,4.574,37.207,0x0F,0x0E,CHARGING
000046097,3.274,-188.325,25.514,4.580,40.377,0x0F,0x0E,CHARGING
000048099,3.284,-188.325,25.514,4.580,40.377,0x0F,0x0E,CHARGING
000050101,3.289,-186.975,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000052103,3.289,-188.325,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000054104,3.284,-188.325,25.617,4.580,41.170,0x0F,0x0E,CHARGING
000056106,3.289,-188.325,25.617,4.574,40.377,0x0F,0x0E,CHARGING
000058108,3.294,-187.875,25.617,4.592,40.377,0x0F,0x0E,CHARGING
000060110,3.294,-188.325,25.514,4.580,40.377,0x0F,0x0E,CHARGING
000062112,3.294,-188.325,25.617,4.574,40.377,0x0F,0x0E,CHARGING
000064114,3.294,-188.325,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000066116,3.299,-188.325,25.617,4.580,37.207,0x0F,0x0E,CHARGING
000068118,3.304,-188.550,25.617,4.586,37.207,0x0F,0x0E,CHARGING
000070120,3.299,-188.550,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000072122,3.299,-188.550,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000074124,3.304,-188.100,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000076126,3.304,-188.325,25.617,4.580,41.170,0x0F,0x0E,CHARGING
000078128,3.304,-188.550,25.720,4.586,40.377,0x0F,0x0E,CHARGING
000080130,3.308,-188.325,25.617,4.580,40.377,0x0F,0x0E,CHARGING
000082132,3.313,-188.550,25.617,4.586,40.377,0x0F,0x0E,CHARGING
000084134,3.308,-188.550,25.720,4.580,40.377,0x0F,0x0E,CHARGING
000086136,3.313,-188.550,25.617,4.586,40.377,0x0F,0x0E,CHARGING
000088138,3.313,-188.325,25.617,4.586,40.377,0x0F,0x0E,CHARGING
000090140,3.313,-188.550,25.617,4.574,40.377,0x0F,0x0E,CHARGING
000092142,3.313,-188.550,25.514,4.580,37.207,0x0F,0x0E,CHARGING
