time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000354785,3.191,107.600,25.102,3.184,27.696,0x04,0x0E,DISCHARGING
000356786,3.216,94.000,25.102,3.184,27.696,0x04,0x0E,DISCHARGING
000358788,3.216,91.200,25.102,3.190,27.696,0x04,0x0E,DISCHARGING
000360790,3.216,96.000,25.102,3.184,27.696,0x04,0x0E,DISCHARGING
000362791,3.211,87.600,25.102,3.184,27.696,0x04,0x0E,DISCHARGING
000364793,3.211,94.400,25.102,3.190,27.696,0x04,0x0E,DISCHARGING
000366794,3.206,93.200,25.102,3.190,27.696,0x04,0x0E,DISCHARGING
000368796,3.211,96.800,25.102,3.190,27.696,0x04,0x0E,DISCHARGING
000370798,3.343,-188.550,25.102,4.592,36.414,0x0F,0x0E,CHARGING
000372800,3.352,-188.775,25.102,4.586,38.792,0x0F,0x0E,CHARGING
000374802,3.357,-188.775,25.102,4.592,39.585,0x0F,0x0E,CHARGING
000376804,3.362,-188.775,25.102,4.586,40.377,0x0F,0x0E,CHARGING
000378806,3.362,-189.000,25.102,4.586,40.377,0x0F,0x0E,CHARGING
000380808,3.362,-188.775,25.102,4.586,40.377,0x0F,0x0E,CHARGING
000382810,3.362,-189.000,25.102,4.586,41.170,0x0F,0x0E,CHARGING
000384812,3.367,-189.000,25.102,4.592,41.963,0x0F,0x0E,CHARGING
000386814,3.367,-189.000,25.102,4.592,41.963,0x0F,0x0E,CHARGING
000388815,3.372,-189.000,25.102,4.592,41.963,0x0F,0x0E,CHARGING
000390816,3.372,-189.000,25.102,4.605,42.755,0x0F,0x0E,CHARGING
000392817,3.377,-189.000,25.102,4.592,42.755,0x0F,0x0E,CHARGING
000394819,3.377,-189.000,25.102,4.598,42.755,0x0F,0x0E,CHARGING
000396821,3.377,-189.000,25.102,4.592,40.377,0x0F,0x0E,CHARGING
000398823,3.377,-189.225,25.102,4.598,43.548,0x0F,0x0E,CHARGING
000400825,3.377,-189.225,25.102,4.598,43.548,0x0F,0x0E,CHARGING
000402827,3.382,-189.000,25.102,4.592,44.340,0x0F,0x0E,CHARGING
000404829,3.382,-189.450,25.102,4.592,44.340,0x0F,0x0E,CHARGING
000406831,3.382,-189.225,25.102,4.592,44.340,0x0F,0x0E,CHARGING
000408833,3.382,-189.225,25.102,4.598,44.340,0x0F,0x0E,CHARGING
000410835,3.382,-189.000,25.102,4.592,47.511,0x0F,0x0E,CHARGING
000412835,3.382,-189.000,25.205,4.598,44.340,0x0F,0x0E,CHARGING
000414837,3.387,-189.225,25.308,4.598,45.133,0x0F,0x0E,CHARGING
000416839,3.382,-189.225,25.205,4.592,45.133,0x0F,0x0E,CHARGING
000418841,3.382,-189.000,25.308,4.605,45.133,0x0F,0x0E,CHARGING
000420843,3.387,-189.225,25.308,4.598,45.926,0x0F,0x0E,CHARGING
000422845,3.387,-189.225,25.308,4.598,45.926,0x0F,0x0E,CHARGING
000424847,3.387,-189.225,25.411,4.598,45.926,0x0F,0x0E,CHARGING
000426848,3.387,-188.775,25.411,4.598,46.718,0x0F,0x0E,CHARGING
000428849,3.387,-189.450,25.411,4.598,45.926,0x0F,0x0E,CHARGING
000430851,3.387,-186.975,25.824,4.598,45.926,0x0F,0x0E,CHARGING
000432853,3.387,-189.225,25.411,4.598,49.096,0x0F,0x0E,CHARGING
000434855,3.382,-189.450,25.514,4.598,45.926,0x0F,0x0E,CHARGING
000436856,3.387,-189.225,25.514,4.598,45.926,0x0F,0x0E,CHARGING
000438857,3.387,-189.450,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000440859,3.387,-189.450,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000442860,3.391,-189.450,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000444861,3.391,-189.450,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000446863,3.391,-189.675,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000448865,3.391,-189.225,25.514,4.592,46.718,0x0F,0x0E,CHARGING
000450867,3.391,-189.450,25.617,4.592,44.340,0x0F,0x0E,CHARGING
000452868,3.391,-189.225,25.617,4.592,46.718,0x0F,0x0E,CHARGING
000454869,3.391,-189.450,25.617,4.592,47.511,0x0F,0x0E,CHARGING
000456871,3.391,-111.432,25.617,4.592,47.511,0x0F,0x0E,CHARGING
000458872,3.387,-111.565,25.617,4.598,47.511,0x0F,0x0E,CHARGING
000460874,3.391,-111.432,25.617,4.598,47.511,0x0F,0x0E,CHARGING
000462876,3.391,-111.565,25.617,4.592,47.511,0x0F,0x0E,CHARGING
000464878,3.391,-111.432,25.617,4.598,47.511,0x0F,0x0E,CHARGING
000466879,3.396,-111.565,26.031,4.598,47.511,0x0F,0x0E,CHARGING
000468881,3.391,-111.432,25.617,4.592,47.511,0x0F,0x0E,CHARGING
000470882,3.396,-111.432,25.720,4.592,48.303,0x0F,0x0E,CHARGING
000472884,3.396,-111.565,25.720,4.592,48.303,0x0F,0x0E,CHARGING
000474886,3.396,-111.565,26.031,4.598,48.303,0x0F,0x0E,CHARGING
000476887,3.396,-111.565,25.720,4.598,48.303,0x0F,0x0E,CHARGING
000478888,3.396,-111.565,25.824,4.598,47.511,0x0F,0x0E,CHARGING
000480890,3.396,-111.432,25.720,4.605,48.303,0x0F,0x0E,CHARGING
000482892,3.396,-111.565,25.720,4.598,48.303,0x0F,0x0E,CHARGING
000484894,3.396,-111.565,25.720,4.592,48.303,0x0F,0x0E,CHARGING
000486896,3.401,-111.565,25.720,4.598,46.718,0x0F,0x0E,CHARGING
000488898,3.401,-111.565,25.617,4.592,45.926,0x0F,0x0E,CHARGING
000490899,3.401,-111.565,25.514,4.605,45.133,0x0F,0x0E,CHARGING
000492901,3.401,-111.565,25.514,4.592,44.340,0x0F,0x0E,CHARGING
000494902,3.401,-111.565,25.308,4.592,43.548,0x0F,0x0E,CHARGING
000496903,3.396,-111.565,25.308,4.592,41.963,0x0F,0x0E,CHARGING
000498905,3.401,-111.432,25.308,4.586,41.963,0x0F,0x0E,CHARGING
000500907,3.401,-111.432,25.102,4.592,41.963,0x0F,0x0E,CHARGING
000502909,3.401,-111.697,25.102,4.592,41.170,0x0F,0x0E,CHARGING
000504911,3.401,-111.565,25.102,4.592,41.170,0x0F,0x0E,CHARGING
000506913,3.406,-111.962,25.102,4.586,40.377,0x0F,0x0E,CHARGING
000508915,3.406,-111.432,25.102,4.592,39.585,0x0F,0x0E,CHARGING
000510917,3.406,-111.565,25.102,4.592,39.585,0x0F,0x0E,CHARGING
