time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.225,-17.325,35.783,4.798,43.548,0x0C,0x0E,CHARGING
2002,3.294,-188.55,35.783,4.592,47.511,0x0F,0x0E,CHARGING
4003,3.299,-188.325,35.783,4.592,48.303,0x0F,0x0E,CHARGING
6004,3.304,-188.325,35.668,4.592,48.303,0x0F,0x0E,CHARGING
8005,3.304,-188.325,35.668,4.592,49.096,0x0F,0x0E,CHARGING
10006,3.308,-188.55,35.668,4.592,48.303,0x0F,0x0E,CHARGING
12007,3.308,-188.55,35.668,4.592,49.096,0x0F,0x0E,CHARGING
14008,3.313,-188.55,35.668,4.592,49.096,0x0F,0x0E,CHARGING
16009,3.313,-188.325,35.668,4.592,49.096,0x0F,0x0E,CHARGING
18010,3.313,-188.55,35.668,4.592,49.889,0x0F,0x0E,CHARGING
20011,3.318,-188.55,35.668,4.592,49.096,0x0F,0x0E,CHARGING
22012,3.318,-188.325,35.668,4.592,49.889,0x0F,0x0E,CHARGING
24013,3.323,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
26015,3.323,-188.775,35.668,4.598,49.096,0x0F,0x0E,CHARGING
28017,3.318,-188.55,35.668,4.592,46.718,0x0F,0x0E,CHARGING
30018,3.328,-188.325,35.668,4.592,46.718,0x0F,0x0E,CHARGING
32019,3.323,-188.55,35.668,4.592,49.889,0x0F,0x0E,CHARGING
34019,3.323,-188.55,35.668,4.592,49.889,0x0F,0x0E,CHARGING
36023,3.323,-188.775,35.783,4.592,49.096,0x0F,0x0E,CHARGING
38023,3.328,-188.775,35.668,4.598,49.889,0x0F,0x0E,CHARGING
40024,3.328,-189.0,35.668,4.586,49.889,0x0F,0x0E,CHARGING
42026,3.328,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
44028,3.328,-188.775,35.668,4.598,49.096,0x0F,0x0E,CHARGING
46030,3.328,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
48032,3.333,-188.55,35.668,4.592,49.889,0x0F,0x0E,CHARGING
50034,3.328,-188.775,35.554,4.592,49.889,0x0F,0x0E,CHARGING
52035,3.328,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
54036,3.328,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
56037,3.333,-189.0,35.898,4.592,46.718,0x0F,0x0E,CHARGING
58038,3.333,-188.775,35.554,4.598,49.889,0x0F,0x0E,CHARGING
60039,3.333,-188.775,35.668,4.598,49.889,0x0F,0x0E,CHARGING
62040,3.333,-188.775,35.668,4.598,49.096,0x0F,0x0E,CHARGING
64041,3.338,-188.775,35.668,4.598,49.096,0x0F,0x0E,CHARGING
66042,3.338,-188.775,35.668,4.592,47.511,0x0F,0x0E,CHARGING
68043,3.338,-188.775,35.783,4.598,46.718,0x0F,0x0E,CHARGING
70044,3.338,-189.0,35.554,4.592,49.889,0x0F,0x0E,CHARGING
72045,3.338,-188.775,35.668,4.592,49.889,0x0F,0x0E,CHARGING
74047,3.338,-188.775,35.668,4.598,49.889,0x0F,0x0E,CHARGING
76048,3.338,-188.775,35.668,4.592,46.718,0x0F,0x0E,CHARGING
78049,3.338,-189.225,35.554,4.598,49.889,0x0F,0x0E,CHARGING
80051,3.343,-189.0,35.668,4.592,49.889,0x0F,0x0E,CHARGING
82053,3.338,-188.775,35.668,4.598,49.889,0x0F,0x0E,CHARGING
84054,3.338,-189.0,35.668,4.586,49.889,0x0F,0x0E,CHARGING
86056,3.338,-189.0,35.554,4.592,49.889,0x0F,0x0E,CHARGING
88057,3.343,-189.0,35.668,4.598,49.096,0x0F,0x0E,CHARGING
90058,3.343,-189.0,35.668,4.605,49.889,0x0F,0x0E,CHARGING
92059,3.347,-189.0,35.668,4.592,49.889,0x0F,0x0E,CHARGING
94060,3.343,-189.0,35.668,4.592,50.681,0x0F,0x0E,CHARGING
96061,3.343,-189.0,36.128,4.592,46.718,0x0F,0x0E,CHARGING
98062,3.343,-188.775,35.668,4.598,46.718,0x0F,0x0E,CHARGING
100063,3.343,-189.0,35.668,4.592,49.889,0x0F,0x0E,CHARGING
102067,3.347,-111.167,35.668,4.592,49.889,0x0F,0x0E,CHARGING
104068,3.343,-111.3,35.668,4.592,49.889,0x0F,0x0E,CHARGING
106069,3.347,-111.167,35.554,4.592,52.266,0x0F,0x0E,CHARGING
108070,3.347,-111.565,35.554,4.598,46.718,0x0F,0x0E,CHARGING
110071,3.343,-111.3,35.554,4.592,46.718,0x0F,0x0E,CHARGING
112072,3.347,-111.3,35.668,4.592,49.889,0x0F,0x0E,CHARGING
114073,3.347,-111.3,35.554,4.592,49.889,0x0F,0x0E,CHARGING
116075,3.347,-111.167,35.668,4.592,46.718,0x0F,0x0E,CHARGING
118077,3.343,-111.167,35.668,4.598,49.889,0x0F,0x0E,CHARGING
120079,3.347,-111.3,35.668,4.592,49.889,0x0F,0x0E,CHARGING
122080,3.347,-111.3,35.554,4.592,49.889,0x0F,0x0E,CHARGING
124082,3.347,-111.167,35.668,4.598,49.889,0x0F,0x0E,CHARGING
126083,3.347,-111.3,35.668,4.592,49.889,0x0F,0x0E,CHARGING
