time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,35.212,4.779,43.548,0x0C,0x0E,CHARGING
2002,2.991,-184.5,35.212,4.598,50.681,0x0F,0x0E,CHARGING
4003,2.991,-184.725,35.212,4.598,49.889,0x0F,0x0E,CHARGING
6004,3.005,-184.5,35.44,4.611,53.059,0x0F,0x0E,CHARGING
8006,3.01,-184.725,35.44,4.605,54.644,0x0F,0x0E,CHARGING
10008,3.01,-184.725,35.44,4.605,54.644,0x0F,0x0E,CHARGING
12010,3.015,-184.725,35.44,4.605,55.437,0x0F,0x0E,CHARGING
14012,3.02,-185.175,35.554,4.605,55.437,0x0F,0x0E,CHARGING
16014,3.02,-184.725,35.554,4.617,56.229,0x0F,0x0E,CHARGING
18016,3.03,-184.725,35.554,4.605,56.229,0x0F,0x0E,CHARGING
20018,3.035,-184.95,35.668,4.605,57.022,0x0F,0x0E,CHARGING
22019,3.035,-184.95,35.554,4.605,57.022,0x0F,0x0E,CHARGING
24021,3.04,-185.175,35.668,4.605,57.022,0x0F,0x0E,CHARGING
26022,3.04,-185.175,36.128,4.605,57.815,0x0F,0x0E,CHARGING
28024,3.049,-185.4,35.668,4.605,57.815,0x0F,0x0E,CHARGING
30026,3.044,-185.4,35.44,4.605,57.815,0x0F,0x0E,CHARGING
32028,3.054,-185.4,35.898,4.605,58.607,0x0F,0x0E,CHARGING
34030,3.054,-185.175,35.898,4.598,58.607,0x0F,0x0E,CHARGING
36032,3.059,-185.175,35.898,4.611,58.607,0x0F,0x0E,CHARGING
38034,3.064,-185.175,35.898,4.611,58.607,0x0F,0x0E,CHARGING
40036,3.059,-185.4,35.898,4.605,58.607,0x0F,0x0E,CHARGING
42038,3.069,-185.4,35.898,4.605,58.607,0x0F,0x0E,CHARGING
44039,3.074,-185.4,35.898,4.617,58.607,0x0F,0x0E,CHARGING
46041,3.079,-185.625,35.898,4.605,58.607,0x0F,0x0E,CHARGING
48043,3.079,-185.4,36.013,4.611,58.607,0x0F,0x0E,CHARGING
50045,3.084,-185.4,36.474,4.611,61.778,0x0F,0x0E,CHARGING
52047,3.084,-185.85,36.128,4.605,58.607,0x0F,0x0E,CHARGING
54049,3.079,-185.4,36.128,4.611,56.229,0x0F,0x0E,CHARGING
56051,3.088,-186.075,36.128,4.605,61.778,0x0F,0x0E,CHARGING
58053,3.088,-185.625,36.243,4.611,59.4,0x0F,0x0E,CHARGING
60055,3.093,-185.85,36.243,4.605,58.607,0x0F,0x0E,CHARGING
62057,3.098,-185.625,36.243,4.611,60.192,0x0F,0x0E,CHARGING
64059,3.098,-185.625,36.359,4.611,59.4,0x0F,0x0E,CHARGING
66061,3.103,-185.85,36.359,4.611,59.4,0x0F,0x0E,CHARGING
68063,3.103,-185.625,36.243,4.605,59.4,0x0F,0x0E,CHARGING
70065,3.108,-185.625,35.898,4.611,59.4,0x0F,0x0E,CHARGING
72067,3.108,-187.2,36.359,4.611,59.4,0x0F,0x0E,CHARGING
74069,3.113,-185.625,36.359,4.611,59.4,0x0F,0x0E,CHARGING
76071,3.113,-186.075,36.474,4.605,57.022,0x0F,0x0E,CHARGING
78073,3.118,-185.85,36.359,4.611,59.4,0x0F,0x0E,CHARGING
80075,3.118,-185.625,36.359,4.605,60.192,0x0F,0x0E,CHARGING
82077,3.123,-185.625,36.359,4.605,57.022,0x0F,0x0E,CHARGING
84079,3.128,-185.625,36.474,4.605,59.4,0x0F,0x0E,CHARGING
86081,3.128,-185.85,36.59,4.611,60.192,0x0F,0x0E,CHARGING
88083,3.123,-185.85,36.59,4.605,59.4,0x0F,0x0E,CHARGING
90084,3.123,-185.85,36.59,4.611,60.192,0x0F,0x0E,CHARGING
92086,3.123,-186.3,36.474,4.605,60.192,0x0F,0x0E,CHARGING
94088,3.128,-186.3,36.59,4.617,59.4,0x0F,0x0E,CHARGING
96090,3.137,-186.3,36.59,4.611,60.192,0x0F,0x0E,CHARGING
98092,3.137,-186.3,36.59,4.611,60.192,0x0F,0x0E,CHARGING
100094,3.137,-186.075,36.59,4.611,60.192,0x0F,0x0E,CHARGING
102096,3.142,-186.3,36.59,4.611,60.192,0x0F,0x0E,CHARGING
104098,3.142,-186.3,36.706,4.605,60.192,0x0F,0x0E,CHARGING
106100,3.147,-186.075,36.706,4.605,60.192,0x0F,0x0E,CHARGING
108102,3.147,-186.3,36.706,4.611,60.192,0x0F,0x0E,CHARGING
110104,3.152,-186.3,36.706,4.605,60.192,0x0F,0x0E,CHARGING
112106,3.152,-186.3,36.706,4.605,60.192,0x0F,0x0E,CHARGING
114108,3.152,-186.3,36.822,4.617,63.363,0x0F,0x0E,CHARGING
116110,3.157,-186.3,36.822,4.611,60.192,0x0F,0x0E,CHARGING
118112,3.157,-186.3,36.822,4.605,57.022,0x0F,0x0E,CHARGING
120114,3.157,-186.3,36.822,4.605,60.985,0x0F,0x0E,CHARGING
122116,3.162,-186.075,36.822,4.611,60.192,0x0F,0x0E,CHARGING
124118,3.167,-186.075,36.939,4.611,60.985,0x0F,0x0E,CHARGING
126120,3.167,-186.075,36.939,4.611,60.192,0x0F,0x0E,CHARGING
128121,3.162,-186.075,36.939,4.605,60.192,0x0F,0x0E,CHARGING
130123,3.167,-186.075,36.939,4.611,60.192,0x0F,0x0E,CHARGING
132125,3.167,-186.075,36.939,4.611,60.985,0x0F,0x0E,CHARGING
134127,3.172,-186.525,36.939,4.617,60.192,0x0F,0x0E,CHARGING
136129,3.176,-186.3,37.055,4.605,60.985,0x0F,0x0E,CHARGING
138131,3.176,-186.525,36.939,4.611,60.985,0x0F,0x0E,CHARGING
140132,3.176,-186.75,37.055,4.611,60.985,0x0F,0x0E,CHARGING
142134,3.181,-186.3,37.524,4.611,60.985,0x0F,0x0E,CHARGING
144136,3.181,-186.3,37.055,4.605,60.985,0x0F,0x0E,CHARGING
146138,3.181,-186.75,37.055,4.605,60.192,0x0F,0x0E,CHARGING
