time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.269,128.399,-9.015,3.259,-11.933,0x04,0x0E,DISCHARGING
2002,3.211,126.8,-9.015,3.19,-11.933,0x04,0x0E,DISCHARGING
4004,3.172,131.6,-9.015,3.159,-11.933,0x04,0x0E,DISCHARGING
6006,3.152,127.2,-9.015,3.134,-11.933,0x04,0x0E,DISCHARGING
8008,3.152,135.2,-9.015,3.128,-12.726,0x04,0x0E,DISCHARGING
10010,3.137,124.0,-9.015,3.115,-12.726,0x04,0x0E,DISCHARGING
12012,3.128,124.4,-9.015,3.109,-12.726,0x04,0x0E,DISCHARGING
14014,3.113,127.6,-9.015,3.103,-12.726,0x04,0x0E,DISCHARGING
16016,3.128,132.0,-9.015,3.097,-12.726,0x04,0x0E,DISCHARGING
18018,3.118,127.2,-9.015,3.09,-12.726,0x04,0x0E,DISCHARGING
20020,3.108,127.2,-9.015,3.09,-12.726,0x04,0x0E,DISCHARGING
22022,3.108,131.6,-9.015,3.084,-12.726,0x04,0x0E,DISCHARGING
24024,3.108,124.4,-9.015,3.084,-12.726,0x04,0x0E,DISCHARGING
26026,3.113,132.0,-9.015,3.078,-12.726,0x04,0x0E,DISCHARGING
28028,3.103,127.2,-9.015,3.084,-12.726,0x04,0x0E,DISCHARGING
30030,3.093,127.2,-9.015,3.078,-12.726,0x04,0x0E,DISCHARGING
32031,3.093,130.0,-9.015,3.072,-12.726,0x04,0x0E,DISCHARGING
34032,3.108,126.4,-9.015,3.072,-13.518,0x04,0x0E,DISCHARGING
36034,3.093,130.0,-9.015,3.072,-13.518,0x04,0x0E,DISCHARGING
38035,3.088,127.2,-9.015,3.078,-13.518,0x04,0x0E,DISCHARGING
40037,3.093,126.8,-9.015,3.072,-12.726,0x04,0x0E,DISCHARGING
42039,3.093,129.2,-9.015,3.065,-12.726,0x04,0x0E,DISCHARGING
44040,3.088,130.0,-9.015,3.065,-13.518,0x04,0x0E,DISCHARGING
46041,3.093,118.8,-9.015,3.065,-13.518,0x04,0x0E,DISCHARGING
48043,3.093,134.4,-9.015,3.059,-12.726,0x04,0x0E,DISCHARGING
50045,3.074,136.0,-9.015,3.065,-13.518,0x04,0x0E,DISCHARGING
52046,3.074,131.6,-9.015,3.059,-12.726,0x04,0x0E,DISCHARGING
54047,3.074,135.2,-9.015,3.059,-13.518,0x04,0x0E,DISCHARGING
56049,3.074,131.6,-9.015,3.059,-13.518,0x04,0x0E,DISCHARGING
58051,3.074,140.8,-9.015,3.059,-13.518,0x04,0x0E,DISCHARGING
60053,3.079,134.4,-9.015,3.053,-13.518,0x04,0x0E,DISCHARGING
62055,3.084,131.6,-9.015,3.059,-13.518,0x04,0x0E,DISCHARGING
64057,3.074,129.2,-9.015,3.053,-13.518,0x04,0x0E,DISCHARGING
66059,3.074,124.4,-9.015,3.059,-13.518,0x04,0x0E,DISCHARGING
68061,3.074,134.4,-9.015,3.053,-13.518,0x04,0x0E,DISCHARGING
70063,3.054,130.399,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
72065,3.064,135.2,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
74067,3.069,126.0,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
76068,3.054,127.6,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
78070,3.054,133.2,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
80072,3.074,134.4,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
82074,3.064,131.6,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
84075,3.054,121.6,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
86077,3.074,127.2,-9.015,3.041,-13.518,0x04,0x0E,DISCHARGING
88079,3.049,131.6,-9.015,3.041,-13.518,0x04,0x0E,DISCHARGING
90081,3.054,134.4,-9.015,3.034,-13.518,0x04,0x0E,DISCHARGING
92082,3.054,131.6,-9.015,3.041,-13.518,0x04,0x0E,DISCHARGING
94084,3.074,127.6,-9.015,3.047,-13.518,0x04,0x0E,DISCHARGING
96086,3.069,127.6,-9.015,3.034,-13.518,0x04,0x0E,DISCHARGING
98086,3.064,133.2,-9.015,3.041,-13.518,0x04,0x0E,DISCHARGING
100088,3.054,135.2,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
102090,3.079,118.8,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
104091,3.069,130.0,-9.015,3.034,-13.518,0x04,0x0E,DISCHARGING
106093,3.074,134.4,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
108095,3.069,131.2,-9.015,3.034,-13.518,0x04,0x0E,DISCHARGING
110097,3.049,135.2,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
112099,3.049,131.2,-9.015,3.034,-13.518,0x04,0x0E,DISCHARGING
114100,3.049,127.2,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
116102,3.049,127.6,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
118104,3.054,127.2,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
120106,3.054,138.0,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
122108,3.049,135.2,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
124110,3.049,134.8,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
126112,3.035,136.4,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
128114,3.035,134.8,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
130116,3.049,135.2,-9.015,3.016,-14.311,0x04,0x0E,DISCHARGING
132118,3.059,131.6,-9.015,3.028,-13.518,0x04,0x0E,DISCHARGING
134120,3.035,127.2,-9.015,3.016,-13.518,0x04,0x0E,DISCHARGING
136122,3.035,131.6,-9.015,3.022,-13.518,0x04,0x0E,DISCHARGING
138123,3.035,134.8,-9.015,3.016,-13.518,0x04,0x0E,DISCHARGING
