time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.311,-15.975,16.04,4.785,18.185,0x0C,0x0E,CHARGING
2002,2.331,-15.975,16.239,4.773,18.977,0x0C,0x0E,CHARGING
4004,2.346,-15.975,16.239,4.767,19.77,0x0C,0x0E,CHARGING
6006,2.35,-15.975,16.239,4.773,20.562,0x0C,0x0E,CHARGING
8008,2.355,-16.2,16.239,4.773,20.562,0x0C,0x0E,CHARGING
10010,2.365,-16.2,16.239,4.785,19.77,0x0C,0x0E,CHARGING
12012,2.375,-15.975,16.239,4.767,20.562,0x0C,0x0E,CHARGING
14014,2.38,-15.975,16.239,4.773,20.562,0x0C,0x0E,CHARGING
16016,2.385,-15.975,16.239,4.779,21.355,0x0C,0x0E,CHARGING
18018,2.39,-16.2,16.239,4.767,21.355,0x0C,0x0E,CHARGING
20019,2.394,-15.975,16.239,4.779,21.355,0x0C,0x0E,CHARGING
22021,2.394,-16.2,16.239,4.773,21.355,0x0C,0x0E,CHARGING
24023,2.404,-16.2,16.239,4.773,22.148,0x0C,0x0E,CHARGING
26025,2.409,-15.975,16.239,4.767,22.148,0x0C,0x0E,CHARGING
28027,2.414,-15.975,16.239,4.773,22.148,0x0C,0x0E,CHARGING
30029,2.414,-15.975,16.239,4.785,22.148,0x0C,0x0E,CHARGING
32031,2.414,-15.975,16.339,4.779,22.148,0x0C,0x0E,CHARGING
34033,2.424,-16.2,16.339,4.773,22.148,0x0C,0x0E,CHARGING
36035,2.424,-15.975,16.439,4.773,22.148,0x0C,0x0E,CHARGING
38037,2.429,-15.975,16.439,4.773,22.94,0x0C,0x0E,CHARGING
40039,2.434,-15.975,16.339,4.785,22.94,0x0C,0x0E,CHARGING
42041,2.434,-15.975,16.439,4.767,22.148,0x0C,0x0E,CHARGING
44043,2.434,-16.2,16.439,4.773,22.148,0x0C,0x0E,CHARGING
46045,2.438,-16.2,16.439,4.779,22.94,0x0C,0x0E,CHARGING
48047,2.443,-16.2,16.439,4.773,22.94,0x0C,0x0E,CHARGING
50049,2.448,-16.2,16.638,4.785,22.148,0x0C,0x0E,CHARGING
52051,2.448,-16.2,16.439,4.779,22.94,0x0C,0x0E,CHARGING
54053,2.453,-16.2,16.439,4.773,25.318,0x0C,0x0E,CHARGING
56055,2.458,-15.975,16.439,4.773,22.94,0x0C,0x0E,CHARGING
58057,2.458,-16.2,16.439,4.767,22.94,0x0C,0x0E,CHARGING
60059,2.458,-16.2,16.837,4.785,23.733,0x0C,0x0E,CHARGING
62061,2.463,-16.2,16.937,4.773,22.148,0x0C,0x0E,CHARGING
64063,2.468,-16.2,16.239,4.779,22.94,0x0C,0x0E,CHARGING
66065,2.468,-16.2,16.937,4.779,23.733,0x0C,0x0E,CHARGING
68067,2.468,-16.2,16.638,4.779,22.94,0x0C,0x0E,CHARGING
70069,2.473,-15.975,16.638,4.785,23.733,0x0C,0x0E,CHARGING
72071,2.473,-16.2,16.638,4.779,23.733,0x0C,0x0E,CHARGING
74072,2.478,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
76074,2.478,-16.2,16.638,4.773,22.94,0x0C,0x0E,CHARGING
78076,2.482,-16.2,16.638,4.773,22.94,0x0C,0x0E,CHARGING
80078,2.482,-16.2,16.638,4.773,22.94,0x0C,0x0E,CHARGING
82080,2.487,-16.2,16.638,4.773,22.94,0x0C,0x0E,CHARGING
84082,2.487,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
86084,2.497,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
88086,2.492,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
90088,2.492,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
92090,2.497,-16.2,16.638,4.773,22.94,0x0C,0x0E,CHARGING
94092,2.502,-16.2,16.638,4.773,26.903,0x0C,0x0E,CHARGING
96094,2.502,-16.2,16.638,4.773,23.733,0x0C,0x0E,CHARGING
98096,2.497,-16.2,16.638,4.779,22.94,0x0C,0x0E,CHARGING
100454,2.507,-16.2,16.638,4.754,22.94,0x0C,0x0E,CHARGING
102456,2.512,-16.2,16.638,4.754,23.733,0x0C,0x0E,CHARGING
104458,2.512,-16.2,16.638,4.754,22.94,0x0C,0x0E,CHARGING
106460,2.517,-16.2,16.638,4.76,23.733,0x0C,0x0E,CHARGING
108462,2.517,-16.2,16.638,4.748,23.733,0x0C,0x0E,CHARGING
110464,2.521,-16.2,16.638,4.748,23.733,0x0C,0x0E,CHARGING
112466,2.521,-16.2,16.738,4.748,23.733,0x0C,0x0E,CHARGING
114468,2.521,-16.2,16.638,4.754,24.525,0x0C,0x0E,CHARGING
116470,2.526,-16.2,16.638,4.76,23.733,0x0C,0x0E,CHARGING
118472,2.526,-16.425,16.738,4.754,21.355,0x0C,0x0E,CHARGING
120474,2.531,-16.2,16.638,4.754,21.355,0x0C,0x0E,CHARGING
122476,2.531,-16.2,16.738,4.748,23.733,0x0C,0x0E,CHARGING
124478,2.536,-16.2,17.037,4.754,23.733,0x0C,0x0E,CHARGING
126480,2.531,-16.2,16.638,4.754,23.733,0x0C,0x0E,CHARGING
128482,2.536,-16.425,17.037,4.754,21.355,0x0C,0x0E,CHARGING
130484,2.541,-16.2,17.136,4.754,23.733,0x0C,0x0E,CHARGING
132486,2.541,-16.2,16.638,4.754,21.355,0x0C,0x0E,CHARGING
134487,2.546,-16.2,17.037,4.754,23.733,0x0C,0x0E,CHARGING
136489,2.609,-180.675,16.638,4.592,33.244,0x0F,0x0E,CHARGING
138491,2.678,-181.35,16.638,4.586,37.207,0x0F,0x0E,CHARGING
140493,2.697,-181.8,16.638,4.592,38.0,0x0F,0x0E,CHARGING
142495,2.717,-182.025,16.638,4.592,38.792,0x0F,0x0E,CHARGING
144497,2.737,-182.25,16.738,4.58,38.792,0x0F,0x0E,CHARGING
146499,2.756,-182.025,16.837,4.592,39.585,0x0F,0x0E,CHARGING
148500,2.766,-182.475,17.037,4.586,37.207,0x0F,0x0E,CHARGING
150502,2.781,-182.475,17.037,4.586,39.585,0x0F,0x0E,CHARGING
152504,2.795,-182.7,17.037,4.592,40.377,0x0F,0x0E,CHARGING
154506,2.81,-182.7,17.037,4.586,40.377,0x0F,0x0E,CHARGING
156508,2.815,-182.925,17.037,4.598,40.377,0x0F,0x0E,CHARGING
158510,2.829,-182.925,17.037,4.586,40.377,0x0F,0x0E,CHARGING
160512,2.839,-182.925,17.037,4.586,40.377,0x0F,0x0E,CHARGING
162514,2.849,-183.375,17.037,4.58,41.17,0x0F,0x0E,CHARGING
164516,2.854,-183.6,17.037,4.586,41.17,0x0F,0x0E,CHARGING
166518,2.864,-183.375,17.136,4.592,41.17,0x0F,0x0E,CHARGING
168520,2.873,-183.375,17.037,4.586,44.34,0x0F,0x0E,CHARGING
170521,2.883,-183.375,17.037,4.586,41.17,0x0F,0x0E,CHARGING
172523,2.883,-183.6,17.037,4.592,41.17,0x0F,0x0E,CHARGING
174525,2.893,-183.6,17.037,4.586,41.17,0x0F,0x0E,CHARGING
176527,2.903,-183.6,17.037,4.586,41.17,0x0F,0x0E,CHARGING
178529,2.908,-183.6,17.037,4.586,40.377,0x0F,0x0E,CHARGING
180531,2.917,-183.825,17.037,4.592,41.17,0x0F,0x0E,CHARGING
182533,2.917,-184.05,17.136,4.58,41.17,0x0F,0x0E,CHARGING
184535,2.927,-183.825,17.136,4.592,40.377,0x0F,0x0E,CHARGING
186537,2.932,-184.05,17.236,4.586,41.17,0x0F,0x0E,CHARGING
188539,2.942,-183.825,17.236,4.592,41.17,0x0F,0x0E,CHARGING
190541,2.947,-183.825,17.236,4.586,40.377,0x0F,0x0E,CHARGING
192543,2.952,-183.825,17.236,4.586,41.17,0x0F,0x0E,CHARGING
194545,2.956,-183.825,17.436,4.586,41.963,0x0F,0x0E,CHARGING
196547,2.961,-184.05,17.236,4.586,41.17,0x0F,0x0E,CHARGING
198549,2.966,-184.05,17.336,4.586,41.17,0x0F,0x0E,CHARGING
200906,2.966,-184.275,17.436,4.561,41.963,0x0F,0x0E,CHARGING
202908,2.976,-184.275,17.336,4.561,41.963,0x0F,0x0E,CHARGING
204910,2.981,-185.4,17.436,4.567,41.963,0x0F,0x0E,CHARGING
206912,2.986,-184.725,17.436,4.561,41.963,0x0F,0x0E,CHARGING
208914,2.991,-184.5,17.436,4.561,41.963,0x0F,0x0E,CHARGING
210916,2.996,-184.725,17.436,4.567,41.963,0x0F,0x0E,CHARGING
212918,2.996,-184.725,17.436,4.561,41.17,0x0F,0x0E,CHARGING
214920,3.0,-184.95,17.436,4.567,41.963,0x0F,0x0E,CHARGING
216922,3.005,-184.725,17.436,4.567,42.755,0x0F,0x0E,CHARGING
218924,3.01,-184.725,17.436,4.567,41.963,0x0F,0x0E,CHARGING
220926,3.015,-184.95,17.436,4.567,41.963,0x0F,0x0E,CHARGING
222928,3.02,-184.95,17.635,4.567,41.963,0x0F,0x0E,CHARGING
224930,3.02,-184.725,17.535,4.561,41.963,0x0F,0x0E,CHARGING
226932,3.025,-184.725,17.635,4.567,41.963,0x0F,0x0E,CHARGING
228934,3.03,-185.175,17.535,4.567,41.963,0x0F,0x0E,CHARGING
230936,3.03,-185.175,17.635,4.567,41.963,0x0F,0x0E,CHARGING
232938,3.035,-184.95,17.436,4.561,41.963,0x0F,0x0E,CHARGING
234940,3.04,-185.175,17.635,4.567,43.548,0x0F,0x0E,CHARGING
236942,3.04,-185.4,17.835,4.555,42.755,0x0F,0x0E,CHARGING
238944,3.049,-185.175,17.635,4.567,41.963,0x0F,0x0E,CHARGING
240946,3.049,-185.175,17.436,4.567,41.963,0x0F,0x0E,CHARGING
242948,3.054,-185.4,17.835,4.567,41.963,0x0F,0x0E,CHARGING
244950,3.059,-185.175,17.835,4.567,41.963,0x0F,0x0E,CHARGING
246952,3.059,-185.625,17.835,4.567,41.963,0x0F,0x0E,CHARGING
248954,3.064,-185.625,17.835,4.561,42.755,0x0F,0x0E,CHARGING
250956,3.064,-185.4,17.835,4.561,41.963,0x0F,0x0E,CHARGING
252958,3.069,-185.4,17.835,4.561,41.963,0x0F,0x0E,CHARGING
254960,3.069,-185.4,17.835,4.561,42.755,0x0F,0x0E,CHARGING
256962,3.074,-185.625,17.835,4.561,42.755,0x0F,0x0E,CHARGING
258964,3.079,-185.4,17.835,4.561,41.17,0x0F,0x0E,CHARGING
260966,3.079,-185.175,17.835,4.561,45.926,0x0F,0x0E,CHARGING
262968,3.074,-185.175,17.835,4.567,41.963,0x0F,0x0E,CHARGING
264970,3.088,-185.175,17.835,4.567,41.963,0x0F,0x0E,CHARGING
266972,3.088,-185.625,17.835,4.561,41.963,0x0F,0x0E,CHARGING
268974,3.093,-185.4,17.835,4.567,41.963,0x0F,0x0E,CHARGING
270976,3.093,-185.625,17.835,4.567,41.963,0x0F,0x0E,CHARGING
272978,3.098,-185.85,17.934,4.58,42.755,0x0F,0x0E,CHARGING
274980,3.098,-186.075,18.034,4.567,41.963,0x0F,0x0E,CHARGING
276982,3.103,-185.625,18.034,4.561,41.963,0x0F,0x0E,CHARGING
278984,3.103,-185.175,18.034,4.567,41.963,0x0F,0x0E,CHARGING
280986,3.108,-185.85,17.835,4.567,42.755,0x0F,0x0E,CHARGING
282988,3.113,-185.625,18.034,4.58,41.963,0x0F,0x0E,CHARGING
284990,3.113,-186.075,17.934,4.567,41.17,0x0F,0x0E,CHARGING
286992,3.113,-185.625,17.934,4.567,41.963,0x0F,0x0E,CHARGING
288994,3.118,-185.85,18.034,4.561,42.755,0x0F,0x0E,CHARGING
290996,3.118,-185.625,18.034,4.567,42.755,0x0F,0x0E,CHARGING
292998,3.123,-186.075,18.034,4.567,41.963,0x0F,0x0E,CHARGING
295000,3.123,-185.625,18.034,4.555,45.133,0x0F,0x0E,CHARGING
297002,3.123,-185.85,18.034,4.567,41.963,0x0F,0x0E,CHARGING
299004,3.128,-185.85,18.034,4.561,41.963,0x0F,0x0E,CHARGING
301361,3.132,-186.3,18.633,4.536,42.755,0x0F,0x0E,CHARGING
303363,3.132,-186.3,18.234,4.542,41.963,0x0F,0x0E,CHARGING
305365,3.137,-186.3,18.234,4.53,41.963,0x0F,0x0E,CHARGING
307367,3.137,-186.3,18.633,4.536,41.963,0x0F,0x0E,CHARGING
309369,3.137,-186.525,18.234,4.542,42.755,0x0F,0x0E,CHARGING
311371,3.142,-186.075,18.633,4.536,43.548,0x0F,0x0E,CHARGING
313373,3.147,-186.525,18.234,4.536,42.755,0x0F,0x0E,CHARGING
315375,3.147,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
317377,3.152,-186.525,18.633,4.53,43.548,0x0F,0x0E,CHARGING
319379,3.152,-186.75,17.835,4.53,42.755,0x0F,0x0E,CHARGING
321381,3.152,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
323383,3.157,-186.975,18.633,4.536,42.755,0x0F,0x0E,CHARGING
325385,3.157,-186.75,18.633,4.536,43.548,0x0F,0x0E,CHARGING
327387,3.157,-186.525,18.633,4.53,45.926,0x0F,0x0E,CHARGING
329389,3.162,-186.75,18.633,4.542,42.755,0x0F,0x0E,CHARGING
331391,3.162,-186.75,18.633,4.53,43.548,0x0F,0x0E,CHARGING
333393,3.167,-186.75,18.633,4.536,43.548,0x0F,0x0E,CHARGING
335395,3.167,-186.525,18.633,4.542,40.377,0x0F,0x0E,CHARGING
337397,3.167,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
339399,3.172,-186.525,18.633,4.542,43.548,0x0F,0x0E,CHARGING
341401,3.167,-186.975,18.633,4.53,42.755,0x0F,0x0E,CHARGING
343403,3.176,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
345405,3.176,-186.525,18.633,4.53,42.755,0x0F,0x0E,CHARGING
347407,3.176,-186.975,18.633,4.53,43.548,0x0F,0x0E,CHARGING
349409,3.181,-186.975,18.633,4.53,40.377,0x0F,0x0E,CHARGING
351411,3.181,-186.75,18.633,4.536,40.377,0x0F,0x0E,CHARGING
353413,3.181,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
355415,3.186,-186.525,18.633,4.542,42.755,0x0F,0x0E,CHARGING
357417,3.181,-186.75,18.633,4.536,43.548,0x0F,0x0E,CHARGING
359419,3.191,-186.75,18.633,4.542,43.548,0x0F,0x0E,CHARGING
361421,3.191,-186.975,18.633,4.536,43.548,0x0F,0x0E,CHARGING
363423,3.196,-186.975,18.633,4.536,42.755,0x0F,0x0E,CHARGING
365425,3.196,-186.75,18.633,4.53,42.755,0x0F,0x0E,CHARGING
367427,3.201,-186.75,18.633,4.53,42.755,0x0F,0x0E,CHARGING
369429,3.201,-186.525,18.633,4.53,42.755,0x0F,0x0E,CHARGING
371431,3.196,-186.975,18.633,4.53,43.548,0x0F,0x0E,CHARGING
373433,3.201,-186.975,18.633,4.536,45.926,0x0F,0x0E,CHARGING
375435,3.206,-187.2,18.633,4.53,43.548,0x0F,0x0E,CHARGING
377437,3.206,-186.975,18.633,4.53,40.377,0x0F,0x0E,CHARGING
379439,3.206,-186.975,18.633,4.536,42.755,0x0F,0x0E,CHARGING
381441,3.206,-187.425,18.633,4.53,45.926,0x0F,0x0E,CHARGING
383443,3.211,-187.2,18.633,4.53,42.755,0x0F,0x0E,CHARGING
385445,3.211,-186.975,18.633,4.536,43.548,0x0F,0x0E,CHARGING
387447,3.216,-187.2,18.633,4.536,43.548,0x0F,0x0E,CHARGING
389449,3.216,-186.75,18.633,4.536,42.755,0x0F,0x0E,CHARGING
391451,3.216,-186.975,18.633,4.536,43.548,0x0F,0x0E,CHARGING
393453,3.216,-186.975,18.633,4.536,43.548,0x0F,0x0E,CHARGING
395455,3.22,-186.975,18.833,4.536,42.755,0x0F,0x0E,CHARGING
397457,3.22,-186.975,18.633,4.53,43.548,0x0F,0x0E,CHARGING
399459,3.22,-186.975,18.633,4.53,43.548,0x0F,0x0E,CHARGING
401816,3.225,-186.3,18.733,4.617,42.755,0x0F,0x0E,CHARGING
403818,3.225,-186.525,18.833,4.611,42.755,0x0F,0x0E,CHARGING
405820,3.225,-186.3,18.733,4.617,41.963,0x0F,0x0E,CHARGING
407822,3.23,-186.525,18.733,4.611,41.963,0x0F,0x0E,CHARGING
409824,3.225,-186.525,18.633,4.611,41.963,0x0F,0x0E,CHARGING
411826,3.23,-186.525,18.733,4.611,41.963,0x0F,0x0E,CHARGING
413828,3.235,-186.75,18.733,4.611,41.17,0x0F,0x0E,CHARGING
415830,3.235,-186.525,18.633,4.611,41.963,0x0F,0x0E,CHARGING
417832,3.235,-186.3,18.733,4.611,41.963,0x0F,0x0E,CHARGING
419834,3.24,-186.75,18.733,4.611,41.963,0x0F,0x0E,CHARGING
421836,3.24,-186.525,18.733,4.611,41.17,0x0F,0x0E,CHARGING
423838,3.24,-186.525,18.833,4.611,41.17,0x0F,0x0E,CHARGING
425840,3.245,-186.3,18.733,4.617,41.17,0x0F,0x0E,CHARGING
427842,3.245,-186.525,18.733,4.617,41.17,0x0F,0x0E,CHARGING
429844,3.245,-186.75,18.733,4.611,41.17,0x0F,0x0E,CHARGING
431846,3.245,-186.975,18.633,4.611,41.963,0x0F,0x0E,CHARGING
433848,3.25,-186.75,18.733,4.611,41.17,0x0F,0x0E,CHARGING
435850,3.245,-186.525,18.633,4.617,41.17,0x0F,0x0E,CHARGING
437852,3.245,-186.75,18.633,4.617,40.377,0x0F,0x0E,CHARGING
