time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.519,107.6,17.835,3.508,21.355,0x04,0x0E,DISCHARGING
2002,3.47,107.6,17.835,3.471,21.355,0x04,0x0E,DISCHARGING
4004,3.45,106.0,17.835,3.452,20.562,0x04,0x0E,DISCHARGING
6006,3.44,109.6,17.934,3.421,20.562,0x04,0x0E,DISCHARGING
8008,3.416,110.4,17.934,3.414,20.562,0x04,0x0E,DISCHARGING
10010,3.406,115.2,17.934,3.402,20.562,0x04,0x0E,DISCHARGING
12012,3.44,116.8,17.835,3.39,20.562,0x04,0x0E,DISCHARGING
14014,3.391,106.0,17.835,3.39,19.77,0x04,0x0E,DISCHARGING
16016,3.377,102.0,17.835,3.377,20.562,0x04,0x0E,DISCHARGING
18018,3.377,109.6,17.934,3.371,20.562,0x04,0x0E,DISCHARGING
20020,3.377,110.4,17.835,3.371,20.562,0x04,0x0E,DISCHARGING
22022,3.377,109.2,17.934,3.365,19.77,0x04,0x0E,DISCHARGING
24024,3.367,105.6,17.934,3.365,19.77,0x04,0x0E,DISCHARGING
26026,3.387,107.6,17.835,3.352,20.562,0x04,0x0E,DISCHARGING
28028,3.362,110.4,17.934,3.358,19.77,0x04,0x0E,DISCHARGING
30030,3.362,115.2,17.934,3.352,19.77,0x04,0x0E,DISCHARGING
32032,3.362,112.8,17.835,3.346,19.77,0x04,0x0E,DISCHARGING
34033,3.362,110.8,17.835,3.346,19.77,0x04,0x0E,DISCHARGING
36035,3.343,110.8,17.835,3.34,19.77,0x04,0x0E,DISCHARGING
38037,3.347,116.8,17.934,3.34,20.562,0x04,0x0E,DISCHARGING
40039,3.343,112.8,17.934,3.333,19.77,0x04,0x0E,DISCHARGING
42041,3.338,109.6,17.934,3.333,19.77,0x04,0x0E,DISCHARGING
44043,3.338,115.2,17.934,3.34,19.77,0x04,0x0E,DISCHARGING
46044,3.328,116.8,17.934,3.327,19.77,0x04,0x0E,DISCHARGING
48046,3.338,115.6,17.934,3.327,19.77,0x04,0x0E,DISCHARGING
50048,3.347,107.6,17.835,3.327,19.77,0x04,0x0E,DISCHARGING
52050,3.328,115.2,17.934,3.321,19.77,0x04,0x0E,DISCHARGING
54052,3.338,113.2,17.835,3.315,19.77,0x04,0x0E,DISCHARGING
56054,3.328,115.6,17.835,3.315,19.77,0x04,0x0E,DISCHARGING
58056,3.328,107.6,17.835,3.315,19.77,0x04,0x0E,DISCHARGING
60058,3.343,115.2,17.835,3.315,19.77,0x04,0x0E,DISCHARGING
62060,3.318,112.4,17.934,3.309,19.77,0x04,0x0E,DISCHARGING
64062,3.318,112.4,17.835,3.309,19.77,0x04,0x0E,DISCHARGING
66064,3.318,115.2,17.835,3.309,19.77,0x04,0x0E,DISCHARGING
68066,3.318,113.2,17.835,3.309,19.77,0x04,0x0E,DISCHARGING
70068,3.333,112.8,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
72070,3.308,111.2,17.835,3.309,19.77,0x04,0x0E,DISCHARGING
74071,3.308,111.6,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
76073,3.308,111.6,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
78075,3.318,112.4,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
80076,3.308,116.8,17.835,3.302,18.977,0x04,0x0E,DISCHARGING
82078,3.299,109.6,17.835,3.309,19.77,0x04,0x0E,DISCHARGING
84080,3.299,108.4,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
86081,3.299,111.6,17.835,3.296,19.77,0x04,0x0E,DISCHARGING
88083,3.304,115.2,17.835,3.296,19.77,0x04,0x0E,DISCHARGING
90085,3.299,112.0,17.835,3.296,19.77,0x04,0x0E,DISCHARGING
92087,3.299,114.0,17.835,3.302,19.77,0x04,0x0E,DISCHARGING
94089,3.299,111.2,17.835,3.296,19.77,0x04,0x0E,DISCHARGING
96091,3.299,108.4,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
98093,3.299,110.8,17.835,3.296,19.77,0x04,0x0E,DISCHARGING
100095,3.294,116.8,17.835,3.296,18.977,0x04,0x0E,DISCHARGING
102097,3.299,106.8,17.835,3.302,18.977,0x04,0x0E,DISCHARGING
104099,3.299,113.2,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
106101,3.299,113.2,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
108103,3.299,112.8,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
110105,3.294,112.0,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
112107,3.299,112.4,17.835,3.296,18.977,0x04,0x0E,DISCHARGING
114109,3.299,108.4,17.835,3.29,19.77,0x04,0x0E,DISCHARGING
116111,3.289,112.8,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
118113,3.289,111.2,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
120114,3.294,112.8,17.835,3.284,18.977,0x04,0x0E,DISCHARGING
122116,3.284,111.2,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
124118,3.289,115.6,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
126120,3.289,112.8,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
128122,3.289,116.8,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
130123,3.289,100.4,17.835,3.284,19.77,0x04,0x0E,DISCHARGING
132125,3.313,115.2,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
134127,3.289,112.8,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
136129,3.308,116.8,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
138131,3.289,115.2,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
140133,3.289,98.8,17.835,3.277,18.977,0x04,0x0E,DISCHARGING
142135,3.289,115.2,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
144137,3.289,115.6,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
146139,3.289,113.2,17.835,3.271,18.977,0x04,0x0E,DISCHARGING
148141,3.284,117.2,17.835,3.277,18.977,0x04,0x0E,DISCHARGING
150143,3.289,102.0,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
152145,3.289,108.4,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
154147,3.289,111.2,17.835,3.271,18.977,0x04,0x0E,DISCHARGING
156149,3.284,116.8,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
158151,3.284,111.2,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
160153,3.299,101.2,17.835,3.277,19.77,0x04,0x0E,DISCHARGING
162155,3.308,112.4,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
164157,3.289,112.8,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
166159,3.289,111.2,17.835,3.271,18.977,0x04,0x0E,DISCHARGING
168161,3.289,113.2,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
170163,3.294,116.8,17.835,3.271,18.977,0x04,0x0E,DISCHARGING
172165,3.284,111.6,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
174167,3.284,115.2,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
176169,3.289,112.4,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
178171,3.289,115.2,17.835,3.271,18.977,0x04,0x0E,DISCHARGING
180172,3.289,98.4,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
182174,3.284,116.8,17.835,3.271,19.77,0x04,0x0E,DISCHARGING
184176,3.289,115.2,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
186178,3.284,116.8,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
188180,3.284,116.8,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
190182,3.284,100.4,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
192184,3.269,112.4,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
194186,3.269,112.4,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
196188,3.269,115.2,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
198190,3.269,116.8,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
200192,3.304,100.4,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
202194,3.269,111.2,17.835,3.265,18.977,0x04,0x0E,DISCHARGING
204196,3.269,111.6,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
206197,3.279,113.2,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
208198,3.269,116.8,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
210200,3.279,107.6,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
212202,3.269,113.2,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
214204,3.269,112.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
216205,3.26,112.4,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
218206,3.284,102.4,17.835,3.259,19.77,0x04,0x0E,DISCHARGING
220208,3.269,112.8,17.835,3.259,19.77,0x04,0x0E,DISCHARGING
222210,3.269,110.0,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
224212,3.269,111.2,17.835,3.259,19.77,0x04,0x0E,DISCHARGING
226214,3.26,112.8,17.835,3.259,19.77,0x04,0x0E,DISCHARGING
228216,3.26,96.4,17.835,3.265,19.77,0x04,0x0E,DISCHARGING
230218,3.26,112.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
232220,3.264,113.2,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
234222,3.279,112.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
236224,3.26,112.8,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
238226,3.269,102.4,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
240228,3.26,111.2,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
242230,3.264,116.8,17.835,3.259,19.77,0x04,0x0E,DISCHARGING
244232,3.264,115.6,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
246234,3.264,116.8,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
248236,3.26,101.6,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
250238,3.264,116.8,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
252240,3.264,115.2,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
254242,3.264,115.2,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
256244,3.255,111.2,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
258246,3.26,101.6,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
260248,3.274,114.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
262250,3.26,115.2,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
264252,3.26,107.6,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
266254,3.26,111.2,17.835,3.252,19.77,0x04,0x0E,DISCHARGING
268256,3.264,99.2,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
270258,3.264,115.6,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
272260,3.26,110.0,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
274262,3.26,116.8,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
276264,3.26,116.8,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
278266,3.26,100.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
280267,3.26,114.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
282269,3.26,112.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
284271,3.26,115.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
286273,3.264,115.2,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
288275,3.255,98.4,17.835,3.259,18.977,0x04,0x0E,DISCHARGING
290277,3.26,118.4,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
292279,3.26,115.6,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
294281,3.26,112.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
296283,3.255,113.2,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
298285,3.26,98.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
300287,3.25,115.6,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
302289,3.26,116.8,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
304291,3.255,111.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
306293,3.25,116.8,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
308295,3.269,98.8,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
310297,3.25,116.8,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
312299,3.25,116.8,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
314301,3.25,111.6,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
316303,3.25,110.0,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
318305,3.255,98.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
320307,3.245,112.8,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
322309,3.25,115.6,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
324311,3.26,112.4,17.835,3.252,18.977,0x04,0x0E,DISCHARGING
326313,3.25,116.8,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
328315,3.26,100.4,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
330317,3.255,113.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
332319,3.25,112.4,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
334321,3.26,113.2,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
336323,3.25,115.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
338325,3.26,102.4,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
340327,3.25,115.6,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
342329,3.25,110.8,17.835,3.246,19.77,0x04,0x0E,DISCHARGING
344331,3.255,109.6,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
346333,3.245,112.4,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
348335,3.26,98.8,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
350337,3.269,112.8,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
352339,3.25,108.4,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
354341,3.25,112.4,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
356343,3.25,115.6,17.635,3.246,19.77,0x04,0x0E,DISCHARGING
358345,3.26,101.6,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
360347,3.245,112.8,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
362349,3.25,115.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
364351,3.25,115.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
366353,3.25,115.2,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
368355,3.26,113.2,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
370357,3.25,115.6,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
372359,3.269,116.8,17.635,3.246,18.977,0x04,0x0E,DISCHARGING
374361,3.245,115.2,17.835,3.246,18.977,0x04,0x0E,DISCHARGING
376363,3.25,112.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
378365,3.26,113.2,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
380367,3.25,116.8,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
382369,3.25,116.8,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
384371,3.255,113.2,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
386373,3.245,116.8,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
388375,3.25,112.4,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
390377,3.245,111.6,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
392379,3.25,113.2,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
394380,3.274,112.8,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
396382,3.25,108.4,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
398384,3.26,100.4,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
400386,3.25,111.2,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
402388,3.26,112.4,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
404390,3.25,112.0,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
406392,3.25,115.2,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
408394,3.25,98.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
410396,3.25,110.0,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
412398,3.245,111.6,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
414400,3.274,118.4,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
416402,3.25,116.8,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
418404,3.25,104.0,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
420406,3.245,111.6,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
422407,3.274,112.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
424409,3.25,111.2,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
426411,3.25,116.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
428413,3.274,111.2,17.635,3.246,19.77,0x04,0x0E,DISCHARGING
430415,3.25,112.4,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
432417,3.25,113.2,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
434419,3.274,114.4,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
436421,3.25,112.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
438423,3.245,102.4,17.635,3.246,18.977,0x04,0x0E,DISCHARGING
440425,3.25,113.2,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
442427,3.255,113.2,17.835,3.234,18.977,0x04,0x0E,DISCHARGING
444429,3.245,108.4,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
446431,3.25,118.4,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
448433,3.25,98.0,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
450435,3.25,109.6,17.835,3.24,18.977,0x04,0x0E,DISCHARGING
452437,3.274,118.4,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
454439,3.26,113.2,17.835,3.234,18.977,0x04,0x0E,DISCHARGING
456441,3.25,116.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
458443,3.25,100.4,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
460445,3.25,115.6,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
462447,3.25,111.6,17.835,3.24,19.77,0x04,0x0E,DISCHARGING
464449,3.25,113.2,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
466451,3.255,108.4,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
468453,3.25,101.6,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
470455,3.245,116.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
472457,3.245,115.2,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
474459,3.245,116.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
476461,3.25,112.8,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
478463,3.25,100.8,17.835,3.234,18.977,0x04,0x0E,DISCHARGING
480465,3.25,111.6,17.635,3.24,19.77,0x04,0x0E,DISCHARGING
482467,3.245,114.4,17.835,3.234,18.977,0x04,0x0E,DISCHARGING
484469,3.25,118.8,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
486471,3.25,115.6,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
488473,3.26,101.2,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
490475,3.25,112.8,17.635,3.234,19.77,0x04,0x0E,DISCHARGING
492477,3.274,117.2,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
494479,3.245,116.8,17.635,3.24,18.977,0x04,0x0E,DISCHARGING
496481,3.255,112.4,17.835,3.234,18.977,0x04,0x0E,DISCHARGING
498483,3.26,102.8,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
500484,3.25,111.2,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
502486,3.25,111.2,17.635,3.234,18.977,0x04,0x0E,DISCHARGING
