time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.401,97.6,3.607,3.39,0.747,0x04,0x0E,DISCHARGING
2002,3.377,97.6,3.179,3.365,0.747,0x04,0x0E,DISCHARGING
4002,3.377,91.2,3.179,3.346,0.747,0x04,0x0E,DISCHARGING
6004,3.343,92.0,3.179,3.34,0.044,0x04,0x0E,DISCHARGING
8005,3.357,93.2,3.179,3.327,0.044,0x04,0x0E,DISCHARGING
10006,3.357,96.8,3.179,3.321,0.044,0x04,0x0E,DISCHARGING
12008,3.338,92.0,3.179,3.321,0.044,0x04,0x0E,DISCHARGING
14009,3.338,96.0,3.179,3.315,0.044,0x04,0x0E,DISCHARGING
16010,3.323,96.0,3.179,3.309,0.044,0x04,0x0E,DISCHARGING
18012,3.328,96.0,2.75,3.309,0.837,0x04,0x0E,DISCHARGING
20014,3.308,102.4,2.75,3.302,0.837,0x04,0x0E,DISCHARGING
22015,3.333,97.6,2.75,3.296,0.837,0x04,0x0E,DISCHARGING
24016,3.308,97.6,2.534,3.309,0.837,0x04,0x0E,DISCHARGING
26018,3.338,94.8,2.318,3.296,0.837,0x04,0x0E,DISCHARGING
28019,3.299,94.0,2.318,3.29,-1.629,0x04,0x0E,DISCHARGING
30020,3.333,93.6,2.318,3.29,0.837,0x04,0x0E,DISCHARGING
32022,3.289,76.4,2.318,3.296,-1.629,0x04,0x0E,DISCHARGING
34023,3.304,87.6,2.318,3.284,0.837,0x04,0x0E,DISCHARGING
36024,3.289,92.0,2.318,3.284,-1.629,0x04,0x0E,DISCHARGING
38025,3.323,96.0,2.318,3.284,-1.629,0x04,0x0E,DISCHARGING
40027,3.299,78.8,2.318,3.277,0.837,0x04,0x0E,DISCHARGING
42028,3.299,93.2,2.318,3.277,-1.629,0x04,0x0E,DISCHARGING
44030,3.284,96.8,2.318,3.271,-1.629,0x04,0x0E,DISCHARGING
46031,3.284,89.2,2.318,3.277,-1.629,0x04,0x0E,DISCHARGING
48032,3.284,93.2,2.318,3.277,-1.629,0x04,0x0E,DISCHARGING
50033,3.289,97.6,2.318,3.271,-1.629,0x04,0x0E,DISCHARGING
52035,3.299,97.2,2.318,3.271,-1.629,0x04,0x0E,DISCHARGING
54037,3.284,95.2,2.318,3.271,-2.422,0x04,0x0E,DISCHARGING
56038,3.299,96.8,2.318,3.265,-1.629,0x04,0x0E,DISCHARGING
58040,3.299,93.6,1.447,3.265,-2.422,0x04,0x0E,DISCHARGING
60041,3.304,96.0,1.447,3.265,-1.629,0x04,0x0E,DISCHARGING
62042,3.299,92.0,1.447,3.259,-2.422,0x04,0x0E,DISCHARGING
64044,3.279,96.0,1.447,3.265,-2.422,0x04,0x0E,DISCHARGING
66046,3.299,78.8,1.447,3.265,-2.422,0x04,0x0E,DISCHARGING
68048,3.279,92.0,1.447,3.259,-2.422,0x04,0x0E,DISCHARGING
70050,3.279,91.6,1.447,3.259,-2.422,0x04,0x0E,DISCHARGING
72051,3.279,94.4,1.008,3.259,-2.422,0x04,0x0E,DISCHARGING
74052,3.26,89.2,1.008,3.252,-2.422,0x04,0x0E,DISCHARGING
76054,3.279,93.2,1.008,3.252,-2.422,0x04,0x0E,DISCHARGING
78056,3.279,96.0,1.008,3.252,-2.422,0x04,0x0E,DISCHARGING
80057,3.26,96.0,0.788,3.252,-2.422,0x04,0x0E,DISCHARGING
82059,3.26,102.4,0.567,3.259,-2.422,0x04,0x0E,DISCHARGING
84061,3.26,83.6,0.567,3.252,-2.422,0x04,0x0E,DISCHARGING
86063,3.26,96.0,0.567,3.252,-3.215,0x04,0x0E,DISCHARGING
88065,3.255,89.2,0.567,3.246,-3.215,0x04,0x0E,DISCHARGING
90066,3.279,94.8,0.567,3.246,-2.422,0x04,0x0E,DISCHARGING
92068,3.25,92.0,0.567,3.246,-2.422,0x04,0x0E,DISCHARGING
94070,3.25,96.0,0.567,3.252,-3.215,0x04,0x0E,DISCHARGING
96072,3.26,94.0,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
98073,3.255,89.2,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
100074,3.26,97.6,0.567,3.246,-3.215,0x04,0x0E,DISCHARGING
102076,3.26,102.4,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
104078,3.255,87.6,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
106080,3.25,92.4,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
108082,3.26,96.8,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
110083,3.25,102.4,0.567,3.24,-3.215,0x04,0x0E,DISCHARGING
112085,3.26,84.0,0.567,3.234,-3.215,0x04,0x0E,DISCHARGING
114086,3.26,96.8,0.567,3.234,-4.007,0x04,0x0E,DISCHARGING
116088,3.245,89.2,0.567,3.234,-3.215,0x04,0x0E,DISCHARGING
