time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.65,25.411,4.785,31.659,0x0C,0x0E,CHARGING
2001,2.996,-184.275,25.514,4.586,39.585,0x0F,0x0E,CHARGING
4003,2.996,-184.275,25.514,4.592,41.17,0x0F,0x0E,CHARGING
6005,3.01,-184.275,25.514,4.592,41.963,0x0F,0x0E,CHARGING
8007,3.015,-184.725,25.514,4.592,42.755,0x0F,0x0E,CHARGING
10009,3.02,-184.725,25.514,4.592,43.548,0x0F,0x0E,CHARGING
12011,3.02,-184.725,25.514,4.586,43.548,0x0F,0x0E,CHARGING
14013,3.025,-184.725,25.617,4.598,44.34,0x0F,0x0E,CHARGING
16015,3.035,-184.725,25.617,4.592,45.133,0x0F,0x0E,CHARGING
18017,3.04,-184.725,25.72,4.598,45.133,0x0F,0x0E,CHARGING
20019,3.04,-184.95,25.617,4.592,45.133,0x0F,0x0E,CHARGING
22021,3.044,-184.95,25.72,4.598,45.926,0x0F,0x0E,CHARGING
24022,3.049,-185.175,25.72,4.598,45.926,0x0F,0x0E,CHARGING
26024,3.049,-185.175,25.72,4.598,46.718,0x0F,0x0E,CHARGING
28026,3.054,-184.95,25.927,4.598,45.926,0x0F,0x0E,CHARGING
30027,3.059,-185.175,25.927,4.592,49.096,0x0F,0x0E,CHARGING
32028,3.064,-185.175,25.927,4.598,43.548,0x0F,0x0E,CHARGING
34030,3.064,-185.4,25.927,4.598,45.926,0x0F,0x0E,CHARGING
36032,3.069,-184.275,25.927,4.598,46.718,0x0F,0x0E,CHARGING
38034,3.069,-184.95,25.927,4.598,46.718,0x0F,0x0E,CHARGING
40036,3.074,-185.175,25.927,4.592,46.718,0x0F,0x0E,CHARGING
42038,3.079,-185.175,26.031,4.598,43.548,0x0F,0x0E,CHARGING
44039,3.079,-185.175,26.031,4.598,46.718,0x0F,0x0E,CHARGING
46041,3.088,-185.175,26.031,4.598,47.511,0x0F,0x0E,CHARGING
48043,3.088,-185.175,26.134,4.592,47.511,0x0F,0x0E,CHARGING
50044,3.088,-185.4,26.134,4.598,44.34,0x0F,0x0E,CHARGING
52046,3.093,-185.4,26.134,4.598,47.511,0x0F,0x0E,CHARGING
54048,3.093,-185.175,26.134,4.592,47.511,0x0F,0x0E,CHARGING
56049,3.098,-185.4,26.238,4.605,46.718,0x0F,0x0E,CHARGING
58051,3.103,-185.4,26.238,4.592,47.511,0x0F,0x0E,CHARGING
60053,3.103,-185.85,26.238,4.605,47.511,0x0F,0x0E,CHARGING
62054,3.103,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
64056,3.108,-185.85,26.341,4.605,47.511,0x0F,0x0E,CHARGING
66058,3.113,-185.625,26.341,4.598,47.511,0x0F,0x0E,CHARGING
68060,3.113,-185.4,25.927,4.598,44.34,0x0F,0x0E,CHARGING
70062,3.113,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
72064,3.118,-185.4,26.445,4.592,47.511,0x0F,0x0E,CHARGING
74066,3.123,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
76068,3.123,-185.625,26.341,4.605,48.303,0x0F,0x0E,CHARGING
78070,3.128,-185.85,26.341,4.598,49.096,0x0F,0x0E,CHARGING
80071,3.128,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
82072,3.128,-185.625,26.445,4.598,48.303,0x0F,0x0E,CHARGING
84073,3.132,-185.625,26.445,4.611,47.511,0x0F,0x0E,CHARGING
86074,3.132,-185.625,26.445,4.605,47.511,0x0F,0x0E,CHARGING
88075,3.137,-185.625,26.445,4.605,47.511,0x0F,0x0E,CHARGING
90077,3.137,-185.85,26.549,4.592,49.096,0x0F,0x0E,CHARGING
92079,3.142,-185.625,26.445,4.598,48.303,0x0F,0x0E,CHARGING
94080,3.142,-185.85,26.549,4.598,48.303,0x0F,0x0E,CHARGING
96082,3.147,-185.85,26.549,4.598,48.303,0x0F,0x0E,CHARGING
98084,3.147,-185.85,26.549,4.598,48.303,0x0F,0x0E,CHARGING
100086,3.152,-186.075,26.549,4.598,48.303,0x0F,0x0E,CHARGING
102088,3.147,-185.85,26.549,4.611,48.303,0x0F,0x0E,CHARGING
104090,3.152,-186.3,26.549,4.598,48.303,0x0F,0x0E,CHARGING
106091,3.157,-185.85,26.757,4.598,48.303,0x0F,0x0E,CHARGING
108092,3.157,-186.075,26.757,4.605,48.303,0x0F,0x0E,CHARGING
110093,3.162,-186.075,26.757,4.598,48.303,0x0F,0x0E,CHARGING
112095,3.162,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
114097,3.162,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
116098,3.162,-186.3,26.757,4.598,49.096,0x0F,0x0E,CHARGING
118100,3.167,-186.075,26.757,4.605,49.096,0x0F,0x0E,CHARGING
120101,3.167,-186.3,26.757,4.605,48.303,0x0F,0x0E,CHARGING
122103,3.172,-186.3,26.757,4.605,48.303,0x0F,0x0E,CHARGING
124105,3.176,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
126107,3.176,-186.3,26.757,4.605,49.096,0x0F,0x0E,CHARGING
128109,3.176,-186.3,26.757,4.598,49.096,0x0F,0x0E,CHARGING
130111,3.176,-186.3,26.757,4.605,48.303,0x0F,0x0E,CHARGING
132113,3.176,-186.3,26.757,4.605,51.474,0x0F,0x0E,CHARGING
134114,3.181,-186.3,26.757,4.605,49.096,0x0F,0x0E,CHARGING
136116,3.181,-186.075,26.861,4.598,48.303,0x0F,0x0E,CHARGING
138118,3.186,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
140119,3.191,-186.3,26.757,4.605,48.303,0x0F,0x0E,CHARGING
142121,3.191,-186.3,26.861,4.605,49.096,0x0F,0x0E,CHARGING
144123,3.186,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
146124,3.191,-186.525,26.757,4.598,49.889,0x0F,0x0E,CHARGING
148126,3.191,-186.3,26.757,4.598,48.303,0x0F,0x0E,CHARGING
150128,3.196,-186.3,26.861,4.598,49.096,0x0F,0x0E,CHARGING
152130,3.196,-186.525,27.174,4.598,49.096,0x0F,0x0E,CHARGING
154131,3.201,-186.75,26.861,4.598,49.096,0x0F,0x0E,CHARGING
156132,3.201,-186.3,26.861,4.598,48.303,0x0F,0x0E,CHARGING
158134,3.201,-186.525,26.757,4.598,48.303,0x0F,0x0E,CHARGING
160135,3.206,-186.75,26.861,4.598,49.096,0x0F,0x0E,CHARGING
162137,3.206,-186.525,26.965,4.598,49.096,0x0F,0x0E,CHARGING
164138,3.206,-186.3,26.965,4.598,51.474,0x0F,0x0E,CHARGING
166139,3.206,-186.75,26.861,4.598,48.303,0x0F,0x0E,CHARGING
168141,3.211,-186.525,26.861,4.605,49.096,0x0F,0x0E,CHARGING
170143,3.211,-186.3,26.965,4.598,48.303,0x0F,0x0E,CHARGING
172145,3.216,-186.525,26.861,4.598,48.303,0x0F,0x0E,CHARGING
174147,3.211,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
176149,3.216,-186.525,26.965,4.605,48.303,0x0F,0x0E,CHARGING
178151,3.216,-186.525,26.861,4.605,49.096,0x0F,0x0E,CHARGING
180153,3.216,-186.75,26.965,4.611,48.303,0x0F,0x0E,CHARGING
182155,3.22,-186.75,26.861,4.598,48.303,0x0F,0x0E,CHARGING
184157,3.225,-186.75,26.965,4.598,51.474,0x0F,0x0E,CHARGING
186159,3.225,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
188160,3.225,-186.975,26.965,4.598,48.303,0x0F,0x0E,CHARGING
190162,3.225,-186.525,26.965,4.598,49.096,0x0F,0x0E,CHARGING
192164,3.225,-186.75,26.965,4.598,48.303,0x0F,0x0E,CHARGING
194165,3.23,-186.75,26.965,4.611,48.303,0x0F,0x0E,CHARGING
196167,3.23,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
198168,3.225,-186.75,26.965,4.605,47.511,0x0F,0x0E,CHARGING
200170,3.235,-186.975,26.965,4.605,48.303,0x0F,0x0E,CHARGING
202172,3.235,-186.75,26.965,4.605,48.303,0x0F,0x0E,CHARGING
204174,3.235,-186.975,26.965,4.598,48.303,0x0F,0x0E,CHARGING
206176,3.24,-186.75,27.07,4.605,48.303,0x0F,0x0E,CHARGING
208178,3.24,-186.75,27.07,4.598,51.474,0x0F,0x0E,CHARGING
210180,3.24,-186.975,26.965,4.598,49.096,0x0F,0x0E,CHARGING
212182,3.24,-186.75,26.965,4.598,47.511,0x0F,0x0E,CHARGING
214184,3.245,-186.75,26.861,4.605,48.303,0x0F,0x0E,CHARGING
216186,3.245,-186.975,26.965,4.598,48.303,0x0F,0x0E,CHARGING
218188,3.25,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
220190,3.25,-186.975,27.488,4.598,48.303,0x0F,0x0E,CHARGING
222192,3.25,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
224194,3.25,-186.75,27.07,4.598,49.096,0x0F,0x0E,CHARGING
226196,3.25,-186.975,26.965,4.605,48.303,0x0F,0x0E,CHARGING
228198,3.255,-186.975,27.174,4.605,48.303,0x0F,0x0E,CHARGING
230200,3.255,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
232201,3.255,-187.2,27.07,4.598,48.303,0x0F,0x0E,CHARGING
234203,3.255,-186.975,26.965,4.598,48.303,0x0F,0x0E,CHARGING
236205,3.255,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
238207,3.26,-186.975,27.174,4.598,48.303,0x0F,0x0E,CHARGING
240209,3.26,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
242211,3.26,-186.975,27.07,4.605,47.511,0x0F,0x0E,CHARGING
244213,3.264,-186.975,27.07,4.598,48.303,0x0F,0x0E,CHARGING
246214,3.264,-186.975,27.07,4.605,49.096,0x0F,0x0E,CHARGING
248216,3.264,-186.975,27.488,4.598,48.303,0x0F,0x0E,CHARGING
250218,3.269,-187.2,27.07,4.598,48.303,0x0F,0x0E,CHARGING
252220,3.264,-186.975,27.174,4.611,48.303,0x0F,0x0E,CHARGING
254222,3.269,-186.975,27.07,4.598,49.096,0x0F,0x0E,CHARGING
256223,3.269,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
258225,3.269,-187.2,27.07,4.598,48.303,0x0F,0x0E,CHARGING
260227,3.274,-186.975,27.07,4.598,48.303,0x0F,0x0E,CHARGING
262228,3.274,-186.975,27.07,4.605,45.926,0x0F,0x0E,CHARGING
264230,3.274,-186.975,26.757,4.598,49.096,0x0F,0x0E,CHARGING
266231,3.269,-187.425,27.174,4.605,48.303,0x0F,0x0E,CHARGING
268233,3.279,-186.975,27.07,4.598,47.511,0x0F,0x0E,CHARGING
270235,3.279,-187.2,27.07,4.598,48.303,0x0F,0x0E,CHARGING
272236,3.279,-186.975,27.07,4.598,47.511,0x0F,0x0E,CHARGING
274238,3.279,-186.975,27.174,4.605,48.303,0x0F,0x0E,CHARGING
276240,3.284,-186.975,27.174,4.605,48.303,0x0F,0x0E,CHARGING
278241,3.279,-186.975,27.07,4.605,48.303,0x0F,0x0E,CHARGING
280243,3.279,-186.975,27.07,4.598,48.303,0x0F,0x0E,CHARGING
282245,3.279,-186.975,27.174,4.605,48.303,0x0F,0x0E,CHARGING
284247,3.284,-187.65,27.07,4.598,48.303,0x0F,0x0E,CHARGING
286249,3.289,-187.2,27.174,4.598,48.303,0x0F,0x0E,CHARGING
288251,3.289,-187.2,27.174,4.598,49.096,0x0F,0x0E,CHARGING
290253,3.289,-187.425,27.174,4.605,48.303,0x0F,0x0E,CHARGING
