time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000008427,2.913,-16.650,25.411,4.785,31.659,0x0C,0x0E,CHARGING
000010428,2.996,-184.275,25.514,4.586,39.585,0x0F,0x0E,CHARGING
000012430,2.996,-184.275,25.514,4.592,41.170,0x0F,0x0E,CHARGING
000014432,3.010,-184.275,25.514,4.592,41.963,0x0F,0x0E,CHARGING
000016434,3.015,-184.725,25.514,4.592,42.755,0x0F,0x0E,CHARGING
000018436,3.020,-184.725,25.514,4.592,43.548,0x0F,0x0E,CHARGING
000020438,3.020,-184.725,25.514,4.586,43.548,0x0F,0x0E,CHARGING
000022440,3.025,-184.725,25.617,4.598,44.340,0x0F,0x0E,CHARGING
000024442,3.035,-184.725,25.617,4.592,45.133,0x0F,0x0E,CHARGING
000026444,3.040,-184.725,25.720,4.598,45.133,0x0F,0x0E,CHARGING
000028446,3.040,-184.950,25.617,4.592,45.133,0x0F,0x0E,CHARGING
000030448,3.044,-184.950,25.720,4.598,45.926,0x0F,0x0E,CHARGING
000032449,3.049,-185.175,25.720,4.598,45.926,0x0F,0x0E,CHARGING
000034451,3.049,-185.175,25.720,4.598,46.718,0x0F,0x0E,CHARGING
000036453,3.054,-184.950,25.927,4.598,45.926,0x0F,0x0E,CHARGING
000038454,3.059,-185.175,25.927,4.592,49.096,0x0F,0x0E,CHARGING
000040455,3.064,-185.175,25.927,4.598,43.548,0x0F,0x0E,CHARGING
000042457,3.064,-185.400,25.927,4.598,45.926,0x0F,0x0E,CHARGING
000044459,3.069,-184.275,25.927,4.598,46.718,0x0F,0x0E,CHARGING
000046461,3.069,-184.950,25.927,4.598,46.718,0x0F,0x0E,CHARGING
000048463,3.074,-185.175,25.927,4.592,46.718,0x0F,0x0E,CHARGING
000050465,3.079,-185.175,26.031,4.598,43.548,0x0F,0x0E,CHARGING
000052466,3.079,-185.175,26.031,4.598,46.718,0x0F,0x0E,CHARGING
000054468,3.088,-185.175,26.031,4.598,47.511,0x0F,0x0E,CHARGING
000056470,3.088,-185.175,26.134,4.592,47.511,0x0F,0x0E,CHARGING
000058471,3.088,-185.400,26.134,4.598,44.340,0x0F,0x0E,CHARGING
000060473,3.093,-185.400,26.134,4.598,47.511,0x0F,0x0E,CHARGING
000062475,3.093,-185.175,26.134,4.592,47.511,0x0F,0x0E,CHARGING
000064476,3.098,-185.400,26.238,4.605,46.718,0x0F,0x0E,CHARGING
000066478,3.103,-185.400,26.238,4.592,47.511,0x0F,0x0E,CHARGING
000068480,3.103,-185.850,26.238,4.605,47.511,0x0F,0x0E,CHARGING
000070481,3.103,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
000072483,3.108,-185.850,26.341,4.605,47.511,0x0F,0x0E,CHARGING
000074485,3.113,-185.625,26.341,4.598,47.511,0x0F,0x0E,CHARGING
000076487,3.113,-185.400,25.927,4.598,44.340,0x0F,0x0E,CHARGING
000078489,3.113,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
000080491,3.118,-185.400,26.445,4.592,47.511,0x0F,0x0E,CHARGING
000082493,3.123,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
000084495,3.123,-185.625,26.341,4.605,48.303,0x0F,0x0E,CHARGING
000086497,3.128,-185.850,26.341,4.598,49.096,0x0F,0x0E,CHARGING
000088498,3.128,-185.625,26.341,4.598,48.303,0x0F,0x0E,CHARGING
000090499,3.128,-185.625,26.445,4.598,48.303,0x0F,0x0E,CHARGING
000092500,3.132,-185.625,26.445,4.611,47.511,0x0F,0x0E,CHARGING
000094501,3.132,-185.625,26.445,4.605,47.511,0x0F,0x0E,CHARGING
000096502,3.137,-185.625,26.445,4.605,47.511,0x0F,0x0E,CHARGING
000098504,3.137,-185.850,26.549,4.592,49.096,0x0F,0x0E,CHARGING
000100506,3.142,-185.625,26.445,4.598,48.303,0x0F,0x0E,CHARGING
000102507,3.142,-185.850,26.549,4.598,48.303,0x0F,0x0E,CHARGING
000104509,3.147,-185.850,26.549,4.598,48.303,0x0F,0x0E,CHARGING
000106511,3.147,-185.850,26.549,4.598,48.303,0x0F,0x0E,CHARGING
000108513,3.152,-186.075,26.549,4.598,48.303,0x0F,0x0E,CHARGING
000110515,3.147,-185.850,26.549,4.611,48.303,0x0F,0x0E,CHARGING
000112517,3.152,-186.300,26.549,4.598,48.303,0x0F,0x0E,CHARGING
000114518,3.157,-185.850,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000116519,3.157,-186.075,26.757,4.605,48.303,0x0F,0x0E,CHARGING
000118520,3.162,-186.075,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000120522,3.162,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000122524,3.162,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000124525,3.162,-186.300,26.757,4.598,49.096,0x0F,0x0E,CHARGING
000126527,3.167,-186.075,26.757,4.605,49.096,0x0F,0x0E,CHARGING
000128528,3.167,-186.300,26.757,4.605,48.303,0x0F,0x0E,CHARGING
000130530,3.172,-186.300,26.757,4.605,48.303,0x0F,0x0E,CHARGING
000132532,3.176,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000134534,3.176,-186.300,26.757,4.605,49.096,0x0F,0x0E,CHARGING
000136536,3.176,-186.300,26.757,4.598,49.096,0x0F,0x0E,CHARGING
000138538,3.176,-186.300,26.757,4.605,48.303,0x0F,0x0E,CHARGING
000140540,3.176,-186.300,26.757,4.605,51.474,0x0F,0x0E,CHARGING
000142541,3.181,-186.300,26.757,4.605,49.096,0x0F,0x0E,CHARGING
000144543,3.181,-186.075,26.861,4.598,48.303,0x0F,0x0E,CHARGING
000146545,3.186,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000148546,3.191,-186.300,26.757,4.605,48.303,0x0F,0x0E,CHARGING
000150548,3.191,-186.300,26.861,4.605,49.096,0x0F,0x0E,CHARGING
000152550,3.186,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000154551,3.191,-186.525,26.757,4.598,49.889,0x0F,0x0E,CHARGING
000156553,3.191,-186.300,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000158555,3.196,-186.300,26.861,4.598,49.096,0x0F,0x0E,CHARGING
000160557,3.196,-186.525,27.174,4.598,49.096,0x0F,0x0E,CHARGING
000162558,3.201,-186.750,26.861,4.598,49.096,0x0F,0x0E,CHARGING
000164559,3.201,-186.300,26.861,4.598,48.303,0x0F,0x0E,CHARGING
000166561,3.201,-186.525,26.757,4.598,48.303,0x0F,0x0E,CHARGING
000168562,3.206,-186.750,26.861,4.598,49.096,0x0F,0x0E,CHARGING
000170564,3.206,-186.525,26.965,4.598,49.096,0x0F,0x0E,CHARGING
000172565,3.206,-186.300,26.965,4.598,51.474,0x0F,0x0E,CHARGING
000174566,3.206,-186.750,26.861,4.598,48.303,0x0F,0x0E,CHARGING
000176568,3.211,-186.525,26.861,4.605,49.096,0x0F,0x0E,CHARGING
000178570,3.211,-186.300,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000180572,3.216,-186.525,26.861,4.598,48.303,0x0F,0x0E,CHARGING
000182574,3.211,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000184576,3.216,-186.525,26.965,4.605,48.303,0x0F,0x0E,CHARGING
000186578,3.216,-186.525,26.861,4.605,49.096,0x0F,0x0E,CHARGING
000188580,3.216,-186.750,26.965,4.611,48.303,0x0F,0x0E,CHARGING
000190582,3.220,-186.750,26.861,4.598,48.303,0x0F,0x0E,CHARGING
000192584,3.225,-186.750,26.965,4.598,51.474,0x0F,0x0E,CHARGING
000194586,3.225,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000196587,3.225,-186.975,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000198589,3.225,-186.525,26.965,4.598,49.096,0x0F,0x0E,CHARGING
000200591,3.225,-186.750,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000202592,3.230,-186.750,26.965,4.611,48.303,0x0F,0x0E,CHARGING
000204594,3.230,-186.525,26.965,4.598,48.303,0x0F,0x0E,CHARGING
000206595,3.225,-186.750,26.965,4.605,47.511,0x0F,0x0E,CHARGING
000208597,3.235,-186.975,26.965,4.605,48.303,0x0F,0x0E,CHARGING
