time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.44,104.4,26.549,3.396,30.866,0x04,0x0E,DISCHARGING
2001,3.401,100.0,26.549,3.39,30.866,0x04,0x0E,DISCHARGING
4002,3.401,96.8,26.549,3.383,30.074,0x04,0x0E,DISCHARGING
6004,3.391,100.4,26.757,3.377,30.866,0x04,0x0E,DISCHARGING
8006,3.387,102.8,26.549,3.371,30.074,0x04,0x0E,DISCHARGING
10008,3.382,99.6,26.653,3.371,30.074,0x04,0x0E,DISCHARGING
12010,3.382,88.4,26.549,3.365,30.074,0x04,0x0E,DISCHARGING
14012,3.372,102.8,26.549,3.365,30.074,0x04,0x0E,DISCHARGING
16014,3.367,97.2,26.757,3.358,30.074,0x04,0x0E,DISCHARGING
18016,3.367,98.8,26.549,3.358,30.074,0x04,0x0E,DISCHARGING
20017,3.362,100.4,26.549,3.352,30.074,0x04,0x0E,DISCHARGING
22019,3.362,106.0,26.549,3.358,30.074,0x04,0x0E,DISCHARGING
24021,3.362,103.2,26.549,3.352,29.281,0x04,0x0E,DISCHARGING
26022,3.362,99.6,26.549,3.346,30.074,0x04,0x0E,DISCHARGING
28024,3.357,102.8,26.549,3.34,30.074,0x04,0x0E,DISCHARGING
30025,3.362,101.2,26.549,3.346,30.074,0x04,0x0E,DISCHARGING
32027,3.352,104.0,26.549,3.34,29.281,0x04,0x0E,DISCHARGING
34029,3.343,101.6,26.549,3.34,29.281,0x04,0x0E,DISCHARGING
36030,3.352,104.0,26.549,3.34,29.281,0x04,0x0E,DISCHARGING
38032,3.343,101.6,26.549,3.333,30.074,0x04,0x0E,DISCHARGING
40033,3.343,100.8,26.549,3.34,30.074,0x04,0x0E,DISCHARGING
42035,3.343,105.6,26.549,3.333,29.281,0x04,0x0E,DISCHARGING
44036,3.343,100.4,26.549,3.327,30.074,0x04,0x0E,DISCHARGING
46038,3.338,101.2,26.549,3.327,29.281,0x04,0x0E,DISCHARGING
48040,3.333,102.4,26.549,3.327,30.074,0x04,0x0E,DISCHARGING
50042,3.338,104.0,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
52044,3.333,100.8,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
54045,3.343,101.6,26.549,3.327,30.074,0x04,0x0E,DISCHARGING
56047,3.333,102.8,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
58049,3.333,89.2,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
60050,3.328,104.0,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
62052,3.328,104.0,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
64054,3.338,106.0,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
66056,3.333,101.2,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
68058,3.328,89.6,26.549,3.321,29.281,0x04,0x0E,DISCHARGING
70059,3.323,101.2,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
72061,3.333,104.0,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
74063,3.323,99.6,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
76064,3.323,104.0,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
78066,3.323,98.8,26.549,3.315,30.074,0x04,0x0E,DISCHARGING
80067,3.323,103.2,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
82068,3.323,104.4,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
84070,3.323,100.4,26.549,3.309,30.074,0x04,0x0E,DISCHARGING
86072,3.323,105.6,26.549,3.315,30.074,0x04,0x0E,DISCHARGING
88074,3.323,100.4,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
90076,3.323,104.0,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
92078,3.323,100.8,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
94080,3.323,104.0,26.549,3.309,29.281,0x04,0x0E,DISCHARGING
96081,3.323,105.6,26.549,3.315,29.281,0x04,0x0E,DISCHARGING
98083,3.333,105.6,26.549,3.309,30.074,0x04,0x0E,DISCHARGING
100085,3.323,102.8,26.549,3.302,29.281,0x04,0x0E,DISCHARGING
102087,3.323,99.6,26.549,3.302,30.074,0x04,0x0E,DISCHARGING
104089,3.323,98.0,26.549,3.302,29.281,0x04,0x0E,DISCHARGING
106445,3.304,131.6,26.549,3.284,30.074,0x04,0x0E,DISCHARGING
108447,3.318,131.6,26.549,3.284,29.281,0x04,0x0E,DISCHARGING
110449,3.304,121.6,26.549,3.277,29.281,0x04,0x0E,DISCHARGING
112450,3.294,131.6,26.549,3.277,29.281,0x04,0x0E,DISCHARGING
114452,3.294,133.2,26.549,3.277,29.281,0x04,0x0E,DISCHARGING
116454,3.318,135.6,26.653,3.277,29.281,0x04,0x0E,DISCHARGING
118456,3.318,132.4,26.549,3.277,30.074,0x04,0x0E,DISCHARGING
120458,3.289,120.4,26.757,3.277,29.281,0x04,0x0E,DISCHARGING
122460,3.284,135.2,26.549,3.271,30.074,0x04,0x0E,DISCHARGING
124462,3.284,140.8,26.757,3.271,30.074,0x04,0x0E,DISCHARGING
126464,3.284,133.2,26.757,3.271,29.281,0x04,0x0E,DISCHARGING
128465,3.284,134.4,26.757,3.271,29.281,0x04,0x0E,DISCHARGING
130466,3.299,133.2,26.757,3.271,30.074,0x04,0x0E,DISCHARGING
132467,3.284,136.0,26.757,3.271,30.074,0x04,0x0E,DISCHARGING
134469,3.284,138.0,26.757,3.271,29.281,0x04,0x0E,DISCHARGING
136470,3.299,137.6,26.757,3.271,30.074,0x04,0x0E,DISCHARGING
138472,3.284,127.6,26.757,3.277,30.074,0x04,0x0E,DISCHARGING
