time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002225,2.756,-16.650,34.871,4.817,37.207,0x0C,0x0E,CHARGING
000004227,2.282,-16.200,34.871,4.823,38.000,0x0C,0x0E,CHARGING
000006229,2.297,-16.200,34.871,4.823,38.000,0x0C,0x0E,CHARGING
000008231,2.306,-16.200,34.758,4.823,38.000,0x0C,0x0E,CHARGING
000010233,2.316,-16.200,34.758,4.823,38.792,0x0C,0x0E,CHARGING
000012235,2.326,-16.200,35.326,4.823,38.792,0x0C,0x0E,CHARGING
000014236,2.336,-16.200,34.758,4.829,38.792,0x0C,0x0E,CHARGING
000016238,2.346,-16.200,34.758,4.829,38.792,0x0C,0x0E,CHARGING
000018240,2.346,-16.200,34.758,4.823,38.792,0x0C,0x0E,CHARGING
000020242,2.355,-16.425,34.758,4.829,38.792,0x0C,0x0E,CHARGING
000022243,2.360,-16.200,34.871,4.842,38.792,0x0C,0x0E,CHARGING
000024245,2.365,-16.425,34.758,4.829,38.792,0x0C,0x0E,CHARGING
000026247,2.375,-16.425,34.871,4.829,38.792,0x0C,0x0E,CHARGING
000028249,2.380,-16.425,34.871,4.829,39.585,0x0C,0x0E,CHARGING
000030251,2.385,-16.200,34.871,4.823,38.792,0x0C,0x0E,CHARGING
000032253,2.390,-16.200,34.871,4.842,39.585,0x0C,0x0E,CHARGING
000034255,2.394,-16.425,34.871,4.829,38.792,0x0C,0x0E,CHARGING
000036257,2.394,-16.425,34.871,4.823,38.792,0x0C,0x0E,CHARGING
000038259,2.399,-16.425,34.871,4.829,39.585,0x0C,0x0E,CHARGING
000040261,2.404,-16.425,34.871,4.829,38.792,0x0C,0x0E,CHARGING
000042263,2.409,-16.425,34.871,4.848,39.585,0x0C,0x0E,CHARGING
000044265,2.414,-16.425,34.871,4.835,38.792,0x0C,0x0E,CHARGING
000046267,2.414,-16.425,34.871,4.829,38.792,0x0C,0x0E,CHARGING
000048269,2.419,-16.425,34.871,4.829,38.792,0x0C,0x0E,CHARGING
000050271,2.424,-16.425,34.645,4.829,38.792,0x0C,0x0E,CHARGING
000052272,2.429,-16.425,34.645,4.848,38.792,0x0C,0x0E,CHARGING
000054274,2.429,-16.425,34.645,4.829,38.000,0x0C,0x0E,CHARGING
000056276,2.438,-16.425,34.532,4.829,38.000,0x0C,0x0E,CHARGING
000058278,2.438,-16.425,34.419,4.823,38.000,0x0C,0x0E,CHARGING
000060280,2.443,-16.425,34.307,4.829,37.207,0x0C,0x0E,CHARGING
000062282,2.448,-16.425,34.194,4.829,37.207,0x0C,0x0E,CHARGING
000064285,2.448,-16.425,34.082,4.823,37.207,0x0C,0x0E,CHARGING
000066287,2.453,-16.425,33.970,4.829,36.414,0x0C,0x0E,CHARGING
000068291,2.453,-16.425,33.858,4.829,36.414,0x0C,0x0E,CHARGING
000070294,2.458,-16.425,33.746,4.829,35.622,0x0C,0x0E,CHARGING
000072298,2.458,-16.425,33.746,4.823,35.622,0x0C,0x0E,CHARGING
000074302,2.463,-16.425,33.523,4.829,35.622,0x0C,0x0E,CHARGING
000076306,2.463,-16.425,33.523,4.823,35.622,0x0C,0x0E,CHARGING
000078310,2.473,-16.425,33.300,4.817,35.622,0x0C,0x0E,CHARGING
000080313,2.473,-16.425,33.300,4.842,34.829,0x0C,0x0E,CHARGING
000082317,2.473,-16.425,33.079,4.823,34.829,0x0C,0x0E,CHARGING
000084320,2.478,-16.425,32.968,4.823,34.829,0x0C,0x0E,CHARGING
000086322,2.482,-16.425,32.857,4.829,34.829,0x0C,0x0E,CHARGING
000088325,2.487,-16.425,32.747,4.817,34.037,0x0C,0x0E,CHARGING
000090328,2.487,-16.425,32.747,4.823,30.866,0x0C,0x0E,CHARGING
000092332,2.492,-16.425,32.526,4.829,34.037,0x0C,0x0E,CHARGING
000094336,2.492,-16.425,32.416,4.829,34.037,0x0C,0x0E,CHARGING
000096340,2.497,-16.425,32.306,4.835,33.244,0x0C,0x0E,CHARGING
000098342,2.497,-16.425,32.197,4.829,33.244,0x0C,0x0E,CHARGING
000100343,2.497,-16.425,32.087,4.823,33.244,0x0C,0x0E,CHARGING
000102345,2.502,-16.425,31.977,4.823,32.451,0x0C,0x0E,CHARGING
000104347,2.507,-16.425,31.868,4.823,32.451,0x0C,0x0E,CHARGING
000106351,2.512,-16.425,31.759,4.823,31.659,0x0C,0x0E,CHARGING
000108355,2.512,-16.425,31.650,4.829,32.451,0x0C,0x0E,CHARGING
000110357,2.512,-16.425,31.541,4.817,35.622,0x0C,0x0E,CHARGING
000112360,2.517,-16.425,31.432,4.823,32.451,0x0C,0x0E,CHARGING
000114364,2.521,-16.425,31.215,4.817,31.659,0x0C,0x0E,CHARGING
000116368,2.521,-16.425,31.106,4.823,31.659,0x0C,0x0E,CHARGING
000118371,2.521,-16.425,30.998,4.823,31.659,0x0C,0x0E,CHARGING
000120375,2.526,-16.425,30.890,4.823,31.659,0x0C,0x0E,CHARGING
000122377,2.531,-16.425,30.782,4.823,31.659,0x0C,0x0E,CHARGING
000124381,2.531,-16.425,30.674,4.835,31.659,0x0C,0x0E,CHARGING
000126385,2.536,-16.425,30.566,4.823,30.866,0x0C,0x0E,CHARGING
000128389,2.536,-16.425,30.458,4.823,30.866,0x0C,0x0E,CHARGING
000130393,2.644,-182.025,30.243,4.630,34.037,0x1C,0x0E,CHARGING
000132397,2.746,-182.925,30.243,4.636,41.963,0x0F,0x0E,CHARGING
000134401,2.776,-183.150,30.136,4.630,43.548,0x0F,0x0E,CHARGING
000136403,2.805,-183.600,29.922,4.636,42.755,0x0F,0x0E,CHARGING
000138406,2.825,-183.600,29.922,4.630,43.548,0x0F,0x0E,CHARGING
000140410,2.844,-184.050,29.815,4.630,43.548,0x0F,0x0E,CHARGING
000142413,2.859,-184.050,30.029,4.630,43.548,0x0F,0x0E,CHARGING
000144417,2.873,-184.050,29.601,4.630,43.548,0x0F,0x0E,CHARGING
000146419,2.888,-184.275,29.494,4.630,43.548,0x0F,0x0E,CHARGING
000148423,2.898,-184.275,29.281,4.630,42.755,0x0F,0x0E,CHARGING
000150429,2.908,-184.275,29.175,4.636,42.755,0x0F,0x0E,CHARGING
000152433,2.917,-184.500,29.069,4.636,43.548,0x0F,0x0E,CHARGING
000154437,2.922,-184.275,28.963,4.630,42.755,0x0F,0x0E,CHARGING
000156440,2.937,-184.725,28.857,4.636,42.755,0x0F,0x0E,CHARGING
000158443,2.947,-184.725,28.751,4.630,42.755,0x0F,0x0E,CHARGING
000160445,2.952,-184.725,28.539,4.636,42.755,0x0F,0x0E,CHARGING
000162448,2.961,-184.725,28.539,4.630,41.963,0x0F,0x0E,CHARGING
000164451,2.966,-184.950,28.434,4.630,41.963,0x0F,0x0E,CHARGING
000166454,2.971,-184.950,28.223,4.630,41.963,0x0F,0x0E,CHARGING
000168458,2.981,-184.950,28.117,4.630,41.170,0x0F,0x0E,CHARGING
000170462,2.991,-184.725,28.117,4.630,41.963,0x0F,0x0E,CHARGING
000172463,2.996,-185.400,27.907,4.630,41.170,0x0F,0x0E,CHARGING
000174467,3.005,-185.175,27.802,4.630,41.170,0x0F,0x0E,CHARGING
000176470,3.010,-185.400,27.697,4.630,41.170,0x0F,0x0E,CHARGING
000178474,3.010,-185.400,27.488,4.630,41.170,0x0F,0x0E,CHARGING
000180478,3.015,-185.400,27.383,4.642,40.377,0x0F,0x0E,CHARGING
000182482,3.025,-185.400,27.278,4.630,40.377,0x0F,0x0E,CHARGING
000184486,3.035,-185.625,27.174,4.623,40.377,0x0F,0x0E,CHARGING
000186490,3.035,-185.625,27.070,4.630,37.207,0x0F,0x0E,CHARGING
000188493,3.040,-185.625,26.965,4.630,39.585,0x0F,0x0E,CHARGING
000190497,3.049,-185.625,26.861,4.630,39.585,0x0F,0x0E,CHARGING
000192499,3.049,-185.625,26.653,4.630,39.585,0x0F,0x0E,CHARGING
000194501,3.059,-185.625,26.549,4.630,39.585,0x0F,0x0E,CHARGING
000196504,3.059,-185.625,26.445,4.630,39.585,0x0F,0x0E,CHARGING
000198507,3.069,-185.850,26.341,4.630,39.585,0x0F,0x0E,CHARGING
000200511,3.069,-185.850,26.238,4.630,38.792,0x0F,0x0E,CHARGING
000202515,3.079,-185.850,26.134,4.630,38.792,0x0F,0x0E,CHARGING
000204518,3.079,-185.850,26.031,4.630,38.792,0x0F,0x0E,CHARGING
000206522,3.084,-185.850,25.824,4.623,38.792,0x0F,0x0E,CHARGING
000208525,3.088,-185.850,25.720,4.623,38.000,0x0F,0x0E,CHARGING
000210527,3.088,-185.850,25.617,4.630,38.000,0x0F,0x0E,CHARGING
000212530,3.098,-185.850,25.514,4.642,38.000,0x0F,0x0E,CHARGING
000214534,3.098,-186.075,25.411,4.623,38.000,0x0F,0x0E,CHARGING
000216538,3.108,-186.300,25.308,4.623,38.000,0x0F,0x0E,CHARGING
000218540,3.108,-186.075,25.102,4.630,38.000,0x0F,0x0E,CHARGING
000220543,3.113,-186.075,25.102,4.630,38.000,0x0F,0x0E,CHARGING
000222547,3.118,-186.300,24.897,4.630,37.207,0x0F,0x0E,CHARGING
000224550,3.118,-186.300,24.794,4.630,37.207,0x0F,0x0E,CHARGING
000226553,3.128,-186.300,24.589,4.630,36.414,0x0F,0x0E,CHARGING
000228557,3.128,-186.300,24.589,4.623,37.207,0x0F,0x0E,CHARGING
000230561,3.128,-186.075,24.487,4.636,36.414,0x0F,0x0E,CHARGING
000232565,3.137,-186.300,24.282,4.630,36.414,0x0F,0x0E,CHARGING
000234569,3.137,-186.300,24.180,4.630,36.414,0x0F,0x0E,CHARGING
000236571,3.137,-186.300,24.078,4.630,36.414,0x0F,0x0E,CHARGING
000238573,3.142,-186.300,23.976,4.630,35.622,0x0F,0x0E,CHARGING
000240577,3.147,-186.300,23.874,4.623,35.622,0x0F,0x0E,CHARGING
000242581,3.147,-186.300,23.772,4.630,35.622,0x0F,0x0E,CHARGING
000244585,3.157,-186.525,23.670,4.630,35.622,0x0F,0x0E,CHARGING
000246589,3.162,-186.525,23.466,4.630,35.622,0x0F,0x0E,CHARGING
000248592,3.157,-186.300,23.364,4.630,35.622,0x0F,0x0E,CHARGING
000250595,3.162,-186.525,23.263,4.630,35.622,0x0F,0x0E,CHARGING
000252599,3.167,-186.525,23.161,4.630,34.829,0x0F,0x0E,CHARGING
000254602,3.167,-186.750,22.654,4.623,34.829,0x0F,0x0E,CHARGING
000256604,3.172,-186.750,22.856,4.623,34.829,0x0F,0x0E,CHARGING
000258607,3.181,-186.525,22.755,4.630,34.829,0x0F,0x0E,CHARGING
000260611,3.176,-186.750,22.654,4.623,34.829,0x0F,0x0E,CHARGING
000262614,3.181,-186.525,22.552,4.623,34.829,0x0F,0x0E,CHARGING
000264617,3.186,-186.750,22.451,4.642,34.037,0x0F,0x0E,CHARGING
000266621,3.186,-186.975,22.350,4.623,34.037,0x0F,0x0E,CHARGING
000268625,3.191,-186.975,21.845,4.623,30.866,0x0F,0x0E,CHARGING
000270628,3.196,-186.750,22.148,4.630,34.037,0x0F,0x0E,CHARGING
000272631,3.196,-186.750,22.047,4.630,34.037,0x0F,0x0E,CHARGING
000274635,3.196,-186.975,21.946,4.630,34.037,0x0F,0x0E,CHARGING
000276639,3.201,-186.975,21.845,4.636,33.244,0x0F,0x0E,CHARGING
000278641,3.206,-186.975,21.643,4.630,33.244,0x0F,0x0E,CHARGING
000280643,3.211,-186.975,21.542,4.636,33.244,0x0F,0x0E,CHARGING
000282645,3.211,-186.975,21.441,4.630,33.244,0x0F,0x0E,CHARGING
000284649,3.216,-186.975,21.340,4.623,33.244,0x0F,0x0E,CHARGING
000286651,3.216,-186.975,21.240,4.630,33.244,0x0F,0x0E,CHARGING
000288654,3.216,-186.975,21.139,4.623,32.451,0x0F,0x0E,CHARGING
000290658,3.216,-186.975,21.340,4.623,32.451,0x0F,0x0E,CHARGING
000292661,3.225,-186.975,20.837,4.623,32.451,0x0F,0x0E,CHARGING
000294665,3.225,-186.975,20.737,4.623,32.451,0x0F,0x0E,CHARGING
000296669,3.225,-188.100,20.636,4.636,31.659,0x0F,0x0E,CHARGING
000298673,3.230,-186.975,20.536,4.623,32.451,0x0F,0x0E,CHARGING
000300677,3.235,-186.975,20.435,4.630,32.451,0x0F,0x0E,CHARGING
000302680,3.235,-186.975,20.335,4.630,32.451,0x0F,0x0E,CHARGING
000304683,3.240,-187.200,20.235,4.623,31.659,0x0F,0x0E,CHARGING
000306687,3.240,-187.200,20.134,4.623,31.659,0x0F,0x0E,CHARGING
000308690,3.245,-187.200,20.034,4.623,31.659,0x0F,0x0E,CHARGING
000310692,3.240,-187.200,19.934,4.623,31.659,0x0F,0x0E,CHARGING
000312696,3.250,-187.425,19.734,4.623,30.866,0x0F,0x0E,CHARGING
000314699,3.250,-187.425,19.633,4.636,30.866,0x0F,0x0E,CHARGING
000316701,3.255,-187.200,19.533,4.623,30.866,0x0F,0x0E,CHARGING
000318705,3.255,-187.425,19.033,4.623,27.696,0x0F,0x0E,CHARGING
000320708,3.255,-186.975,19.333,4.623,30.866,0x0F,0x0E,CHARGING
000322712,3.260,-187.650,19.233,4.623,27.696,0x0F,0x0E,CHARGING
000324716,3.260,-187.425,19.133,4.630,30.074,0x0F,0x0E,CHARGING
000326719,3.264,-187.425,18.633,4.623,30.074,0x0F,0x0E,CHARGING
000328721,3.269,-187.425,18.933,4.630,30.074,0x0F,0x0E,CHARGING
000330724,3.264,-187.425,18.833,4.623,30.074,0x0F,0x0E,CHARGING
000332728,3.269,-187.425,18.733,4.623,29.281,0x0F,0x0E,CHARGING
000334731,3.274,-187.650,18.533,4.617,30.074,0x0F,0x0E,CHARGING
000336735,3.274,-187.650,18.433,4.623,29.281,0x0F,0x0E,CHARGING
000338739,3.274,-187.650,18.334,4.623,29.281,0x0F,0x0E,CHARGING
