time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.653,-16.425,17.336,4.804,27.696,0x0C,0x0E,CHARGING
2002,2.795,-183.375,17.436,4.617,34.829,0x0F,0x0E,CHARGING
4004,2.815,-183.825,17.436,4.617,36.414,0x0F,0x0E,CHARGING
6005,2.834,-183.6,17.535,4.63,37.207,0x0F,0x0E,CHARGING
8007,2.849,-184.05,17.635,4.623,37.207,0x0F,0x0E,CHARGING
10009,2.864,-183.825,17.735,4.617,38.0,0x0F,0x0E,CHARGING
12011,2.869,-183.825,17.835,4.617,38.0,0x0F,0x0E,CHARGING
14013,2.883,-184.05,17.934,4.623,38.0,0x0F,0x0E,CHARGING
16015,2.888,-184.275,17.934,4.63,38.0,0x0F,0x0E,CHARGING
18017,2.903,-184.275,18.034,4.623,38.0,0x0F,0x0E,CHARGING
20019,2.908,-184.275,18.134,4.623,38.0,0x0F,0x0E,CHARGING
22021,2.917,-184.275,18.533,4.623,38.0,0x0F,0x0E,CHARGING
24023,2.922,-184.5,18.234,4.623,38.792,0x0F,0x0E,CHARGING
26025,2.927,-184.5,18.334,4.623,38.792,0x0F,0x0E,CHARGING
28026,2.932,-184.725,18.433,4.623,38.792,0x0F,0x0E,CHARGING
30028,2.942,-184.725,18.433,4.623,38.792,0x0F,0x0E,CHARGING
32030,2.942,-184.725,18.433,4.623,38.792,0x0F,0x0E,CHARGING
34031,2.952,-184.725,18.533,4.617,38.792,0x0F,0x0E,CHARGING
36033,2.956,-184.725,18.533,4.623,38.792,0x0F,0x0E,CHARGING
38035,2.966,-184.95,18.633,4.623,38.792,0x0F,0x0E,CHARGING
40037,2.966,-184.725,18.633,4.617,38.792,0x0F,0x0E,CHARGING
42039,2.976,-184.95,18.733,4.617,38.792,0x0F,0x0E,CHARGING
44041,2.981,-184.725,18.733,4.617,38.0,0x0F,0x0E,CHARGING
46043,2.981,-185.175,18.833,4.617,38.792,0x0F,0x0E,CHARGING
48045,2.991,-184.95,18.833,4.623,38.792,0x0F,0x0E,CHARGING
50047,2.991,-185.175,18.833,4.623,38.0,0x0F,0x0E,CHARGING
52049,3.0,-185.175,18.933,4.617,38.0,0x0F,0x0E,CHARGING
54051,3.0,-185.175,18.933,4.623,38.0,0x0F,0x0E,CHARGING
56053,3.005,-185.4,19.033,4.623,38.792,0x0F,0x0E,CHARGING
58054,3.01,-185.4,19.033,4.617,38.0,0x0F,0x0E,CHARGING
60057,3.015,-185.175,19.033,4.617,38.0,0x0F,0x0E,CHARGING
62059,3.02,-185.175,19.033,4.617,38.0,0x0F,0x0E,CHARGING
64060,3.02,-185.4,19.033,4.63,38.0,0x0F,0x0E,CHARGING
66061,3.025,-185.4,19.133,4.623,38.0,0x0F,0x0E,CHARGING
68063,3.03,-185.4,19.133,4.623,38.0,0x0F,0x0E,CHARGING
70064,3.03,-185.625,19.133,4.617,38.0,0x0F,0x0E,CHARGING
72065,3.04,-185.4,19.233,4.617,38.792,0x0F,0x0E,CHARGING
74067,3.044,-185.625,19.233,4.617,38.0,0x0F,0x0E,CHARGING
76068,3.044,-185.625,19.233,4.617,38.0,0x0F,0x0E,CHARGING
78069,3.044,-185.625,19.233,4.617,38.0,0x0F,0x0E,CHARGING
80071,3.049,-185.4,19.333,4.623,38.0,0x0F,0x0E,CHARGING
82072,3.054,-185.625,19.333,4.617,38.0,0x0F,0x0E,CHARGING
84074,3.059,-185.625,19.333,4.617,38.0,0x0F,0x0E,CHARGING
86075,3.059,-185.85,19.333,4.623,38.0,0x0F,0x0E,CHARGING
88076,3.059,-185.625,19.433,4.623,34.037,0x0F,0x0E,CHARGING
90078,3.069,-185.85,19.433,4.63,34.829,0x0F,0x0E,CHARGING
92080,3.069,-185.625,19.033,4.617,37.207,0x0F,0x0E,CHARGING
94082,3.074,-186.075,19.433,4.617,38.0,0x0F,0x0E,CHARGING
96083,3.074,-185.85,19.433,4.617,37.207,0x0F,0x0E,CHARGING
98084,3.079,-186.075,19.433,4.617,37.207,0x0F,0x0E,CHARGING
100085,3.084,-185.85,19.433,4.623,37.207,0x0F,0x0E,CHARGING
102086,3.084,-186.075,19.533,4.623,37.207,0x0F,0x0E,CHARGING
104088,3.088,-186.075,19.533,4.623,37.207,0x0F,0x0E,CHARGING
106090,3.088,-185.85,19.533,4.617,37.207,0x0F,0x0E,CHARGING
108092,3.088,-185.85,19.633,4.623,34.037,0x0F,0x0E,CHARGING
110093,3.098,-186.075,19.433,4.623,34.037,0x0F,0x0E,CHARGING
112094,3.098,-186.075,19.533,4.623,37.207,0x0F,0x0E,CHARGING
114096,3.103,-186.075,19.633,4.623,37.207,0x0F,0x0E,CHARGING
116098,3.108,-185.175,19.633,4.623,37.207,0x0F,0x0E,CHARGING
118100,3.108,-186.075,19.533,4.617,37.207,0x0F,0x0E,CHARGING
120102,3.108,-186.075,19.633,4.617,36.414,0x0F,0x0E,CHARGING
122104,3.108,-186.075,19.533,4.623,37.207,0x0F,0x0E,CHARGING
124106,3.113,-186.075,19.633,4.617,37.207,0x0F,0x0E,CHARGING
126109,3.118,-186.3,19.633,4.623,34.037,0x0F,0x0E,CHARGING
128112,3.118,-186.3,19.633,4.63,37.207,0x0F,0x0E,CHARGING
130116,3.118,-186.075,19.633,4.623,37.207,0x0F,0x0E,CHARGING
132120,3.128,-186.3,19.734,4.623,37.207,0x0F,0x0E,CHARGING
134123,3.128,-186.525,19.734,4.623,34.037,0x0F,0x0E,CHARGING
136125,3.128,-186.3,19.734,4.617,36.414,0x0F,0x0E,CHARGING
138129,3.128,-186.525,19.734,4.617,34.037,0x0F,0x0E,CHARGING
140133,3.132,-186.3,19.734,4.623,34.037,0x0F,0x0E,CHARGING
142137,3.137,-186.525,19.734,4.623,34.037,0x0F,0x0E,CHARGING
144141,3.137,-186.525,19.734,4.623,36.414,0x0F,0x0E,CHARGING
146144,3.137,-186.525,19.834,4.617,37.207,0x0F,0x0E,CHARGING
148146,3.142,-186.525,19.734,4.623,36.414,0x0F,0x0E,CHARGING
150148,3.142,-186.75,19.734,4.617,37.207,0x0F,0x0E,CHARGING
152150,3.147,-186.3,19.834,4.617,36.414,0x0F,0x0E,CHARGING
154153,3.147,-186.525,19.834,4.623,36.414,0x0F,0x0E,CHARGING
156154,3.147,-186.525,19.834,4.623,36.414,0x0F,0x0E,CHARGING
158156,3.147,-186.525,19.834,4.623,36.414,0x0F,0x0E,CHARGING
160158,3.157,-186.525,19.834,4.623,36.414,0x0F,0x0E,CHARGING
162161,3.157,-186.525,19.934,4.617,36.414,0x0F,0x0E,CHARGING
164165,3.157,-186.525,19.834,4.617,36.414,0x0F,0x0E,CHARGING
166169,3.157,-186.525,19.934,4.63,36.414,0x0F,0x0E,CHARGING
168173,3.162,-186.75,19.934,4.623,37.207,0x0F,0x0E,CHARGING
