time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.932,-16.65,3.607,4.767,11.051,0x0C,0x0E,CHARGING
2002,3.02,-88.875,3.82,4.692,14.222,0x0D,0x0E,CHARGING
4004,3.04,-88.875,3.926,4.686,15.014,0x0D,0x0E,CHARGING
6005,3.059,-89.1,4.032,4.692,15.807,0x0D,0x0E,CHARGING
8007,3.074,-89.1,4.244,4.679,16.599,0x0D,0x0E,CHARGING
10009,3.088,-89.325,4.244,4.692,17.392,0x0D,0x0E,CHARGING
12011,3.098,-89.325,4.561,4.686,16.599,0x0D,0x0E,CHARGING
14013,3.103,-89.325,4.667,4.686,17.392,0x0D,0x0E,CHARGING
16015,3.108,-89.325,4.878,4.692,17.392,0x0D,0x0E,CHARGING
18017,3.123,-89.55,4.983,4.692,15.014,0x0D,0x0E,CHARGING
20019,3.128,-89.55,5.088,4.692,18.185,0x0D,0x0E,CHARGING
22020,3.132,-89.55,5.298,4.686,18.185,0x0D,0x0E,CHARGING
24022,3.137,-89.55,5.507,4.686,18.977,0x0D,0x0E,CHARGING
26024,3.142,-89.55,5.612,4.692,18.977,0x0D,0x0E,CHARGING
28026,3.142,-89.55,5.82,4.692,19.77,0x0D,0x0E,CHARGING
30028,3.152,-89.775,5.925,4.686,18.977,0x0D,0x0E,CHARGING
32029,3.157,-89.775,6.029,4.692,19.77,0x0D,0x0E,CHARGING
34031,3.162,-89.55,6.133,4.692,19.77,0x0D,0x0E,CHARGING
36033,3.162,-89.55,6.341,4.698,19.77,0x0D,0x0E,CHARGING
38034,3.167,-89.775,6.548,4.692,19.77,0x0D,0x0E,CHARGING
40036,3.167,-89.55,6.652,4.704,20.562,0x0D,0x0E,CHARGING
42038,3.172,-89.775,6.859,4.692,23.733,0x0D,0x0E,CHARGING
44040,3.176,-89.775,6.859,4.692,20.562,0x0D,0x0E,CHARGING
46042,3.181,-88.875,7.169,4.698,20.562,0x0D,0x0E,CHARGING
48044,3.176,-89.775,7.683,4.698,21.355,0x0D,0x0E,CHARGING
50046,3.181,-89.775,7.375,4.698,21.355,0x0D,0x0E,CHARGING
52048,3.181,-89.775,7.581,4.692,20.562,0x0D,0x0E,CHARGING
54050,3.186,-89.775,7.375,4.692,22.148,0x0D,0x0E,CHARGING
56052,3.186,-89.775,7.889,4.698,21.355,0x0D,0x0E,CHARGING
58054,3.186,-89.775,7.991,4.692,21.355,0x0D,0x0E,CHARGING
60056,3.191,-90.45,7.786,4.704,22.148,0x0D,0x0E,CHARGING
62058,3.196,-89.775,8.298,4.692,22.148,0x0D,0x0E,CHARGING
64059,3.196,-89.775,8.401,4.692,21.355,0x0D,0x0E,CHARGING
66061,3.201,-90.0,8.707,4.692,18.977,0x0D,0x0E,CHARGING
68063,3.201,-90.0,8.707,4.698,22.148,0x0D,0x0E,CHARGING
70065,3.201,-89.775,8.911,4.711,22.148,0x0D,0x0E,CHARGING
72067,3.201,-90.0,9.013,4.698,22.94,0x0D,0x0E,CHARGING
74068,3.206,-90.0,9.216,4.692,22.94,0x0D,0x0E,CHARGING
76070,3.206,-90.0,9.318,4.698,22.94,0x0D,0x0E,CHARGING
78071,3.206,-90.0,9.521,4.692,22.94,0x0D,0x0E,CHARGING
