time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.421,89.2,10.937,3.402,11.844,0x04,0x0E,DISCHARGING
2001,3.411,76.4,10.937,3.39,11.844,0x04,0x0E,DISCHARGING
4002,3.401,91.2,10.937,3.377,11.844,0x04,0x0E,DISCHARGING
6004,3.387,102.4,10.937,3.371,11.844,0x04,0x0E,DISCHARGING
8005,3.387,93.2,10.937,3.358,11.844,0x04,0x0E,DISCHARGING
10006,3.387,81.6,10.937,3.358,11.844,0x04,0x0E,DISCHARGING
12008,3.372,89.2,10.937,3.352,11.051,0x04,0x0E,DISCHARGING
14010,3.367,93.2,10.937,3.346,11.844,0x04,0x0E,DISCHARGING
16012,3.367,87.6,10.937,3.34,11.844,0x04,0x0E,DISCHARGING
18014,3.362,86.8,10.937,3.34,11.844,0x04,0x0E,DISCHARGING
20016,3.367,77.6,10.837,3.34,11.051,0x04,0x0E,DISCHARGING
22018,3.357,87.6,10.837,3.333,11.051,0x04,0x0E,DISCHARGING
24019,3.347,92.0,10.837,3.333,11.844,0x04,0x0E,DISCHARGING
26021,3.347,96.8,10.837,3.327,11.844,0x04,0x0E,DISCHARGING
28023,3.347,93.2,10.837,3.327,11.844,0x04,0x0E,DISCHARGING
30024,3.343,93.2,10.837,3.333,11.051,0x04,0x0E,DISCHARGING
32026,3.352,87.6,10.837,3.321,11.051,0x04,0x0E,DISCHARGING
34028,3.347,92.0,10.837,3.321,11.051,0x04,0x0E,DISCHARGING
36029,3.347,96.8,10.736,3.315,11.844,0x04,0x0E,DISCHARGING
38031,3.347,83.6,10.736,3.315,11.051,0x04,0x0E,DISCHARGING
40033,3.347,88.8,10.736,3.315,11.051,0x04,0x0E,DISCHARGING
42034,3.328,94.4,10.736,3.315,11.051,0x04,0x0E,DISCHARGING
44035,3.328,91.2,10.736,3.315,11.051,0x04,0x0E,DISCHARGING
46037,3.328,93.2,10.736,3.302,11.051,0x04,0x0E,DISCHARGING
48039,3.347,91.6,10.736,3.309,11.051,0x04,0x0E,DISCHARGING
50041,3.323,94.0,10.736,3.302,11.051,0x04,0x0E,DISCHARGING
