time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.44,58.8,34.871,3.433,37.207,0x04,0x0E,DISCHARGING
2002,3.45,58.4,34.758,3.421,36.414,0x04,0x0E,DISCHARGING
4004,3.421,58.4,34.871,3.414,36.414,0x04,0x0E,DISCHARGING
6006,3.431,59.2,34.758,3.408,36.414,0x04,0x0E,DISCHARGING
8007,3.431,58.4,34.758,3.408,36.414,0x04,0x0E,DISCHARGING
10009,3.431,60.8,34.758,3.402,36.414,0x04,0x0E,DISCHARGING
12011,3.421,59.2,34.871,3.402,36.414,0x04,0x0E,DISCHARGING
14013,3.421,65.6,34.758,3.402,36.414,0x04,0x0E,DISCHARGING
16015,3.406,65.6,34.871,3.396,36.414,0x04,0x0E,DISCHARGING
18017,3.431,60.0,34.758,3.396,36.414,0x04,0x0E,DISCHARGING
20019,3.411,61.6,34.871,3.39,36.414,0x04,0x0E,DISCHARGING
22021,3.411,60.0,34.758,3.39,36.414,0x04,0x0E,DISCHARGING
24023,3.401,57.2,34.871,3.39,36.414,0x04,0x0E,DISCHARGING
26025,3.401,61.6,34.758,3.39,36.414,0x04,0x0E,DISCHARGING
28027,3.401,56.4,34.871,3.377,36.414,0x04,0x0E,DISCHARGING
30028,3.401,58.4,34.758,3.383,36.414,0x04,0x0E,DISCHARGING
32030,3.391,61.6,34.758,3.377,36.414,0x04,0x0E,DISCHARGING
34031,3.391,61.2,34.758,3.377,36.414,0x04,0x0E,DISCHARGING
36033,3.391,61.2,34.758,3.371,36.414,0x04,0x0E,DISCHARGING
38035,3.391,46.8,34.758,3.377,36.414,0x04,0x0E,DISCHARGING
40037,3.391,62.8,34.758,3.371,36.414,0x04,0x0E,DISCHARGING
42039,3.391,64.0,34.758,3.371,36.414,0x04,0x0E,DISCHARGING
44041,3.391,62.0,34.758,3.365,36.414,0x04,0x0E,DISCHARGING
46042,3.391,58.4,34.758,3.365,36.414,0x04,0x0E,DISCHARGING
48044,3.382,65.6,34.758,3.358,36.414,0x04,0x0E,DISCHARGING
50045,3.391,65.6,34.758,3.358,36.414,0x04,0x0E,DISCHARGING
52047,3.391,58.4,34.758,3.358,36.414,0x04,0x0E,DISCHARGING
54049,3.382,64.0,34.758,3.358,36.414,0x04,0x0E,DISCHARGING
56051,3.382,60.0,34.758,3.358,36.414,0x04,0x0E,DISCHARGING
58053,3.372,60.8,34.758,3.352,36.414,0x04,0x0E,DISCHARGING
60054,3.372,65.6,34.758,3.352,36.414,0x04,0x0E,DISCHARGING
62056,3.362,61.6,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
64058,3.362,67.2,34.758,3.352,36.414,0x04,0x0E,DISCHARGING
66060,3.367,49.6,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
68062,3.362,60.0,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
70064,3.372,61.6,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
72065,3.362,60.0,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
74067,3.352,64.4,34.758,3.34,36.414,0x04,0x0E,DISCHARGING
76068,3.352,65.6,34.758,3.346,36.414,0x04,0x0E,DISCHARGING
78070,3.352,59.2,34.758,3.34,36.414,0x04,0x0E,DISCHARGING
80072,3.347,65.6,34.758,3.34,36.414,0x04,0x0E,DISCHARGING
82074,3.347,65.6,34.758,3.34,36.414,0x04,0x0E,DISCHARGING
84075,3.352,64.0,34.758,3.34,36.414,0x04,0x0E,DISCHARGING
86076,3.352,57.2,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
88078,3.352,64.4,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
90079,3.343,64.0,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
92080,3.352,64.0,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
94082,3.352,61.6,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
96084,3.352,64.0,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
98085,3.338,61.6,34.758,3.327,36.414,0x04,0x0E,DISCHARGING
100087,3.343,58.8,34.758,3.327,36.414,0x04,0x0E,DISCHARGING
102087,3.343,64.4,34.758,3.333,36.414,0x04,0x0E,DISCHARGING
104089,3.352,64.4,34.758,3.327,36.414,0x04,0x0E,DISCHARGING
106091,3.352,60.0,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
108092,3.343,64.0,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
110094,3.352,51.2,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
112095,3.333,61.6,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
114097,3.328,65.6,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
116099,3.333,61.6,34.758,3.321,36.414,0x04,0x0E,DISCHARGING
118101,3.328,64.0,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
120103,3.333,50.0,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
122105,3.333,61.2,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
124106,3.323,61.6,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
126108,3.333,65.6,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
128109,3.323,64.4,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
130111,3.323,62.0,34.758,3.315,36.414,0x04,0x0E,DISCHARGING
132113,3.323,60.0,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
134115,3.323,62.0,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
136116,3.323,65.6,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
138118,3.333,48.4,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
140120,3.333,64.0,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
142122,3.323,57.2,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
144123,3.333,62.0,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
146125,3.323,61.2,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
148127,3.323,62.0,34.758,3.309,36.414,0x04,0x0E,DISCHARGING
150129,3.323,62.4,34.758,3.302,36.414,0x04,0x0E,DISCHARGING
152131,3.323,65.6,34.758,3.302,36.414,0x04,0x0E,DISCHARGING
