time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002226,2.380,-16.200,20.034,4.804,21.355,0x0C,0x0E,CHARGING
000004228,2.399,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000006230,2.404,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000008232,2.419,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000010234,2.424,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000012236,2.424,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000014237,2.434,-16.200,20.034,4.810,22.940,0x0C,0x0E,CHARGING
000016239,2.434,-16.200,20.034,4.804,23.733,0x0C,0x0E,CHARGING
000018240,2.443,-16.200,20.034,4.804,22.940,0x0C,0x0E,CHARGING
000020242,2.443,-16.200,20.034,4.810,23.733,0x0C,0x0E,CHARGING
000022245,2.453,-16.200,20.435,4.804,23.733,0x0C,0x0E,CHARGING
000024247,2.458,-16.200,20.034,4.810,23.733,0x0C,0x0E,CHARGING
000026249,2.458,-16.200,20.134,4.810,23.733,0x0C,0x0E,CHARGING
000028251,2.463,-16.200,20.034,4.810,23.733,0x0C,0x0E,CHARGING
000030252,2.468,-16.200,20.034,4.810,23.733,0x0C,0x0E,CHARGING
000032253,2.473,-16.200,20.034,4.817,23.733,0x0C,0x0E,CHARGING
000034254,2.478,-16.200,20.034,4.804,23.733,0x0C,0x0E,CHARGING
000036256,2.482,-16.200,20.134,4.804,23.733,0x0C,0x0E,CHARGING
000038258,2.482,-16.200,20.134,4.810,23.733,0x0C,0x0E,CHARGING
000040260,2.487,-16.200,20.134,4.804,23.733,0x0C,0x0E,CHARGING
000042262,2.492,-16.200,20.034,4.810,23.733,0x0C,0x0E,CHARGING
000044264,2.492,-16.200,20.134,4.810,24.525,0x0C,0x0E,CHARGING
000046266,2.497,-16.425,20.134,4.804,23.733,0x0C,0x0E,CHARGING
000048268,2.497,-16.425,20.134,4.810,24.525,0x0C,0x0E,CHARGING
000050270,2.507,-16.200,20.034,4.804,23.733,0x0C,0x0E,CHARGING
000052272,2.507,-16.425,20.134,4.810,26.903,0x0C,0x0E,CHARGING
000054274,2.512,-16.200,20.134,4.804,24.525,0x0C,0x0E,CHARGING
000056276,2.512,-16.200,20.134,4.810,24.525,0x0C,0x0E,CHARGING
000058278,2.517,-16.200,20.134,4.804,24.525,0x0C,0x0E,CHARGING
000060280,2.517,-16.200,20.134,4.804,24.525,0x0C,0x0E,CHARGING
000062282,2.521,-16.200,20.034,4.817,23.733,0x0C,0x0E,CHARGING
000064284,2.526,-16.425,20.134,4.810,24.525,0x0C,0x0E,CHARGING
000066286,2.526,-16.200,20.134,4.804,23.733,0x0C,0x0E,CHARGING
000068288,2.526,-16.425,20.134,4.804,24.525,0x0C,0x0E,CHARGING
000070290,2.536,-16.200,20.134,4.804,23.733,0x0C,0x0E,CHARGING
000072292,2.536,-16.425,20.536,4.810,21.355,0x0C,0x0E,CHARGING
000074294,2.541,-16.425,20.134,4.810,21.355,0x0C,0x0E,CHARGING
000076296,2.609,-183.600,20.134,4.623,30.074,0x0F,0x0E,CHARGING
000078298,2.688,-182.475,20.235,4.617,36.414,0x0F,0x0E,CHARGING
000080300,2.712,-182.700,20.134,4.630,36.414,0x0F,0x0E,CHARGING
000082302,2.737,-182.700,20.134,4.630,37.207,0x0F,0x0E,CHARGING
000084304,2.751,-182.925,20.235,4.623,38.000,0x0F,0x0E,CHARGING
000086306,2.766,-183.150,20.235,4.630,37.207,0x0F,0x0E,CHARGING
000088308,2.785,-183.150,20.235,4.636,38.792,0x0F,0x0E,CHARGING
000090310,2.795,-183.150,20.235,4.630,38.000,0x0F,0x0E,CHARGING
000092312,2.805,-183.600,20.235,4.642,38.000,0x0F,0x0E,CHARGING
000094314,2.820,-183.375,20.235,4.630,38.792,0x0F,0x0E,CHARGING
000096316,2.834,-183.825,20.235,4.623,38.792,0x0F,0x0E,CHARGING
000098318,2.844,-183.825,20.235,4.630,38.000,0x0F,0x0E,CHARGING
000100319,2.849,-183.825,20.235,4.623,38.000,0x0F,0x0E,CHARGING
000102320,2.859,-183.825,20.335,4.630,38.000,0x0F,0x0E,CHARGING
000104321,2.869,-184.950,20.235,4.623,38.000,0x0F,0x0E,CHARGING
000106322,2.873,-184.050,20.335,4.623,38.000,0x0F,0x0E,CHARGING
000108323,2.878,-183.825,20.335,4.630,38.792,0x0F,0x0E,CHARGING
000110324,2.888,-184.050,20.235,4.630,38.000,0x0F,0x0E,CHARGING
000112325,2.893,-184.275,20.235,4.630,38.000,0x0F,0x0E,CHARGING
000114327,2.898,-184.500,20.235,4.630,38.000,0x0F,0x0E,CHARGING
000116329,2.908,-184.500,20.235,4.636,38.000,0x0F,0x0E,CHARGING
000118330,2.908,-184.500,20.235,4.623,38.000,0x0F,0x0E,CHARGING
000120332,2.913,-184.275,20.335,4.630,38.000,0x0F,0x0E,CHARGING
000122334,2.922,-184.500,20.335,4.630,38.000,0x0F,0x0E,CHARGING
000124336,2.922,-184.500,20.335,4.630,38.000,0x0F,0x0E,CHARGING
