time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,25.102,4.817,34.037,0x0C,0x0E,CHARGING
2010,2.996,-185.4,25.205,4.636,41.17,0x0F,0x0E,CHARGING
4012,3.01,-185.175,25.308,4.642,42.755,0x0F,0x0E,CHARGING
6014,3.01,-185.175,25.411,4.636,43.548,0x0F,0x0E,CHARGING
8015,3.02,-185.625,25.514,4.63,44.34,0x0F,0x0E,CHARGING
10017,3.02,-185.625,25.617,4.63,44.34,0x0F,0x0E,CHARGING
12019,3.025,-185.625,25.72,4.636,45.133,0x0F,0x0E,CHARGING
14021,3.03,-185.625,25.824,4.642,45.133,0x0F,0x0E,CHARGING
16022,3.035,-185.625,25.927,4.636,45.926,0x0F,0x0E,CHARGING
18024,3.04,-185.625,26.134,4.642,45.926,0x0F,0x0E,CHARGING
20026,3.044,-185.625,26.238,4.636,45.926,0x0F,0x0E,CHARGING
22028,3.049,-185.625,26.238,4.636,46.718,0x0F,0x0E,CHARGING
24030,3.049,-185.85,26.341,4.63,46.718,0x0F,0x0E,CHARGING
26032,3.054,-185.625,26.445,4.636,46.718,0x0F,0x0E,CHARGING
28033,3.059,-185.85,26.549,4.636,43.548,0x0F,0x0E,CHARGING
30035,3.059,-185.85,26.653,4.63,47.511,0x0F,0x0E,CHARGING
32037,3.064,-185.85,26.757,4.642,46.718,0x0F,0x0E,CHARGING
34039,3.059,-185.85,26.757,4.642,44.34,0x0F,0x0E,CHARGING
36041,3.069,-185.85,26.965,4.636,47.511,0x0F,0x0E,CHARGING
38043,3.069,-186.075,26.965,4.642,46.718,0x0F,0x0E,CHARGING
40045,3.074,-185.625,27.07,4.642,46.718,0x0F,0x0E,CHARGING
42047,3.074,-185.85,27.174,4.642,47.511,0x0F,0x0E,CHARGING
44049,3.079,-185.85,27.278,4.636,47.511,0x0F,0x0E,CHARGING
46051,3.079,-186.075,27.278,4.636,47.511,0x0F,0x0E,CHARGING
48053,3.079,-185.85,27.383,4.636,47.511,0x0F,0x0E,CHARGING
50055,3.088,-185.85,27.488,4.636,44.34,0x0F,0x0E,CHARGING
52057,3.088,-185.85,27.592,4.642,49.096,0x0F,0x0E,CHARGING
54059,3.088,-186.075,27.592,4.636,47.511,0x0F,0x0E,CHARGING
56061,3.093,-186.075,27.592,4.636,47.511,0x0F,0x0E,CHARGING
58063,3.098,-186.075,27.697,4.636,47.511,0x0F,0x0E,CHARGING
60065,3.098,-186.3,27.802,4.642,47.511,0x0F,0x0E,CHARGING
62067,3.103,-186.075,27.907,4.636,47.511,0x0F,0x0E,CHARGING
64069,3.098,-186.075,27.907,4.636,47.511,0x0F,0x0E,CHARGING
66070,3.103,-186.3,28.012,4.642,47.511,0x0F,0x0E,CHARGING
68072,3.103,-186.3,28.012,4.63,47.511,0x0F,0x0E,CHARGING
70074,3.108,-186.075,28.117,4.63,47.511,0x0F,0x0E,CHARGING
72076,3.113,-186.3,28.117,4.642,47.511,0x0F,0x0E,CHARGING
74078,3.113,-186.3,28.223,4.636,47.511,0x0F,0x0E,CHARGING
76079,3.118,-186.075,28.223,4.642,47.511,0x0F,0x0E,CHARGING
78081,3.118,-186.3,28.328,4.642,47.511,0x0F,0x0E,CHARGING
80083,3.118,-186.525,28.751,4.642,50.681,0x0F,0x0E,CHARGING
82085,3.118,-186.3,28.328,4.636,47.511,0x0F,0x0E,CHARGING
84087,3.123,-186.525,28.434,4.642,47.511,0x0F,0x0E,CHARGING
86089,3.128,-186.525,28.539,4.642,47.511,0x0F,0x0E,CHARGING
88091,3.128,-186.525,28.539,4.636,47.511,0x0F,0x0E,CHARGING
90093,3.128,-186.525,28.539,4.642,47.511,0x0F,0x0E,CHARGING
92095,3.128,-186.525,28.645,4.648,47.511,0x0F,0x0E,CHARGING
94097,3.132,-186.525,28.645,4.636,46.718,0x0F,0x0E,CHARGING
96099,3.137,-186.525,28.645,4.636,47.511,0x0F,0x0E,CHARGING
98101,3.137,-186.525,28.751,4.636,47.511,0x0F,0x0E,CHARGING
100102,3.142,-186.3,28.751,4.642,47.511,0x0F,0x0E,CHARGING
102102,3.137,-186.525,28.857,4.636,47.511,0x0F,0x0E,CHARGING
104104,3.137,-186.525,28.857,4.636,47.511,0x0F,0x0E,CHARGING
106105,3.142,-186.525,28.857,4.642,47.511,0x0F,0x0E,CHARGING
108107,3.147,-186.75,28.963,4.636,47.511,0x0F,0x0E,CHARGING
110109,3.152,-186.525,28.963,4.648,47.511,0x0F,0x0E,CHARGING
112111,3.147,-186.75,28.963,4.636,47.511,0x0F,0x0E,CHARGING
114112,3.152,-186.75,28.963,4.636,46.718,0x0F,0x0E,CHARGING
116114,3.152,-186.75,28.963,4.642,47.511,0x0F,0x0E,CHARGING
118116,3.157,-186.525,29.069,4.636,46.718,0x0F,0x0E,CHARGING
120118,3.157,-186.75,29.069,4.636,46.718,0x0F,0x0E,CHARGING
122120,3.152,-186.075,29.175,4.636,47.511,0x0F,0x0E,CHARGING
124122,3.162,-186.75,29.175,4.636,46.718,0x0F,0x0E,CHARGING
126124,3.157,-186.75,29.175,4.642,46.718,0x0F,0x0E,CHARGING
128126,3.162,-186.75,29.175,4.642,46.718,0x0F,0x0E,CHARGING
130128,3.167,-186.75,29.281,4.636,46.718,0x0F,0x0E,CHARGING
132130,3.162,-186.975,29.281,4.636,46.718,0x0F,0x0E,CHARGING
134132,3.167,-186.75,29.281,4.636,46.718,0x0F,0x0E,CHARGING
136134,3.172,-187.2,29.281,4.636,43.548,0x0F,0x0E,CHARGING
138136,3.172,-186.975,29.281,4.642,46.718,0x0F,0x0E,CHARGING
140138,3.172,-186.75,29.388,4.642,43.548,0x0F,0x0E,CHARGING
142140,3.176,-186.75,29.281,4.642,46.718,0x0F,0x0E,CHARGING
144142,3.176,-186.975,29.388,4.636,45.926,0x0F,0x0E,CHARGING
146144,3.176,-186.75,29.388,4.636,46.718,0x0F,0x0E,CHARGING
148146,3.176,-186.75,29.815,4.642,43.548,0x0F,0x0E,CHARGING
150148,3.181,-186.75,29.494,4.636,46.718,0x0F,0x0E,CHARGING
152149,3.181,-186.975,29.494,4.636,43.548,0x0F,0x0E,CHARGING
154151,3.181,-186.975,29.494,4.642,43.548,0x0F,0x0E,CHARGING
156152,3.186,-186.975,29.494,4.636,46.718,0x0F,0x0E,CHARGING
158154,3.186,-186.975,29.494,4.642,46.718,0x0F,0x0E,CHARGING
160155,3.186,-186.975,29.494,4.636,46.718,0x0F,0x0E,CHARGING
162157,3.186,-186.975,29.601,4.642,46.718,0x0F,0x0E,CHARGING
164159,3.191,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
166161,3.196,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
168163,3.196,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
170165,3.196,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
172167,3.196,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
174169,3.196,-186.975,29.601,4.636,46.718,0x0F,0x0E,CHARGING
176171,3.201,-186.975,29.708,4.636,45.926,0x0F,0x0E,CHARGING
178173,3.201,-187.2,30.029,4.648,46.718,0x0F,0x0E,CHARGING
180175,3.206,-186.975,29.708,4.636,45.926,0x0F,0x0E,CHARGING
182185,3.206,-186.975,29.708,4.648,46.718,0x0F,0x0E,CHARGING
184187,3.206,-186.75,29.601,4.63,46.718,0x0F,0x0E,CHARGING
186189,3.206,-186.975,29.708,4.636,45.926,0x0F,0x0E,CHARGING
188191,3.206,-186.975,29.708,4.636,46.718,0x0F,0x0E,CHARGING
190193,3.206,-187.2,29.708,4.636,45.926,0x0F,0x0E,CHARGING
192195,3.206,-187.2,30.029,4.642,45.926,0x0F,0x0E,CHARGING
194197,3.211,-187.425,29.708,4.642,46.718,0x0F,0x0E,CHARGING
196199,3.216,-187.2,29.708,4.63,45.926,0x0F,0x0E,CHARGING
198201,3.216,-187.2,29.281,4.642,49.096,0x0F,0x0E,CHARGING
200203,3.216,-187.2,29.708,4.636,45.926,0x0F,0x0E,CHARGING
202205,3.22,-187.2,29.708,4.636,45.926,0x0F,0x0E,CHARGING
204207,3.216,-187.2,29.708,4.642,46.718,0x0F,0x0E,CHARGING
206209,3.216,-187.2,29.708,4.642,45.926,0x0F,0x0E,CHARGING
208211,3.22,-187.425,29.708,4.636,45.926,0x0F,0x0E,CHARGING
210213,3.22,-187.65,29.815,4.636,45.926,0x0F,0x0E,CHARGING
212215,3.22,-187.2,29.815,4.63,45.926,0x0F,0x0E,CHARGING
214217,3.225,-187.2,29.815,4.642,45.926,0x0F,0x0E,CHARGING
216219,3.225,-187.425,29.815,4.636,45.926,0x0F,0x0E,CHARGING
218221,3.225,-187.425,29.815,4.63,45.926,0x0F,0x0E,CHARGING
220223,3.225,-187.425,29.815,4.636,45.926,0x0F,0x0E,CHARGING
222224,3.23,-187.425,29.815,4.648,45.926,0x0F,0x0E,CHARGING
224226,3.23,-187.425,29.815,4.636,45.926,0x0F,0x0E,CHARGING
226228,3.23,-187.2,29.922,4.642,45.926,0x0F,0x0E,CHARGING
228230,3.23,-187.65,29.815,4.636,49.096,0x0F,0x0E,CHARGING
230232,3.235,-187.425,29.922,4.642,45.926,0x0F,0x0E,CHARGING
232234,3.235,-186.975,29.815,4.648,45.926,0x0F,0x0E,CHARGING
234236,3.235,-187.425,29.922,4.636,45.926,0x0F,0x0E,CHARGING
236238,3.24,-187.65,29.494,4.636,45.926,0x0F,0x0E,CHARGING
238240,3.235,-187.2,29.922,4.636,45.926,0x0F,0x0E,CHARGING
240242,3.24,-187.425,29.815,4.642,45.926,0x0F,0x0E,CHARGING
242244,3.24,-187.425,29.922,4.648,45.926,0x0F,0x0E,CHARGING
244245,3.24,-187.425,29.922,4.642,45.926,0x0F,0x0E,CHARGING
246247,3.245,-187.425,29.922,4.642,45.926,0x0F,0x0E,CHARGING
248256,3.245,-187.425,30.029,4.636,45.133,0x0F,0x0E,CHARGING
250257,3.245,-187.65,29.922,4.63,45.926,0x0F,0x0E,CHARGING
252258,3.245,-187.65,30.029,4.636,45.926,0x0F,0x0E,CHARGING
254260,3.245,-187.425,30.029,4.636,45.926,0x0F,0x0E,CHARGING
256262,3.25,-187.65,29.922,4.636,45.133,0x0F,0x0E,CHARGING
258264,3.245,-187.425,30.029,4.636,45.133,0x0F,0x0E,CHARGING
260266,3.255,-187.65,29.922,4.642,45.133,0x0F,0x0E,CHARGING
262268,3.255,-187.425,30.029,4.636,45.926,0x0F,0x0E,CHARGING
264269,3.255,-187.425,30.029,4.636,45.926,0x0F,0x0E,CHARGING
266271,3.255,-187.2,29.922,4.636,45.926,0x0F,0x0E,CHARGING
268273,3.255,-187.425,30.029,4.642,45.926,0x0F,0x0E,CHARGING
270275,3.255,-187.65,29.922,4.63,45.926,0x0F,0x0E,CHARGING
272276,3.255,-187.65,29.922,4.636,45.926,0x0F,0x0E,CHARGING
274278,3.255,-187.65,30.029,4.648,45.926,0x0F,0x0E,CHARGING
276280,3.26,-187.875,29.922,4.636,45.926,0x0F,0x0E,CHARGING
278282,3.26,-187.65,30.029,4.63,49.096,0x0F,0x0E,CHARGING
280284,3.255,-187.65,29.922,4.636,45.133,0x0F,0x0E,CHARGING
282286,3.264,-187.65,29.922,4.636,45.926,0x0F,0x0E,CHARGING
284288,3.26,-188.325,29.922,4.648,45.133,0x0F,0x0E,CHARGING
286290,3.264,-187.65,29.922,4.642,45.133,0x0F,0x0E,CHARGING
288292,3.264,-187.875,30.029,4.636,45.133,0x0F,0x0E,CHARGING
290294,3.264,-187.875,29.922,4.636,46.718,0x0F,0x0E,CHARGING
292296,3.264,-187.65,29.922,4.636,45.133,0x0F,0x0E,CHARGING
294298,3.269,-188.1,30.029,4.648,45.133,0x0F,0x0E,CHARGING
296300,3.264,-187.65,29.922,4.642,45.133,0x0F,0x0E,CHARGING
298302,3.264,-187.875,30.029,4.642,45.133,0x0F,0x0E,CHARGING
300303,3.269,-187.65,29.922,4.636,45.133,0x0F,0x0E,CHARGING
302305,3.274,-187.65,30.029,4.642,45.133,0x0F,0x0E,CHARGING
304307,3.274,-187.65,30.029,4.636,45.133,0x0F,0x0E,CHARGING
306309,3.274,-187.875,30.029,4.642,45.926,0x0F,0x0E,CHARGING
308310,3.274,-187.875,30.029,4.642,45.133,0x0F,0x0E,CHARGING
310320,3.279,-188.1,30.029,4.642,45.133,0x0F,0x0E,CHARGING
312322,3.274,-187.875,30.029,4.636,45.926,0x0F,0x0E,CHARGING
314332,3.279,-187.875,30.136,4.636,45.926,0x0F,0x0E,CHARGING
316334,3.274,-187.875,30.029,4.636,45.133,0x0F,0x0E,CHARGING
318336,3.279,-187.65,30.029,4.63,45.926,0x0F,0x0E,CHARGING
320337,3.279,-187.875,30.029,4.642,45.133,0x0F,0x0E,CHARGING
322339,3.274,-187.875,30.029,4.648,45.133,0x0F,0x0E,CHARGING
324340,3.279,-187.875,30.136,4.636,45.133,0x0F,0x0E,CHARGING
326341,3.284,-187.875,30.029,4.642,49.096,0x0F,0x0E,CHARGING
328343,3.279,-188.1,30.136,4.636,44.34,0x0F,0x0E,CHARGING
330345,3.279,-187.875,30.029,4.636,45.926,0x0F,0x0E,CHARGING
332347,3.279,-187.875,29.708,4.636,45.133,0x0F,0x0E,CHARGING
334349,3.284,-187.875,30.136,4.636,45.926,0x0F,0x0E,CHARGING
336351,3.284,-187.875,30.136,4.636,45.926,0x0F,0x0E,CHARGING
338353,3.284,-188.1,30.136,4.642,45.926,0x0F,0x0E,CHARGING
340354,3.289,-188.1,30.136,4.642,45.133,0x0F,0x0E,CHARGING
342356,3.284,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
344358,3.294,-187.875,30.136,4.642,45.133,0x0F,0x0E,CHARGING
346360,3.294,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
348362,3.294,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
350364,3.294,-188.1,30.136,4.642,45.926,0x0F,0x0E,CHARGING
352366,3.294,-188.1,30.136,4.642,45.926,0x0F,0x0E,CHARGING
354368,3.294,-187.875,30.243,4.636,45.133,0x0F,0x0E,CHARGING
356369,3.294,-187.875,30.136,4.636,45.133,0x0F,0x0E,CHARGING
358371,3.294,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
360373,3.294,-188.1,30.136,4.648,45.926,0x0F,0x0E,CHARGING
362375,3.294,-188.55,30.136,4.636,45.133,0x0F,0x0E,CHARGING
364377,3.294,-188.1,30.136,4.636,45.926,0x0F,0x0E,CHARGING
366379,3.294,-187.875,30.136,4.636,45.133,0x0F,0x0E,CHARGING
368381,3.294,-188.1,30.136,4.642,45.133,0x0F,0x0E,CHARGING
370383,3.299,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
372385,3.299,-188.1,30.243,4.636,45.926,0x0F,0x0E,CHARGING
374395,3.299,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
376397,3.299,-188.1,30.136,4.636,45.133,0x0F,0x0E,CHARGING
378399,3.304,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
380401,3.304,-188.1,30.243,4.63,45.133,0x0F,0x0E,CHARGING
382403,3.304,-188.1,30.243,4.636,45.926,0x0F,0x0E,CHARGING
384404,3.304,-187.875,30.243,4.648,45.133,0x0F,0x0E,CHARGING
386405,3.304,-188.325,30.243,4.642,45.133,0x0F,0x0E,CHARGING
388406,3.304,-188.1,30.243,4.63,45.133,0x0F,0x0E,CHARGING
390407,3.304,-188.1,30.243,4.642,45.133,0x0F,0x0E,CHARGING
392409,3.308,-188.1,30.243,4.642,45.133,0x0F,0x0E,CHARGING
394411,3.304,-188.325,30.243,4.636,45.133,0x0F,0x0E,CHARGING
396413,3.308,-188.1,30.351,4.642,45.926,0x0F,0x0E,CHARGING
398415,3.304,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
400417,3.308,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
402419,3.304,-188.1,30.351,4.642,45.133,0x0F,0x0E,CHARGING
404421,3.304,-188.1,30.351,4.642,45.133,0x0F,0x0E,CHARGING
406423,3.308,-188.1,30.243,4.636,44.34,0x0F,0x0E,CHARGING
408425,3.308,-188.325,30.243,4.636,45.133,0x0F,0x0E,CHARGING
410426,3.308,-187.875,30.243,4.636,45.133,0x0F,0x0E,CHARGING
412428,3.304,-188.1,30.351,4.648,45.133,0x0F,0x0E,CHARGING
414438,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
416440,3.304,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
418442,3.313,-188.1,30.351,4.636,45.926,0x0F,0x0E,CHARGING
420444,3.313,-188.325,30.243,4.636,45.133,0x0F,0x0E,CHARGING
422446,3.313,-188.325,30.243,4.63,45.133,0x0F,0x0E,CHARGING
424448,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
426450,3.313,-188.1,30.243,4.636,45.926,0x0F,0x0E,CHARGING
428452,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
430454,3.313,-188.325,30.243,4.636,45.133,0x0F,0x0E,CHARGING
432456,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
434458,3.313,-188.325,30.243,4.642,45.133,0x0F,0x0E,CHARGING
436460,3.313,-188.1,30.243,4.636,45.133,0x0F,0x0E,CHARGING
438462,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
440464,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
442466,3.318,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
444476,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
446477,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
448479,3.313,-188.325,30.351,4.642,45.133,0x0F,0x0E,CHARGING
450481,3.313,-188.325,30.351,4.642,45.133,0x0F,0x0E,CHARGING
452482,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
454484,3.313,-188.325,30.351,4.642,45.133,0x0F,0x0E,CHARGING
456486,3.313,-188.1,30.351,4.63,45.133,0x0F,0x0E,CHARGING
458488,3.313,-188.55,30.351,4.636,45.133,0x0F,0x0E,CHARGING
460490,3.313,-188.1,30.351,4.636,45.926,0x0F,0x0E,CHARGING
462492,3.313,-188.325,30.351,4.642,44.34,0x0F,0x0E,CHARGING
464494,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
466496,3.313,-188.325,30.351,4.636,45.926,0x0F,0x0E,CHARGING
468506,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
470508,3.313,-188.1,30.351,4.636,45.133,0x0F,0x0E,CHARGING
472510,3.313,-188.325,30.351,4.636,45.926,0x0F,0x0E,CHARGING
474512,3.318,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
476522,3.313,-187.875,30.351,4.636,45.133,0x0F,0x0E,CHARGING
478524,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
480526,3.313,-188.1,30.458,4.636,45.133,0x0F,0x0E,CHARGING
482528,3.313,-188.325,30.351,4.636,45.133,0x0F,0x0E,CHARGING
