time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.47,61.6,25.205,3.452,26.111,0x04,0x0E,DISCHARGING
2002,3.47,58.8,25.205,3.439,26.111,0x04,0x0E,DISCHARGING
4003,3.46,60.0,25.205,3.433,26.111,0x04,0x0E,DISCHARGING
6004,3.46,51.2,25.205,3.427,26.111,0x04,0x0E,DISCHARGING
8006,3.45,64.0,25.205,3.421,26.111,0x04,0x0E,DISCHARGING
10007,3.44,65.6,25.205,3.414,26.111,0x04,0x0E,DISCHARGING
12008,3.431,63.2,25.205,3.408,26.111,0x04,0x0E,DISCHARGING
14009,3.44,51.2,25.205,3.408,26.111,0x04,0x0E,DISCHARGING
16011,3.431,65.6,25.205,3.408,26.111,0x04,0x0E,DISCHARGING
18029,3.431,60.0,25.205,3.402,26.111,0x04,0x0E,DISCHARGING
20030,3.421,62.8,25.205,3.402,26.111,0x04,0x0E,DISCHARGING
22032,3.431,65.6,25.205,3.396,26.111,0x04,0x0E,DISCHARGING
24033,3.406,62.0,25.205,3.396,26.111,0x04,0x0E,DISCHARGING
26035,3.421,60.4,25.205,3.39,26.111,0x04,0x0E,DISCHARGING
28037,3.421,62.0,25.205,3.39,26.111,0x04,0x0E,DISCHARGING
30039,3.421,61.2,25.205,3.39,26.111,0x04,0x0E,DISCHARGING
32040,3.421,49.6,25.205,3.39,26.111,0x04,0x0E,DISCHARGING
34041,3.411,64.4,25.205,3.383,26.111,0x04,0x0E,DISCHARGING
36042,3.421,62.0,25.205,3.383,26.111,0x04,0x0E,DISCHARGING
38044,3.411,64.0,25.205,3.383,26.111,0x04,0x0E,DISCHARGING
40046,3.396,60.4,25.205,3.377,26.111,0x04,0x0E,DISCHARGING
42047,3.391,64.0,25.205,3.377,26.111,0x04,0x0E,DISCHARGING
44048,3.391,64.0,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
46049,3.391,65.6,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
48051,3.391,62.8,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
50053,3.391,61.6,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
52055,3.391,65.6,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
54056,3.391,64.0,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
56058,3.382,60.0,25.205,3.365,26.111,0x04,0x0E,DISCHARGING
58060,3.382,51.6,25.205,3.371,26.111,0x04,0x0E,DISCHARGING
60061,3.372,62.0,25.205,3.365,26.111,0x04,0x0E,DISCHARGING
62063,3.382,67.6,25.205,3.358,26.111,0x04,0x0E,DISCHARGING
64065,3.372,67.2,25.205,3.358,26.111,0x04,0x0E,DISCHARGING
66066,3.372,64.4,25.205,3.358,26.111,0x04,0x0E,DISCHARGING
68068,3.372,61.6,25.205,3.365,26.111,0x04,0x0E,DISCHARGING
70069,3.382,65.6,25.205,3.358,26.111,0x04,0x0E,DISCHARGING
72070,3.382,60.0,25.205,3.358,26.111,0x04,0x0E,DISCHARGING
74072,3.382,64.0,25.205,3.352,26.111,0x04,0x0E,DISCHARGING
76074,3.372,62.0,25.205,3.352,26.111,0x04,0x0E,DISCHARGING
