time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.913,-16.875,25.617,4.785,35.622,0x0C,0x0E,CHARGING
2010,2.991,-185.4,25.824,4.605,40.377,0x0F,0x0E,CHARGING
4012,2.996,-185.4,25.927,4.611,41.963,0x0F,0x0E,CHARGING
6014,3.005,-185.625,25.927,4.605,42.755,0x0F,0x0E,CHARGING
8016,3.01,-185.4,26.031,4.611,40.377,0x0F,0x0E,CHARGING
10018,3.01,-185.4,26.134,4.611,43.548,0x0F,0x0E,CHARGING
12019,3.02,-185.4,26.134,4.617,44.34,0x0F,0x0E,CHARGING
14021,3.02,-185.4,26.341,4.611,44.34,0x0F,0x0E,CHARGING
16023,3.025,-185.85,26.341,4.617,44.34,0x0F,0x0E,CHARGING
18025,3.03,-185.625,26.549,4.605,44.34,0x0F,0x0E,CHARGING
20027,3.035,-185.85,26.549,4.617,45.133,0x0F,0x0E,CHARGING
22029,3.035,-185.85,26.653,4.611,45.926,0x0F,0x0E,CHARGING
24031,3.04,-185.85,26.757,4.617,45.926,0x0F,0x0E,CHARGING
26033,3.044,-185.85,26.757,4.611,45.926,0x0F,0x0E,CHARGING
28035,3.049,-185.625,26.861,4.611,45.926,0x0F,0x0E,CHARGING
30037,3.049,-185.85,26.965,4.611,46.718,0x0F,0x0E,CHARGING
32039,3.054,-185.175,27.07,4.605,46.718,0x0F,0x0E,CHARGING
34041,3.059,-185.85,27.174,4.605,46.718,0x0F,0x0E,CHARGING
36043,3.059,-186.075,26.757,4.617,47.511,0x0F,0x0E,CHARGING
38045,3.059,-186.075,27.174,4.611,47.511,0x0F,0x0E,CHARGING
40047,3.064,-185.85,27.383,4.611,46.718,0x0F,0x0E,CHARGING
42049,3.069,-186.075,27.383,4.611,43.548,0x0F,0x0E,CHARGING
44051,3.069,-186.3,27.488,4.611,47.511,0x0F,0x0E,CHARGING
46053,3.069,-186.3,27.592,4.623,47.511,0x0F,0x0E,CHARGING
48055,3.074,-186.075,27.697,4.611,47.511,0x0F,0x0E,CHARGING
50057,3.079,-186.075,27.592,4.611,46.718,0x0F,0x0E,CHARGING
52059,3.079,-186.075,27.802,4.617,47.511,0x0F,0x0E,CHARGING
54061,3.084,-185.175,27.802,4.605,47.511,0x0F,0x0E,CHARGING
56063,3.088,-187.2,27.802,4.611,47.511,0x0F,0x0E,CHARGING
58065,3.088,-186.3,27.907,4.611,47.511,0x0F,0x0E,CHARGING
60067,3.088,-186.3,28.012,4.605,47.511,0x0F,0x0E,CHARGING
62069,3.093,-186.3,28.012,4.611,47.511,0x0F,0x0E,CHARGING
64071,3.093,-186.075,28.117,4.617,47.511,0x0F,0x0E,CHARGING
66073,3.093,-186.3,28.223,4.617,47.511,0x0F,0x0E,CHARGING
68075,3.098,-186.525,28.223,4.611,47.511,0x0F,0x0E,CHARGING
70077,3.098,-186.525,28.223,4.605,47.511,0x0F,0x0E,CHARGING
72079,3.103,-186.75,28.328,4.605,47.511,0x0F,0x0E,CHARGING
74081,3.108,-186.525,28.328,4.617,47.511,0x0F,0x0E,CHARGING
76083,3.108,-186.3,28.328,4.611,47.511,0x0F,0x0E,CHARGING
78085,3.108,-186.525,28.434,4.617,47.511,0x0F,0x0E,CHARGING
80087,3.113,-186.3,28.539,4.611,47.511,0x0F,0x0E,CHARGING
82089,3.118,-186.3,28.539,4.611,47.511,0x0F,0x0E,CHARGING
84091,3.113,-186.525,28.645,4.617,47.511,0x0F,0x0E,CHARGING
86093,3.118,-186.525,28.645,4.611,47.511,0x0F,0x0E,CHARGING
88095,3.118,-186.3,28.645,4.617,46.718,0x0F,0x0E,CHARGING
90097,3.118,-186.75,28.751,4.611,47.511,0x0F,0x0E,CHARGING
92099,3.128,-186.75,28.751,4.617,47.511,0x0F,0x0E,CHARGING
94101,3.128,-186.525,28.857,4.611,47.511,0x0F,0x0E,CHARGING
96103,3.128,-186.75,28.857,4.617,47.511,0x0F,0x0E,CHARGING
98105,3.128,-186.525,28.857,4.611,47.511,0x0F,0x0E,CHARGING
100107,3.132,-186.75,28.857,4.611,48.303,0x0F,0x0E,CHARGING
102111,3.137,-109.842,28.857,4.611,43.548,0x0F,0x0E,CHARGING
104113,3.137,-109.842,28.963,4.611,47.511,0x0F,0x0E,CHARGING
106115,3.137,-109.842,29.069,4.611,47.511,0x0F,0x0E,CHARGING
108117,3.137,-110.107,29.069,4.623,47.511,0x0F,0x0E,CHARGING
110119,3.142,-109.975,29.175,4.617,47.511,0x0F,0x0E,CHARGING
112121,3.142,-109.842,29.175,4.611,47.511,0x0F,0x0E,CHARGING
114123,3.142,-109.975,29.175,4.611,47.511,0x0F,0x0E,CHARGING
116125,3.147,-110.107,29.175,4.605,47.511,0x0F,0x0E,CHARGING
118127,3.147,-109.842,29.281,4.623,47.511,0x0F,0x0E,CHARGING
120129,3.147,-110.107,29.281,4.617,50.681,0x0F,0x0E,CHARGING
122131,3.147,-110.107,29.281,4.617,47.511,0x0F,0x0E,CHARGING
124133,3.152,-109.975,29.281,4.617,47.511,0x0F,0x0E,CHARGING
126135,3.157,-110.107,29.281,4.605,46.718,0x0F,0x0E,CHARGING
128137,3.157,-110.24,29.388,4.623,47.511,0x0F,0x0E,CHARGING
130139,3.157,-110.107,29.388,4.617,47.511,0x0F,0x0E,CHARGING
132141,3.157,-109.975,29.388,4.605,47.511,0x0F,0x0E,CHARGING
134143,3.162,-110.24,29.388,4.611,47.511,0x0F,0x0E,CHARGING
136145,3.162,-110.24,29.388,4.611,47.511,0x0F,0x0E,CHARGING
138147,3.162,-110.107,29.388,4.617,46.718,0x0F,0x0E,CHARGING
140149,3.167,-110.107,29.388,4.617,47.511,0x0F,0x0E,CHARGING
142151,3.162,-110.505,29.494,4.617,47.511,0x0F,0x0E,CHARGING
144153,3.167,-110.107,29.494,4.611,47.511,0x0F,0x0E,CHARGING
146155,3.167,-109.975,29.494,4.617,46.718,0x0F,0x0E,CHARGING
148165,3.172,-110.24,29.494,4.611,46.718,0x0F,0x0E,CHARGING
150167,3.172,-109.975,29.494,4.611,46.718,0x0F,0x0E,CHARGING
152169,3.176,-110.24,29.601,4.611,47.511,0x0F,0x0E,CHARGING
154179,3.176,-109.975,29.601,4.611,47.511,0x0F,0x0E,CHARGING
156181,3.181,-110.107,29.601,4.611,46.718,0x0F,0x0E,CHARGING
158183,3.176,-110.372,29.708,4.617,47.511,0x0F,0x0E,CHARGING
160185,3.181,-110.372,29.708,4.611,46.718,0x0F,0x0E,CHARGING
162187,3.181,-110.24,29.601,4.617,46.718,0x0F,0x0E,CHARGING
164189,3.181,-110.372,29.708,4.611,46.718,0x0F,0x0E,CHARGING
166191,3.186,-110.24,29.708,4.617,47.511,0x0F,0x0E,CHARGING
168193,3.186,-110.107,29.708,4.611,46.718,0x0F,0x0E,CHARGING
170195,3.186,-110.107,29.281,4.611,46.718,0x0F,0x0E,CHARGING
172197,3.191,-110.107,29.708,4.617,43.548,0x0F,0x0E,CHARGING
174199,3.191,-110.107,29.815,4.617,46.718,0x0F,0x0E,CHARGING
176201,3.191,-110.107,29.815,4.611,46.718,0x0F,0x0E,CHARGING
178203,3.191,-110.24,29.815,4.611,47.511,0x0F,0x0E,CHARGING
180205,3.196,-110.107,29.815,4.605,46.718,0x0F,0x0E,CHARGING
182207,3.196,-110.107,29.815,4.605,47.511,0x0F,0x0E,CHARGING
184209,3.196,-110.24,29.815,4.617,46.718,0x0F,0x0E,CHARGING
186211,3.196,-110.107,30.029,4.611,43.548,0x0F,0x0E,CHARGING
188213,3.201,-110.107,29.815,4.611,46.718,0x0F,0x0E,CHARGING
190215,3.206,-110.24,29.815,4.611,46.718,0x0F,0x0E,CHARGING
192217,3.206,-110.505,29.815,4.617,46.718,0x0F,0x0E,CHARGING
194219,3.206,-110.24,29.922,4.605,46.718,0x0F,0x0E,CHARGING
196221,3.206,-110.372,29.922,4.617,46.718,0x0F,0x0E,CHARGING
198223,3.211,-110.107,29.815,4.623,46.718,0x0F,0x0E,CHARGING
200225,3.211,-110.107,29.815,4.611,46.718,0x0F,0x0E,CHARGING
202229,3.181,-147.826,29.922,4.698,41.963,0x0F,0x0E,CHARGING
204231,3.181,-148.005,29.922,4.698,42.755,0x0F,0x0E,CHARGING
206233,3.181,-147.826,29.815,4.692,41.963,0x0F,0x0E,CHARGING
208235,3.176,-148.005,29.815,4.698,41.17,0x0F,0x0E,CHARGING
210237,3.181,-148.183,29.922,4.704,41.17,0x0F,0x0E,CHARGING
212239,3.181,-148.005,29.922,4.692,41.963,0x0F,0x0E,CHARGING
214241,3.186,-148.005,29.815,4.692,41.17,0x0F,0x0E,CHARGING
216243,3.181,-147.826,29.922,4.692,41.17,0x0F,0x0E,CHARGING
218245,3.186,-148.005,29.922,4.698,41.963,0x0F,0x0E,CHARGING
220247,3.186,-148.005,29.922,4.704,41.17,0x0F,0x0E,CHARGING
222249,3.186,-147.826,29.922,4.692,41.17,0x0F,0x0E,CHARGING
224251,3.186,-148.005,29.922,4.692,41.17,0x0F,0x0E,CHARGING
226253,3.186,-148.005,29.922,4.692,41.17,0x0F,0x0E,CHARGING
228255,3.186,-147.826,29.922,4.698,41.17,0x0F,0x0E,CHARGING
230257,3.186,-148.005,29.922,4.704,41.17,0x0F,0x0E,CHARGING
232259,3.186,-148.005,29.922,4.692,41.17,0x0F,0x0E,CHARGING
234261,3.186,-147.826,29.922,4.692,41.17,0x0F,0x0E,CHARGING
236263,3.186,-148.183,29.922,4.698,41.17,0x0F,0x0E,CHARGING
238265,3.191,-147.826,29.922,4.692,41.17,0x0F,0x0E,CHARGING
240267,3.191,-148.005,29.815,4.711,41.17,0x0F,0x0E,CHARGING
242269,3.191,-148.005,29.922,4.698,41.17,0x0F,0x0E,CHARGING
244271,3.191,-148.005,30.029,4.698,41.17,0x0F,0x0E,CHARGING
246273,3.191,-148.183,29.922,4.692,41.17,0x0F,0x0E,CHARGING
248275,3.196,-148.005,30.029,4.692,41.17,0x0F,0x0E,CHARGING
250277,3.196,-148.005,29.922,4.704,41.963,0x0F,0x0E,CHARGING
252279,3.191,-148.183,29.922,4.692,40.377,0x0F,0x0E,CHARGING
254281,3.196,-148.005,30.029,4.692,41.17,0x0F,0x0E,CHARGING
256283,3.196,-148.005,30.029,4.698,41.17,0x0F,0x0E,CHARGING
258285,3.196,-148.005,30.029,4.698,41.17,0x0F,0x0E,CHARGING
260287,3.196,-148.183,29.922,4.692,41.17,0x0F,0x0E,CHARGING
262289,3.201,-148.183,30.029,4.698,41.17,0x0F,0x0E,CHARGING
264291,3.201,-148.005,29.922,4.692,41.17,0x0F,0x0E,CHARGING
266293,3.196,-148.183,29.922,4.698,41.17,0x0F,0x0E,CHARGING
268295,3.196,-148.183,29.922,4.692,38.0,0x0F,0x0E,CHARGING
270297,3.201,-148.005,30.029,4.711,41.17,0x0F,0x0E,CHARGING
272299,3.196,-148.005,30.029,4.698,40.377,0x0F,0x0E,CHARGING
274301,3.206,-148.005,30.029,4.692,41.17,0x0F,0x0E,CHARGING
276303,3.201,-148.005,30.029,4.692,40.377,0x0F,0x0E,CHARGING
278305,3.206,-148.362,30.029,4.692,40.377,0x0F,0x0E,CHARGING
280307,3.206,-148.005,30.029,4.704,41.17,0x0F,0x0E,CHARGING
282309,3.206,-148.005,30.029,4.698,40.377,0x0F,0x0E,CHARGING
284311,3.206,-147.826,29.922,4.698,40.377,0x0F,0x0E,CHARGING
286313,3.206,-148.362,30.029,4.698,40.377,0x0F,0x0E,CHARGING
288315,3.206,-148.183,30.029,4.698,41.17,0x0F,0x0E,CHARGING
290317,3.206,-148.362,30.029,4.704,41.17,0x0F,0x0E,CHARGING
292319,3.206,-148.183,30.029,4.692,41.17,0x0F,0x0E,CHARGING
294329,3.201,-148.183,30.458,4.698,40.377,0x0F,0x0E,CHARGING
296331,3.211,-148.183,30.136,4.692,41.17,0x0F,0x0E,CHARGING
298333,3.211,-148.72,30.136,4.698,41.17,0x0F,0x0E,CHARGING
300335,3.211,-148.183,30.029,4.692,41.17,0x0F,0x0E,CHARGING
302339,3.225,-186.975,29.708,4.655,41.963,0x0F,0x0E,CHARGING
304341,3.225,-187.2,30.029,4.655,42.755,0x0F,0x0E,CHARGING
306343,3.225,-186.975,30.029,4.655,45.926,0x0F,0x0E,CHARGING
308345,3.225,-186.975,30.029,4.661,43.548,0x0F,0x0E,CHARGING
310346,3.225,-186.975,30.029,4.655,42.755,0x0F,0x0E,CHARGING
312348,3.23,-186.975,30.458,4.655,43.548,0x0F,0x0E,CHARGING
314349,3.23,-187.2,30.136,4.655,42.755,0x0F,0x0E,CHARGING
316351,3.235,-186.975,30.136,4.667,42.755,0x0F,0x0E,CHARGING
318352,3.23,-186.975,30.136,4.661,40.377,0x0F,0x0E,CHARGING
320354,3.235,-186.975,30.136,4.655,43.548,0x0F,0x0E,CHARGING
322356,3.235,-187.2,29.708,4.655,42.755,0x0F,0x0E,CHARGING
324358,3.235,-186.975,30.136,4.661,42.755,0x0F,0x0E,CHARGING
326360,3.235,-187.425,30.136,4.655,43.548,0x0F,0x0E,CHARGING
328362,3.235,-186.975,30.136,4.661,43.548,0x0F,0x0E,CHARGING
330364,3.24,-187.2,29.708,4.655,40.377,0x0F,0x0E,CHARGING
332366,3.235,-187.425,30.136,4.661,43.548,0x0F,0x0E,CHARGING
334368,3.235,-187.2,30.136,4.655,43.548,0x0F,0x0E,CHARGING
336370,3.24,-187.425,30.136,4.655,40.377,0x0F,0x0E,CHARGING
338372,3.245,-186.975,30.136,4.655,43.548,0x0F,0x0E,CHARGING
340374,3.24,-186.975,30.136,4.655,42.755,0x0F,0x0E,CHARGING
342375,3.245,-187.425,30.136,4.661,43.548,0x0F,0x0E,CHARGING
344377,3.245,-186.975,30.136,4.661,43.548,0x0F,0x0E,CHARGING
346379,3.245,-187.2,30.136,4.655,43.548,0x0F,0x0E,CHARGING
348381,3.245,-187.425,30.136,4.655,43.548,0x0F,0x0E,CHARGING
350383,3.245,-187.425,30.136,4.655,41.963,0x0F,0x0E,CHARGING
352385,3.245,-187.2,30.243,4.661,42.755,0x0F,0x0E,CHARGING
354387,3.245,-187.2,30.243,4.661,43.548,0x0F,0x0E,CHARGING
356388,3.245,-187.2,30.243,4.661,42.755,0x0F,0x0E,CHARGING
358390,3.25,-187.425,30.243,4.661,43.548,0x0F,0x0E,CHARGING
360392,3.25,-187.2,30.136,4.655,45.926,0x0F,0x0E,CHARGING
362394,3.25,-187.425,30.136,4.655,43.548,0x0F,0x0E,CHARGING
364396,3.25,-187.425,30.243,4.667,43.548,0x0F,0x0E,CHARGING
366398,3.255,-187.425,30.243,4.655,40.377,0x0F,0x0E,CHARGING
368400,3.255,-187.65,30.136,4.661,43.548,0x0F,0x0E,CHARGING
370410,3.255,-187.65,30.243,4.661,43.548,0x0F,0x0E,CHARGING
372412,3.255,-188.1,30.136,4.655,45.926,0x0F,0x0E,CHARGING
374414,3.255,-186.975,30.243,4.655,43.548,0x0F,0x0E,CHARGING
376416,3.255,-187.65,30.136,4.655,42.755,0x0F,0x0E,CHARGING
378418,3.26,-187.425,29.815,4.661,40.377,0x0F,0x0E,CHARGING
380420,3.255,-187.425,30.243,4.661,43.548,0x0F,0x0E,CHARGING
382422,3.255,-187.425,30.136,4.655,42.755,0x0F,0x0E,CHARGING
384424,3.26,-187.2,30.243,4.655,43.548,0x0F,0x0E,CHARGING
386426,3.255,-187.2,30.243,4.655,42.755,0x0F,0x0E,CHARGING
388428,3.26,-186.975,30.243,4.661,43.548,0x0F,0x0E,CHARGING
390430,3.26,-187.65,30.243,4.661,40.377,0x0F,0x0E,CHARGING
392431,3.26,-187.65,30.351,4.661,40.377,0x0F,0x0E,CHARGING
394433,3.264,-187.425,30.243,4.655,43.548,0x0F,0x0E,CHARGING
396434,3.264,-187.65,30.243,4.661,40.377,0x0F,0x0E,CHARGING
398436,3.264,-187.65,30.243,4.667,42.755,0x0F,0x0E,CHARGING
400438,3.264,-187.65,30.243,4.661,43.548,0x0F,0x0E,CHARGING
402442,3.274,-72.191,30.243,4.611,45.133,0x0F,0x0E,CHARGING
404444,3.284,-72.105,30.243,4.611,45.133,0x0F,0x0E,CHARGING
406446,3.279,-72.105,30.243,4.617,45.133,0x0F,0x0E,CHARGING
408448,3.279,-72.018,30.243,4.611,45.926,0x0F,0x0E,CHARGING
410450,3.279,-72.105,30.566,4.611,45.926,0x0F,0x0E,CHARGING
412452,3.279,-72.105,30.243,4.611,45.133,0x0F,0x0E,CHARGING
414454,3.279,-72.105,30.243,4.611,45.133,0x0F,0x0E,CHARGING
416456,3.289,-72.105,30.351,4.611,45.926,0x0F,0x0E,CHARGING
418465,3.294,-72.191,30.243,4.617,45.926,0x0F,0x0E,CHARGING
420467,3.284,-72.105,30.243,4.617,45.133,0x0F,0x0E,CHARGING
422469,3.284,-72.018,30.351,4.605,45.133,0x0F,0x0E,CHARGING
424471,3.284,-72.105,30.243,4.623,45.133,0x0F,0x0E,CHARGING
426473,3.289,-72.191,30.351,4.611,45.926,0x0F,0x0E,CHARGING
