time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.377,204.8,30.89,3.34,33.244,0x04,0x0E,DISCHARGING
2002,3.362,200.4,30.89,3.327,32.451,0x04,0x0E,DISCHARGING
4003,3.352,205.2,30.89,3.309,32.451,0x04,0x0E,DISCHARGING
6004,3.343,206.0,30.89,3.302,32.451,0x04,0x0E,DISCHARGING
8006,3.333,202.4,30.89,3.296,32.451,0x04,0x0E,DISCHARGING
10007,3.333,196.8,30.89,3.296,32.451,0x04,0x0E,DISCHARGING
12009,3.323,208.4,30.89,3.284,32.451,0x04,0x0E,DISCHARGING
14018,3.323,192.4,30.89,3.277,32.451,0x04,0x0E,DISCHARGING
16020,3.313,205.6,30.89,3.277,32.451,0x04,0x0E,DISCHARGING
18022,3.318,206.0,30.89,3.271,32.451,0x04,0x0E,DISCHARGING
20024,3.308,202.8,30.998,3.265,32.451,0x04,0x0E,DISCHARGING
22025,3.304,215.2,30.998,3.265,32.451,0x04,0x0E,DISCHARGING
24026,3.304,205.6,30.998,3.259,32.451,0x04,0x0E,DISCHARGING
26028,3.294,208.0,30.998,3.252,32.451,0x04,0x0E,DISCHARGING
28029,3.289,202.0,30.998,3.252,32.451,0x04,0x0E,DISCHARGING
30030,3.284,207.2,30.998,3.246,32.451,0x04,0x0E,DISCHARGING
32032,3.284,206.8,30.998,3.252,32.451,0x04,0x0E,DISCHARGING
34034,3.284,211.2,30.998,3.24,32.451,0x04,0x0E,DISCHARGING
36036,3.284,204.0,30.998,3.24,32.451,0x04,0x0E,DISCHARGING
38043,3.279,201.2,30.998,3.234,32.451,0x04,0x0E,DISCHARGING
40044,3.269,204.0,30.998,3.234,32.451,0x04,0x0E,DISCHARGING
42046,3.264,208.4,30.998,3.228,32.451,0x04,0x0E,DISCHARGING
44411,3.313,91.6,30.998,3.29,31.659,0x04,0x0E,DISCHARGING
46412,3.308,94.8,30.998,3.29,32.451,0x04,0x0E,DISCHARGING
48413,3.308,102.4,30.998,3.296,32.451,0x04,0x0E,DISCHARGING
50415,3.304,94.8,30.998,3.29,32.451,0x04,0x0E,DISCHARGING
52417,3.304,96.8,30.998,3.29,32.451,0x04,0x0E,DISCHARGING
