time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002468,2.917,-16.875,24.180,4.792,30.074,0x0C,0x0E,CHARGING
000004470,3.005,-185.175,24.180,4.605,36.414,0x0F,0x0E,CHARGING
000006472,3.010,-185.175,24.282,4.598,38.000,0x0F,0x0E,CHARGING
000008474,3.020,-185.175,24.282,4.611,38.792,0x0F,0x0E,CHARGING
000010476,3.025,-185.175,24.282,4.611,39.585,0x0F,0x0E,CHARGING
000012478,3.030,-185.400,24.282,4.617,39.585,0x0F,0x0E,CHARGING
000014480,3.035,-185.400,24.282,4.605,40.377,0x0F,0x0E,CHARGING
000016482,3.040,-185.400,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000018484,3.044,-185.400,24.282,4.611,41.963,0x0F,0x0E,CHARGING
000020486,3.049,-185.625,24.282,4.617,41.170,0x0F,0x0E,CHARGING
000022488,3.049,-185.625,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000024490,3.059,-185.625,24.384,4.611,41.170,0x0F,0x0E,CHARGING
000026492,3.059,-185.625,24.282,4.611,41.963,0x0F,0x0E,CHARGING
000028493,3.064,-185.625,24.384,4.605,41.963,0x0F,0x0E,CHARGING
000030495,3.064,-185.850,24.384,4.611,41.963,0x0F,0x0E,CHARGING
000032497,3.069,-185.850,24.384,4.617,41.963,0x0F,0x0E,CHARGING
000034499,3.074,-185.625,24.384,4.611,42.755,0x0F,0x0E,CHARGING
000036501,3.079,-185.850,24.384,4.617,41.963,0x0F,0x0E,CHARGING
000038503,3.079,-185.850,24.384,4.611,41.963,0x0F,0x0E,CHARGING
000040505,3.079,-185.625,24.384,4.623,41.963,0x0F,0x0E,CHARGING
000042506,3.084,-185.625,24.384,4.617,42.755,0x0F,0x0E,CHARGING
000044508,3.088,-186.075,24.384,4.617,41.963,0x0F,0x0E,CHARGING
000046509,3.088,-185.850,24.384,4.611,42.755,0x0F,0x0E,CHARGING
000048511,3.088,-186.075,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000050513,3.098,-185.850,24.384,4.617,42.755,0x0F,0x0E,CHARGING
000052515,3.098,-186.300,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000054517,3.098,-186.075,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000056518,3.103,-186.075,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000058520,3.108,-186.075,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000060522,3.108,-186.075,24.384,4.617,42.755,0x0F,0x0E,CHARGING
000062524,3.108,-186.075,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000064526,3.108,-185.850,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000066528,3.113,-186.075,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000068530,3.118,-186.075,24.589,4.611,42.755,0x0F,0x0E,CHARGING
000070532,3.118,-186.075,24.487,4.617,41.963,0x0F,0x0E,CHARGING
000072534,3.118,-186.075,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000074536,3.123,-186.300,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000076538,3.128,-186.075,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000078540,3.128,-186.075,24.487,4.611,45.926,0x0F,0x0E,CHARGING
000080542,3.128,-186.300,24.487,4.617,42.755,0x0F,0x0E,CHARGING
000082544,3.128,-186.300,24.589,4.617,41.963,0x0F,0x0E,CHARGING
000084546,3.132,-186.525,24.384,4.605,42.755,0x0F,0x0E,CHARGING
000086548,3.132,-186.300,24.487,4.623,42.755,0x0F,0x0E,CHARGING
000088550,3.137,-186.525,24.589,4.611,41.963,0x0F,0x0E,CHARGING
000090552,3.137,-186.300,24.897,4.611,42.755,0x0F,0x0E,CHARGING
000092554,3.142,-186.525,24.487,4.611,42.755,0x0F,0x0E,CHARGING
000094556,3.142,-186.075,24.589,4.611,42.755,0x0F,0x0E,CHARGING
000096558,3.147,-186.300,24.589,4.617,42.755,0x0F,0x0E,CHARGING
000098560,3.147,-186.750,25.000,4.617,42.755,0x0F,0x0E,CHARGING
000100562,3.147,-186.525,24.589,4.617,41.963,0x0F,0x0E,CHARGING
000102564,3.147,-186.525,24.589,4.611,42.755,0x0F,0x0E,CHARGING
000104568,3.152,-109.842,24.692,4.617,41.963,0x0F,0x0E,CHARGING
000106570,3.152,-109.842,24.589,4.617,41.963,0x0F,0x0E,CHARGING
000108572,3.152,-109.975,24.589,4.617,42.755,0x0F,0x0E,CHARGING
000110574,3.157,-109.975,24.282,4.617,42.755,0x0F,0x0E,CHARGING
000112576,3.157,-109.842,24.589,4.617,42.755,0x0F,0x0E,CHARGING
000114578,3.162,-109.975,24.692,4.611,42.755,0x0F,0x0E,CHARGING
000116580,3.162,-109.842,24.282,4.611,41.963,0x0F,0x0E,CHARGING
000118582,3.167,-109.975,24.692,4.617,41.963,0x0F,0x0E,CHARGING
000120584,3.167,-109.842,24.589,4.617,41.963,0x0F,0x0E,CHARGING
000122586,3.172,-109.975,24.692,4.617,41.963,0x0F,0x0E,CHARGING
000124588,3.172,-109.842,24.692,4.617,42.755,0x0F,0x0E,CHARGING
000126590,3.172,-109.975,24.692,4.617,41.963,0x0F,0x0E,CHARGING
000128592,3.176,-110.107,24.692,4.617,42.755,0x0F,0x0E,CHARGING
000130594,3.176,-109.975,24.692,4.611,41.963,0x0F,0x0E,CHARGING
000132596,3.176,-109.975,24.692,4.617,42.755,0x0F,0x0E,CHARGING
000134598,3.176,-109.975,24.692,4.611,42.755,0x0F,0x0E,CHARGING
000136600,3.181,-109.975,24.692,4.617,41.963,0x0F,0x0E,CHARGING
000138602,3.181,-109.842,24.692,4.623,41.963,0x0F,0x0E,CHARGING
000140604,3.181,-109.975,24.692,4.623,41.963,0x0F,0x0E,CHARGING
