time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.069,-16.875,22.856,4.785,32.451,0x0C,0x0E,CHARGING
2002,3.142,-184.725,22.856,4.611,40.377,0x0F,0x0E,CHARGING
4004,3.147,-184.725,22.856,4.605,41.963,0x0F,0x0E,CHARGING
6006,3.152,-184.725,22.856,4.611,41.963,0x0F,0x0E,CHARGING
8008,3.162,-185.175,22.958,4.611,42.755,0x0F,0x0E,CHARGING
10010,3.162,-184.95,22.856,4.605,43.548,0x0F,0x0E,CHARGING
12012,3.167,-185.175,22.958,4.611,43.548,0x0F,0x0E,CHARGING
14014,3.176,-185.175,22.958,4.605,43.548,0x0F,0x0E,CHARGING
16016,3.176,-185.175,22.958,4.611,44.34,0x0F,0x0E,CHARGING
18018,3.176,-185.175,22.856,4.611,44.34,0x0F,0x0E,CHARGING
20019,3.176,-184.275,22.856,4.605,43.548,0x0F,0x0E,CHARGING
22021,3.176,-185.4,22.856,4.605,44.34,0x0F,0x0E,CHARGING
24023,3.186,-185.175,22.856,4.611,45.133,0x0F,0x0E,CHARGING
26024,3.186,-185.175,22.856,4.611,45.133,0x0F,0x0E,CHARGING
28026,3.191,-185.4,22.856,4.605,45.133,0x0F,0x0E,CHARGING
30028,3.191,-185.4,22.856,4.611,45.133,0x0F,0x0E,CHARGING
32030,3.196,-185.175,22.856,4.605,45.133,0x0F,0x0E,CHARGING
34031,3.196,-185.175,22.856,4.605,44.34,0x0F,0x0E,CHARGING
36032,3.201,-185.4,23.263,4.611,45.133,0x0F,0x0E,CHARGING
38034,3.196,-185.175,22.856,4.611,45.926,0x0F,0x0E,CHARGING
40036,3.201,-185.4,22.856,4.611,45.133,0x0F,0x0E,CHARGING
42038,3.206,-185.625,22.958,4.611,45.133,0x0F,0x0E,CHARGING
44039,3.206,-185.4,22.958,4.611,45.133,0x0F,0x0E,CHARGING
46041,3.206,-185.625,22.856,4.611,45.926,0x0F,0x0E,CHARGING
48043,3.206,-185.4,22.856,4.611,45.926,0x0F,0x0E,CHARGING
50045,3.216,-185.625,22.958,4.611,45.926,0x0F,0x0E,CHARGING
52047,3.216,-185.625,22.958,4.605,45.926,0x0F,0x0E,CHARGING
54048,3.216,-185.625,22.856,4.611,45.926,0x0F,0x0E,CHARGING
56050,3.216,-185.175,22.654,4.611,45.926,0x0F,0x0E,CHARGING
58052,3.22,-185.4,23.059,4.611,45.926,0x0F,0x0E,CHARGING
60054,3.22,-185.4,23.059,4.605,45.926,0x0F,0x0E,CHARGING
62056,3.22,-185.625,23.161,4.611,49.096,0x0F,0x0E,CHARGING
64058,3.22,-185.625,23.161,4.605,46.718,0x0F,0x0E,CHARGING
66059,3.22,-185.625,23.263,4.611,43.548,0x0F,0x0E,CHARGING
68061,3.225,-185.625,23.263,4.611,43.548,0x0F,0x0E,CHARGING
70063,3.225,-185.85,23.263,4.611,46.718,0x0F,0x0E,CHARGING
72065,3.225,-185.85,23.263,4.611,45.926,0x0F,0x0E,CHARGING
74067,3.23,-185.85,23.364,4.611,46.718,0x0F,0x0E,CHARGING
76069,3.235,-185.625,23.364,4.611,47.511,0x0F,0x0E,CHARGING
78071,3.235,-185.85,23.364,4.605,46.718,0x0F,0x0E,CHARGING
80073,3.235,-185.85,23.466,4.611,46.718,0x0F,0x0E,CHARGING
82075,3.235,-186.075,23.364,4.611,47.511,0x0F,0x0E,CHARGING
84077,3.235,-185.85,23.466,4.611,47.511,0x0F,0x0E,CHARGING
86079,3.235,-185.85,23.568,4.611,46.718,0x0F,0x0E,CHARGING
88081,3.24,-185.625,23.568,4.611,46.718,0x0F,0x0E,CHARGING
90083,3.235,-185.85,23.568,4.605,47.511,0x0F,0x0E,CHARGING
92084,3.24,-184.275,23.568,4.611,47.511,0x0F,0x0E,CHARGING
