time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.426,95.6,1.557,3.414,6.296,0x04,0x0E,DISCHARGING
2001,3.416,98.8,1.666,3.383,6.296,0x04,0x0E,DISCHARGING
4002,3.406,98.4,1.666,3.371,6.296,0x04,0x0E,DISCHARGING
6004,3.387,98.0,1.666,3.352,5.503,0x04,0x0E,DISCHARGING
8005,3.357,100.4,1.666,3.34,6.296,0x04,0x0E,DISCHARGING
10006,3.357,102.4,1.666,3.333,5.503,0x04,0x0E,DISCHARGING
12007,3.347,104.0,1.666,3.321,6.296,0x04,0x0E,DISCHARGING
14009,3.347,102.4,1.666,3.315,6.296,0x04,0x0E,DISCHARGING
16010,3.318,101.6,1.666,3.309,5.503,0x04,0x0E,DISCHARGING
18011,3.328,98.8,1.666,3.309,5.503,0x04,0x0E,DISCHARGING
20013,3.323,104.0,1.666,3.302,5.503,0x04,0x0E,DISCHARGING
22014,3.323,100.4,1.666,3.296,5.503,0x04,0x0E,DISCHARGING
24015,3.328,102.8,1.666,3.29,5.503,0x04,0x0E,DISCHARGING
26016,3.323,100.4,1.775,3.29,5.503,0x04,0x0E,DISCHARGING
28017,3.323,100.0,1.775,3.29,5.503,0x04,0x0E,DISCHARGING
30018,3.308,102.8,1.775,3.284,5.503,0x04,0x0E,DISCHARGING
32019,3.323,104.4,1.884,3.277,5.503,0x04,0x0E,DISCHARGING
34020,3.304,102.8,1.884,3.277,5.503,0x04,0x0E,DISCHARGING
36021,3.304,98.8,1.884,3.277,5.503,0x04,0x0E,DISCHARGING
38022,3.289,101.6,1.884,3.271,5.503,0x04,0x0E,DISCHARGING
40023,3.284,100.4,1.884,3.271,5.503,0x04,0x0E,DISCHARGING
42024,3.304,104.0,1.884,3.271,6.296,0x04,0x0E,DISCHARGING
44025,3.284,102.8,1.884,3.271,5.503,0x04,0x0E,DISCHARGING
46026,3.304,100.4,1.884,3.265,5.503,0x04,0x0E,DISCHARGING
48027,3.284,100.4,1.884,3.265,5.503,0x04,0x0E,DISCHARGING
50029,3.269,102.8,1.884,3.265,5.503,0x04,0x0E,DISCHARGING
52030,3.279,104.0,1.884,3.259,5.503,0x04,0x0E,DISCHARGING
54031,3.269,104.4,1.884,3.259,5.503,0x04,0x0E,DISCHARGING
56032,3.279,98.8,1.884,3.259,5.503,0x04,0x0E,DISCHARGING
58033,3.269,104.0,1.884,3.252,5.503,0x04,0x0E,DISCHARGING
60034,3.269,105.6,1.884,3.252,6.296,0x04,0x0E,DISCHARGING
62036,3.269,98.8,1.884,3.252,5.503,0x04,0x0E,DISCHARGING
64038,3.269,106.0,1.884,3.252,5.503,0x04,0x0E,DISCHARGING
66039,3.269,98.4,1.775,3.252,5.503,0x04,0x0E,DISCHARGING
68040,3.269,104.0,1.884,3.246,5.503,0x04,0x0E,DISCHARGING
70041,3.269,100.4,1.884,3.246,5.503,0x04,0x0E,DISCHARGING
72042,3.269,100.4,1.775,3.246,5.503,0x04,0x0E,DISCHARGING
74043,3.269,101.6,1.775,3.246,5.503,0x04,0x0E,DISCHARGING
76044,3.264,104.0,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
78045,3.264,105.6,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
80046,3.264,103.2,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
82047,3.269,105.6,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
84049,3.269,98.4,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
86050,3.25,101.6,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
88051,3.25,102.0,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
90052,3.25,104.0,1.775,3.24,5.503,0x04,0x0E,DISCHARGING
92053,3.25,104.0,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
94054,3.264,101.6,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
96055,3.264,102.0,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
98056,3.25,104.0,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
100058,3.264,102.8,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
102060,3.264,106.0,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
104061,3.264,102.8,1.666,3.234,5.503,0x04,0x0E,DISCHARGING
106062,3.264,106.0,1.666,3.234,5.503,0x04,0x0E,DISCHARGING
108063,3.264,102.0,1.775,3.234,5.503,0x04,0x0E,DISCHARGING
110063,3.235,104.0,1.666,3.228,4.71,0x04,0x0E,DISCHARGING
112064,3.264,102.0,1.775,3.228,4.71,0x04,0x0E,DISCHARGING
114065,3.24,102.0,1.666,3.228,5.503,0x04,0x0E,DISCHARGING
116066,3.25,100.4,1.666,3.228,4.71,0x04,0x0E,DISCHARGING
118067,3.245,98.8,1.666,3.228,4.71,0x04,0x0E,DISCHARGING
120067,3.264,104.4,1.666,3.228,5.503,0x04,0x0E,DISCHARGING
122069,3.25,104.0,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
124070,3.245,100.4,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
126071,3.264,104.0,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
128073,3.245,104.4,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
130074,3.245,105.6,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
132076,3.24,100.0,1.666,3.221,4.71,0x04,0x0E,DISCHARGING
134077,3.245,104.4,1.666,3.221,4.71,0x04,0x0E,DISCHARGING
136078,3.23,101.6,1.666,3.221,4.71,0x04,0x0E,DISCHARGING
138080,3.245,100.4,1.666,3.221,4.71,0x04,0x0E,DISCHARGING
140081,3.23,101.6,1.666,3.221,5.503,0x04,0x0E,DISCHARGING
142082,3.23,104.0,1.666,3.221,4.71,0x04,0x0E,DISCHARGING
