time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,2.825,-16.65,-88.117,4.773,33.244,0x0C,0x0E,CHARGING
2002,3.025,-184.5,-88.117,4.586,40.377,0x0F,0x0E,CHARGING
4003,3.03,-184.5,-88.117,4.58,41.17,0x0F,0x0E,CHARGING
6005,3.04,-184.5,-88.117,4.586,42.755,0x0F,0x0E,CHARGING
8007,3.04,-185.175,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
10009,3.054,-185.175,-88.117,4.58,43.548,0x0F,0x0E,CHARGING
12010,3.059,-185.175,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
14012,3.064,-185.4,-88.117,4.58,44.34,0x0F,0x0E,CHARGING
16013,3.069,-185.4,-88.117,4.586,44.34,0x0F,0x0E,CHARGING
18015,3.079,-185.175,-88.117,4.586,43.548,0x0F,0x0E,CHARGING
20016,3.079,-185.175,-88.117,4.592,44.34,0x0F,0x0E,CHARGING
22018,3.084,-185.175,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
24020,3.088,-185.625,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
26022,3.098,-185.4,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
28023,3.098,-185.625,-88.117,4.58,45.133,0x0F,0x0E,CHARGING
30024,3.108,-185.4,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
32025,3.108,-185.4,-88.117,4.586,48.303,0x0F,0x0E,CHARGING
34027,3.113,-185.4,-88.117,4.58,45.133,0x0F,0x0E,CHARGING
36029,3.113,-185.85,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
38031,3.128,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
40032,3.128,-185.625,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
42034,3.132,-185.85,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
44035,3.132,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
46037,3.137,-185.625,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
48038,3.137,-185.85,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
50039,3.147,-185.85,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
52040,3.147,-185.85,-88.117,4.586,45.133,0x0F,0x0E,CHARGING
54042,3.152,-186.075,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
56044,3.157,-185.85,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
58046,3.157,-186.3,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
60048,3.162,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
62049,3.167,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
64051,3.167,-186.075,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
66053,3.167,-186.075,-88.117,4.592,45.133,0x0F,0x0E,CHARGING
68055,3.176,-186.075,-88.117,4.592,45.926,0x0F,0x0E,CHARGING
70056,3.176,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
72058,3.172,-186.525,-88.117,4.586,45.926,0x0F,0x0E,CHARGING
